idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
quelque chose qui cloche,0,- je ne suis pas sûr il y a quelque chose qui cloche,-i'm not sure but something doesn't add up,I am not sure something is wrong.,Good Translation,0.78340644,0.8431355,-0.05972904
quelque chose qui cloche,1,il y a quelque chose qui cloche chez moi,is there something wrong with me,There is something off with me,Good Translation,0.78961945,0.80206263,-0.012443185
quelque chose qui cloche,2,quand tu tombes amoureuse de quelqu'un tu trouves toujours quelque chose qui cloche,and then when you fall in love with somebody there is always something wrong with him,"when you fall in love with someone, you always find something that doesn't fit",Good Translation,0.7977136,0.8053473,-0.0076337457
quelque chose qui cloche,3,et vite il sait qu'il y a quelque chose qui cloche,he knows something's going on in there,and quickly he knows that something is amiss,Good Translation,0.7998494,0.92116475,-0.12131536
quelque chose qui cloche,4,il y a sérieusement quelque chose qui cloche chez moi,there's something seriously wrong with me,There is seriously something off with me,Good Translation,0.81790555,0.8275379,-0.009632349
quelque chose qui cloche,5,il y a quelque chose qui cloche mais on ne sait pas quoi,you know something is wrong you just can't get a handle on it all right sir,there's something off but we don't know what,Good Translation,0.6705777,0.85811085,-0.18753314
quelque chose qui cloche,6,je pense qu'il ya quelque chose qui cloche,i think there's something wrong here,I think something is wrong.,Good Translation,0.7682533,0.79004025,-0.021786928
quelque chose qui cloche,7,tu te réveilles un matin et il y a quelque chose qui cloche,you wake up in the morning and something just isn't right,you wake up one morning and something is off,Good Translation,0.83649117,0.8802554,-0.043764234
quelque chose qui cloche,8,si j'avais su si j'avais soupçonné à n'importe quel niveau qu'il y avait quelque chose qui clochait avec l'affaire de cooper j'aurais fais quelque chose moi-même il y a longtemps,if i had known if i had suspected on any level there was something wrong with the cooper case i would have done something by myself a long time ago,"if I had known or suspected at any level that there was something off with the Cooper affair, I would have done something about it a long time ago",Good Translation,0.93374175,0.84081244,0.0929293
quelque chose qui cloche,9,si ces gars refusent c'est qu'il doit y avoir quelque chose qui cloche ici,so if these guys are refusing there must be something wrong here,"if these guys refuse, there must be something wrong here",Good Translation,0.89850014,0.9054446,-0.0069444776
quelque chose qui cloche,10,je savais qu'il y avait quelque chose qui clochait avec cette femme,i knew there was something wrong with that woman,I knew something was off with this woman.,Good Translation,0.94777584,0.93086153,0.016914308
quelque chose qui cloche,11,il y a quelque chose qui cloche là-haut,there's something wrong upstairs,there's something off up there,Good Translation,0.83006835,0.8573978,-0.027329445
quelque chose qui cloche,12,on dirait qu'il y a quelque chose qui cloche avec le serveur,looks like there's something wrong with the server,It seems there's something off with the server,Good Translation,0.9199157,0.93232334,-0.0124076605
