idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
avoir de le pain sur le planche,0,j'ai du pain sur la planche,i've got a lot on my plate and um,I have a lot on my plate.,Good Translation,0.7329141,0.7516476,-0.018733501
avoir de le pain sur le planche,1,tu as du pain sur la planche harold,got your plate full there harold,You've got a lot on your plate Harold.,Good Translation,0.74635416,0.7381384,0.008215785
avoir de le pain sur le planche,2,j'ai du pain sur la planche,lotta irons in the fire,I have a lot on my plate,Good Translation,0.4536556,0.74734056,-0.29368496
avoir de le pain sur le planche,3,tu as du pain sur la planche,you have a job to do,You have a lot on your plate,Good Translation,0.68786883,0.7409382,-0.053069353
avoir de le pain sur le planche,4,tu as du pain sur la planche hein,got a pretty full plate right now huh,"You've got a lot on your plate, huh?",Good Translation,0.6818441,0.74229956,-0.06045544
avoir de le pain sur le planche,5,- je pense que tu as du pain sur la planche n'est-ce pas alex,- i guess you have your work cut out for you don't you alex,- I think you have a lot on your plate isn't that right Alex,Good Translation,0.75239,0.77492243,-0.022532403
avoir de le pain sur le planche,6,au moins quelqu'un d'autre voit que j'ai du pain sur la planche,- constance - at least somebody else sees i've got my work cut out for me,At least someone else sees that I have a lot on my plate.,Good Translation,0.7522322,0.83881295,-0.08658075
avoir de le pain sur le planche,7,au moment où simon lamb est entré j'ai su qu'on aurait du pain sur la planche,from the moment simon lamb walked into the station i knew we had our work cut out,At the moment when Simon Lamb entered I knew that we would have our backs to the wall.,Unnatural,0.74478686,0.7490305,-0.0042436123
avoir de le pain sur le planche,8,j'espère que t'auras du temps pour réfléchir car tu as du pain sur la planche,then i hope you've got a lot of time to do some thinking in the next few days because you got some work to do,I hope you'll have some time to think about it because you've got a lot on your plate.,Good Translation,0.79554594,0.8569749,-0.061428964
avoir de le pain sur le planche,9,je suis sûre qu'ils ont eu du pain sur la planche,i'm sure they were dealing with a lot,I'm sure they had their work cut out for them.,Good Translation,0.71893716,0.7453547,-0.026417553
avoir de le pain sur le planche,10,j'ai du pain sur la planche et vous êtes sur mon chemin,i've got work to do here and you are getting in my way,I've got a lot on my plate and you're in my way.,Good Translation,0.7207469,0.77669114,-0.055944264
avoir de le pain sur le planche,11,je le répète j'ai du pain sur la planche,now like i said i got a lot of work to do,I've got bread on the line,Good Translation,0.58134264,0.7735271,-0.19218445
avoir de le pain sur le planche,12,j'ai du pain sur la planche là,all right come on i really got work to do now,I have a lot on my plate there.,Good Translation,0.6313056,0.77502,-0.14371443
avoir de le pain sur le planche,13,tu as du pain sur la planche,there's a lot of work needs doing,you have a lot on your plate,Good Translation,0.58136296,0.7517285,-0.17036551
avoir de le pain sur le planche,14,non tu as du pain sur la planche,you've got a lot on your plate,You're already drowning in debt.,Mistranslation,0.7033134,0.5743331,0.12898034
avoir de le pain sur le planche,15,j'ai subitement cru que nous aurions du pain sur la planche,i was worried we'd suddenly have work on our hands,I had a sudden feeling that we'd be in for it.,Unnatural,0.74453044,0.74225813,0.0022723079
avoir de le pain sur le planche,16,j'ai du pain sur la planche et je ne me sens pas tout à fait moi-même,i've got a lot on my plate just now and i'm feeling less than my full fucking self,I have a lot on my plate and I don't feel entirely myself.,Good Translation,0.733034,0.81351125,-0.08047724
avoir de le pain sur le planche,17,jackie t'as du pain sur la planche,well jackie you got a job cut out for you,You've got a lot on your plate.,Good Translation,0.65419054,0.6150175,0.039173067
avoir de le pain sur le planche,18,on dirait que tu as du pain sur la planche alors,well uh you sound like you got a lot on your plate so,It seems like you have a lot on your plate then.,Good Translation,0.7220732,0.7733787,-0.051305473
avoir de le pain sur le planche,19,t'as du pain sur la planche,got work to do,You've got a lot on your plate.,Good Translation,0.59791994,0.69495845,-0.09703851
avoir de le pain sur le planche,20,j'ai du pain sur la planche n'est-ce pas,i certainly have my work cut out for me don't i,"I've got a lot on my plate, isn't it?",Good Translation,0.6600865,0.71997166,-0.059885144
avoir de le pain sur le planche,21,ei paso tu as du pain sur la planche,el paso you got your work cut out for you baby,I see you have a lot of bread on your plate.,Good Translation,0.61856246,0.681492,-0.06292951
avoir de le pain sur le planche,22,ecoute je sais que tu as du pain sur la planche mais mes parents ne peuvent pas te supporter et mon cousin est,look i know you have a lot on your plate but my parents can't stand you and my cousin is,Listen I know you have a lot on your plate but my parents can't stand you and my cousin is worse,Unnatural,0.84057176,0.83555436,0.0050174
avoir de le pain sur le planche,23,mais tu as du pain sur la planche,but first you got this in front of you,but you have a lot on your plate,Good Translation,0.6622337,0.8208003,-0.1585666
avoir de le pain sur le planche,24,va mon frère tu as du pain sur la planche,now get going brother you have a lot of work to do,My brother is busy he has a lot on his plate,Good Translation,0.6841837,0.7153128,-0.031129062
avoir de le pain sur le planche,25,j'ai du pain sur la planche mais avec votre aide je sais une chose,i know i've got my work cut out for me but with your help i know one thing now,I have a lot on my plate but with your help I know one thing,Good Translation,0.7902993,0.83117115,-0.04087186
avoir de le pain sur le planche,26,tu as du pain sur la planche la,you got your hands full over there,you have a lot on your plate,Good Translation,0.66951424,0.7380577,-0.068543434
avoir de le pain sur le planche,27,désolé mais tu as du pain sur la planche,hey sorry kenny guess you got your work cut out for you,Sorry but you've got your hands full,Good Translation,0.65572906,0.7587577,-0.103028655
avoir de le pain sur le planche,28,j'ai du pain sur la planche,there's still so much to do,I have a lot on my plate.,Good Translation,0.55357933,0.7516476,-0.19806826
avoir de le pain sur le planche,29,on sait que tu as du pain sur la planche,we know you got a steaming pile on your plate,We know you have a lot on your plate.,Good Translation,0.73134184,0.7550344,-0.023692548
avoir de le pain sur le planche,30,eh bien tu as du pain sur la planche,well you have your work cut out for you peter,Well you have a lot on your plate,Good Translation,0.6298554,0.71262044,-0.08276504
avoir de le pain sur le planche,31,allez tu as du pain sur la planche,come on you've got work to do,Are you in a tight spot?,Literal Translation,0.6790323,0.6015007,0.077531636
avoir de le pain sur le planche,32,celui qui le remplacera aura du pain sur la planche,for whoever takes his place those are gigantic shoes to fill,He who will replace him will have bread on his back.,Literal Translation,0.660972,0.88619953,-0.22522753
avoir de le pain sur le planche,33,sérieusement tu as du pain sur la planche mais je t'ai sous-estimée,but i'm serious you're not quite there yet but maybe i've been dismissing you too easily over the years,Seriously you've got a lot on your plate but I underestimated you.,Good Translation,0.6732291,0.86898965,-0.19576055
avoir de le pain sur le planche,34,on dirait que tu as du pain sur la planche alors bonne chance,okay well it looks like you have your work cut out for you so good luck,It sounds like you've got a lot on your plate then good luck to you.,Good Translation,0.7490641,0.78485876,-0.035794675
avoir de le pain sur le planche,35,t'as du pain sur la planche,you've got a lotta work ahead of you,You've got a lot on your plate.,Good Translation,0.57974577,0.69495845,-0.11521268
avoir de le pain sur le planche,36,je crois que j'ai du pain sur la planche,i think i have a little work to do,I think I have a lot on my plate,Good Translation,0.73886585,0.7775761,-0.038710237
avoir de le pain sur le planche,37,toi par contre tu as du pain sur la planche,you on the other hand have a rotten job to do,"You, on the other hand, have a lot to deal with.",Good Translation,0.6999815,0.6872836,0.012697935
