idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
en avoir marre,0,j'en ai marre de jouer au chat et à la souris j'ai faith pour ça allons droit au but,'cause you know i'm here to take that call,I'm sick of playing cat and mouse I have faith in this let's get to the point.,Partial Translation,0.5337784,0.86729515,-0.33351672
en avoir marre,1,c'est une fille qui a le cafard elle en a marre de la guerre marre d'être seule à attendre que son homme revienne,it's about a very lonely girl who's sick and tired of war and being left alone,It's a girl who has the blues of war tired of being alone waiting for her man to come back.,Good Translation,0.73092324,0.8056311,-0.074707866
en avoir marre,2,j'en ai marre marre de napoléon quatorze,and i'm sick of it aeryn i'm sick of napoleon the fourteenth,I am fed up with Napoleon XIV.,Good Translation,0.68249357,0.66920984,0.01328373
en avoir marre,3,j'en avais marre de tes âneries,lister i did that because i was sick of you annoying me,I had enough of your nonsense.,Good Translation,0.68745446,0.7705353,-0.08308083
en avoir marre,4,j'en ai marre de cette équipe qui pue,i'll put up with a crew that just fucking sucks,I'm sick of this team that stinks.,Good Translation,0.7218827,0.9166549,-0.19477218
en avoir marre,5,j'en ai marre d'être l'aîné,then i'm tired of being the oldest,I'm so sick of being the eldest,Good Translation,0.85674936,0.8635244,-0.0067750216
en avoir marre,6,et j'en ai marre,not us,and I'm fed up,Good Translation,0.50706166,0.71196234,-0.20490068
en avoir marre,7,j'en ai marre que tu fasses des drames,i am so sick of you and your drama-queen games,I'm sick of you making a big deal out of everything,Good Translation,0.7232146,0.7391958,-0.015981197
en avoir marre,8,j'en ai marre d'avoir raison,god i hate being right,I'm so fed up with being right.,Good Translation,0.7224612,0.8432727,-0.12081146
en avoir marre,9,j'voulais pas qu'on s'engueule j'en avais marre ma femme était enceinte de neuf mois,but i didn't want to fight with you i remember being so exhausted at this point my wife was like 9 months pregnant and we were like in the middle of moving right,I didn't want them to fight I was fed up my wife was nine months pregnant,Partial Translation,0.7643415,0.84725225,-0.082910776
