idiom_id,text,type,variation,cosine_distance_to_eng,x,y
0,and now a young lady who goes to third base faster than rickey henderson my sister roberta tubbs,english_ref,english,,-9.792401,18.56083
1,becca there is no easy way to say this,english_ref,english,,-1.0746667,1.1000519
2,let's cut to the chase shall we,english_ref,english,,4.9998713,4.915138
3,all right so let's cut to the chase,english_ref,english,,4.930539,4.8408217
4,you don't mind if we uh jump right in,english_ref,english,,2.0407033,-2.8749921
5,indeedgentlemenlet me c to the chase,english_ref,english,,5.0842094,4.9764633
6,well i i'll get right on that,english_ref,english,,2.136889,2.9246233
7,straightforward question,english_ref,english,,12.3887415,17.459173
8,therefore i shall get straight to the point,english_ref,english,,2.1939225,3.1134193
9,focus keep it simple,english_ref,english,,7.390521,5.718659
10,now you all know me so i'll just say this as simple as i can,english_ref,english,,1.2783623,6.2251196
11,should we get right to it captain,english_ref,english,,24.763266,-20.998568
12,we're gonna keep this simple,english_ref,english,,25.208868,-20.595423
13,look can we just cut to the chase here,english_ref,english,,4.907096,4.837555
14,let me cut to the chase i hear you can't get a date for the winter formal,english_ref,english,,4.9270205,4.8331947
15,ok let's get something straight,english_ref,english,,24.358345,-20.189661
16,this way they can advance all the way home on just one move,english_ref,english,,-9.074927,2.0488532
17,well might be a little harsh but i think it makes a point,english_ref,english,,-1.700549,7.1188936
18,well let's get right to it then cyrus meet sanders black,english_ref,english,,21.42817,12.168412
19,don't make any long explanations and just get to the point,english_ref,english,,7.5989456,4.492397
20,wellif you drill it downit means the company knew asbestos was causing cancer,english_ref,english,,16.327868,-5.8387885
21,get to the point mr morelli,english_ref,english,,24.67177,-20.997053
22,then i'm gonna have to sort of condense this maybe make it more of a bullet-point thing,english_ref,english,,2.301551,3.309646
23,why don 't we cut the crap and talk straight,english_ref,english,,7.843733,5.061311
24,let's cut through the facade agent burke,english_ref,english,,-0.11839492,-17.558268
25,way to get right to the point dad quinn laughing,english_ref,english,,9.400354,-1.633699
26,i just thought we might expedite,english_ref,english,,8.481017,0.8163802
27,since you're busy i will just get to the point,english_ref,english,,1.1125137,7.7981915
28,pleasantries out of the way let's get down to the heart of the matter,english_ref,english,,1.727588,15.317239
29,that's my girl straight and to the point,english_ref,english,,10.071654,9.836954
30,so if you went straight to the point,english_ref,english,,4.5807104,-2.482993
31,there's no plot in these things any more just straight in there,english_ref,english,,-8.85935,-4.6590266
32,louise is holding dinner for me so let's have it,english_ref,english,,-0.412676,22.592562
33,while i'd love to go on trading jabs with you spike perhaps i'll come to the point,english_ref,english,,4.447144,0.6360255
34,you look like a man who likes to get right to the point,english_ref,english,,8.679489,-1.3035611
35,the plant is wonderful but can we get straight to business,english_ref,english,,7.767881,14.308223
36,well lets get to it,english_ref,english,,24.479382,-20.545189
37,we can just get right to the point milo,english_ref,english,,25.127033,-20.785004
38,so anyway let's get to the point of it and that right,english_ref,english,,24.240875,-19.705496
39,so anyways let's get down to the nitty-gritty,english_ref,english,,24.198814,-19.6475
40,- he gets right to the point - hi honey,english_ref,english,,9.428736,-1.6240338
41,-can we get to the point here,english_ref,english,,24.671497,-20.670752
42,let's cut to the chase where's the dope,english_ref,english,,5.007884,4.9171014
43,people are starting to look so let's just move it along okay,english_ref,english,,1.9171501,-7.186945
