idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
être un poule mouiller,0,je suis une poule mouillée et un lâche,you see i'm a sissy and a coward,I'm a wet hen and a coward.,Good Translation,0.705799,0.7881862,-0.08238721
être un poule mouiller,1,il pense que je suis une poule mouillée depuis que je suis un professeur,he thinks i'm a sissy since i'm a teacher now,he thinks I'm a wet hen ever since I became a professor,Good Translation,0.80502665,0.8613435,-0.056316853
être un poule mouiller,2,c'est une poule mouillée,he's a yellow coward,it's a wet hen,Unnatural,0.57651895,0.6726722,-0.09615326
être un poule mouiller,3,- j'ai toujours été une poule mouillée,- always been a chicken man myself,- I've always been a scaredy-cat.,Good Translation,0.77006704,0.74396,0.026107013
être un poule mouiller,4,t'es une poule mouillée,chicken,You're a scaredy-cat.,Good Translation,0.46992803,0.60161996,-0.13169193
être un poule mouiller,5,je sais que je suis une poule mouillée mais,i know i'm being a coward but,I know I'm a wet hen but,Good Translation,0.7789986,0.82081383,-0.04181522
être un poule mouiller,6,- c'est une poule mouillée,- see her run she's a scaredy-cat,It's a wet hen.,Good Translation,0.55895257,0.68075526,-0.12180269
être un poule mouiller,7,je suis désolé je suis une poule mouillée,sorry i'm such a chicken,I'm sorry I'm a wet hen.,Good Translation,0.7442978,0.7704196,-0.026121795
être un poule mouiller,8,la dernière arrivée est une poule mouillée,the latest entrant is a rotten egg,The last arrival is a wet hen.,Good Translation,0.68990934,0.7947881,-0.10487878
être un poule mouiller,9,mais tu es une poule mouillée alors,but you're a pussy so,but you're a wet hen then,Good Translation,0.7756685,0.7847527,-0.009084225
être un poule mouiller,10,- tu es une poule mouillée,- you're a chicken,"- you're a wet hen (informal way to say ""you're being ridiculous"" or ""stop being so silly"")",Good Translation,0.7675712,0.5821023,0.18546891
être un poule mouiller,11,si je suis une poule mouillée qui se tient droit debout ici maître chang,if i am a chicken who's staying here safely,if I'm a wet hen standing up straight here master change,Good Translation,0.70682526,0.7224204,-0.015595138
être un poule mouiller,12,t'es effrayé t'es une poule mouillée,dumbass fuck,You're scared you're a wet hen.,Literal Translation,0.4923914,0.663348,-0.17095661
être un poule mouiller,13,pourquoi est-ce que je suis une poule mouillée face à lui,why is it whenever he's around i'm all wet,Why am I so wet and emotional in front of him?,Unnatural,0.70284414,0.7671334,-0.06428927
être un poule mouiller,14,comme je l'ai dit je suis une poule mouillée,like i said i'm a wimp,As I said I'm a wet hen,Good Translation,0.78715885,0.81561065,-0.0284518
être un poule mouiller,15,- c'est des poules mouillées,- those bums are all wet,It's just a bunch of wet hens.,Good Translation,0.7221217,0.6590829,0.063038826
être un poule mouiller,16,et vous vous êtes une poule mouillée,and you're being a chickenshit asshole,and you're a wet hen,Good Translation,0.7191615,0.75640285,-0.03724134
