idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
jeter un coup de oeil,0,- alors vous voulez que je jette un coup d'oeil,- so you want me to take a look - where,- then you want me to take a look?,Good Translation,0.8170759,0.9095063,-0.09243041
jeter un coup de oeil,1,laissez-moi juste jeter un coup d'oeil,just give me one stroll around the foot,let me just take a look,Good Translation,0.72973406,0.94995874,-0.22022468
jeter un coup de oeil,2,je devrais aller jeter un coup d'oeil aux personnes du cmi,i should check in with the idc rep,I should go take a look at the CMI people.,Good Translation,0.73712647,0.9146693,-0.1775428
jeter un coup de oeil,3,tu devrais peut-être aller jeter un coup d'oeil à l'étage papa,maybe you should go upstairs and take a look dad,You should maybe go check upstairs with Daddy.,Good Translation,0.88168263,0.84694314,0.034739494
jeter un coup de oeil,4,- on rejette un coup d'oeil,thought we'd have a second look,-we reject a glance.,Literal Translation,0.6503056,0.84384906,-0.19354343
jeter un coup de oeil,5,je te l'ai dis je n'ai pas jeter un coup d'oeil,i-i told you i wasn't sneaking a peek,I told you I didn't even look at it.,Good Translation,0.82812995,0.70213825,0.1259917
jeter un coup de oeil,6,jete un coup d'oeil à ce mur de retenue,take a look at this retaining wall,Take a look at that detention wall.,Mistranslation,0.83762354,0.8267239,0.010899663
jeter un coup de oeil,7,jeter un coup d'oeil dans la salle,glance around the room,take a glance in the hall,Unnatural,0.8605225,0.89447474,-0.033952236
jeter un coup de oeil,8,attends une seconde attends une seconde peut-être devrions-nous jeter un coup d'oeil avant shawn,maybe we should take a peek and see what we're getting into shawn,Let's take a look before Shawn.,Partial Translation,0.8086368,0.7338156,0.074821174
jeter un coup de oeil,9,jetez un coup d'oeil à l'intérieur pour voir si le directeur est allé souper,take a gander inside and see if the manager's gone to dinner,Take a glance inside to see if the director has gone out for supper.,Good Translation,0.858027,0.8856807,-0.027653694
jeter un coup de oeil,10,il a jeté un coup d'oeil sur ce qu'ils avaient et il a pensé qu'ils l'avaient volé dans un cimetière,he took one look at them and what they had and thought they'd stolen it from a cemetery,He gave a look at what they had and he thought that they had stolen it from a cemetery.,Good Translation,0.9221232,0.93410957,-0.011986375
jeter un coup de oeil,11,peut-être voudriez-vous venir y jeter un coup d'oeil,maybe you'd come by and take a look at it,Perhaps you might like to come by and take a look.,Good Translation,0.8993549,0.9084213,-0.009066403
jeter un coup de oeil,12,j'ai emprunté le costume de mon père tu dois au moins venir avec nous et jetez un coup d'oeil,i even borrowed this from my father let's just go,I borrowed my father's suit you must at least come with us and take a look.,Good Translation,0.7171922,0.90936756,-0.19217539
jeter un coup de oeil,13,j'aimerais y jeter un coup d'oeil,i'd like to have a look,I'd like to take a look there.,Good Translation,0.91542864,0.8678702,0.047558427
jeter un coup de oeil,14,je jette un coup d'oeil,-just checking it out,I take a glance,Good Translation,0.7583623,0.8555409,-0.09717858
jeter un coup de oeil,15,laisse-moi entrer jeter un coup d'oeil et m'assurer que tout va bien,you gotta let me go in there and look around and make sure everything's all right in there,Let me in to take a look and make sure everything is okay.,Good Translation,0.8746233,0.9358709,-0.061247587
jeter un coup de oeil,16,ca vaut le coup de jeter un coup d'oeil de plus,it's worth just taking one more look,It's worth taking another look.,Good Translation,0.8627421,0.84467727,0.018064857
jeter un coup de oeil,17,restez donc le temps que je jette un coup d'oeil à ces registres,why don't you stay around a little while until i have a better look at these ledgers,stay for a bit while I take a look at these records,Good Translation,0.7540156,0.88684464,-0.13282901
jeter un coup de oeil,18,je ferais n'importe quoi pour jeter un coup d'oeil à la princesse margaret,give anything for a close-up view of princess margaret,I'd do anything to catch a glimpse of Princess Margaret.,Good Translation,0.7975756,0.85045624,-0.052880645
jeter un coup de oeil,19,tu devrais venir y jeter un coup d'oeil,you should come check it out,you should come take a look around,Good Translation,0.85856265,0.9060869,-0.047524273
jeter un coup de oeil,20,peut-on avoir les médecins pour jeter un coup d'oeil,can we get medical to come in and take a look at joe,Can we have doctors take a look?,Good Translation,0.7808131,0.9115567,-0.13074362
jeter un coup de oeil,21,jette un coup d'oeil - qu'il y a-t-il - on est enfermées,you take a pee what's wrong,takes a glance - what's there - we're locked in,Unnatural,0.5102407,0.8989066,-0.3886659
jeter un coup de oeil,22,jeter un coup d'oeil,have a look,"take a glance
cast an eye over something 
take a look at",Good Translation,0.83489347,0.84446687,-0.0095734
jeter un coup de oeil,23,je peux jeter un coup d'oeil,you wanna share a look with me,I can take a look.,Good Translation,0.76015687,0.89763707,-0.1374802
jeter un coup de oeil,24,je n'ai pas jeté un coup d'oeil,i didn't peep,I haven't given it a glance,Good Translation,0.82161504,0.8344208,-0.01280576
jeter un coup de oeil,25,je peux jeter un coup d'oeil il veut regarder un peu autour,he wants to take a look around,I can take a glance he wants to look around a bit,Good Translation,0.8875902,0.9510169,-0.06342667
jeter un coup de oeil,26,- jette un coup d'oeil,- have a look,casts a glance,Good Translation,0.8856311,0.8007541,0.084877014
jeter un coup de oeil,27,tu vas vouloir jeter un coup d'oeil à ça,you're gonna want to take a look at this,you want to take a look at that,Partial Translation,0.91068554,0.8935243,0.01716125
jeter un coup de oeil,28,jetez un coup d'oeil prudent c'est un billet de l'économie-classe,take a careful look it's an economy-class ticket,Take a look it's an economy-class ticket,Unnatural,0.83714354,0.7938068,0.04333675
jeter un coup de oeil,29,- écoutez on veut juste jeter un coup d'oeil dehors,- we wanna go outside,- Listen we just want to take a look outside.,Good Translation,0.7926794,0.9366312,-0.14395177
jeter un coup de oeil,30,et maintenant la dernière chose que je veux te montrer jette un coup d'oeil à ça,last thing i want to show you have a look at this,and now the last thing I want to show you take a look at this,Good Translation,0.92731726,0.948131,-0.020813763
jeter un coup de oeil,31,laisse moi y jeter un coup d'oeil,let me look at it,Let me take a look at it.,Good Translation,0.87640625,0.86050457,0.015901685
jeter un coup de oeil,32,jeter un coup d'oeil je voudrais partir maintenant,i'd like to leave now,Take a look I'd like to leave now.,Literal Translation,0.8265395,0.89175594,-0.06521642
jeter un coup de oeil,33,jetez un coup d'oeil là-dessus,look the wedding contract,take a look at that,Good Translation,0.58556664,0.87722313,-0.2916565
jeter un coup de oeil,34,ça te dérange si je jette un coup d'oeil,mind if i take a look,Don't mind if I take a look.,Good Translation,0.72897434,0.7198899,0.009084463
