idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
ne y voir que du feu,0,je coucherai avec lui mardi et jeudi et il n'y verra que du feu,i'll have sex with him tuesday and thursday and he'll be none the wiser,"I'll sleep with him on Tuesday and Thursday, and he'll never suspect a thing.",Good Translation,0.783568,0.7258887,0.057679296
ne y voir que du feu,1,on n'y voit que du feu,smoke and mirrors,one sees only fire,Good Translation,0.5752721,0.9326734,-0.3574013
ne y voir que du feu,2,agis comme si tu y étais et on n'y verra que du feu,act like you belong there and people will believe you do,act as if you were there and we'll see it in a different light,Partial Translation,0.63195974,0.70482147,-0.07286173
ne y voir que du feu,3,dans deux semaines on n'y verra que du feu vraiment,- two weeks won't tell what happened,in two weeks we'll see red truly,Good Translation,0.64276373,0.7349385,-0.09217477
ne y voir que du feu,4,poppy me trouvera drôle on n'y verra que du feu,poppy will think i'm funny and no-one will know any different,poppy will find it funny we'll see fire,Literal Translation,0.6842703,0.8648226,-0.1805523
ne y voir que du feu,5,j'ai tout préparé la police n'y verra que du feu,i have everything ready the police won't notice a thing,I have everything prepared; the police won't see any trouble.,Good Translation,0.7736535,0.7414419,0.0322116
ne y voir que du feu,6,quelques réparations et on n'y verra que du feu,a few minor repairs it'll be good as new,some repairs and we'll see red,Mistranslation,0.7011125,0.7099969,-0.00888437
ne y voir que du feu,7,j'échapperai à cette vieille garce pendant sa sieste elle n'y verra que du feu,i'll slip away from that possessive old bitch while she's having her siesta and be gone before she knows it,I will escape from this old witch during her nap and she won't see it coming,Good Translation,0.781001,0.7904874,-0.009486437
ne y voir que du feu,8,on l'appelait le feu parce que quand il lançait la balle on n'y voyait que du feu,they called him the blur because his pitches were too fast to see,"They called it fire because when he threw the ball, you could see nothing but fire.",Good Translation,0.62289476,0.8774617,-0.2545669
ne y voir que du feu,9,vous pouvez remettre la puce à l'afc on n'y verra que du feu,you can put the chip back at afc and nobody'll notice it's gone,you can put the chip in the AFC and we won't see anything wrong with it,Good Translation,0.6581793,0.58991504,0.068264246
ne y voir que du feu,10,vous êtes sûr que le scanner n'y verra que du feu,and you're sure this will fool madacorp's retina scan,you are sure that the scanner will see nothing,Mistranslation,0.6068878,0.79068327,-0.18379545
ne y voir que du feu,11,le type que vous allez y mettre n'y verra que du feu,you know the fella you're going to put in here won't know the difference don't worry about it,the type you're going to put there will see only fire,Literal Translation,0.58366096,0.94342345,-0.3597625
ne y voir que du feu,12,ils se déguisent en robin des bois le public n'y voit que du feu,they dress themselves up like robin hood the public is buying into it,"They dress up as Robin Hood, but the public sees through it.",Partial Translation,0.69739366,0.75617576,-0.0587821
ne y voir que du feu,13,j'assure tellement que les gens n'y voient que du feu,i'm so smooth people think i'm still gonna show up,I assure you that people only see red,Literal Translation,0.5988075,0.7987598,-0.1999523
ne y voir que du feu,14,tout le monde n'y voit que du feu,you just fooling everybody,everyone sees fire in it,Literal Translation,0.65364456,0.8522815,-0.19863695
ne y voir que du feu,15,ton père n'y verra que du feu,your father won't realize,Your father will see red.,Good Translation,0.71035963,0.7307025,-0.020342886
ne y voir que du feu,16,- on n'y verra que du feu,- you wouldn't know the difference,- we'll see red,Mistranslation,0.5484021,0.6392332,-0.0908311
ne y voir que du feu,17,notre jeune dictateur n'y verra que du feu,i mean young tojo will never notice the difference,our young dictator will see only fire,Good Translation,0.5303595,0.9683583,-0.43799877
ne y voir que du feu,18,je peux tout voir et ils n'y voient que du feu,i can see everything and they're none the wiser,I can see everything and they see nothing.,Partial Translation,0.7576837,0.78037655,-0.02269286
ne y voir que du feu,19,du maquillage une perruque et on n'y voit que du feu,a good makeup job and the right wig and no one would know the difference,"a bit of makeup, a wig, and you can't see straight",Unnatural,0.5468147,0.665694,-0.11887932
ne y voir que du feu,20,même ta couturière n'y verra que du feu,not even your dressmaker will know for sure,even your seamstress will see no trouble in it,Partial Translation,0.5999752,0.5823318,0.017643452
ne y voir que du feu,21,gazzo n'y verra que du feu,- gazzo don't have to know he won't be wise to nothin',gazzo will see nothing but fire,Literal Translation,0.55203915,0.94522744,-0.3931883
ne y voir que du feu,22,si vous les écoulez discrètement on n'y verra que du feu,you spread my smokes in with the ones you buy for real nobody will ever know,"if you dispose of them discreetly, we will overlook it",Mistranslation,0.63858706,0.73646784,-0.09788078
ne y voir que du feu,23,l'humain n'y voit que du feu,human dude never knows what happened to him,the human sees only fire,Literal Translation,0.5497286,0.95499414,-0.40526557
ne y voir que du feu,24,quand tu auras enfilé la redingote on n'y verra que du feu,together with this stylish jacket you'll be a true gentleman,when you have put on the coat we won't see any trouble,Literal Translation,0.38938034,0.52164984,-0.1322695
ne y voir que du feu,25,on n'y verra que du feu,no one would believe their eyes,one will see only fire,Unnatural,0.58945584,0.9433967,-0.35394084
ne y voir que du feu,26,une voiture de 30 ans n'y verra que du feu,a 30-year-old car ain't going to know the difference,a 30-year-old car will see no fire there,Literal Translation,0.77673405,0.8333584,-0.056624353
ne y voir que du feu,27,mais grâce à un casting inventif vous n'y verrez que du feu,but thanks to some creative casting you won't even notice,but thanks to an inventive casting you'll see stars,Mistranslation,0.7022813,0.8052632,-0.102981925
ne y voir que du feu,28,ils rataient des trucs si on était malin ils n'y voyaient que du feu,if a director was subtle enough and clever enough they got around it,they were missing things if we were clever they only saw red,Mistranslation,0.47883576,0.75279963,-0.27396387
ne y voir que du feu,29,toi fais en sorte que papa et maman n'y voient que du feu,you just make sure mom and dad don't find out,you make sure that dad and mom see red,Literal Translation,0.7213448,0.7074481,0.013896704
ne y voir que du feu,30,9 orphelins sur 10 n'y voient que du feu,nine out of 1 0 orphans can't tell the difference,9 out of 10 orphaned children see fire in it,Literal Translation,0.71728706,0.8336289,-0.11634183
ne y voir que du feu,31,le coquin n'y verra que du feu hein l'ami,that little devil's going to not even feel the sting is he boy,"the cheeky fellow will see nothing but fire, eh my friend",Good Translation,0.52941245,0.84085304,-0.3114406
ne y voir que du feu,32,les gens comme toi n'y voient que du feu,look people like you you're not gonna see it coming,people like you see only fire,Mistranslation,0.71107376,0.94902515,-0.2379514
ne y voir que du feu,33,crois-moi batman n'y verra que du feu centrale d'énergie de gotham,and trust me batman's never gonna see it coming,"believe me, batman will see nothing central energy of gotham",Mistranslation,0.65332735,0.8380282,-0.18470085
ne y voir que du feu,34,si elle te voit elle n'y verra que du feu et te prendra pour un ami,put this on if she snoops in the corridor she won't notice and mistake you for a man,if she sees you she will only see fire and take you for a friend,Literal Translation,0.6195092,0.9576359,-0.33812666
ne y voir que du feu,35,vous économisez du bœuf et tout le monde n'y voit que du feu,it goes a lot farther and nobody can taste the difference,you're saving beef and everyone sees red,Literal Translation,0.5097081,0.7099966,-0.20028847
ne y voir que du feu,36,si tu verras il n'y verra que du feu,it's so obvious he'll be fooled,"if you see him, he will see only fire.",Mistranslation,0.5512362,0.8889583,-0.33772206
ne y voir que du feu,37,mettez une toge de vedek et on n'y verra que du feu,put on a vedek's robe there'd be no difference,put on a vedek robe and we'll see red,Mistranslation,0.62393135,0.6773168,-0.053385437
ne y voir que du feu,38,et tout le monde n'y voit que du feu jusqu'à ce qu'anna menace de tout raconter,and no one's the wiser unless anna threatens to tell,and everyone only sees red until Anna threatens to spill everything,Good Translation,0.73660237,0.81870115,-0.08209878
ne y voir que du feu,39,il n'y verra que du feu,he'll never know the difference,He will see only fire.,Literal Translation,0.55569977,0.9236666,-0.36796683
ne y voir que du feu,40,la pigmentation les différentes couleurs de sa peau on n'y voit que du feu,notice the life-like pigmentation the variation in skin tones,the pigmentation of different skin colors in them there is only fire,Mistranslation,0.68278044,0.8965169,-0.21373647
ne y voir que du feu,41,s'il explose vous n'y verrez que du feu,if it goes off you will never know what hit you,if it explodes you'll see nothing but fire,Good Translation,0.5864822,0.94836414,-0.3618819
ne y voir que du feu,42,- mais si quelqu'un l'a caché vous n'y verrez que du feu,-no you see if somebody else plants that shit there you ain't gonna see it--,- but if someone hid it you'll see red,Mistranslation,0.63113415,0.77643466,-0.14530051
ne y voir que du feu,43,avec les mêmes vêtements on n'y verra que du feu,put your wife in a ching dress in a coffin,with the same clothes on one will see nothing but fire,Literal Translation,0.48255655,0.9499439,-0.46738735
ne y voir que du feu,44,c'est une photocopie elle n'y verra que du feu,i made a copy of the original she'll never even know,it's a copy she won't see fire in it,Good Translation,0.5455603,0.7621982,-0.21663791
ne y voir que du feu,45,et on n'y verra que du feu,nobody will ever find a mark,and one will see only fire,Literal Translation,0.5076331,0.9504627,-0.4428296
ne y voir que du feu,46,descendez en caleçon on n'y verra que du feu,put your pants on nobody will know the difference,"translate to: take off your pants, you'll see something hot",Mistranslation,0.507956,0.59147835,-0.08352232
ne y voir que du feu,47,il s'attaquait à une pauvrette qui n'y voyait que du feu,he was gonna put the hurt on this poor girl who didn't know any better,He was attacking a poor girl who saw nothing but trouble.,Good Translation,0.6498362,0.83880514,-0.18896896
ne y voir que du feu,48,et toi tu n'y vois que du feu,but he has tricked you,and you see nothing but trouble,Mistranslation,0.54510045,0.7892847,-0.24418426
ne y voir que du feu,49,je n'y vois que du feu cliquetis,all i see are stars,I see only crackling and clattering.,Good Translation,0.69412327,0.77761424,-0.08349097
ne y voir que du feu,50,- je n'y vois que du feu,all i see are stars,I see only fire there,Good Translation,0.7192776,0.9350283,-0.2157507
ne y voir que du feu,51,ces gringos n'y voient que du feu,those gringos don't know a thing,these gringos see nothing but trouble,Good Translation,0.7447773,0.8601519,-0.115374565
ne y voir que du feu,52,il n'y voit que du feu,i got my hooks in the guy,He sees only fire.,Literal Translation,0.509117,0.9105467,-0.4014297
ne y voir que du feu,53,et sauf exception je n'y vois que du feu,unless there's visible wreckage i can't tell,and except for exception I see only fire,Literal Translation,0.69674444,0.941821,-0.24507654
ne y voir que du feu,54,tout le monde n'y verra que du feu,yep no one will ever see through that,everyone sees fire in it,Literal Translation,0.55984306,0.81772447,-0.2578814
ne y voir que du feu,55,- parce qu'en fin de compte on n'y verra que du feu,because at the end of the day no one's the wiser tom,because in the end we'll see no harm,Unnatural,0.55480844,0.660157,-0.10534859
ne y voir que du feu,56,elle n'y verra que du feu,she's won't notice anything,she will see it as fire,Mistranslation,0.6506643,0.8698678,-0.21920347
ne y voir que du feu,57,et il n'y verra que du feu,oh and hope he doesn't notice,and he will see only fire,Literal Translation,0.52131176,0.928496,-0.40718424
ne y voir que du feu,58,willy n'y verra que du feu,willy won't know the difference,Willy will see red.,Literal Translation,0.68975884,0.72087526,-0.031116426
ne y voir que du feu,59,la sécurité n'y verra que du feu,security won't see a thing that's all right,the security will see nothing,Unnatural,0.7378751,0.7532823,-0.015407205
ne y voir que du feu,60,l'ordinateur n'y verra que du feu et nous effectuerons le branchement,the computer shouldn't feel threatened but will be blinded while we make the change,the computer will see nothing and we will perform the connection,Partial Translation,0.67220104,0.7579044,-0.08570337
ne y voir que du feu,61,s'il est italien il n'y verra que du feu,if he's italianhe won't doubt us either,"if he is Italian, he will see red",Mistranslation,0.639229,0.79135394,-0.15212494
ne y voir que du feu,62,cette petite sotte n'y verra que du feu,that dumb little blonde will never know the difference,this little fool will see nothing but trouble,Partial Translation,0.5301378,0.7306029,-0.20046514
ne y voir que du feu,63,ça va aller c'est un spécialiste en encres il n'y verra que du feu,don't worry he's an ink specialist and suspects nothing,it's going to be okay he's an ink specialist he'll see through this easily,Unnatural,0.67639744,0.7868142,-0.11041677
ne y voir que du feu,64,vous n'y verrez que du feu - quoi,you'd never know the difference,you'll see red - what,Literal Translation,0.46609592,0.70944583,-0.24334991
ne y voir que du feu,65,le plus beau c'était qu'en haut la direction n'y voyait que du feu,and the best part was that upstairs the board of directors didn't know what the fuck was going on,"The most beautiful part was that up top, they couldn't see straight.",Literal Translation,0.58259344,0.7501509,-0.16755748
ne y voir que du feu,66,je t'attendrai ici pour te conduire à maseru la police n'y verra que du feu,i'll be here to drive you to maseru before the police know what's going on,I will wait for you here to take you to maseru and the police won't see anything suspicious,Good Translation,0.7901466,0.7768569,0.01328969
