idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
le doigt dans le nez,0,j'écris pas bises stephanie à quelqu'un qui a le doigt dans le nez tout le temps,i can't sign love stephanie to someone who has his finger in his nose all day,I'm not writing kisses to Stephanie to someone who has their finger in their nose all the time.,Good Translation,0.8113387,0.8514841,-0.040145397
le doigt dans le nez,1,pourquoi tu te mets autant les doigts dans le nez,why do you have to pick your nose so much,Why are you sticking your fingers up your nose so much?,Good Translation,0.75230217,0.87748754,-0.12518537
le doigt dans le nez,2,ils remonteront jusqu'à nous les doigts dans le nez,they will read this one with their eyes closed,They will come crawling back to us with their fingers up our noses.,Literal Translation,0.5827149,0.86215556,-0.27944064
le doigt dans le nez,3,c'est les doigts dans le nez mec,that's fish in a barrel dude,"It's your fingers in your nose, mate.",Literal Translation,0.5547312,0.8098593,-0.2551281
le doigt dans le nez,4,vous devriez voir comment will passe les exams les doigts dans le nez,yes sir you ought to see the way will breezes through these tests,You should see how he's going to pass his exams with his fingers up his nose.,Good Translation,0.73567283,0.825253,-0.08958018
le doigt dans le nez,5,je n'avais pas le doigt dans le nez,- but there was no pick i did not pick there was no pick,I wasn't sticking my finger in my nose.,Good Translation,0.58743393,0.87432474,-0.2868908
le doigt dans le nez,6,en gros ils se tiennent debout dans le hall avec les doigts dans le nez vous pigez,they're basically in charge of standing around the lobby with their dicks in their hands you know what i mean,basically they stand in the hall with their fingers up their nose you get it,Good Translation,0.6991222,0.8905386,-0.19141638
le doigt dans le nez,7,c'est gagné les doigts dans le nez,sure win,It's a foregone conclusion.,Good Translation,0.5528928,0.51591086,0.03698194
le doigt dans le nez,8,- les doigts dans le nez,just a walk in the park,- having one's fingers in one's nose,Literal Translation,0.46747962,0.8706753,-0.4031957
le doigt dans le nez,9,s'il est aussi gay qu'il le dit il réussira ce test les doigts dans le nez,certainly if he's as gay as he says he is then he'll pass any test with flying colors,"If he's as gay as he says he is, he'll pass this test with his fingers up his nose.",Good Translation,0.81107193,0.89785147,-0.086779535
le doigt dans le nez,10,oui les doigts dans le nez,with both hands tied behind my back,"Yes, fingers in one's nose",Literal Translation,0.5636857,0.86188906,-0.29820335
le doigt dans le nez,11,et les doigts dans le nez,he doesn't even have to try,and fingers in his nose,Literal Translation,0.401665,0.86669725,-0.46503225
le doigt dans le nez,12,- c'est super on peut facilement en tirer 600 pesos les doigts dans le nez,we can easily charge him 600,- That's great we can easily get $600 with our fingers up our nose,Good Translation,0.7185434,0.84256077,-0.12401736
le doigt dans le nez,13,dans l'eau je gagnais les doigts dans le nez,things would be different,in the water I would win fingers in the nose,Literal Translation,0.47098976,0.901254,-0.43026423
