idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
tomber dans le pomme,0,ma seule pause c'est quand elle retient son souffle et tombe dans les pommes,the only break i get is when she holds her breath and passes out,my only break is when she holds her breath and passes out,Good Translation,0.80635434,0.8070582,-0.00070387125
tomber dans le pomme,1,oh non non je tombe dans les pommes a la vue d'un vagin,oh no no i faint at the sight of vagina,oh no no I faint at the sight of a vagina,Unnatural,0.81190795,0.8165834,-0.004675448
tomber dans le pomme,2,junior a été envoyé à la clinique pour être tombé dans les pommes,junior got rushed to the clinic for passing out,Junior was sent to the clinic because he fainted.,Good Translation,0.76819205,0.75071156,0.017480493
tomber dans le pomme,3,- vous êtes tombée dans les pommes,-you fainted out in the quad,- you fell into a faint,Good Translation,0.6709164,0.75702393,-0.08610755
tomber dans le pomme,4,si demain vous faites du sport vous tombez dans les pommes avec ça,if you do sports tomorrow you'll still be fuzzy from this,if you faint from all that exercise you're doing tomorrow,Unnatural,0.7718902,0.74396926,0.027920961
tomber dans le pomme,5,on peut faire ça toute la nuit jusqu'à ce que l'autre tombe dans les pommes,now see we can do this here all night right on up until he pass out in there,We can do that all night until the other falls asleep,Partial Translation,0.7413759,0.82822025,-0.086844325
tomber dans le pomme,6,on dirait que vous allez tomber dans les pommes,you look like you're about to pass out,it seems like you're going to faint,Good Translation,0.67032623,0.7084233,-0.038097084
tomber dans le pomme,7,et puis vous tombez dans les pommes,then you pass out,and then you fall into apples,Literal Translation,0.7298136,0.8423718,-0.112558246
tomber dans le pomme,8,et paf j'ai percuté un réverbère et je suis tombé dans les pommes,and bam i hit this light pole and just knocked myself out,and boom I hit a street lamp and I passed out,Good Translation,0.6799781,0.70160997,-0.021631896
tomber dans le pomme,9,tu les as tous fait tomber dans les pommes,you had us all fooled,you knocked them all out,Good Translation,0.7225641,0.7894874,-0.06692332
tomber dans le pomme,10,les hommes tombent dans les pommes,i didn't faint i passed out,men faint,Partial Translation,0.47765738,0.70546895,-0.22781157
tomber dans le pomme,11,je suis tombé dans les pommes et j'ai heurté la chasse d'eau,my girlfriend stuck the needle through and i fainted and hit my chin on the toilet,I passed out and hit the toilet lid,Good Translation,0.5730446,0.6623371,-0.089292526
tomber dans le pomme,12,après ce sera deux autres toutes les cinq minutes jusqu'à ce qu'un de nous tombe dans les pommes,then two more after that every five minutes until one of us passes the fuck out,"after that, it will be two more every five minutes until one of us passes out",Unnatural,0.8526862,0.8554468,-0.0027605891
tomber dans le pomme,13,j'ai dû tomber dans les pommes,i must have blacked out,I had to faint,Good Translation,0.6738533,0.70368934,-0.029836059
