idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
coûter le œil de le tête,0,mais carthagène ça coûte les yeux de la tête,but i'll tell you cartagena is really expensive,but Carthage is expensive in the eyes of the head,Literal Translation,0.65549034,0.7844473,-0.12895697
coûter le œil de le tête,1,tu sais les deux enfants sont à st margaret maintenant et ça nous coûte les yeux de la tête,you know both kids are at st margaret's now and that costs an arm and a leg,You know the two kids are at St Margaret's now and it's costing us an arm and a leg.,Good Translation,0.86973643,0.83943164,0.03030479
coûter le œil de le tête,2,oui ça m'a coûté les yeux de la tête,yeah it cost me my last buck,"Yes, it cost me an arm and a leg.",Good Translation,0.73835987,0.74261916,-0.0042592883
coûter le œil de le tête,3,elles m'ont coûté les yeux de la tête,they cost me an arm and a leg,They cost me an arm and a leg.,Good Translation,0.75065786,0.7355391,0.015118778
coûter le œil de le tête,4,ça va leur coûter les yeux de la tête,i'm going to make them pay through the nose,it will cost them an arm and a leg,Good Translation,0.684651,0.8133319,-0.12868088
coûter le œil de le tête,5,ils m'ont coûté les yeux de la tête,they cost me an arm and a leg,They cost me an arm and a leg.,Good Translation,0.762447,0.74238825,0.020058751
coûter le œil de le tête,6,les réparations coûtent les yeux de la tête,these repairs were expensive,The repairs cost an arm and a leg.,Good Translation,0.80183804,0.78914523,0.012692809
coûter le œil de le tête,7,l'inscription a dû te coûter les yeux de la tête,how much money did you give them this time,Registration must have cost you an arm and a leg.,Good Translation,0.5182224,0.73862755,-0.22040516
coûter le œil de le tête,8,manger et boire coûtent les yeux de la tête par les temps qui courent,she eats she drinks that's expensive as hell nowadays,Eating and drinking cost an arm and a leg these days.,Good Translation,0.6512951,0.74146545,-0.090170324
coûter le œil de le tête,9,tout ça a dû te coûter les yeux de la tête,who knows how much it is going to cost you,All that must have cost you an arm and a leg.,Good Translation,0.540191,0.7674424,-0.22725141
coûter le œil de le tête,10,ça va me coûter les yeux de la tête,is it going to cost me an arm and a leg,It will cost me an arm and a leg.,Good Translation,0.7155744,0.7644852,-0.048910797
coûter le œil de le tête,11,ça me coûte les yeux de la tête,that costs me an arm and a leg,"it costs me an arm and a leg (literally ""costs me my head"")",Literal Translation,0.75161934,0.7468382,0.004781127
coûter le œil de le tête,12,- ça m'a coûté les yeux de la tête ce truc,- i spent my money on that,That cost me my head this thing.,Literal Translation,0.70850474,0.87669814,-0.1681934
coûter le œil de le tête,13,elles coûtent les yeux de la tête mais,i mean they're really-really expensive but,They cost an arm and a leg but,Good Translation,0.7319272,0.7828616,-0.050934374
coûter le œil de le tête,14,hou cet endroit a dû coûter les yeux de la tête,this place must have cost a pretty penny,This place must have cost an arm and a leg,Good Translation,0.7778722,0.7869118,-0.009039581
coûter le œil de le tête,15,ça coûte les yeux de la tête c'est vrai,-yeah it is really pricey,"it costs an arm and a leg, that's true",Good Translation,0.7154157,0.7928669,-0.07745117
coûter le œil de le tête,16,elle m'a coûté les yeux de la tête,it cost me an arm and a leg,she cost me an arm and a leg,Unnatural,0.68019915,0.7838409,-0.10364175
coûter le œil de le tête,17,c'est dépassé et ça coûte les yeux de la tête,it's outdated and expensive as shit,That's outdated and it's an eye-watering price.,Good Translation,0.74700785,0.75689965,-0.009891808
coûter le œil de le tête,18,ça m'a coûté les yeux de la tête,you have no idea how much money i've spent on dolls,It cost me an arm and a leg.,Good Translation,0.5263685,0.7257627,-0.19939423
coûter le œil de le tête,19,même si ça me coûte les yeux de la tête pour payer ses études je remercie dieu de pouvoir encore boire un coup,considering it costs me an arm and a leg to pay for his education i'm thankful i can afford to drink,Even though it costs me an arm and a leg to pay for his studies I thank God that I can still afford to buy him a drink.,Unnatural,0.8437997,0.8683022,-0.024502516
