idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
mettre son grain de sel,0,sans vouloir mettre mon grain de sel supposons que vous ayez raison et que drake soit un espion,i don't wanna get too wrapped up in your caper but let's assume that you're right and damian drake is a spy,let's assume you are right and that Drake is a spy.,Partial Translation,0.8352492,0.8349401,0.0003091097
mettre son grain de sel,1,peut-être que tu pourrais mettre ton grain de sel,maybe you could chip in,Maybe you could add your two cents,Good Translation,0.7581604,0.7668304,-0.008669972
mettre son grain de sel,2,si ton père était encore vivant et qu'il te voyait là assis à mes côtés il hésiterait pas à venir me voir pour mettre son grain de sel,if your father were alive and saw you here sitting with me let's say he'd have a word with me about this,"If your father were still alive and he saw you sitting here beside me, he wouldn't hesitate to come see me so that I could get his two cents.",Good Translation,0.784835,0.8073174,-0.022482395
mettre son grain de sel,3,c'est ça mets ton grain de sel,right the oracle has spoken,It's what you bring to it,Unnatural,0.45326775,0.6258074,-0.17253965
mettre son grain de sel,4,elle adore mettre son grain de sel,she always likes to stick her oar in,She loves to add her two cents.,Good Translation,0.7657336,0.7759002,-0.010166585
mettre son grain de sel,5,je mets mon grain de sel,i want to put my two cents in that,I'm throwing my two cents in.,Good Translation,0.5853254,0.59248567,-0.0071602464
mettre son grain de sel,6,ce n'est pas bon pour lui t'essaies de mettre ton grain de sel dans les affaires de mon bureau,and also ji heon's secretary can't you just change her a man being followed around by a female secretary will cause rumors that's not good right,That's not good for him you're trying to put your two cents in my office business,Good Translation,0.54020476,0.8318975,-0.29169273
mettre son grain de sel,7,tu veux mettre ton grain de sel,don't you want to put your 2â in,Do you want to add your two cents?,Good Translation,0.5956191,0.68493104,-0.08931196
mettre son grain de sel,8,quand j'essayais de capturer cette garce elle n'arrêtait pas d'y mettre son grain de sel,i didn't know what to do because she kept interfering,when I tried to catch this sassy woman she wouldn't stop throwing in her two cents,Good Translation,0.6185289,0.77986443,-0.16133553
mettre son grain de sel,9,je peux mettre mon grain de sel là où je devrais pas,do you mind if i stick my two cents worth in where it don't belong,I can put my two cents where I shouldn't.,Good Translation,0.67460966,0.7791504,-0.104540765
mettre son grain de sel,10,j'ai des problèmes avec margaret et maman met son grain de sel,i've got problems with margaret and mummy's been interfering,I have problems with Margaret and mum always has to stick her oar in.,Good Translation,0.8579251,0.70351857,0.15440655
mettre son grain de sel,11,après que tout le monde y mette son grain de sel,after a few people weighed in,after everyone has had their say,Good Translation,0.73379886,0.8327353,-0.09893644
mettre son grain de sel,12,- non je mettrai mon grain de sel,well not exactly i'll be around to heckle a bit,- no I will have my say,Good Translation,0.593758,0.63999903,-0.046241045
mettre son grain de sel,13,- je peux mettre mon grain de sel,guys can i just weigh in here really quickly,- I can put my two cents in,Good Translation,0.60510457,0.7632675,-0.15816295
mettre son grain de sel,14,car je savais que tu viendrais mettre ton grain de sel,i knew i didn't have to 'cause you were gonna butt in anyway,because I knew you would come to add your two cents,Good Translation,0.656738,0.7835282,-0.12679023
mettre son grain de sel,15,si tu veux mettre ton grain de sel être constructive n'hésite pas,anytime you want to chip in say something constructive do feel free,If you want to add your two cents be constructive don't hesitate,Good Translation,0.7435424,0.84015745,-0.096615076
mettre son grain de sel,16,il a assez mis son grain de sel quand on écrivait le discours,we got enough input from him while we were writing the thing,He added his own pinch of salt when we were writing the speech.,Good Translation,0.6821408,0.8112665,-0.12912565
mettre son grain de sel,17,j'ai pas pensé à ce que ça signifierait de me remettre avec alex et maintenant tout le monde là-bas veut mettre son grain de sel et,i guess i didn't really think about what it would mean to get back together with alex and now you know everyone in there is gonna want to put in their 2 cents and,I hadn't thought about what it would mean to get back together with Alex and now everyone over there wants to weigh in.,Good Translation,0.8903462,0.8763672,0.013979018
mettre son grain de sel,18,non pas que je veuille mettre mon grain de sel mais ce type de réseau peut mener à une mauvaise conclusion,i mean i'm not trying to horn in here um but a geographic network might also lead us to a false conclusion,Not that I want to put my two cents in but this kind of network can lead to a bad ending.,Good Translation,0.7769404,0.9018999,-0.12495947
mettre son grain de sel,19,un vieux soldat peut-il venir mettre son grain de sel ici,can an old soldier put his two cents worth in here,An old soldier can he come and sprinkle his salt here?,Unnatural,0.76508605,0.9040109,-0.13892484
mettre son grain de sel,20,tu as eu des ennuis avant de venir je sais que tu en as eu après aussi est-ce que j'ai mis mon grain de sel,you had a lot of problems before you came here and i know you had some problems after you got here but did i say anything to you about it,you had troubles before coming I know you had them after too did I do my part,Partial Translation,0.7553766,0.85030663,-0.09493005
mettre son grain de sel,21,- tu dois mettre ton grain de sel,- that's not true,- you have to put in your two cents,Good Translation,0.47120154,0.7513262,-0.28012466
mettre son grain de sel,22,et si j'y mettais mon grain de sel,what if i were to get involved,and if I were to put my two cents in,Good Translation,0.7035261,0.7816737,-0.07814765
mettre son grain de sel,23,pour mettre notre grain de sel et c'est ce qu'il faut faire,we're there to shake it up and that's what we've gotta do,to put our two cents in and that is what we need to do,Good Translation,0.68583405,0.76256686,-0.076732814
mettre son grain de sel,24,donc tu dois venir me voir quand tu veux mettre ton grain de sel,so you need to consult with me before you do anything like this,so you should come see me when you want to put in your two cents,Good Translation,0.6202302,0.7936268,-0.17339659
mettre son grain de sel,25,je vais y mettre mon grain de sel à moins que tu ne t'y opposes,i'm going to make everything more organized - unless you object,I'll put my two cents in unless you object to that.,Good Translation,0.68635285,0.7792389,-0.09288603
mettre son grain de sel,26,efraim tu mets ton grain de sel,efraim you want to weigh in here,"Efraïm, met donc une pincée de sel sur mon salut.",Mistranslation,0.67005527,0.7272123,-0.05715704
mettre son grain de sel,27,pourquoi j'ai fait ça franchement pourquoi j'ai mis mon grain de sel dans tout ça,you just don't have any friends to be with you knew what happened to me today there isn't much left you should be able to finish them by yourself,why I did that honestly why I put my two cents in all this,Good Translation,0.44296497,0.8652236,-0.42225862
