idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
être canon,0,tu es canon,you're the sexy one,You're a legend/ You're fantastic,Mistranslation,0.4844558,0.446769,0.037686795
être canon,1,et au fait toi aussi t'es canon,by the way i think you're hot too,And by the way you're pretty cool too.,Unnatural,0.680106,0.73242784,-0.05232185
être canon,2,soit parce qu'elle est canon soit parce que c'est la seule fille du groupe mais dans tous les cas je suis fou d'elle,i don't know whether it's 'cause she's hot or maybe it's 'cause she's the only girl around but either way i'm totally smitten,either because she is hot or it's the only girl in the group but anyway I'm crazy about her.,Good Translation,0.78003025,0.87658644,-0.09655619
être canon,3,elle est canon marrante cool c'est quasiment moi,she's hot she's funny she's cool she's practically me,"She's a cannon, she's crazy, cool, that's almost me.",Literal Translation,0.8383086,0.8035254,0.034783185
être canon,4,hilary swank est canon,hilary swank is hot,Hilary Swank is hot.,Good Translation,0.7473346,0.6883482,0.058986425
être canon,5,on est canons,we look hot,We are cannons,Literal Translation,0.5654671,0.7207299,-0.15526277
être canon,6,et elle était canon couverte d'huile,plus she looked good covered in oil,and she was a covered cannon with oil,Literal Translation,0.80704117,0.8953396,-0.08829844
être canon,7,elle était nue elle devait être canon,i don't know she was naked and naked chicks are hot,She was naked she had to be canonized,Mistranslation,0.6820764,0.84131485,-0.15923846
être canon,8,- elle est canon,- dude she's hot - yeah,-she is a real bombshell,Good Translation,0.61987907,0.693177,-0.07329792
être canon,9,bref tu es canon,well you're a hot girl,"you're stunning, by the way",Good Translation,0.49867433,0.5225883,-0.02391398
être canon,10,- elles peuvent être canons,no they can be babes,- they can be cannons,Mistranslation,0.675192,0.887485,-0.21229303
être canon,11,t'es canon,how sexy,"You're stunning, You're great, You look fantastic",Unnatural,0.4468963,0.44136974,0.0055265725
être canon,12,elle est canon,she's hot hermess is hot,She's a cannonball.,Literal Translation,0.61153316,0.68498147,-0.0734483
être canon,13,elle est canon et tu n'as personne d'autre,she's hot and you got no one else,She's got class and you haven't anyone else.,Partial Translation,0.815385,0.77208984,0.043295145
être canon,14,et tu es canon,and you're a hottie mmm,And you're a legend.,Mistranslation,0.54082257,0.56656826,-0.02574569
être canon,15,je t'aime et en plus tu es canon,and i love you and you're so hot,I love you and what's more you're gorgeous.,Good Translation,0.6904475,0.72093225,-0.030484736
être canon,16,christinith est canon,i mean that girl christinith was seriously hot,Christinity is dogma,Mistranslation,0.59445417,0.6206466,-0.026192427
être canon,17,mme gleffey est canon,mrs gleffey's a hottie,Mrs Gleffey is a canon.,Literal Translation,0.7441053,0.8628945,-0.118789196
être canon,18,t'es canon,you're too hot marc,You're a legend/ You're fantastic (informal),Mistranslation,0.47944403,0.41591713,0.0635269
être canon,19,je pense qu'elle est canon,it turned out damn nice,I think she's hot,Good Translation,0.61696744,0.7558023,-0.13883483
être canon,20,vous etes canon,you are unbelievably hot,You're gorgeous.,Good Translation,0.57346594,0.55794966,0.015516281
être canon,21,elle est canon pas vrai,isn't she gorgeous,"she is a babe, isn't she?",Good Translation,0.6498438,0.56110203,0.08874178
être canon,22,je me rappelle avoir pensé que c'est un mot étrange à utiliser mais tu l'as dit tu as dit qu'il était canon,i thought that's a weird word but you said it was pimp,I remember thinking it was a strange word to use but you said you did and you said it's cool.,Unnatural,0.73163366,0.7868508,-0.055217147
être canon,23,considère-moi comme yoda sauf qu'au lieu d'être petit et vert j'ai des costards et je suis canon,think of me as yoda only instead of being little and green i wear suits and i'm awesome,"Treat me as Yoda, but instead of being small and green I have waistcoats and am a canon.",Unnatural,0.79589736,0.89467084,-0.09877348
être canon,24,- parce qu'elle est canon,- because she's hot,because she is hot,Good Translation,0.78084534,0.7494167,0.031428635
être canon,25,votre femme est canon,your wife's smoking hot,Your wife is stunning!,Good Translation,0.7182566,0.7162367,0.0020198822
être canon,26,je pense que tu es canon,i think you're a knockout,I think you're lovely,Good Translation,0.7093564,0.68560237,0.02375406
être canon,27,picoler c'est canon,i love to get blotto,To drink beer is okay,Mistranslation,0.4116552,0.44480652,-0.03315133
être canon,28,elle était canon vraiment,ooh she was a skyscraper she was,She was really fit.,Mistranslation,0.68496275,0.73126245,-0.046299696
être canon,29,même s'il sait toujours lesquelles sont canon avant de poser ses sales petites pattes sur elles,although he always seems to know which ones are hot before he puts his grubby little mitts on them,Even though he knows which ones are cannons beforehand before putting his dirty little paws on them.,Literal Translation,0.7624567,0.8271101,-0.0646534
être canon,30,elles sont littéralement des millions à être canon,literally millions of them really really smoking hot,They are literally in the millions to be shot.,Mistranslation,0.7345898,0.8015517,-0.066961884
être canon,31,il est canon mais un tantinet,no no no no no he's very cute,he is a bit of a bore but rather charming,Mistranslation,0.59566724,0.6638905,-0.06822324
être canon,32,- mon père était canon,- my daddy was hot,- my father was a cannon,Literal Translation,0.7455773,0.86267716,-0.11709988
être canon,33,t'es canon,i find you hot,"You're a blast, You're great.",Mistranslation,0.5345162,0.44418472,0.090331495
être canon,34,t'es canon,you look hot,"You're great, You're amazing, You're fantastic, You're awesome. ( informal )",Mistranslation,0.5198683,0.39227515,0.12759316
être canon,35,elle est canon,she's really hot,She's a bomb,Good Translation,0.69506454,0.70091057,-0.0058460236
être canon,36,parce que t'es canon,because you're gorgeous,Because you're gorgeous,Good Translation,0.7428878,0.7359722,0.0069155693
être canon,37,il est canon,whoa he is hot,It's a cannon.,Hallucination,0.53792393,0.5942532,-0.05632925
être canon,38,mince elle est canon ta came,man this shit is awesome,You're really small but your body is amazing.,Mistranslation,0.48782933,0.53719497,-0.04936564
être canon,39,cette image est canon craig,that picture is gorgeous craig,"This picture is from the TV series ""Cannons of Craig""",Hallucination,0.80071115,0.7103276,0.09038353
être canon,40,j'ai pensé que t'étais canon la première fois,i did think you were pretty hot when i first saw you,I thought you were hot the first time I saw you.,Good Translation,0.74139076,0.74838907,-0.0069983006
être canon,41,elle bosse ici et elle est canon,she's working here now and she looks great,She works here and she's a stunner/real beauty.,Good Translation,0.75801253,0.7603555,-0.0023429394
être canon,42,oui il est canon,yeah he's cute,yes it's a cannon,Mistranslation,0.6848748,0.78746575,-0.10259098
être canon,43,vous êtes canon dans cette tenue,you look hot in that power suit,You look great in that outfit!,Good Translation,0.746244,0.82494915,-0.07870513
être canon,44,il est canon,isn't he hot,It's a hit.,Mistranslation,0.54254186,0.47262782,0.06991404
être canon,45,la nana est canon aussi,and i mean the girl's hot too,The chick is nice too,Good Translation,0.61378086,0.64160115,-0.02782029
être canon,46,- ouais il est canon,yeah he's hot,- yeah he is great,Unnatural,0.65612626,0.640154,0.015972257
être canon,47,ouais il est canon,wow yeah he's hot,Yeah he's awesome,Unnatural,0.6348993,0.63667816,-0.001778841
être canon,48,- il est canon,- he's so fine,It's a canon,Mistranslation,0.63794947,0.8725922,-0.23464274
être canon,49,- il est canon - je sais,- he's gorgeous,- it's a cannon - I know,Literal Translation,0.62256765,0.82916534,-0.20659769
être canon,50,t'as remarqué comme elle est canon,have you noticed how hot she is,you've noticed how hot she is,Good Translation,0.77088875,0.79087013,-0.019981384
être canon,51,je dois coucher avec deux femmes différentes en un jour l'une d'elle est canon,i have to have sex with two different women in one day one of whom is smoking hot,"I have to sleep with two different women in one day, one of them is a model.",Partial Translation,0.806991,0.8164537,-0.009462714
être canon,52,- tu es canon,- you're super pretty,- you're a bomb (informal),Good Translation,0.5663784,0.5435784,0.022800028
être canon,53,la vache sergent elle est canon votre fiancée,damn sarge your fiancée is hot,The cow is a sergeant she's a cannonball your girlfriend,Literal Translation,0.6532078,0.7640406,-0.11083281
être canon,54,et tu es canon et décalé et différent,and you're beautiful and quirky and different,and you are cool and offbeat and different,Good Translation,0.7372942,0.75584435,-0.018550158
