idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
ce ne être pas son oignon,0,donc ce n'est pas tes oignons ok,that mean it's none of your business right,so it's not your business okay,Good Translation,0.66379666,0.7636226,-0.09982592
ce ne être pas son oignon,1,ce ne sont pas mes oignons bien sûr mais maintenant que victor en a un,it's not my business of course but now that victor has one--,"those aren't my onions, of course, but now that Victor has one",Literal Translation,0.8481355,0.89493823,-0.04680276
ce ne être pas son oignon,2,- ce n'est pas mes oignons,- none of my business,- it's not my business,Good Translation,0.6910696,0.7592599,-0.06819028
ce ne être pas son oignon,3,en plus ce n'est pas nos oignons,plus this is really none of our business,"in addition, it's not our business",Good Translation,0.7348696,0.7817119,-0.046842277
ce ne être pas son oignon,4,- ce n'est pas tes oignons,- nothing don't look at it,- it's not your business,Good Translation,0.5624619,0.7439774,-0.18151551
ce ne être pas son oignon,5,mais ce n'est pas vos oignons,but you don't have to think about that,but that's not your business,Good Translation,0.55217814,0.77432644,-0.2221483
ce ne être pas son oignon,6,ce n'est pas mes oignons mais je peux vous appeler un docteur,hey uh look mister it ain't none of my business but we got a pretty good doctor down the street there - you want me to call him,it's not my business but I can call you doctor,Partial Translation,0.71983343,0.84994763,-0.1301142
ce ne être pas son oignon,7,- c'était une professionnelle - ce ne sont pas mes oignons,this girl was a professional,- it was a professional matter - it's not my business,Partial Translation,0.6745893,0.8354574,-0.16086811
ce ne être pas son oignon,8,mais qu'il sache s'en servir ce n'est pas mes oignons,but whether he knows how to make use of it is not my concern,but whether he knows how to use it is not my business,Good Translation,0.7432301,0.77015704,-0.026926935
ce ne être pas son oignon,9,ce qu'il gagne ce ne sont pas tes oignons,what he earns is none of your business,What he earns isn't your business.,Unnatural,0.7386714,0.74730986,-0.008638442
ce ne être pas son oignon,10,- ce ne sont pas mes oignons,well if you did it's none of my business,- these aren't my onions,Literal Translation,0.57734895,0.89964914,-0.3223002
ce ne être pas son oignon,11,et ça non plus ce n'est pas tes oignons,and this isn't any of your business either,and that's not your business either,Unnatural,0.74651366,0.76425207,-0.017738402
ce ne être pas son oignon,12,ce ne sont pas vos oignons,that's none of your business,it's none of your business,Good Translation,0.67505944,0.64343476,0.031624675
ce ne être pas son oignon,13,ce ne sont pas mes oignons mais n'êtes-vous pas le meurtrier alors,i know it's none of my business but doesn't that mean you're the murderer,these aren't my business but aren't you the murderer though,Good Translation,0.74079704,0.819491,-0.078693986
ce ne être pas son oignon,14,ce n'était pas mes oignons,it really wasn't my business,it wasn't my business,Unnatural,0.73199564,0.7677232,-0.03572756
ce ne être pas son oignon,15,ce ne sont pas tes oignons mais je vais me remettre à écrire,and not that it's any of your business but i will get back to my writing,it's not your business but I'll get back to writing,Good Translation,0.8482115,0.86086386,-0.012652338
ce ne être pas son oignon,16,je m'en fiche ce n'est pas mes oignons,the truth is that i don't really care,I don't give a damn that's not my business,Good Translation,0.63801897,0.70613813,-0.06811917
ce ne être pas son oignon,17,de toute façon ce ne sont pas tes oignons,whatever happened between us is our business not yours,"anyway, that's not your business",Good Translation,0.5826956,0.7564317,-0.1737361
ce ne être pas son oignon,18,mais ce ne sont pas vos oignons,it's none of your business,but those aren't your onions,Literal Translation,0.63664544,0.88347805,-0.24683261
ce ne être pas son oignon,19,ce ne sont pas ses oignons,he doesn't have to tell her,it's not his business,Good Translation,0.46363112,0.7076305,-0.24399939
ce ne être pas son oignon,20,ce n'est pas vos oignons,it's none of your business,it's none of your business,Good Translation,0.6876193,0.68761945,-1.1920929e-07
ce ne être pas son oignon,21,ce ne sont pas mes oignons mais,look you can tell me to mind my own business okay freddie,they are not my business but,Literal Translation,0.5012392,0.78598034,-0.28474116
ce ne être pas son oignon,22,ce n'est pas tes oignons,it's none of your business,it's none of your business,Good Translation,0.65662515,0.6566253,-1.1920929e-07
ce ne être pas son oignon,23,parce que ce ne sont pas tes oignons kate,that's because it's none of your business kate,"because those aren't your business, Kate",Good Translation,0.7965063,0.82975036,-0.033244073
ce ne être pas son oignon,24,jane ce n'est pas mes oignons,oh jane it's none of my beeswax so,jane it's not my business,Good Translation,0.74469453,0.7959006,-0.051206052
ce ne être pas son oignon,25,parce que ce n'est pas tes oignons,because it's none of your business,because it's not your business,Unnatural,0.7506639,0.7919731,-0.041309237
ce ne être pas son oignon,26,ne compte pas sur moi pour intervenir ce ne sont pas mes oignons,n-no no i will not intervene and you're just gonna have to live with it,don't count on me to intervene that's not my business,Good Translation,0.6277486,0.82401776,-0.19626915
ce ne être pas son oignon,27,richard ce n'est pas mes oignons mais sois prudent,richard it's none of my business but be safe,richard this isn't my business but be careful,Good Translation,0.7619982,0.87106895,-0.10907078
ce ne être pas son oignon,28,- ce ne sont pas vos oignons,none of your damn business,- it's none of your business,Good Translation,0.61210907,0.6842445,-0.07213545
ce ne être pas son oignon,29,- ce ne sont pas tes oignons,- that is none of your business,- these are not your onions,Unnatural,0.7200409,0.86121005,-0.14116913
ce ne être pas son oignon,30,ce n'est pas mes oignons,none of my business,it's not my business,Good Translation,0.6471708,0.72643054,-0.07925975
ce ne être pas son oignon,31,j'en conclus à ta réponse laconique que ce ne sont pas mes oignons,i take it by that limited response you don't think it's any of my business,I conclude from your concise reply that these are not my business.,Good Translation,0.6862394,0.77490205,-0.088662624
ce ne être pas son oignon,32,ce n'est pas vos oignons monsieur,it's none of your concern sir,"it's not your business, sir",Good Translation,0.6716813,0.7749569,-0.1032756
ce ne être pas son oignon,33,qui plus est sauf votre respect maurice ce ne sont pas vos oignons,and furthermore not meaning any disrespect maurice but it's none of your business,"furthermore, except for your respect Maurice, these are not your business",Good Translation,0.75708103,0.78091633,-0.023835301
ce ne être pas son oignon,34,ce n'est pas mes oignons c'est ça,it's none of my business right,that's none of my business,Partial Translation,0.64144117,0.6844801,-0.043038905
ce ne être pas son oignon,35,ce ne sont pas mes oignons mais abstenez-vous moi je l'ai fait,it's none of my business but don't do that i did,those aren't my business but abstain from me I've done it,Partial Translation,0.7110171,0.813012,-0.10199493
ce ne être pas son oignon,36,ce ne sont pas mes oignons mais je sais que vous,it's none of my business but i know you're not,those aren't my onions but I know you,Literal Translation,0.7547767,0.89518166,-0.14040494
ce ne être pas son oignon,37,ne vous mêlez pas de ça ce n'est pas vos oignons,don't worry about wrinkles on my ass and worry about yours,"don't get involved in this, it's not your business",Literal Translation,0.5952399,0.7632525,-0.16801262
ce ne être pas son oignon,38,ce n'est pas nos oignons phyllis,it's nobody's business phyllis,"it's not our business, Phyllis",Good Translation,0.5927362,0.7284181,-0.13568193
ce ne être pas son oignon,39,ce n'est pas mes oignons je n'ai rien à faire ici,i shouldn't be here,it's none of my business I have nothing to do here,Good Translation,0.69547033,0.7880659,-0.09259558
ce ne être pas son oignon,40,ce n'est pas ses oignons,that is none of her business,it's not his business,Good Translation,0.66311204,0.74533355,-0.08222151
ce ne être pas son oignon,41,ce n'est pas nos oignons,maybe it ain't none of our business,it's none of our business,Good Translation,0.7028754,0.7099355,-0.0070601106
ce ne être pas son oignon,42,même si ce ne sont pas mes oignons je vous demande ça en tant que père,listen this is none of my business but as a father of two little girls i have to ask what made you turn to porn,"even if it's not my business, I'm asking this as a father",Good Translation,0.6578829,0.84516567,-0.18728274
ce ne être pas son oignon,43,ecoutez peu importe les sentiments que vous avez eus du vivant de votre ami ce n'est pas mes oignons,sir whatever you gentlemen felt for each other when your friend was still alive is certainly none of my affair,"listen, regardless of how your friend made you feel when they were alive, that's not my business.",Good Translation,0.755517,0.78962684,-0.03410983
ce ne être pas son oignon,44,ce ne sont pas vos oignons april,i don't think that's any of your business april,it's none of your business April,Good Translation,0.7842649,0.7475389,0.036725998
ce ne être pas son oignon,45,je ne l'ai pas fait mais même si je l'avais fait ce ne sont pas tes oignons,i didn't but even if i did it's none of your business,"I didn't do it but even if I had done it, it's not your business.",Good Translation,0.78058803,0.80376965,-0.023181617
ce ne être pas son oignon,46,je sais que ce ne sont pas mes oignons et tu es libre de croire en dieu mais le fait est qu'il faut accepter la situation quoi qu'il arrive,i know it's not my business and feel free to believe in god but the thing is you've got to make it okay somehow no matter what happens,I know that's not my business and you are free to believe in God but the fact is that you have to accept the situation whatever happens,Good Translation,0.8007822,0.88507885,-0.084296644
ce ne être pas son oignon,47,très bien ce ne sont pas mes oignons,okay that's none of my business,very well those are not my business,Good Translation,0.6854184,0.7652432,-0.079824746
ce ne être pas son oignon,48,ce n'est pas vos oignons,that's not your concern,it's none of your business,Good Translation,0.72631156,0.68761945,0.038692117
ce ne être pas son oignon,49,c'est notre premier rendez-vous et ce n'est pas tes oignons,this is our first date and that's none of your business,it's our first date and it's not your business,Good Translation,0.82197016,0.8579838,-0.036013663
ce ne être pas son oignon,50,ce ne sont pas tes oignons,stay out of it,it's none of your business,Good Translation,0.53086126,0.63721746,-0.1063562
ce ne être pas son oignon,51,ce n'est pas vos oignons jeune homme,that young man is none of your business,"it's not your business, young man",Good Translation,0.7250831,0.77573586,-0.050652742
ce ne être pas son oignon,52,tu sais ce n'est pas mes oignons mais tu devrais t'occuper de ton fils,you know belinda uh it ain't none of my business but you got a really nice kid,"You know, it's not my business, but you should take care of your son.",Good Translation,0.6432472,0.8650722,-0.221825
ce ne être pas son oignon,53,ce ne sont pas vos oignons,none of your goddamn business,it's none of your business,Good Translation,0.59108865,0.643435,-0.05234635
ce ne être pas son oignon,54,ce ne sont pas mes oignons,this is none of my affair,it's none of my business,Good Translation,0.6920862,0.6454798,0.04660642
ce ne être pas son oignon,55,- ce ne sont pas tes oignons,- it's none of your business,- those are not your onions,Partial Translation,0.6807641,0.88036454,-0.19960046
ce ne être pas son oignon,56,enfin bon ce ne sont pas mes oignons,well i don't mind,finally good these are not my onions,Literal Translation,0.6182213,0.8894788,-0.27125752
