idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
tomber dans le pomme,0,ma seule pause c'est quand elle retient son souffle et tombe dans les pommes,the only break i get is when she holds her breath and passes out,My only break is when she holds her breath and collapses on the apples.,Literal Translation,0.80635434,0.84227455,-0.035920203
tomber dans le pomme,1,oh non non je tombe dans les pommes a la vue d'un vagin,oh no no i faint at the sight of vagina,oh no no I fainted at the sight of a vagina,Good Translation,0.81190795,0.8097867,0.0021212697
tomber dans le pomme,2,junior a été envoyé à la clinique pour être tombé dans les pommes,junior got rushed to the clinic for passing out,the junior was sent to the clinic after having fainted.,Good Translation,0.76819205,0.77236503,-0.004172981
tomber dans le pomme,3,- vous êtes tombée dans les pommes,-you fainted out in the quad,- you fell off the apples,Literal Translation,0.6709164,0.80403876,-0.13312238
tomber dans le pomme,4,si demain vous faites du sport vous tombez dans les pommes avec ça,if you do sports tomorrow you'll still be fuzzy from this,"If you do sports tomorrow, then you'll fall in love with that thing.",Mistranslation,0.7718902,0.7711607,0.00072950125
tomber dans le pomme,5,on peut faire ça toute la nuit jusqu'à ce que l'autre tombe dans les pommes,now see we can do this here all night right on up until he pass out in there,We can do this all night until the other passes out.,Good Translation,0.7413759,0.818416,-0.077040076
tomber dans le pomme,6,on dirait que vous allez tomber dans les pommes,you look like you're about to pass out,You would think that you're going to faint.,Good Translation,0.67032623,0.72990596,-0.05957973
tomber dans le pomme,7,et puis vous tombez dans les pommes,then you pass out,"And then you fall into an apple (idiomatic expression equivalent to ""and then you pass out"")",Good Translation,0.7298136,0.72124386,0.008569717
tomber dans le pomme,8,et paf j'ai percuté un réverbère et je suis tombé dans les pommes,and bam i hit this light pole and just knocked myself out,and bang I hit a streetlamp and fell on my face.,Partial Translation,0.6799781,0.6667348,0.013243258
tomber dans le pomme,9,tu les as tous fait tomber dans les pommes,you had us all fooled,You've managed to get them all to crack under pressure.,Mistranslation,0.7225641,0.73008806,-0.007523954
tomber dans le pomme,10,les hommes tombent dans les pommes,i didn't faint i passed out,men fall into the apples,Literal Translation,0.47765738,0.85728854,-0.37963116
tomber dans le pomme,11,je suis tombé dans les pommes et j'ai heurté la chasse d'eau,my girlfriend stuck the needle through and i fainted and hit my chin on the toilet,I fell asleep and hit my head against the toilet.,Mistranslation,0.5730446,0.6406205,-0.06757593
tomber dans le pomme,12,après ce sera deux autres toutes les cinq minutes jusqu'à ce qu'un de nous tombe dans les pommes,then two more after that every five minutes until one of us passes the fuck out,after that it'll be every five minutes two more until one of us drops like an apple,Unnatural,0.8526862,0.8774785,-0.024792254
tomber dans le pomme,13,j'ai dû tomber dans les pommes,i must have blacked out,I had to pass out.,Good Translation,0.6738533,0.718853,-0.04499972
tomber dans le pomme,14,un jour son horrible voisine karen mccluskey tombe dans les pommes et meurt,one day her nasty neighbor karen mccluskey would keel over and die,One day her horrible neighbor Karen McCluskey falls down and dies.,Good Translation,0.8283756,0.839494,-0.011118412
tomber dans le pomme,15,il traverse le fleuve et son cheval tombe dans les pommes,he gets across the river and his horse faints on him,It crosses the river and his horse falls into the apples.,Literal Translation,0.76866984,0.79117274,-0.0225029
tomber dans le pomme,16,je suis tombée dans les pommes,when i woke up the nurse said to me,I fainted.,Good Translation,0.52232766,0.6380063,-0.11567867
tomber dans le pomme,17,alors je tombe dans les pommes tu vois,know what i mean so i faint now,then I fall over you see,Literal Translation,0.6308044,0.77772254,-0.14691812
tomber dans le pomme,18,d'abord vous êtes tombé dans les pommes,well for starters you're a one-hitter quitter,At first you fell into apples.,Literal Translation,0.63396215,0.78492117,-0.15095901
tomber dans le pomme,19,tu es tombé dans les pommes,did you lose consciousness,You fell asleep or You fainted from dizziness (literally: you fell into apples),Literal Translation,0.6095186,0.63180065,-0.022282064
tomber dans le pomme,20,je pense que je vais tomber dans les pommes,i think i'm gonna pass out,I think I'm going to faint.,Good Translation,0.7859322,0.7458931,0.040039062
tomber dans le pomme,21,tu vas encore tomber dans les pommes,sue you're gonna pass out again,You're still going to fall on your face.,Unnatural,0.7150311,0.7159392,-0.00090813637
tomber dans le pomme,22,je suis pas loin de tomber dans les pommes,i could pass out right now,I'm not far from fainting.,Good Translation,0.6580528,0.7233001,-0.0652473
tomber dans le pomme,23,elle était blessée et elle est tombée dans les pommes,she was injured and she passed out,She was injured and she fainted.,Good Translation,0.7958155,0.75189555,0.04391998
tomber dans le pomme,24,- il est tombé dans les pommes,- his buddies said he just passed out,- He fell off his bike.,Mistranslation,0.6608139,0.71294093,-0.052127004
