idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
faire le gras matinée,0,écoute fais la grasse matinée,well you better sleep late this morning,listen enjoy your late morning,Unnatural,0.6101532,0.7637191,-0.15356588
faire le gras matinée,1,eh bien si c'est uniquement celà tu peus faire la grasse matinée demain,well if that's all it is you can sleep late tomorrow,well if that's all you can sleep in tomorrow,Unnatural,0.7909027,0.7992561,-0.008353412
faire le gras matinée,2,j'ai commencé à faire la grasse matinée les dimanches matins,i started sleeping in on sunday mornings,I started sleeping in on Sunday mornings.,Good Translation,0.81232,0.81085026,0.0014697313
faire le gras matinée,3,elle va à la bibliothèque et lui fait la grasse matinée,she goes to the library and he sleeps late,She goes to the library and lets him sleep in.,Good Translation,0.7543268,0.73646164,0.017865181
faire le gras matinée,4,on pourrait faire la grasse matinée bercés par les vagues sur le yacht où je loge,we can sleep as late as we want nothing to bother us just the waves lapping against theyacht where i live,"We could lie in bed late, rocked by the waves on the yacht where I stay.",Good Translation,0.7236733,0.8381312,-0.114457905
faire le gras matinée,5,j'aime faire la grasse matinée jusqu'à 6 heures,i got a habit of sleeping late often right up to 6,I like to sleep in until 6 o'clock.,Good Translation,0.72427213,0.8208741,-0.09660196
faire le gras matinée,6,je me suis dit que j'allais faire la grasse matinée demain,yeah actually i thought i'd sleep in tomorrow,I thought I would sleep in tomorrow morning.,Good Translation,0.76993805,0.79013216,-0.020194113
faire le gras matinée,7,demain je vais faire la grasse matinée,i'm gonna sleep in late tomorrow,Tomorrow I'm going to sleep in.,Good Translation,0.7703563,0.7515824,0.018773913
faire le gras matinée,8,en plus j'ai envie de faire la grasse matinée avec toi,besides i want to sleep in with you in the morning,"in addition, I feel like sleeping in with you",Good Translation,0.8337443,0.77562016,0.058124125
faire le gras matinée,9,on peut enfin faire la grasse matinée,we can sleep as late as we want to,we can finally sleep in,Good Translation,0.6141845,0.71783936,-0.10365486
faire le gras matinée,10,je vais apprendre à me détendre à faire la grasse matinée,yep i'm going to relax and sleep late,I will learn to relax and sleep in.,Good Translation,0.73572874,0.8320492,-0.09632045
