idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
passer le arme à gauche,0,j'attends qu'il passe l'arme à gauche,i'm waiting him out,I wait for him to pass away,Unnatural,0.7342355,0.7342957,-6.020069e-05
passer le arme à gauche,1,de quoi il héritera quand ses parents passeront l'arme à gauche,what's he gonna inherit when his parents croak,of what he will inherit when his parents pass away,Good Translation,0.73576057,0.77527183,-0.039511263
passer le arme à gauche,2,ils attendent tous qu'il passe l'arme à gauche,of course they're all waiting for him to drop dead you know,They all wait for him to pass away.,Good Translation,0.71127784,0.723397,-0.012119174
passer le arme à gauche,3,l'antenne est dans quatre minutes qui conduira le navire quand j'aurai passé l'arme à gauche,who's going to run the whole show when my carburetor conks out,the antenna is in four minutes that will steer the ship when I am no longer around,Good Translation,0.5342196,0.8262881,-0.29206848
passer le arme à gauche,4,beaucoup de gens ont passé l'arme à gauche à l'époque-- mais pas tous,a lot of people got off the boat in those days but not everybody,many people have fallen by the wayside at that time--but not all of them,Good Translation,0.70416605,0.7323811,-0.02821505
passer le arme à gauche,5,en louisiane quand quelqu'un passe l'arme à gauche il font un plat de gumbo si gros qu'ils en mangent toute l'année,you understand we're just holding you on the outstanding warrant you got from pennsylvania,"In Louisiana, when someone passes away, they make a big gumbo dish that lasts them all year.",Mistranslation,0.38328403,0.75222886,-0.36894482
passer le arme à gauche,6,il y a cent cinquante mille façons de passer l'arme à gauche,there are a hundred and fifty thousand different ways we could kick the bucket,there are one hundred and fifty thousand ways to pass the buck,Literal Translation,0.6632709,0.7359915,-0.07272059
passer le arme à gauche,7,il passe l'arme à gauche,he's goin' south,he passes the buck,Good Translation,0.6841121,0.73992735,-0.05581528
passer le arme à gauche,8,mon père a passé l'arme à gauche et ma mère s'est remariée,my dad passed away and my mom got married again and as long as i could remember,My father has passed away and my mother remarried.,Good Translation,0.7308862,0.80029887,-0.06941265
passer le arme à gauche,9,elle a passé l'arme à gauche,she passed away,she has passed to the left arm,Literal Translation,0.64443254,0.91422164,-0.2697891
passer le arme à gauche,10,il a passé l'arme à gauche deux ans après buck,he passed away two years after buck,He passed away two years after Buck.,Good Translation,0.6981853,0.67753947,0.020645857
passer le arme à gauche,11,un type normal aurait passé l'arme à gauche et serait mort,i mean any normal man would have just turned up his toes and died,a normal person would have passed away and died,Good Translation,0.76149386,0.81333506,-0.0518412
passer le arme à gauche,12,je veux que chacun d'entre nous puisse passer l'arme à gauche avec le sourire aux lèvres,may each of us live his life the way that when his final hour comes only he would smile,I want each one of us to pass away with a smile on our face.,Good Translation,0.6360562,0.80351686,-0.16746068
passer le arme à gauche,13,si vous regardez ce film c'est que j'ai passé l'arme à gauche,if you are watching this then i have croaked,"if you're watching this film, that means I'm no longer around.",Good Translation,0.62957436,0.653703,-0.024128616
passer le arme à gauche,14,- je vais passer l'arme à gauche,i'm about to keel over,- I am going to pass away,Good Translation,0.6250747,0.7542938,-0.12921911
passer le arme à gauche,15,je croyais qu'il avait passé l'arme á gauche,but i thought he was long gone,I thought he had passed away,Literal Translation,0.66313493,0.71091986,-0.047784925
passer le arme à gauche,16,qui prendra soin d'elle quand tu auras passé l'arme à gauche,who's gonna take care of her when something happens to you,who will take care of her when you are no longer with us,Good Translation,0.7432692,0.6954224,0.047846794
passer le arme à gauche,17,il est sur le point de passer l'arme à gauche il a les yeux entrouverts et dit,he was dying and then he said,he is about to pass away; he has half-open eyes and says,Good Translation,0.6494174,0.7775316,-0.12811422
passer le arme à gauche,18,et puis ils vont bientôt passer l'arme à gauche non,and besides they'll probably be dead soon right,and then they are going to soon pass away non,Mistranslation,0.70909405,0.7776785,-0.06858444
passer le arme à gauche,19,si manuel passe l'arme à gauche elvis reprend le prochain avion,if manuel goes belly up elvis is on the next plane home,"if manual passes the torch to elvis, elvis catches the next flight",Good Translation,0.7502086,0.8281125,-0.07790387
passer le arme à gauche,20,décidé de passer l'arme à gauche,decided to check out early,decided to pass the buck,Mistranslation,0.5863488,0.73444533,-0.14809656
passer le arme à gauche,21,les affaires ne sont plus ce qu'elles étaient depuis que sophie deveraux a passé l'arme à gauche,business is not what is used to be since sophie deveraux kicked the bucket,business is not what it used to be since Sophie Deveraux passed away,Good Translation,0.79441464,0.7628554,0.03155923
passer le arme à gauche,22,mon père vient de passer l'arme à gauche,my dad just passed on and,my father has passed away,Good Translation,0.7587495,0.73483,0.023919463
passer le arme à gauche,23,vous avez enfin passé l'arme à gauche,are you finally dead old man,you have finally met your maker,Good Translation,0.6020855,0.67778164,-0.07569617
passer le arme à gauche,24,parce que sa mère a passé l'arme à gauche et elle l'a complètement ignoré,because his mother croaked and she completely ignored him,because his mother had passed away and she completely ignored him,Good Translation,0.7419615,0.77849424,-0.03653276
passer le arme à gauche,25,j'aurais passé l'arme à gauche pour elle,i would've gone the extra mile for her,I would have passed away for her,Literal Translation,0.7353892,0.76376116,-0.02837199
