idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
tourner le page,0,c'est la faute à personne terminé tourne la page j'en ai marre,move on because frankly i'm sick of hearing about it,it's nobody's fault finished turn the page I'm fed up,Literal Translation,0.64912176,0.85764915,-0.20852739
tourner le page,1,ma cliente est prête à tourner la page,my client is ready to put this behind her,my client is ready to turn the page,Good Translation,0.8545133,0.94081545,-0.08630216
tourner le page,2,non tournons la page,now it's just time to let go,let's not turn the page,Good Translation,0.49855435,0.92254424,-0.4239899
tourner le page,3,ils se féliciteront et tourneront la page,they'll pat themselves on the back and they'll forget about it,They will celebrate and turn the page.,Good Translation,0.7075001,0.92105895,-0.21355885
tourner le page,4,tu dois tourner la page comment ça,you have to let it go,you have to turn the page how do you,Partial Translation,0.5545051,0.88266695,-0.32816184
tourner le page,5,- tourne la page,- get over it,turn the page,Literal Translation,0.60334694,0.8468439,-0.24349695
tourner le page,6,laisse une chance à terri de tourner la page,you have to let terri move on with her life,give terri a chance to turn the page,Good Translation,0.70115817,0.89161366,-0.1904555
tourner le page,7,- si on tournait la page,- let's turn the page,- if we turned the page,Good Translation,0.78918624,0.8498674,-0.060681164
tourner le page,8,mais si tu es vraiment désolée lui dire en face ça lui fera tourner la page,but if you really are sorry then telling her face-to-face it'll give her closure,but if you're really sorry telling him to his eyes will make him turn the page,Mistranslation,0.87555295,0.9170868,-0.041533828
tourner le page,9,tu as l'air d'avoir tourné la page,you seemed to have moved on okay,you seem to have turned the page,Good Translation,0.74323773,0.94426274,-0.20102501
tourner le page,10,le fait est que ça m'a fait du mal mais j'ai tourné la page,point is i grieved and i moved on,The fact is that it hurt me but I turned the page.,Good Translation,0.6738018,0.9459933,-0.27219152
tourner le page,11,tourner la page je suppose,closure i guess,to turn the page I suppose,Good Translation,0.5846572,0.7893974,-0.20474023
tourner le page,12,il tourne la page et il ne noie pas son chagrin dans les jeux vidéo,this means he's moving on with his life and he's not wallowing in self-pity and playing video games,He turns the page and does not drown his sorrow in video games.,Good Translation,0.7532345,0.92494464,-0.17171013
tourner le page,13,impossible de tourner la page,there is no moving on,impossible to turn the page,Good Translation,0.6282184,0.9366739,-0.30845547
tourner le page,14,veuillez l'excuser sa femme l'a quitté on dirait qu'il a tourné la page,you'll have to forgive him his wife's just dumped him just like another one,"please excuse him, his wife left him and it seems he's moved on",Good Translation,0.71479,0.86398536,-0.14919537
tourner le page,15,quand mer a appelé elle a dit que tu tournais la page,when mer called she said you were moving on,when Mar called she said that you were turning the page,Good Translation,0.78894717,0.87685233,-0.08790517
tourner le page,16,tournons la page et dansons,oh it's been an awfully long time,turn the page and dance,Literal Translation,0.47004277,0.90785533,-0.43781257
tourner le page,17,bon ok continuer de tourner les pages,all right keep flipping pages,bon ok continue flipping the pages,Good Translation,0.83263224,0.8618711,-0.02923888
tourner le page,18,j'ai pas tourné la page je t'en ai voulu,and i didn't move on dad i blamed you,I didn't turn the page and I held a grudge against you.,Good Translation,0.5675865,0.7291489,-0.16156244
tourner le page,19,pour tourner la page en douceur,so we can move on gracefully,to gently turn the page,Good Translation,0.64519095,0.9092766,-0.26408565
tourner le page,20,- il tourne les pages à l'envers,it keeps turning the pages back,- he turns the pages backwards,Good Translation,0.803293,0.9469454,-0.14365244
tourner le page,21,ecoute je trouve qu'il faut que tu tournes la page,listen i think you need to move out,listen I find that you need to turn the page,Unnatural,0.7292513,0.92211694,-0.19286561
tourner le page,22,tu m'as dit de tourner la page,you told me to move on,you told me to turn the page,Good Translation,0.7410346,0.93513256,-0.19409794
tourner le page,23,tu refuses juste de tourner la page,you can't let go because you're not willing to,you just refuse to turn the page,Good Translation,0.6314696,0.95524144,-0.32377183
tourner le page,24,retourne la page,oy turn it over,turn the page,Good Translation,0.6548057,0.8329123,-0.1781066
tourner le page,25,jack tourne la page,- jack get over it you've been re-tasked,jack turns the page,Good Translation,0.56899744,0.8482598,-0.27926236
tourner le page,26,il faut savoir tourner la page,you have to move on,it takes knowing how to turn the page,Good Translation,0.6509752,0.9343194,-0.28334415
tourner le page,27,faut tourner la page gamin,you need to let this go kid,we need to move on kid,Good Translation,0.59761703,0.6715746,-0.07395756
tourner le page,28,vous savez peut-être que ça va leur permettre de tourner la page,you know maybe maybe it'll give them closure,you might know that it will allow them to turn the page,Good Translation,0.81866395,0.9604375,-0.14177352
tourner le page,29,- vous êtes prêts à tourner la page,- you guys ready for closure,you are ready to turn the page,Good Translation,0.7484135,0.8978479,-0.14943439
tourner le page,30,on ne peut pas tourner la page avant d'être prêt,people can't move on before they're ready,One cannot turn the page until we are ready.,Unnatural,0.7569179,0.8730395,-0.11612159
tourner le page,31,jordan n'avait pas tourné la page,jordan wasn't over him,jordan had not turned the page,Good Translation,0.83683246,0.9675846,-0.13075215
tourner le page,32,après un décès vous devez vraiment tourner la page,once a person's dead you should really put it aside,"After a death, you really need to turn the page.",Good Translation,0.7343461,0.9488245,-0.21447843
tourner le page,33,et je te comprends mack mais j'ai besoin de toi il faut que tu tournes la page,- and i feel for you mack but i need you to think this through,and I understand you Mack but I need you I have to move on,Partial Translation,0.7861029,0.83471614,-0.04861325
tourner le page,34,pour tourner la page,so you can move on,to turn the page,Good Translation,0.60574126,0.90793324,-0.30219197
tourner le page,35,c'est déplacé de te suggérer qu'il a peut-être envie de tourner la page,am i being really evil if i suggest that maybe he's trying to move on,It's inappropriate of me to suggest that he might be ready to move on.,Unnatural,0.7121839,0.76058215,-0.048398256
tourner le page,36,tu tournes la page,you've moved on,you turn the page,Unnatural,0.6407827,0.8916818,-0.25089908
tourner le page,37,je ne sais pas comment tourner la page,i don't know how to get closure,I don't know how to turn the page.,Good Translation,0.66542363,0.87537974,-0.20995611
tourner le page,38,mais maintenant il faut tourner la page,but now it's time to let go,but now we need to turn the page,Good Translation,0.73873997,0.9416519,-0.20291191
tourner le page,39,il m'a bien fallu tourner la page,i needed something,I had to move on.,Good Translation,0.6754555,0.6791323,-0.0036767721
tourner le page,40,tournez la page,get over it,turn the page,Good Translation,0.5879205,0.8805553,-0.2926348
tourner le page,41,tu n'as pas tourné la page,but there hasn't been any closure,you haven't turned the page,Good Translation,0.5832528,0.92548907,-0.34223628
tourner le page,42,une partie de moi espère que sam tourne la page,ugh a part of me hopes that sam moves on you know,a part of me hopes that Sam turns the page,Good Translation,0.8796114,0.9631028,-0.083491445
tourner le page,43,ça fait six ans j'ai besoin de tourner la page,it's been 6 years i need to move on,It has been six years; I need to turn the page.,Good Translation,0.7996043,0.91815853,-0.118554235
tourner le page,44,ça s'appelle tourner la page,it's called moving on,it's called turning the page,Good Translation,0.65283084,0.9362658,-0.283435
tourner le page,45,on tourne la page,you move on,we turn the page,Partial Translation,0.58265674,0.76675487,-0.18409812
tourner le page,46,et la suivante tu es censé être son ami et prétendre de n'avoir jamais été amoureux et tourner la page pour tout recommencer,and the next you're supposed to be friends and pretend you're never in love and then get closure so you can do it all over again,and the next one you are supposed to be his friend and pretend you have never been in love and move on to start everything over again,Good Translation,0.83807707,0.89344025,-0.05536318
tourner le page,47,vous avez tourné la page,closure,you turned the page,Unnatural,0.5344839,0.9202721,-0.3857882
tourner le page,48,aide-le à tourner la page,help him to move on,help him turn the page,Good Translation,0.78166485,0.9514743,-0.16980946
tourner le page,49,je sais tourner la page,i get things out of my system,I know how to move on,Good Translation,0.5906645,0.6716641,-0.08099961
tourner le page,50,écoute chéri si la musique te plaît viens me tourner les pages,darling if you like the music sit beside me and turn the pages,listen dear if you like the music come turn the pages for me,Good Translation,0.8792528,0.93732905,-0.058076262
tourner le page,51,je les aide à tourner la page les dirigent vers des livres ou des groupes de soutien,i helped her let go of her past steered her towards books and support groups,I help them turn the page by directing them towards books or support groups,Good Translation,0.74108493,0.95512366,-0.21403873
tourner le page,52,- peut-être que je pourrais tourner la page,- y'know maybe i can get some closure,- maybe I could turn the page,Good Translation,0.75507826,0.96743166,-0.21235341
tourner le page,53,ça vous permet de tourner la page,does that give you closure,it allows you to turn the page,Good Translation,0.56005603,0.9409647,-0.38090867
tourner le page,54,faut tourner la page,get a life,faint turn the page,Literal Translation,0.59046423,0.7898058,-0.1993416
tourner le page,55,ta famille a tourné la page,your family moved on,Your family has turned the page.,Good Translation,0.7519926,0.8641875,-0.112194896
tourner le page,56,pleure matt et tourne la page,mourn matt's passing,cry Matt and turn the page,Mistranslation,0.68765014,0.8923833,-0.20473313
tourner le page,57,chuchotant - tu es prêt à tourner la page,- are you ready to turn the page,whispering - you are ready to turn the page,Unnatural,0.8171629,0.9051901,-0.08802724
tourner le page,58,- alors tourne la page,- so move on,- then turn the page,Good Translation,0.6614902,0.93352085,-0.27203065
tourner le page,59,je ne suis pas un expert en amour mais je pense que pour tourner la page sur ronnie il faut réellement avancer,look i'm not an expert on love but i think in order to move on from ronnie you actually have to move on,"I am not an expert in love but I think that to turn the page on Ronnie, we really need to move forward.",Good Translation,0.8596583,0.93294394,-0.07328564
tourner le page,60,garvin veut tourner la page,garvin wants this off his screen,Garvin wants to turn the page,Good Translation,0.7903421,0.9353534,-0.1450113
tourner le page,61,il avait du mal à tourner la page et j'essayais de le convaincre de me renvoyer mes affaires,well he was having a hard time letting go and i was trying to get him to send my things,He had trouble turning the page and I was trying to convince him to send my things back.,Good Translation,0.80010647,0.9275871,-0.12748063
tourner le page,62,dans une famille il faut savoir tourner la page,well still families need to find closure and move on,"in a family, it's about knowing when to move on",Good Translation,0.68046236,0.7623944,-0.08193207
tourner le page,63,j'espère que t'as tourné la page,i hope you've put it behind you,I hope you've turned the page.,Good Translation,0.77809954,0.90957916,-0.13147962
tourner le page,64,elle doit tourner la page,madison yeah she needs to move on,She must turn the page.,Good Translation,0.68507445,0.96295726,-0.2778828
tourner le page,65,- tourne la page,let him go annie,turn the page,Literal Translation,0.47695127,0.8468439,-0.36989263
tourner le page,66,- comment tourner la page,- now how do you just turn that off,how to turn the page,Unnatural,0.55976415,0.8608106,-0.30104643
tourner le page,67,je croyais que tu avais tourné la page,i thought you were over pete,I thought you had moved on.,Good Translation,0.6859999,0.7417028,-0.055702925
tourner le page,68,je ne sais pas pourquoi j'ai l'impression que c'est plus de la malveillance qu'une envie de tourner la page,i don't know why i feel like this is more about spite than closure though aw,I don't know why I feel it's more maliciousness than a desire to turn the page.,Good Translation,0.705483,0.899834,-0.19435096
tourner le page,69,au moins on lui a permis de tourner la page,at least we brought her some closure,at least it allowed him to turn the page,Partial Translation,0.7492596,0.9332237,-0.18396413
tourner le page,70,alors meredith m'a appelée pour me dire que tu voulais tourner la page,so meredith called me and told me you might be moving on,then Meredith called me to say that you wanted to turn the page,Good Translation,0.83190334,0.951241,-0.11933768
tourner le page,71,si on peut trouver qui a fait ça à drew ça lui permettra de pouvoir tourner la page,if we can find out who did this to drew it's gonna give her closure allow her to move on,"if we can find out who did this to Drew, it will allow him to turn the page and move on.",Mistranslation,0.7796743,0.8417005,-0.062026203
tourner le page,72,je pensais que j'avais tournée la page pour la perte de mes bébés,i thought i'd dealt with the loss of my babies,I thought I had turned the page on the loss of my babies,Good Translation,0.82873553,0.86544335,-0.03670782
tourner le page,73,je pense qu'on doit se rappeler du meilleur de lui et on doit tourner la page,i think we have to remember the best parts of him and we have to move on,I think we should remember the best of him and move on.,Good Translation,0.87774694,0.85929894,0.018447995
tourner le page,74,aidez-moi à tourner la page 46,help me turn to page 46,help me turn page 46,Partial Translation,0.9371424,0.94655704,-0.009414673
tourner le page,75,chuck tourne la page et sois heureux,chuck just move on and be happy,chuck turns the page and be happy,Good Translation,0.7972607,0.9578553,-0.16059458
tourner le page,76,elle est morte tourne la page,she's dead and gone so get over it,she is dead turn the page,Literal Translation,0.7403809,0.93336725,-0.19298637
tourner le page,77,vous n'avez jamais tourné la page avec christina,- you've never gotten over christina,you have never moved on from Christina,Good Translation,0.8258948,0.8155014,0.010393381
tourner le page,78,rafe t'a envoyé son ami pour qu'il veille sur toi tu peux tourner la page,rafe sent his best friend to tell you so you would be ok so you can move on,Rafael sent his friend to keep an eye on you; you can move on.,Good Translation,0.7598604,0.7769171,-0.017056704
tourner le page,79,j'ai tourné la page,well i'm over you,I turned the page,Good Translation,0.6119797,0.87692094,-0.26494122
tourner le page,80,pourquoi 10 heures après avoir tué vous avez l'air d'avoir tourné la page,why is it 10 hours after killing someone you seem past it,why 10 hours after killing you seem to have turned the page,Unnatural,0.8369654,0.9671,-0.13013464
tourner le page,81,apparemment elle tournez la page d'une relation,and apparently she was on the rebound,apparently she turned the page of a relationship,Good Translation,0.70015574,0.91577685,-0.21562111
tourner le page,82,vas-y tourne la page,- turn the page already,go on turn the page,Unnatural,0.72372437,0.7481111,-0.024386764
tourner le page,83,tourne la page,turn the page,turn the page,Good Translation,0.88246053,0.88246053,0.0
tourner le page,84,tellement pour tourner la page et avancer,so much for closure and moving on,so much to turn the page and move on,Unnatural,0.67650557,0.8915243,-0.21501875
tourner le page,85,quand on est chanceux on tourne la page,if you're lucky you get past it,"when we're lucky, we turn the page",Good Translation,0.5646452,0.7905824,-0.22593725
tourner le page,86,bon je suis désolé tu es désolé on tourne la page d'accord,look i'm sorry you're sorry next chapter okay,"Okay, I'm sorry you're sorry let's turn the page okay",Good Translation,0.7288245,0.84284985,-0.114025354
tourner le page,87,je t'ai donné la lettre pour que tu tournes la page pas pour ouvrir une enquête,you know i gave you that note so you could finally get closure not to open an investigation,"I gave you the letter so you could turn the page, not to start an investigation.",Good Translation,0.77025473,0.8922566,-0.12200189
tourner le page,88,j'ai mon bilan de 12 semaines demain avec le dr moss je cherche à tourner la page,anyway i have my 12-week checkup tomorrow with dr moss so i ' m looking to put this whole thing behind me,"I have my 12-weeks status update with Dr Moss tomorrow, I'm trying to turn the page.",Good Translation,0.8028023,0.8826647,-0.079862356
tourner le page,89,dans ce métier quand les gens convoitent plus votre mort que votre vie l'on comprend qu'il est temps de tourner la page,in this trade when people covet your death more than your life it's understood that it's time to move on,"In this profession, when people desire your death more than your life, one understands it is time to turn the page.",Good Translation,0.8253221,0.91369724,-0.08837515
tourner le page,90,je n'ai jamais tourné la page,i never got closure you know,I have never moved on,Good Translation,0.70320773,0.7587431,-0.055535376
tourner le page,91,la confronter tout à fait puis tourner la page,confront it by all means but then move on,to face it entirely and then turn the page,Good Translation,0.76727533,0.91231126,-0.14503592
tourner le page,92,il n'a jamais vraiment tourné la page,and he never really has gotten over me,He has never really turned the page.,Good Translation,0.74408907,0.9101523,-0.16606325
tourner le page,93,je n'ai pas tourné la page car silver me plaît,no i didn't just get over it 'cause i like silver,I haven't turned the page because Silver pleases me,Good Translation,0.71076524,0.7760299,-0.06526464
tourner le page,94,tu n'as jamais aimã personne plus d'une nuit et c'est toi qui va me dire qu'il est temps de tourner la page,you never loved anyone more than one night and it is you who will tell me it is time to turn the page,you have never loved anyone more than a night and it is you who are going to tell me it's time to turn the page,Good Translation,0.8962804,0.9098934,-0.013612986
tourner le page,95,aide-moi à tourner les pages,all right help me flip these pages,help me turn the pages,Good Translation,0.87214243,0.9239334,-0.051790953
tourner le page,96,ai évité de faire du bruit en tournant les pages,i tried to turn the pages quietly,I avoided making noise by turning the pages.,Good Translation,0.8466116,0.9592421,-0.11263049
tourner le page,97,paie tes impôts tes pénalités et tourne la page,pay your back taxes pay the penalties and move on from this just put it behind you,"pay your taxes, pay your penalties, and turn the page",Good Translation,0.7944261,0.8931763,-0.09875023
tourner le page,98,faut savoir tourner la page,ought to be a point where you move on,it's about knowing when to move on,Good Translation,0.6610979,0.68341655,-0.022318661
tourner le page,99,et comment je saurais qu'elle a tourné la page et que tu ne peux pas,and how would i know that she moved on and you can't,and how would I know that she has turned the page and you can't,Unnatural,0.85250723,0.9582223,-0.105715096
tourner le page,100,je cherche à tourner la page,maybe i'm looking for closure,I want to turn a new page.,Good Translation,0.7037852,0.888801,-0.1850158
tourner le page,101,tu es en train de tourner la page,you really are turning over a new leaf,you are turning the page,Unnatural,0.6784711,0.89145094,-0.21297985
tourner le page,102,je crois qu'il est en train de tourner la page,you know i think he's turning over a new leaf,I believe he is turning the page.,Good Translation,0.7867522,0.9207869,-0.1340347
tourner le page,103,vous croyez qu'il est en train de tourner la page,think he's up there turning' over a new leaf,you believe he is turning the page,Good Translation,0.7309359,0.93422663,-0.20329076
tourner le page,104,je sais que tu as besoin d'espace mais tu ne peux pas en avoir car alex est en train de tourner la page,i know you want space but you can't have space because alex might be moving on,I know you need space but you can't have it because Alex is turning the page.,Good Translation,0.8710824,0.9168638,-0.045781374
tourner le page,105,je suis en train de tourner la page,i'm turning over a new leaf,I am turning the page.,Good Translation,0.7470676,0.90095955,-0.15389198
tourner le page,106,je suis en train de tourner la page vraiment je travaille dur pour tourner la page,i'm getting over this i am i'm working really hard to get over this,I am turning the page really I am working hard to turn the page,Good Translation,0.7710388,0.94855815,-0.17751938
tourner le page,107,si ça marche pas tournez la page,if it doesn't work out you move on chuckles mm-hmm,if it doesn't work turn the page,Literal Translation,0.67163205,0.9289695,-0.25733745
