idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
jeter un coup de oeil,0,- alors vous voulez que je jette un coup d'oeil,- so you want me to take a look - where,- then you want me to take a look,Unnatural,0.8170759,0.91457534,-0.09749943
jeter un coup de oeil,1,laissez-moi juste jeter un coup d'oeil,just give me one stroll around the foot,let me just take a look,Good Translation,0.72973406,0.94995874,-0.22022468
jeter un coup de oeil,2,je devrais aller jeter un coup d'oeil aux personnes du cmi,i should check in with the idc rep,I should go take a look at the people from the CMI.,Good Translation,0.73712647,0.92283195,-0.18570548
jeter un coup de oeil,3,tu devrais peut-être aller jeter un coup d'oeil à l'étage papa,maybe you should go upstairs and take a look dad,you might should maybe go take a look upstairs dad,Unnatural,0.88168263,0.8967509,-0.015068293
jeter un coup de oeil,4,- on rejette un coup d'oeil,thought we'd have a second look,- we give it a glance,Good Translation,0.6503056,0.7812072,-0.13090158
jeter un coup de oeil,5,je te l'ai dis je n'ai pas jeter un coup d'oeil,i-i told you i wasn't sneaking a peek,I told you I didn't check it,Unnatural,0.82812995,0.7475151,0.080614865
jeter un coup de oeil,6,jete un coup d'oeil à ce mur de retenue,take a look at this retaining wall,take a look at this wall of restraint,Unnatural,0.83762354,0.84238875,-0.0047652125
jeter un coup de oeil,7,jeter un coup d'oeil dans la salle,glance around the room,to take a look around the room,Good Translation,0.8605225,0.8851521,-0.024629593
jeter un coup de oeil,8,attends une seconde attends une seconde peut-être devrions-nous jeter un coup d'oeil avant shawn,maybe we should take a peek and see what we're getting into shawn,wait a second wait a second maybe we should take a look before shawn,Good Translation,0.8086368,0.93438995,-0.12575316
jeter un coup de oeil,9,jetez un coup d'oeil à l'intérieur pour voir si le directeur est allé souper,take a gander inside and see if the manager's gone to dinner,take a look inside to see if the director has gone to dinner,Good Translation,0.858027,0.8797411,-0.021714091
jeter un coup de oeil,10,il a jeté un coup d'oeil sur ce qu'ils avaient et il a pensé qu'ils l'avaient volé dans un cimetière,he took one look at them and what they had and thought they'd stolen it from a cemetery,He took a look at what they had and thought they had stolen it from a cemetery.,Good Translation,0.9221232,0.9279741,-0.005850911
jeter un coup de oeil,11,peut-être voudriez-vous venir y jeter un coup d'oeil,maybe you'd come by and take a look at it,Maybe you would like to come and take a look.,Good Translation,0.8993549,0.9039155,-0.0045606494
jeter un coup de oeil,12,j'ai emprunté le costume de mon père tu dois au moins venir avec nous et jetez un coup d'oeil,i even borrowed this from my father let's just go,I borrowed my father's suit. You at least have to come with us and take a look.,Good Translation,0.7171922,0.88845015,-0.17125797
jeter un coup de oeil,13,j'aimerais y jeter un coup d'oeil,i'd like to have a look,I would like to take a look at it.,Good Translation,0.91542864,0.8484484,0.06698024
jeter un coup de oeil,14,je jette un coup d'oeil,-just checking it out,I take a look,Good Translation,0.7583623,0.87904227,-0.120679975
jeter un coup de oeil,15,laisse-moi entrer jeter un coup d'oeil et m'assurer que tout va bien,you gotta let me go in there and look around and make sure everything's all right in there,let me come in to take a look and make sure everything is alright,Good Translation,0.8746233,0.9353417,-0.060718417
jeter un coup de oeil,16,ca vaut le coup de jeter un coup d'oeil de plus,it's worth just taking one more look,It's worth giving it one more look.,Good Translation,0.8627421,0.8403375,0.022404611
jeter un coup de oeil,17,restez donc le temps que je jette un coup d'oeil à ces registres,why don't you stay around a little while until i have a better look at these ledgers,stay so long as I take a look at these registers,Good Translation,0.7540156,0.89466393,-0.1406483
jeter un coup de oeil,18,je ferais n'importe quoi pour jeter un coup d'oeil à la princesse margaret,give anything for a close-up view of princess margaret,I would do anything to catch a glimpse of Princess Margaret.,Good Translation,0.7975756,0.84878707,-0.051211476
jeter un coup de oeil,19,tu devrais venir y jeter un coup d'oeil,you should come check it out,you should come take a look,Good Translation,0.85856265,0.9130342,-0.054471552
jeter un coup de oeil,20,peut-on avoir les médecins pour jeter un coup d'oeil,can we get medical to come in and take a look at joe,Can we have the doctors take a look,Good Translation,0.7808131,0.9139967,-0.1331836
jeter un coup de oeil,21,jette un coup d'oeil - qu'il y a-t-il - on est enfermées,you take a pee what's wrong,take a look - is there anything - we are trapped,Mistranslation,0.5102407,0.83972263,-0.32948196
jeter un coup de oeil,22,jeter un coup d'oeil,have a look,to take a look,Good Translation,0.83489347,0.8543471,-0.019453645
jeter un coup de oeil,23,je peux jeter un coup d'oeil,you wanna share a look with me,I can take a look,Good Translation,0.76015687,0.9228448,-0.16268796
jeter un coup de oeil,24,je n'ai pas jeté un coup d'oeil,i didn't peep,I didn't give it a look.,Good Translation,0.82161504,0.86199796,-0.04038292
jeter un coup de oeil,25,je peux jeter un coup d'oeil il veut regarder un peu autour,he wants to take a look around,I can take a look; he wants to have a quick glance around.,Good Translation,0.8875902,0.9336015,-0.04601127
jeter un coup de oeil,26,- jette un coup d'oeil,- have a look,- take a look,Good Translation,0.8856311,0.90055573,-0.014924645
jeter un coup de oeil,27,tu vas vouloir jeter un coup d'oeil à ça,you're gonna want to take a look at this,you will want to take a look at this,Unnatural,0.91068554,0.8896627,0.021022856
jeter un coup de oeil,28,jetez un coup d'oeil prudent c'est un billet de l'économie-classe,take a careful look it's an economy-class ticket,take a careful look it's an economy-class ticket,Good Translation,0.83714354,0.83714354,0.0
jeter un coup de oeil,29,- écoutez on veut juste jeter un coup d'oeil dehors,- we wanna go outside,"- listen, we just want to take a look outside",Good Translation,0.7926794,0.9470868,-0.15440738
jeter un coup de oeil,30,et maintenant la dernière chose que je veux te montrer jette un coup d'oeil à ça,last thing i want to show you have a look at this,and now the last thing I want to show you take a look at this,Good Translation,0.92731726,0.948131,-0.020813763
jeter un coup de oeil,31,laisse moi y jeter un coup d'oeil,let me look at it,let me take a look at it,Good Translation,0.87640625,0.8876597,-0.011253476
jeter un coup de oeil,32,jeter un coup d'oeil je voudrais partir maintenant,i'd like to leave now,"take a look, I want to leave now",Good Translation,0.8265395,0.8963416,-0.069802105
jeter un coup de oeil,33,jetez un coup d'oeil là-dessus,look the wedding contract,take a look at it,Good Translation,0.58556664,0.8503325,-0.26476586
jeter un coup de oeil,34,ça te dérange si je jette un coup d'oeil,mind if i take a look,Does it bother you if I take a look?,Good Translation,0.72897434,0.84632754,-0.1173532
jeter un coup de oeil,35,donc vous voulez jeter un coup d'oeil à cet enregistrement,so you want to check out this videotape,so you want to take a look at this recording,Good Translation,0.8329128,0.9574617,-0.12454891
jeter un coup de oeil,36,je commence par jeter un coup d'oeil dans le coffre-fort du casino,i begin by getting a look at the inside of that casino vault,I start by taking a look in the casino's safe.,Good Translation,0.87564003,0.8850229,-0.009382844
jeter un coup de oeil,37,non je veux jeter un coup d'oeil à ces requins,steven no i wanna get another look at those sharks,I just want to take a look at these sharks,Good Translation,0.804575,0.828012,-0.023436964
jeter un coup de oeil,38,mais jète un coup d'oeil aux autres,but check out the other ones,but take a look at the others,Good Translation,0.80105764,0.8835284,-0.082470775
jeter un coup de oeil,39,tout le monde veut jeter un coup d'oeil à l'ennemi public n1,everybody clamoring to sneak a peek at public enemy 1,Everyone wants to take a look at enemy number one.,Good Translation,0.8427836,0.8678183,-0.025034726
jeter un coup de oeil,40,il semble que le mieux à faire est d'aller jeter un coup d'oeil,the best thing we can do is take a look,it seems that the best thing to do is to go take a look,Good Translation,0.86155456,0.9405805,-0.079025924
jeter un coup de oeil,41,tu devrais jeter un coup d'oeil,oh you should have a look around,you should take a look,Good Translation,0.8743595,0.89061975,-0.016260266
jeter un coup de oeil,42,- ouais va jeter un coup d'oeil à la scène de crime,- yeah take a look at the crime scene,- yeah go take a look at the crime scene,Good Translation,0.91861427,0.92231977,-0.0037055016
jeter un coup de oeil,43,je viendrai jeter un coup d'oeil à sa quille,- i'll come down take a look at her hull,I'll come take a look at its hull.,Good Translation,0.8103709,0.7977246,0.0126463175
jeter un coup de oeil,44,jette un coups d'oeil,take a look,take a look,Good Translation,0.833651,0.833651,0.0
jeter un coup de oeil,45,je me demandais si vous pouviez y jeter un coup d'oeil,i was just wondering if maybe you could come up and take a look at it,I wondered if you could take a look at it.,Good Translation,0.8775295,0.8765865,0.0009430051
jeter un coup de oeil,46,jette un coup d'oeil à ces statues en bois,take a look at these wooden statues,take a look at these wooden statues,Good Translation,0.9224046,0.9224047,-1.1920929e-07
jeter un coup de oeil,47,hé kev je dois jeter un coup d'oeil à la liste de visiteurs,hey kev i need to take a look at that visitation log,he kev I need to take a look at the visitor list,Good Translation,0.84052336,0.9486686,-0.10814524
jeter un coup de oeil,48,puis-je jeter un coup d'oeil lieutenant,can i take a look at the girl,may I take a look Lieutenant,Unnatural,0.6789727,0.87290573,-0.19393301
jeter un coup de oeil,49,ainsi le module d'analyse jette un coup d'oeil au tableau calcule le mensonge et tire la vérité,so the analysis module peeks at the cheat-sheet figures out the lies and squeezes out the truth,"thus the analysis module takes a look at the calculation table, detects the lie, and uncovers the truth",Good Translation,0.839283,0.8908898,-0.051606834
jeter un coup de oeil,50,on va devoir y jeter un coup d'oeil,well we're gonna have to take a quick peek,We will have to take a look at it.,Good Translation,0.8509522,0.8906665,-0.039714277
jeter un coup de oeil,51,je voulais juste jeter un coup d'oeil,i just wanted to sneak a peek,I just wanted to take a look.,Good Translation,0.92979884,0.93124497,-0.0014461279
jeter un coup de oeil,52,je peux rejeter un coup d'oeil,i can take another look,I can give something a quick look.,Good Translation,0.7279234,0.7031336,0.02478981
jeter un coup de oeil,53,ça vous embêterait de jeter un coup d'oeil,would you mind taking a look,would it bother you to take a look,Good Translation,0.83135426,0.8469001,-0.015545845
jeter un coup de oeil,54,devrais-je y jeter un coup d'oeil,you need me to take a look at anything,should I take a look at it,Good Translation,0.71670365,0.90853906,-0.1918354
jeter un coup de oeil,55,ce nous rendrait bien service si nous pouvionsjeter un coup d'oeil,i'd consider it a favour if you'd let us have a look around,"If we could take a look, that would be very helpful.",Good Translation,0.8083653,0.83369136,-0.025326073
jeter un coup de oeil,56,- on devrait jeter un coup d'oeil,- maybe justin and me should take a look,- we should take a look,Partial Translation,0.80907464,0.9267945,-0.11771989
jeter un coup de oeil,57,ca t'embête si je jette un coup d'oeil rapide,do you mind if i take a look at it real quick,Does it bother you if I take a quick look?,Good Translation,0.796994,0.7755352,0.021458745
jeter un coup de oeil,58,pourquoi ne nous y retrouverions nous pas d'ici une demie heure histoire d'y jeter un coup d'oeil,why don't we meet there in half an hour and have a look,Why don't we meet here in half an hour just to take a look around,Good Translation,0.8879125,0.88456786,0.003344655
jeter un coup de oeil,59,on aurait besoin de jeter un coup d'oeil à votre sac,we're gonna need to take a look in your bag,We would need to take a look at your bag.,Unnatural,0.87820184,0.8832451,-0.005043268
jeter un coup de oeil,60,- jetez un coup d'oeil,- look at this,take a look,Good Translation,0.7999823,0.856418,-0.056435704
jeter un coup de oeil,61,ça ne vous gêne pas si nous jetons un coup d'oeil pas vrai,you don't mind if we take a look arounddo you,"It doesn't bother you if we take a look, does it",Good Translation,0.832244,0.8508357,-0.018591702
jeter un coup de oeil,62,si cela ne vous gêne pas nous voudrions jeter un coup d'oeil à votre réacteur,if you wouldn't mind we'd like to take a look at this reactor of yours,"if it doesn't bother you, we would like to take a look at your reactor",Unnatural,0.8700368,0.90803623,-0.03799945
jeter un coup de oeil,63,j'ai moi-même essayé de jeter un coup d'oeil,i checked the situations,I myself tried to take a look,Good Translation,0.73828036,0.9524611,-0.21418077
jeter un coup de oeil,64,regardez dedans avant de partir jetez un coup d'oeil dans le placard,look bill before you go do have a look in that closet,look inside before leaving give a glance in the closet,Good Translation,0.7527619,0.8283824,-0.07562047
jeter un coup de oeil,65,ça ne vous dérange pas si on jette un coup d'oeil,i hope you don't mind if we look around,"It doesn't bother you if we take a look, does it?",Good Translation,0.79200053,0.82257605,-0.030575514
jeter un coup de oeil,66,mme webster était assez sure d'elle pour qu'on jette un coup d'oeil ici,mrs webster was sure cool with us poking around down here,Mrs. Webster was confident enough to have us take a look here.,Good Translation,0.8118823,0.8983654,-0.08648306
