idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
jeter le éponge,0,on devrait jeter l'éponge quoi,i think we should give up,we should throw in the towel already,Good Translation,0.6025539,0.66592515,-0.06337124
jeter le éponge,1,- comment ça vous jetez l'éponge,- what what do you mean quitting,how's it going down?,Mistranslation,0.5790257,0.6018684,-0.022842705
jeter le éponge,2,il veut jeter l'éponge,he wants to pull the plug,he wants to throw in the towel,Good Translation,0.81679344,0.85562086,-0.03882742
jeter le éponge,3,je dirais même que j'ai réussi là où d'autres auraient simplement jeté l'éponge,i'd even say i've thrived where others would have just thrown in the towel,I'd even say I succeeded where others would have simply given up.,Good Translation,0.8341732,0.91623247,-0.082059264
jeter le éponge,4,hier tu voulais une rupture définitive jeter l'éponge débrancher rideau,yesterday you want to call it quits throw in the towel pull the plug curtains,Yesterday you wanted a final break to give up to pull out,Partial Translation,0.71286476,0.7376944,-0.024829626
jeter le éponge,5,francine a jeté l'éponge,francine's thrown in the towel,Francine has thrown in the towel.,Good Translation,0.78256017,0.79164445,-0.009084284
jeter le éponge,6,dis-le-moi sinon je jette l'éponge,you tell me 'cause if we're not i will throw in the towel,Tell me so or I quit.,Good Translation,0.6790947,0.8167089,-0.13761425
jeter le éponge,7,mais je ne vais pas jeter l'éponge,but i'm not gonna throw in the towel,but I'm not going to give up yet,Good Translation,0.8544727,0.7552713,0.09920138
jeter le éponge,8,ne jamais jeter l'éponge avant la fin du match,i said never stop fighting till the fight is done,never give up before the end of the game,Good Translation,0.675743,0.74994767,-0.07420468
jeter le éponge,9,tu voulais jeter l'éponge interrompre le match,and you was going to throw that towel in and stop the fight,"you wanted to give up, to interrupt the match.",Good Translation,0.7610531,0.8531066,-0.09205353
jeter le éponge,10,il jette l'éponge dans 30 secondes,he's going to throw in the towel in 30 seconds for a buck,He throws in the towel after 30 seconds,Unnatural,0.8004426,0.83509195,-0.034649372
jeter le éponge,11,si tu ne te transformes pas je propose de jeter l'éponge,unless you wanna wolf out i suggest we throw in the towel,if you don't change your ways I suggest we give up,Good Translation,0.7374947,0.76439905,-0.026904345
jeter le éponge,12,alors vous comptez toujours jeter l'éponge,so you're still just gonna throw it in huh,So you're still giving up?,Good Translation,0.7369416,0.68611676,0.05082482
jeter le éponge,13,à moins que tu connaisses un conducteur qui accepte de traverser l'état sans poser de questions je jette l'éponge,unless you know a licensed driver who's willing to ride with us halfway across the state no questions asked i just don't know,Unless you know a driver who will take me through without asking any questions I'm giving up.,Good Translation,0.72546124,0.83611387,-0.110652626
jeter le éponge,14,il est allé douze fois au tapis avant de jeter l'éponge,oh now i remember he knocked him down 12 times before he finally succumbed,He went to the mat twelve times before throwing in the towel.,Good Translation,0.7015351,0.8487115,-0.14717638
jeter le éponge,15,- je crois qu'elle jette l'éponge,- i think she's given up on me,- I think she's throwing in the towel.,Good Translation,0.78028506,0.8582904,-0.078005314
