idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
pas son tasse de thé,0,tu sais papa tout bien réfléchi l'industrie du miel c'est pas ma tasse de thé,you know dad the more i think about it maybe the honey field just isn't right for me,"you know dad after thinking it through, honey industry isn't my cup of tea",Good Translation,0.68384993,0.79523754,-0.11138761
pas son tasse de thé,1,comme disent les anglais c'était pas ma tasse de thé,it wasn't my cup of tea,"like the English say, it wasn't my cup of tea",Good Translation,0.791806,0.91732395,-0.12551796
pas son tasse de thé,2,les club de strip-tease ne sont pas ma tasse de thé,yeah strip clubs aren't really my idea of fun,the strip-tease clubs are not my cup of tea,Good Translation,0.7986882,0.9498142,-0.15112603
pas son tasse de thé,3,la culture klingonne n'est pas votre tasse de thé,you don't enjoy klingon culture,the klingon culture is not your cup of tea,Good Translation,0.72180235,0.82829493,-0.10649258
pas son tasse de thé,4,vous devriez abandonner le cambriolage ce n'est pas votre tasse de thé,you should give up burglary it's not your cup of tea,you should give up burgling; it's not your cup of tea,Good Translation,0.8767662,0.8357156,0.041050613
pas son tasse de thé,5,tu sais que ce gars n'est pas ma tasse de thé,well you know i'm not wild about the guy,you know that guy is not my cup of tea,Good Translation,0.66509295,0.897614,-0.23252106
pas son tasse de thé,6,mais les coïncidences c'est pas ma tasse de thé,to me there's no such thing as coincidence,but coincidences aren't my cup of tea,Good Translation,0.59618235,0.8920596,-0.29587728
pas son tasse de thé,7,c'est pas ma tasse de thé,not my cup of tea,it's not my cup of tea,Good Translation,0.84778756,0.87922645,-0.031438887
pas son tasse de thé,8,le rasage ce n'est pas ma tasse de thé,i'm looking for a couple of mugs,shaving is not my cup of tea,Good Translation,0.486063,0.8011199,-0.31505692
pas son tasse de thé,9,c'était simplement pas ma tasse de thé aujourd'hui,that just wasn't my cup of tea today,it was simply not my cup of tea today,Good Translation,0.9047375,0.9021354,0.0026021004
pas son tasse de thé,10,pos192200désolée c'est pas ma tasse de thé,i'm sorry honey it's just not my thing,"Sorry, that's not my cup of tea",Good Translation,0.58954996,0.6851071,-0.09555715
