idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
en prendre de le graine,0,tu pourrais en prendre de la graine - elle se défend,- how big a bonus are we talking here,you could take some advice - she defends herself,Mistranslation,0.41623116,0.84693277,-0.4307016
en prendre de le graine,1,je veux en prendre de la graine,i want to see how good you can do your thing,I want to take some seeds.,Literal Translation,0.62724644,0.8420403,-0.21479386
en prendre de le graine,2,ce serait à lui de m'écouter pour en prendre de la graine,l i don't have all the answers but maybe he should listen to me more and learn a little,it would be up to him to listen and take it as an example,Partial Translation,0.7174155,0.7978763,-0.08046079
en prendre de le graine,3,tu aurais pu en prendre de la graine,you could have followed others' lead,you could have taken it as a lesson,Good Translation,0.6868154,0.75641614,-0.06960076
en prendre de le graine,4,ton équipe pourrait en prendre de la graine,something your team could learn about,your team could use some inspiration,Unnatural,0.78191614,0.79110944,-0.009193301
en prendre de le graine,5,alors t'as vu essaie d'en prendre de la graine,now that's how you set records kid,then have you seen try to get some grain,Literal Translation,0.54230726,0.9052838,-0.36297655
en prendre de le graine,6,ma femme pourrait en prendre de la graine,my wife could learn something,my wife could use some inspiration,Unnatural,0.7526208,0.7878509,-0.0352301
en prendre de le graine,7,que tout le monde en prenne de la graine,oh that others might learn,that everyone gets a piece,Unnatural,0.61260885,0.80500865,-0.1923998
en prendre de le graine,8,jaime pourrait peut-être en prendre de la graine,maybe jaime can pick up on it,I like it could maybe take some inspiration,Unnatural,0.8586747,0.65924776,0.19942695
en prendre de le graine,9,je devrais en prendre de la graine,i should learn from you,I should take some advice.,Unnatural,0.68579835,0.75779283,-0.07199448
en prendre de le graine,10,vous feriez mieux d'en prendre de la graine,so instead of accusing her you might wanna ask her for some pointers,you'd better take some advice,Unnatural,0.5926225,0.74344224,-0.15081972
en prendre de le graine,11,on devrait en prendre de la graine,we should all be so wise,we should take some seeds,Literal Translation,0.62176156,0.81428117,-0.1925196
en prendre de le graine,12,tu devrais en prendre de la graine,maybe you can learn from her mistake,you should take it as an example,Good Translation,0.6005769,0.67334676,-0.07276988
en prendre de le graine,13,sans te vexer tu pourrais en prendre de la graine brando,no offense but you could probably learn something from me brando,"without offending you, you could learn something like marlon brando",Unnatural,0.73792434,0.7276675,0.010256827
en prendre de le graine,14,c'est la première fois dans l'histoire qu'une entreprise publique de la taille de dow a effectué une action qui est nettement contre sa ligne de fond simplement parce que c'est la bonne chose à faire et nos actionnaires peuvent en prendre de la graine steve,this is the first time in history that a publicly-owned company of anything near the size of dow has performed an action which is significantly against its bottom line simply because it's the right thing to do,"It's the first time in history that a company of Dow's size has taken an action clearly against its core values just because it's the right thing to do and our shareholders are going to learn a lesson, Steve.",Unnatural,0.8597501,0.8192593,0.040490806
en prendre de le graine,15,non je pense que je vais accepter la défaite et en prendre de la graine,no i'll just graciously accept defeat and try to grow from it,I think I'll accept the defeat and learn from it.,Good Translation,0.8387766,0.86088526,-0.022108674
en prendre de le graine,16,- oui tu devrais en prendre de la graine,- you should take a page from his book,- yes you should take some advice,Partial Translation,0.67315966,0.7621944,-0.089034736
en prendre de le graine,17,je devrais en prendre de la graine,maybe i should learn to take it down a notch,I should take some advice.,Unnatural,0.71081096,0.75779283,-0.04698187
en prendre de le graine,18,beaucoup d'hommes pourraient en prendre de la graine surtout celui qui m'a épousée,believe me a lot of men could take lessons from you particularly the one i'm married to,"many men could take some lessons, especially the one who married me",Good Translation,0.7891395,0.8270947,-0.037955165
en prendre de le graine,19,ma fille pourrait en prendre de la graine,my daughter could learn from you,my daughter could learn from that,Unnatural,0.7570693,0.7914014,-0.034332097
