idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
être crever,0,voilà pourquoi je suis crevée,well that's because i'm tired,here's why I'm tired,Good Translation,0.6355009,0.6742544,-0.03875351
être crever,1,attention ici le plastique est crevé,at my house i'll make you pasta,attention here the plastic is cracked,Literal Translation,0.4861827,0.90607834,-0.41989565
être crever,2,tu es crevée après ce voyage,you're tired after all that travelling,you are exhausted after this trip,Good Translation,0.7774469,0.8402418,-0.062794864
être crever,3,je suis crevée je vais me coucher,i'm off to bed,I am exhausted I am going to bed,Good Translation,0.7159678,0.69654006,0.019427717
être crever,4,votre pneu est crevé,this tire's got a hole in it,your tire is flat,Good Translation,0.6860623,0.72789794,-0.041835666
être crever,5,le réveil sonne vous vous êtes levé tôt vous êtes crevé sonné,so you get up in the morning you're exhausted groggy,the alarm rings you get up early you are exhausted,Partial Translation,0.7132895,0.7977909,-0.084501386
être crever,6,alors quand je rentre je suis crevé d'accord,so when i get home i'm tired all right,then when I get home I am exhausted agree,Good Translation,0.75934786,0.82742214,-0.068074286
être crever,7,je suis crevé j'aimerais dormir,well i'm kind of tired i'd like to go to sleep if i could,I am exhausted; I would like to sleep.,Good Translation,0.7197414,0.7147814,0.0049600005
être crever,8,vous devez être crevés non,you guys are probably pretty tired right,"you must be tired, huh",Partial Translation,0.58442354,0.6573404,-0.072916865
être crever,9,il est tard on est crevés,it's late we're tired,it is late we are exhausted,Good Translation,0.8174058,0.8216628,-0.0042569637
être crever,10,écoute je suis crevée je vais prendre une douche et me coucher,listen i'mexhausted and i just wanna take a shower and get into bed,listen I am exhausted I am going to take a shower and go to bed,Good Translation,0.7562249,0.80158466,-0.04535979
être crever,11,je suis crevé je vais me coucher,i'm tired i'm going to bed,I am tired I am going to bed,Good Translation,0.7149226,0.7137268,0.0011957884
être crever,12,je m'en fous je suis crevé,i don't care i'm exhausted i wanna go home,"I don't care, I am exhausted.",Partial Translation,0.52555895,0.5814367,-0.055877745
être crever,13,qu'est-ce que je suis crevé,man i'm tired,I am so tired,Good Translation,0.45063454,0.44427907,0.0063554645
être crever,14,comment se détendre quand on est crevé,how can a guy unlax if he's all wore out,how to relax when you're exhausted,Good Translation,0.65955925,0.8009951,-0.14143586
être crever,15,j'ai passé la nuit sur une affaire je suis crevé,i was out all night on a divorce case and i'm tired,I stayed up all night on a case I am exhausted,Good Translation,0.7694039,0.8089054,-0.039501548
être crever,16,je suis crevé j'ai besoin d'un remontant,i'm getting tired i need a pick-me-up,I am tired; I need an energy booster.,Good Translation,0.714911,0.6502296,0.06468141
être crever,17,j'étais crevé à cause des concerts et du reste mais je me sens totalement remis,well i was just kinda tired out from the concerts and everything but i'm 100 per cent better now,"I was exhausted because of the concerts and the rest, but I feel totally recovered.",Good Translation,0.850473,0.9005178,-0.050044835
être crever,18,je devais être crevé hier soir et j'ai pas fini,- i must've just gotten tired last night and i didn't finish,I was dead tired last night and I didn't finish.,Good Translation,0.83760405,0.837685,-8.094311e-05
être crever,19,t'es fou je suis crevée par le voyage,you're mad i'm worn out from the journey,you're crazy I'm tired to death from the trip,Good Translation,0.82997435,0.8221797,0.007794678
être crever,20,je suis crevé je t'appelle,yeah i'm tanked,I am exhausted I will call you,Good Translation,0.5617629,0.63666224,-0.074899316
être crever,21,- tu peux éteindre je suis crevée,turn off the light i'm beat,- you can turn off I am tired,Literal Translation,0.7118174,0.7411033,-0.029285908
être crever,22,je suis crevé ça t'ennuie,- i'm knackered do you mind,"I am exhausted, does that bother you?",Good Translation,0.6372347,0.609221,0.028013706
être crever,23,je suis crevé c'est tout,i'm just i'm just pooped that's all,I am exhausted that's all,Good Translation,0.68684864,0.6936331,-0.006784439
être crever,24,je suis crevé mad,i'm knackered mad,I am tired mad,Unnatural,0.71677256,0.70192933,0.0148432255
être crever,25,il devait être crevé,jesus he must've been knackered,he had to be tired,Good Translation,0.7347795,0.7599078,-0.025128305
être crever,26,dean il est tard je suis crevé,i'm exhausted and -- and -- and starving,Dean it's late I am tired,Partial Translation,0.5802418,0.79430073,-0.21405894
être crever,27,ben je suis crevé après deux chansons alors la troisième coûte plus cher,well i get tired after two so the third costs extra,I'm so tired after two songs then the third one costs more,Good Translation,0.7306216,0.8126654,-0.08204383
être crever,28,tu vas être crevé,don't you think you'd get a little pooped,you are going to be exhausted,Good Translation,0.5808928,0.6870216,-0.10612881
être crever,29,ah il est crevé,it's flat,ah he is tired,Mistranslation,0.55860937,0.5935215,-0.03491211
être crever,30,-après demain je suis crevée,-in two days and i'm exhausted,-after tomorrow I am tired,Partial Translation,0.6913698,0.80986416,-0.11849439
être crever,31,je suis crevée,i'm beat,I am tired,Unnatural,0.65146136,0.57082707,0.080634296
