idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
"avoir un coup de foudre,coup de foudre",0,je sais pas j'ai eu un coup de foudre,i don't know it was love at first sight,"I don't know I had a thunderbolt strike (or literally ""a lightning strike"")",Literal Translation,0.70451736,0.6795214,0.024995983
"avoir un coup de foudre,coup de foudre",1,je n'ai pas eu de coup de foudre depuis sean cassidy,i haven't had a crush since sean cassidy no way,I haven't had a crush on anyone since Sean Cassidy.,Good Translation,0.8450041,0.811617,0.033387065
"avoir un coup de foudre,coup de foudre",2,je savais que tu as eu un coup de foudre pour juan antonio,look i knew you had feelings for juan antonio the moment you saw him,I knew that you had fallen for Juan Antonio.,Good Translation,0.8462621,0.84492993,0.0013321638
"avoir un coup de foudre,coup de foudre",3,- on entend le tonnerre quand il y a un coup de foudre dans le ciel,thunderclaps are made by lightning strikes and love at first sight,-you can hear thunder when there is lightning in the sky,Literal Translation,0.5470996,0.81631887,-0.26921928
"avoir un coup de foudre,coup de foudre",4,c'est la première fois que j'ai un coup de foudre,it's the first time i've experiennced love at first sight,It's the first time I've fallen in love.,Good Translation,0.8638214,0.8543434,0.009477973
"avoir un coup de foudre,coup de foudre",5,et comme on dit j'avais un coup de foudre pour elle,and as they say i had a crush on her,and as we say I had a thunderbolt for her,Good Translation,0.89316833,0.8090385,0.08412981
"avoir un coup de foudre,coup de foudre",6,meg disait à markayla de ralentir mais markayla a eu un coup de foudre,meg kept telling markayla to slow down but markayla was head over heels,Meg told Markayla to slow down but Markayla was smitten.,Good Translation,0.87433636,0.82869196,0.045644403
"avoir un coup de foudre,coup de foudre",7,mais c'est pas ce qui se passe quand il y a un coup de foudre,but doesn't that happen in a case of love at first sight,but it's not what happens when there is lightning,Literal Translation,0.7323183,0.7685413,-0.036222994
"avoir un coup de foudre,coup de foudre",8,- on a eu un coup de foudre,love at first sight,-we had a thunderbolt (lit.),Literal Translation,0.62697005,0.65460813,-0.027638078
"avoir un coup de foudre,coup de foudre",9,avoir un coup de foudre c'est sentir le véritable amour,to experience love at first sight is to feel true love,To have a crush is to feel true love.,Mistranslation,0.7814422,0.7672806,0.014161646
"avoir un coup de foudre,coup de foudre",10,vous n'êtes pas la seule à avoir eu un coup de foudre,you know you weren't the only one that crashed,You are not alone in having been struck by lightning.,Literal Translation,0.706847,0.75377166,-0.04692465
"avoir un coup de foudre,coup de foudre",11,j'ai eu un coup de foudre,i've fallen in love,I fell head over heels in love.,Good Translation,0.7725082,0.7672946,0.0052136183
"avoir un coup de foudre,coup de foudre",12,j'ai eu un coup de foudre et j'ai tout oublié,i fell in love with someone and all my plans went out the window,I had a lightning bolt and I forgot everything.,Literal Translation,0.75569737,0.79426813,-0.03857076
"avoir un coup de foudre,coup de foudre",13,aussitôt qu'il arrive il faut qu'il ait un coup de foudre,it has to be love at first sight,"As soon as he arrives, there must be a thunderbolt for him.",Literal Translation,0.6888286,0.7585377,-0.06970912
"avoir un coup de foudre,coup de foudre",14,si tu es inquiète de voir neil tomber amoureux de quelqu'un de la façon dont je suis tombé amoureux de toi ça serait comme s'inquiéter d'avoir un coup de foudre,if you're worried about neil falling in love with someone the way i fell in love with you that's like worrying about being struck by lightning,if you are worried about seeing Neil fall in love with someone the way I fell for you it would be like being worried of getting struck by lightning,Good Translation,0.8642585,0.85720855,0.007049978
"avoir un coup de foudre,coup de foudre",15,on a eu un coup de foudre dans le tram,we met on a tram love at first sight,we had a lightning strike in the tram,Literal Translation,0.85857254,0.7975789,0.06099367
"avoir un coup de foudre,coup de foudre",16,j'ai presque eu un coup de foudre comme pour une fille,it was like falling in love with a woman at first sight,I almost had a lightning bolt like for a girl.,Literal Translation,0.7672693,0.8514212,-0.084151864
"avoir un coup de foudre,coup de foudre",17,une fois j'ai eu un coup de foudre d'ascenseur,one time i had an elevator crush,Once I had a lightning strike of an elevator.,Good Translation,0.8750441,0.8159095,0.059134603
"avoir un coup de foudre,coup de foudre",18,alors qu'il est clair que tu as un coup de foudre passager pour lui,tutoring you when it's quite clear that you've developed an infatuation for him who says,while it's clear that you have a fleeting crush on him,Good Translation,0.7344302,0.8537249,-0.1192947
"avoir un coup de foudre,coup de foudre",19,moi aussi mais on n'a pas eu de coup de foudre,so do i but we didn't love each other at first either,I felt it too but we didn't have that kind of spark.,Good Translation,0.7166859,0.7899987,-0.07331282
"avoir un coup de foudre,coup de foudre",20,il faut essayer de deviner quel garçon a un coup de foudre pour toi,you try to figure out which cute boy has a crush on you,you have to try and guess which boy has a crush on you,Good Translation,0.8443291,0.86997354,-0.025644422
"avoir un coup de foudre,coup de foudre",21,hé vous n'avez jamais eu de coup de foudre,hey have you ever experienced love at first sight,You've never been struck by love?,Partial Translation,0.62464833,0.7798265,-0.15517819
"avoir un coup de foudre,coup de foudre",22,il a eu un coup de foudre pour moi bien sûr,bit of a crush on me of course yeah,he had a crush on me of course,Good Translation,0.7695019,0.89077985,-0.12127793
"avoir un coup de foudre,coup de foudre",23,j'ai eu un coup de foudre alors j'ai tué le vieux couple qui habitait ici,i fell in love at first sight and then i killed the old couple who lived here,I had a lightning bolt of inspiration so I killed the old couple who lived here,Literal Translation,0.8844895,0.88178086,0.0027086139
"avoir un coup de foudre,coup de foudre",24,- en voyant la maison j'ai eu un coup de foudre,i immediately fell in love with this house,- I fell in love with the house as soon as I saw it,Good Translation,0.8220213,0.8514242,-0.029402912
"avoir un coup de foudre,coup de foudre",25,elle a un coup de foudre,she falls in love with him right there and then,"she has had an epiphany, she is smitten, or she's struck by lightning",Good Translation,0.78099406,0.7135022,0.06749183
"avoir un coup de foudre,coup de foudre",26,tu as eu un coup de foudre pour une fille de 8 ans,you had a crush on an eight-year-old,you had a crush on an 8-year-old girl,Good Translation,0.843595,0.8881228,-0.04452777
"avoir un coup de foudre,coup de foudre",27,il y en a une qui a un coup de foudre amical,ugh someone has a friend crush,There's one who has a friendly crush on him.,Good Translation,0.7513326,0.7479467,0.0033859015
"avoir un coup de foudre,coup de foudre",28,on a eu un coup de foudre,we had a whirlwind romance,We had a whirlwind romance.,Unnatural,0.6883434,0.7039496,-0.015606165
