idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
être à le ouest,0,- c'est à l'ouest ça,that's way out west,It's west there.,Unnatural,0.7485126,0.75152576,-0.003013134
être à le ouest,1,t'es à l'ouest,you're way off track,You're out west.,Partial Translation,0.65719676,0.73597217,-0.078775406
être à le ouest,2,tu es à l'ouest,you're shoeless,You are to the west.,Mistranslation,0.61611843,0.78855175,-0.17243332
être à le ouest,3,tu es à l'ouest aujourd'hui,you're a million miles away right now,You are in the west today.,Literal Translation,0.6595216,0.8365309,-0.17700934
être à le ouest,4,on est à l'ouest du mississippi,we are west of the mississippi,We are west of the Mississippi.,Good Translation,0.91941756,0.8542619,0.065155685
être à le ouest,5,j'ai l'impression d'être à l'ouest,i feel like such a stupid mess,I have the impression of being in the West.,Literal Translation,0.67167145,0.90177375,-0.2301023
être à le ouest,6,l'île est à l'ouest de nous hugh,the island's to the west of us hugh,The island is to the west of us Hugh.,Unnatural,0.90542215,0.8954672,0.009954929
être à le ouest,7,t'étais à l'ouest,you were gone,You were in the west,Literal Translation,0.6702155,0.86587304,-0.19565755
être à le ouest,8,non je veux pas baiser avec elle je dis que beaucoup aimeraient baiser le premier ministre si nyborg était premier ministre - mais t'es à l'ouest - pourquoi,i bet lots of people would want to fuck the prime minister if it were nyborg i've never heard anyone talk about fucking a prime minister,no I don't want to have sex with her I say that many people would like to sleep with the prime minister if Nyborg were PM - but you're in the west - why,Literal Translation,0.6879143,0.8515771,-0.16366279
être à le ouest,9,kesan est à l'ouest d'istanbul près de la frontière grecque,kesan is west near the greek borders,Kesan is located west of Istanbul near the Greek border.,Good Translation,0.8664162,0.84071803,0.025698185
être à le ouest,10,ouais j'ai bien entendu mais je préfère oublier ce que tu as dit par ce que t'es à l'ouest,yeah i did hear you but i'm going to forget what you said because you're not thinking straight,Yes I've heard you but I prefer to forget what you said because of where you're from.,Literal Translation,0.7781211,0.86465544,-0.08653432
être à le ouest,11,nous sommes à l'ouest de votre position,we're directly west of you,We are to the west of your position.,Good Translation,0.8307593,0.92509294,-0.09433365
être à le ouest,12,- c'est à l'ouest de la 57e rue,it's over on west 57th,It's to the west of 57th Street.,Good Translation,0.7304764,0.88284826,-0.15237188
être à le ouest,13,le site est à l'ouest du lac rudolph dans la région de turkana,the site is right west of lake rudolf in the turkana district,The site is to the west of Rudolf Lake in the Turkana region.,Good Translation,0.92983156,0.8547411,0.07509047
être à le ouest,14,- non on est à l'ouest la belle banlieue ouest,the nice part of the western suburbs,- no we are in the west the beautiful western suburb,Literal Translation,0.66141546,0.8352639,-0.17384845
être à le ouest,15,j'étais à l'ouest à peu prés tout le temps,i was pretty much wasted the whole time,I was out west most of the time.,Literal Translation,0.69600093,0.8687186,-0.17271769
