idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
tenir à le courant,0,j'appelais juste pour vous tenir au courant des nouvelles,i'm just calling to give you an update,I called just to keep you updated on the news.,Good Translation,0.87994814,0.9364104,-0.056462288
tenir à le courant,1,tu dois te tenir au courant,- hello mr lewis - how you doing,you must keep up with,Good Translation,0.5169023,0.8181566,-0.30125427
tenir à le courant,2,histoire que la police nous tienne au courant de l'enquête,at least have nypd keep us in the loop on the investigation,history that the police keep us informed of the investigation,Unnatural,0.7742342,0.94720495,-0.17297077
tenir à le courant,3,c'est une grosse enquête le directeur assistant a besoin de savoir qu'il sera tenu au courant sans fioritures donc,it's a major case the assistant director needs to know he's getting the facts without spin so,it's a major investigation the assistant director needs to know that he will be kept updated without any embellishments therefore,Good Translation,0.81214285,0.90768963,-0.09554678
tenir à le courant,4,et j'apprécierais que vous me teniez au courant si quelque chose est découvert,and i'd appreciate it if you let me know when anything else comes up,and I would appreciate it if you kept me informed if anything is discovered,Good Translation,0.89516103,0.96686685,-0.07170582
tenir à le courant,5,pendant que tu te maîtrisais tu aurais pu m'appeler pour me tenir au courant,well while you were busy pulling punches you couldn't have given me a call let me know what was going on,while you were composed you could have called me to keep me informed,Good Translation,0.7398133,0.86539817,-0.12558484
tenir à le courant,6,je parlerai à kagen demain je vous tiens au courant,i gotta talk to kagen tomorrow i'll get back to you,I will talk to Kagen tomorrow I keep you updated,Partial Translation,0.89701664,0.9527534,-0.05573678
tenir à le courant,7,on te tient au courant,you'll hear soon princess,we keep you informed,Good Translation,0.63751674,0.9336245,-0.29610777
tenir à le courant,8,je ne suis pas fou de joie d'entendre ça mais il faut se tenir au courant,i'm not exactly bursting to hear it either we've gotta know what's going on,"I am not ecstatic to hear that, but we need to stay informed.",Good Translation,0.7936009,0.889396,-0.095795095
tenir à le courant,9,c'est une petite ville j'ai pensé te tenir au courant,well it's a town thing and i thought you should know,it's a small town I thought I'd keep you updated,Good Translation,0.83174264,0.91896784,-0.0872252
tenir à le courant,10,je te tiendrais au courant d'accord,i'll fill you in okay,I will keep you informed agreed,Good Translation,0.70133364,0.91372514,-0.2123915
tenir à le courant,11,merci de m'avoir tenue au courant de la situation david,all right,thank you for keeping me informed about the situation david,Good Translation,0.5301785,0.97406054,-0.44388205
tenir à le courant,12,kitt a dit qu'ils s'occupaient de tout mais qu'il nous tiendrait au courant,kitt said they'd take it from here but uh they'd keep us in the loop,Kit said they were taking care of everything but would keep us updated.,Good Translation,0.82430625,0.93444943,-0.110143185
tenir à le courant,13,pourquoi est-ce que je n'ai pas été tenue au courant de ce rendez-vous,why wasn't i looped in about this meeting,why wasn't I kept informed about this meeting,Good Translation,0.86568046,0.9283045,-0.06262404
