idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
boire un coup,0,tu as une mine terrible je vais boire un coup,well did you get to meet him before he died,You look awful; I'm going to have a drink.,Literal Translation,0.4547212,0.7971571,-0.3424359
boire un coup,1,la fille menace de réduire notre cité en cendre et vous voulez l'inviter à boire une coupe de vin,the girl threatens to burn our city to the ground and you would invite her in for a cup of wine,the girl threatens to reduce our city to ashes and you want to invite her to drink a cup of wine.,Good Translation,0.9119712,0.9295316,-0.017560363
boire un coup,2,chez nous - boire un coup - je viens,back to our place for a drink,At home - having a drink - I'm coming,Good Translation,0.76914585,0.86001617,-0.09087032
boire un coup,3,vous voulez boire un coup,do you guys wanna take care of your drinks,Do you want a drink?,Literal Translation,0.766684,0.836048,-0.06936401
boire un coup,4,faut que je boive un coup,i need a drink,I need a drink.,Good Translation,0.86658144,0.8561578,0.01042366
boire un coup,5,millie ne sera pas choquée de voir quelqu'un boire un coup,millie won't be shocked to see somebody take a drink,Millie won't be shocked to see someone have a drink.,Good Translation,0.95482445,0.92630506,0.028519392
boire un coup,6,tu devrais boire un coup,you'd better have a little drink,You should have a drink.,Good Translation,0.85638785,0.85381126,0.0025765896
boire un coup,7,allons viens boire un coup,let's have a drink and talk it over,Let's go have a drink.,Literal Translation,0.82028854,0.8850162,-0.064727664
boire un coup,8,il y a trop de monde à la plage pour boire un coup à l'aise,it's too crowded down on the beach to drink in comfort,There are too many people at the beach to have a drink in peace.,Good Translation,0.91808033,0.9132743,0.0048060417
boire un coup,9,- 2 heures de marche pour descendre voir une fille ou boire un coup,it's 2 hours walking if you want to see a girl or drink something,- Two hours of walking to go see a girl or have a drink,Good Translation,0.89829797,0.93127334,-0.032975376
boire un coup,10,on a rendez-vous pour boire un coup,we're having a drink later,We're meeting to have a drink.,Unnatural,0.81068164,0.9040911,-0.09340948
boire un coup,11,je--j'ai besoin de boire un coup,i--i need a beverage,I - I need a drink.,Good Translation,0.9000677,0.9040537,-0.003986001
boire un coup,12,alors que ma subordonnée rapportait les preuves au commissariat elle s'arrêta en chemin à un hôtel pour boire un coup,my detective was taking the bag of evidence back to the station and she stopped at a hotel on the way for a drink,while my subordinate was reporting the evidence to the police station she stopped on her way at a hotel to have a drink.,Good Translation,0.815427,0.91475725,-0.09933025
boire un coup,13,- hé tu veux aller boire un coup passer le temps,hey do you want to go grab a drink catch up,- hey you want to go have a drink pass some time,Good Translation,0.8143641,0.944126,-0.12976193
boire un coup,14,c'est atroce on va boire un coup,the horror you know what,That's atrocious let's have a drink,Good Translation,0.54563797,0.8564142,-0.31077623
boire un coup,15,on ira boire un coup ok,have a few beers yeah,Let's go get a drink okay.,Good Translation,0.6687678,0.67657554,-0.0078077316
boire un coup,16,j'allais boire un coup,you know i was about to go get a drink,I was going to have a drink.,Good Translation,0.7903361,0.801209,-0.0108729005
boire un coup,17,on va boire un coup alors,yes sir,Let's have a drink then.,Unnatural,0.5103595,0.8717578,-0.36139828
boire un coup,18,il veut peut-être boire un coup,maybe he wants a drink,he might want to have a drink,Good Translation,0.9514386,0.9542911,-0.0028524995
boire un coup,19,qui veut boire un coup,who wants to grab a drink,Who wants a drink,Good Translation,0.91214323,0.90558463,0.006558597
boire un coup,20,je suis allé boire un coup,then we went someplace,I went to have a drink.,Good Translation,0.65305823,0.85363096,-0.20057273
boire un coup,21,- hé tu veux boire un coup,- hey you want to drink some,- hey you want to have a drink?,Good Translation,0.91424847,0.8847928,0.029455662
boire un coup,22,on peut donc arrêter l'exercice et boire un coup,good then we can break training and drink these,We can therefore stop exercising and have a drink.,Good Translation,0.82638496,0.8959101,-0.06952512
boire un coup,23,si on sortait boire un coup,how about going out for drinks,If we go and have a drink,Good Translation,0.82069474,0.83254766,-0.01185292
boire un coup,24,viens allons boire un coup chez moi parrain,come and have a drink at my home godfather,"Come on, let's have a drink at my place, godfather.",Good Translation,0.76846,0.7829286,-0.01446861
boire un coup,25,je vais rentrer dans mon petit pool house et boire une coupe de champagne à ma santé,i think i'm gonna go back to my little pool house and toast myself with a glass of champagne,I'm going to go back to my little pool house and have a glass of champagne to my health,Good Translation,0.9055938,0.950723,-0.04512918
boire un coup,26,oh on dirait que tu as besoin de boire un coup,oh looks like you could use a new drink,It looks like you could use a drink.,Good Translation,0.8412704,0.8285489,0.012721479
boire un coup,27,j'ai besoin de boire un coup,i need a drink,I need a drink.,Good Translation,0.9136665,0.8995405,0.014126003
boire un coup,28,viens on va boire un coup,let's go get a drink,"Come on, let's have a drink.",Good Translation,0.9040113,0.8837806,0.02023071
boire un coup,29,qui veut boire un coup,who wants a drink,Who wants to have a drink,Good Translation,0.90964794,0.9212247,-0.011576772
boire un coup,30,- père jack veut boire un coup,- father jack wants a drink,-father Jack wants to have a drink,Unnatural,0.9496541,0.94192684,0.0077272654
boire un coup,31,viens boire un coup ce soir,aren't you coming with us,Come and have a drink this evening.,Good Translation,0.5845652,0.88570446,-0.30113924
boire un coup,32,on va boire un coup,come on time to sink some piss eh,Let's have a drink.,Good Translation,0.62674695,0.8451369,-0.21838993
boire un coup,33,votre dame amènera son ouvrage et on causera et nous on boira un coup en regardant la télé,the women can talk and we can have a drink,Your lady will bring her work and we'll chat and we'll have a drink while watching TV.,Good Translation,0.7074519,0.8702006,-0.1627487
boire un coup,34,- on va boire un coup,we're going to have a drink,- let's have a drink,Good Translation,0.85527134,0.875483,-0.020211637
boire un coup,35,sylvie et shylah m'emmènent boire un coup pour me changer les idées,sylvie and shylah are taking me out to happy hour just to get my mind off of it,Sylvie and Shylah are taking me out for a drink to get my mind off things.,Good Translation,0.8063555,0.8525324,-0.04617691
boire un coup,36,de l'argent pour vous soigner ou aller boire un coup,use the rest to get a drink or two,money to take care of yourself or go get a drink,Good Translation,0.7040247,0.8871427,-0.18311805
boire un coup,37,un professeur insistait pour m'inviter à boire un coup,this professor kept inviting me for a drink,a professor kept insisting that I join him for a drink,Good Translation,0.90489876,0.9214839,-0.016585112
boire un coup,38,on va aller boire un coup ou voir un film,we're gonna have a drink or see a movie or something,We're going to go grab a drink or see a movie.,Good Translation,0.92260516,0.91931903,0.0032861233
boire un coup,39,- faut qu'on boive un coup,- we need to have a drink,We need a drink.,Good Translation,0.8982607,0.8264036,0.071857095
boire un coup,40,on va boire un coup ce soir,let's have a drink tonight it's been a while,We'll have a drink tonight.,Unnatural,0.83221745,0.89255893,-0.060341477
boire un coup,41,je vais boire un coup,i'm gonna have a drink,I'm going to have a drink.,Good Translation,0.86561906,0.8599077,0.0057113767
boire un coup,42,je suis venu te demander si tu voulais aller boire un coup,i just came to see if you want to go for a drink,I came to ask if you wanted to go have a drink with me.,Good Translation,0.88065904,0.90288347,-0.022224426
boire un coup,43,kim m'a dit de venir boire un coup,kim told me to come for a drink,Kim told me to come and have a drink,Good Translation,0.9526911,0.93692875,0.01576233
boire un coup,44,tu voudrais je sais pas aller boire un coup,you wanna i don't know get a beer sometime,"You'd like to go have a drink, I suppose?",Good Translation,0.7788434,0.7283149,0.050528526
boire un coup,45,on pourra y boire un coup,we can have a drink there,We'll go there and have a drink.,Good Translation,0.8914436,0.8175073,0.07393628
boire un coup,46,écoute on se retrouve au square pour boire un coup avant,let's meet up for a drink in front of the square,listen we'll meet up at the square to have a drink beforehand,Good Translation,0.8921713,0.92882895,-0.03665763
boire un coup,47,vous croyez qu'il va s'asseoir et boire un coup,you really think he's going to sit up and take a drink,You think he's going to sit down and have a drink.,Good Translation,0.9026076,0.89202714,0.01058048
boire un coup,48,ah oui je vais boire un coup,- i'm going to get something to drink,Ah yes I'm going to have a drink,Good Translation,0.8093413,0.871578,-0.062236667
boire un coup,49,j'ai envoyé une bouteille de champagne de l'autre côté du rideau et paul est venu boire une coupe avec nous,what i had done was send a bottle of champagne back through the curtain and paul came out and shared a glass of champagne with us,I sent a bottle of champagne from the other side of the curtain and Paul came to join us for a glass.,Good Translation,0.8959165,0.9011874,-0.0052708983
boire un coup,50,on va boire un coup,want to get a drink,Let's have a drink.,Good Translation,0.8434794,0.8451369,-0.001657486
boire un coup,51,- tu veux boire un coup,- want a drink,- do you want to have a drink?,Good Translation,0.88749313,0.8656684,0.021824718
