idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
avoir un autre chat à fouetter,0,et je n'ai pas eu l'occasion de t'en parler parce qu'on avait d'autres chats à fouetter,and i didn't get a chance to tell you because we had bigger fish to fry,and I didn't have the chance to tell you about it because we had other fish to fry,Good Translation,0.766318,0.8180415,-0.05172348
avoir un autre chat à fouetter,1,pour le moment on a d'autres chats à fouetter,but right now we got bigger fish to fry,for now we have other cats to skin,Unnatural,0.70720613,0.86027837,-0.15307224
avoir un autre chat à fouetter,2,ils ont d'autres chats à fouetter,sounds like they have other things to worry about right now,They have other fish to fry,Unnatural,0.69566107,0.770265,-0.074603915
avoir un autre chat à fouetter,3,oh non j'ai d'autres chats à fouetter,- no i've got other work to do,"oh no, I have other cats to whip",Literal Translation,0.7516555,0.8856071,-0.1339516
avoir un autre chat à fouetter,4,j'ai d'autres chats à fouetter,he'll say don't bother me i'm too busy,I have other fish to fry,Good Translation,0.47841108,0.74332845,-0.26491737
avoir un autre chat à fouetter,5,elle a d'autres chats à fouetter que toi,she's got much bigger things to worry about than you,She has other fish to fry than you.,Good Translation,0.75630224,0.77561307,-0.019310832
avoir un autre chat à fouetter,6,mais nabot avait d'autres chats à fouetter,but shorty had his hands full,but Nabot had other fish to fry,Unnatural,0.5099542,0.8204838,-0.3105296
avoir un autre chat à fouetter,7,nous avons d'autres chats à fouetter,come on we have things to do,we have other fish to fry,Good Translation,0.68157434,0.7680404,-0.086466074
avoir un autre chat à fouetter,8,honnêtement j'ai d'autres chats à fouetter,honestly i have bigger problems than this,"honestly, I have other fish to fry",Good Translation,0.68887866,0.7859951,-0.09711647
avoir un autre chat à fouetter,9,qui pensait qu'on aurait d'autres chats à fouetter,who'd ever think that we'd have bigger fish to fry,who thought we had other fish to fry,Good Translation,0.6392809,0.726732,-0.0874511
avoir un autre chat à fouetter,10,avec dieu il a d'autres chats à fouetter,i think he's got bigger things on his plate,with God he has other fish to fry,Good Translation,0.6244257,0.7787727,-0.154347
avoir un autre chat à fouetter,11,ne le prends pas mal mais j'ai d'autres chats à fouetter,no offence but i really don't have time for this,don't take it amiss but I have other fish to fry,Good Translation,0.5873071,0.7583738,-0.1710667
avoir un autre chat à fouetter,12,ils avaient d'autres chats à fouetter,they've got bigger fish,they had other fish to fry,Good Translation,0.6565664,0.75922257,-0.102656186
avoir un autre chat à fouetter,13,quand l'offensive sera déclenchée on aura d'autres chats à fouetter,there'll be no time for that when the offensive begins,"when the offensive is launched, we'll have other fish to fry",Good Translation,0.61730784,0.75184566,-0.13453782
avoir un autre chat à fouetter,14,la marine a d'autres chats à fouetter,the navy's got other things to do,the navy has other fish to fry,Good Translation,0.7478946,0.78235906,-0.03446448
avoir un autre chat à fouetter,15,ii va falloir trouver une solution j'ai d'autres chats à fouetter,well that's too bad you're gonna have to figure that one out because you know i got stuff going on,We'll have to find a solution; I have other fish to fry.,Good Translation,0.6231574,0.7695697,-0.14641231
avoir un autre chat à fouetter,16,nous aurons d'autres chats à fouetter,tomorrow we have other cats to meet,we have other fish to fry,Good Translation,0.8172425,0.7360426,0.081199884
avoir un autre chat à fouetter,17,on a d'autres chats à fouetter chérie,we got bigger fish to fry honey,we have other fish to fry sweetheart,Good Translation,0.6003809,0.761356,-0.1609751
avoir un autre chat à fouetter,18,elle a d'autres chats à fouetter,clemente's got bigger fish to fry,she has other fish to fry,Good Translation,0.59577,0.78586185,-0.19009185
avoir un autre chat à fouetter,19,arrête on a d'autres chats à fouetter,shut up focus on the job,"arrive already, we have other cats to whip",Unnatural,0.60804623,0.79316384,-0.1851176
avoir un autre chat à fouetter,20,j'ai d'autres chats à fouetter par ici,i've a lot of irons in the fire around here,I have other fish to fry here,Good Translation,0.629774,0.7728454,-0.14307141
avoir un autre chat à fouetter,21,t'as d'autres chats à fouetter,easy dude i think you got bigger things to worry about,you have other fish to fry,Good Translation,0.59278286,0.71217084,-0.119387984
avoir un autre chat à fouetter,22,on a d'autres chats à fouetter,we got bigger fish to fry,we have other cats to whip,Unnatural,0.651605,0.85118973,-0.19958472
avoir un autre chat à fouetter,23,je sais que tu as d'autres chats à fouetter,i know you got your plate full these days,I know you have other fish to fry.,Good Translation,0.6442237,0.7718808,-0.12765712
avoir un autre chat à fouetter,24,- j'ai d'autres chats à fouetter,- i've other fucking business,- I have other fish to fry,Good Translation,0.7380638,0.7856673,-0.047603488
avoir un autre chat à fouetter,25,j'ai d'autres chats à fouetter pour le moment,i got more important things to worry about right now,I have other fish to fry for now.,Good Translation,0.67999876,0.7546092,-0.07461047
avoir un autre chat à fouetter,26,la peste soit de leur maison nous avons d'autres chats à fouetter,a plague on both their houses we have to look after ourselves now,may the plague be upon their house we have other cats to whip,Unnatural,0.64661497,0.8240057,-0.17739075
avoir un autre chat à fouetter,27,salue-la bien de ma part elle était gentille avec moi j'ai d'autres chats à fouetter,when she comes back tell her it was nice but i've got other things to take care of,she greeted her well on my behalf; she was nice to me; I have other fish to fry.,Good Translation,0.7113296,0.7884284,-0.07709885
avoir un autre chat à fouetter,28,on s'est dit que tu avais d'autres chats à fouetter,we just figured you had other things to,We thought you had other fish to fry.,Good Translation,0.7394035,0.74910784,-0.009704351
avoir un autre chat à fouetter,29,vous avez d'autres chats à fouetter,you have other things to do,you have other cats to whip,Unnatural,0.6898129,0.8264642,-0.13665128
avoir un autre chat à fouetter,30,entre nous elle a d'autres chats à fouetter,between me and you she's got bigger problems,between us she has other fish to fry,Good Translation,0.674422,0.8037131,-0.12929106
avoir un autre chat à fouetter,31,en ce moment on a d'autres chats à fouetter,right now we got bigger fish to fry,right now we have other cats to whip,Unnatural,0.7084327,0.87724364,-0.16881096
avoir un autre chat à fouetter,32,la culture ne m'intéresse pas j'ai d'autres chats à fouetter,trend of the times,the culture doesn't interest me I have other fish to fry,Unnatural,0.42170548,0.83827364,-0.41656816
avoir un autre chat à fouetter,33,nous avons d'autres chats à fouetter pour l'instant,because now we have more important matters to attend to,we have other fish to fry for now,Good Translation,0.6112567,0.7852741,-0.17401737
avoir un autre chat à fouetter,34,j'ai d'autres chats à fouetter en ce moment,i have bigger fish to fry at the moment,I have other fish to fry at the moment.,Good Translation,0.73291814,0.75902534,-0.026107192
avoir un autre chat à fouetter,35,mais j'ai d'autres chats à fouetter,but i've got bigger fish to fry,but I have other fish to fry,Good Translation,0.73799384,0.76080674,-0.022812903
avoir un autre chat à fouetter,36,- tu penses pas que j'ai d'autres chats à fouetter,don't you think i have other things on my mind,- you don't think I have other fires to tend,Unnatural,0.72070384,0.7813242,-0.060620368
avoir un autre chat à fouetter,37,on a d'autres chats à fouetter en ce moment,we've got much bigger fish to fry right now,We have other fish to fry right now.,Unnatural,0.69209605,0.7464139,-0.054317832
avoir un autre chat à fouetter,38,on penserait que musso a d'autres chats à fouetter comme la guerre par exemple,you'd think musso would have other things on his mind- like the war for instance,"one would think that Musso has other fish to fry, like war for example",Good Translation,0.7948254,0.8336444,-0.038819015
avoir un autre chat à fouetter,39,on a d'autres chats à fouetter maintenant berry,we got bigger fish to fry now berry,We have other cats to whip now Berry,Good Translation,0.71037734,0.8399513,-0.12957394
avoir un autre chat à fouetter,40,mais nous avons d'autres chats à fouetter,but this is no time to be fighting them,but we have other fish to fry,Good Translation,0.5148664,0.782504,-0.2676376
avoir un autre chat à fouetter,41,simon a d'autres chats à fouetter,simon has enough on his mind,Simon has other fish to fry,Unnatural,0.7382991,0.75419176,-0.015892684
avoir un autre chat à fouetter,42,on a d'autres chats à fouetter en ce moment,i think we have enough of other worries for now,We have other cats to whip at the moment.,Literal Translation,0.58549976,0.8503409,-0.26484114
avoir un autre chat à fouetter,43,maintenant j'ai d'autres chats à fouetter,now i've got other things to think about,now I have other cats to stir,Unnatural,0.7122747,0.87852067,-0.166246
avoir un autre chat à fouetter,44,ne penses-tu pas qu'il a d'autres chats à fouetter,don't you think he has bigger fish to fry,don't you think he has other cats to fuss over,Unnatural,0.69218946,0.83487725,-0.1426878
avoir un autre chat à fouetter,45,de toute façon j'ai d'autres chats à fouetter,besides even if i want to do business you know i got other pressing issues on my mind right now,in any case I have other fish to fry,Good Translation,0.61438936,0.7643734,-0.14998406
avoir un autre chat à fouetter,46,- j'ai d'autres chats à fouetter,- i got too much to do,- I have other fish to fry,Good Translation,0.63957906,0.7856673,-0.14608824
avoir un autre chat à fouetter,47,on a d'autres chats à fouetter nous,we have other fish to fry,we have other cats to whip us,Literal Translation,0.7395764,0.8816258,-0.14204937
avoir un autre chat à fouetter,48,c'est pas comme s'ils avaient d'autres chats à fouetter dans une ville de 4 millions d'habitants,not like there's much else going on in a city of four million people,it's not like they have other cats to whip in a city of 4 million inhabitants,Literal Translation,0.76595104,0.9032171,-0.13726604
avoir un autre chat à fouetter,49,si vous le permettez j'ai d'autres chats à fouetter,now if you'll excuse me i got other work to attend to,"if you'll excuse the expression, I have other fish to fry",Good Translation,0.6653974,0.72733426,-0.061936855
avoir un autre chat à fouetter,50,j'ai un autre chat à fouetter,i got bigger fish to fry,I have another cat to whip.,Literal Translation,0.6758598,0.84887755,-0.17301774
avoir un autre chat à fouetter,51,et puis j'ai d'autres chats à fouetter,that's all right it's the least of my worries right now,and then I have other cats to whip,Literal Translation,0.40731716,0.8828498,-0.47553265
avoir un autre chat à fouetter,52,on a d'autres chats à fouetter d'accord,we've got bigger problems to worry about than tv okay,"we have other fish to fry, agree?",Good Translation,0.5500996,0.71087635,-0.16077673
avoir un autre chat à fouetter,53,mais matilda avait d'autres chats à fouetter,but now matilda had bigger fish to fry,but matilda had other fish to fry,Good Translation,0.73341733,0.79364157,-0.060224235
avoir un autre chat à fouetter,54,ils ont d'autres chat à fouetter,they got bigger fish to fry,they have other fish to fry,Good Translation,0.67270315,0.77117777,-0.09847462
avoir un autre chat à fouetter,55,fegelein j'ai d'autres chats à fouetter,fegelein i have other concerns,"Fegelein, I have other fish to fry.",Good Translation,0.75701165,0.7984652,-0.04145354
avoir un autre chat à fouetter,56,les gars je crois qu'on a d'autres chats à fouetter pour l'instant,guys i think we got bigger fish to fry right now,guys I think we have other fish to fry for now,Good Translation,0.74856526,0.806093,-0.05752772
avoir un autre chat à fouetter,57,nous avons d'autres chats à fouetter,we have much more pressing matters to deal with,we have other cats to whip,Literal Translation,0.63318294,0.8662865,-0.23310357
avoir un autre chat à fouetter,58,non on a d'autres chats à fouetter pour l'instant del,no we got other fish to fry just now del,"no, we have other cats to bother for now delete",Unnatural,0.7950027,0.7746023,0.020400405
avoir un autre chat à fouetter,59,johnson a d'autres chats à fouetter il nous ignorera s'il le peut,right now johnson has other fish to fry and he'll ignore us if he can,Johnson has other fish to fry; he will ignore us if he can.,Good Translation,0.84612685,0.8148553,0.031271577
avoir un autre chat à fouetter,60,on a demandé le nem mais j'imagine qu'ils ont d'autres chats à fouetter,we called for someone from eod but i guess they got better things to do,they were asked about the nem but I imagine they have other fish to fry,Unnatural,0.60357606,0.78707755,-0.18350148
avoir un autre chat à fouetter,61,quant à m l'entraîneur il avait d'autres chats à fouetter,as for coach he had bigger things to worry about,"as for me, the coach had other fish to fry",Unnatural,0.7266604,0.7763121,-0.049651742
avoir un autre chat à fouetter,62,- non on a d'autres chats à fouetter,we have bigger fish to fry,"- no, we have other cats to stir",Unnatural,0.64030516,0.88385755,-0.24355239
avoir un autre chat à fouetter,63,et j'ai d'autres chats à fouetter que nathan,i have other problems to deal with besides nathan,and I have other fish to fry than nathan,Good Translation,0.7951834,0.8101076,-0.014924169
avoir un autre chat à fouetter,64,eh bien j'ai l'impression qu'il a d'autres chats à fouetter,it's my impression he's got a lot of fish to fry,well I have the impression that he has other cats to bother,Unnatural,0.69750404,0.8832669,-0.18576288
avoir un autre chat à fouetter,65,franchement nous avons d'autres chats à fouetter avec szofi demir,frankly the us government has bigger fish to fry with szofi demir,frankly we have other fish to fry with Szofi Demir,Good Translation,0.67476994,0.7348826,-0.060112655
avoir un autre chat à fouetter,66,- on a d'autres chats à fouetter,- we have bigger problems,- we have other fish to fry,Good Translation,0.63534033,0.77370346,-0.13836312
avoir un autre chat à fouetter,67,ils ont d'autres chats à fouetter pour le moment,they're otherwise occupied at the moment,They have other fish to fry for the moment.,Unnatural,0.74296623,0.7646388,-0.021672547
avoir un autre chat à fouetter,68,tu as d'autres chats à fouetter pour l'instant j'insiste,none of this is important to you right now none of it,you have other fish to fry for now I insiste,Unnatural,0.46533597,0.7905389,-0.32520294
avoir un autre chat à fouetter,69,comme vous voyez j'ai d'autres chats à fouetter,as you can see i've got bigger fish to fry,"as you can see, I have other fish to fry",Good Translation,0.750692,0.7835351,-0.032843113
avoir un autre chat à fouetter,70,le gouverneur avait d'autres chats à fouetter - je craignais de vous déranger,the governor had other fish to fry i did not want to intrude,the governor had other fish to fry - I feared disturbing you,Good Translation,0.706502,0.83034426,-0.12384224
avoir un autre chat à fouetter,71,la police a d'autres chats à fouetter que nous,it's the ideal time the police will have their hands full,the police have other fish to fry than us,Good Translation,0.63907844,0.8272817,-0.18820328
avoir un autre chat à fouetter,72,en attendant on a d'autres chats à fouetter,meanwhile we got other fish to fry,"while we're waiting, there are other cats to whip",Good Translation,0.7490956,0.86972153,-0.12062591
avoir un autre chat à fouetter,73,ils ont d'autres chats à fouetter à i'instant,they have bigger things to worry about right now,They have other fish to fry at the moment.,Unnatural,0.6984794,0.7572647,-0.05878526
avoir un autre chat à fouetter,74,tony a d'autres chats à fouetter pour l'instant,i think tony's got other things on his mind right now mcgee,Tony has other fish to fry for now.,Good Translation,0.7387929,0.75346005,-0.014667153
avoir un autre chat à fouetter,75,pour l'instant il a d'autres chats à fouetter,right now house has more important things to deal with,for now he has other cats to stew over,Good Translation,0.6771567,0.8479178,-0.17076111
avoir un autre chat à fouetter,76,j'ai d'autres chats à fouetter tu sais,i got bigger fish to fry you know,"I have other fish to fry, you know",Good Translation,0.6972749,0.7479727,-0.050697803
avoir un autre chat à fouetter,77,bon j'ai d'autres chats à fouetter,right i've got a thousand other punters to deal with,good thing I have other cats to fuss over,Literal Translation,0.69154763,0.7868407,-0.095293045
avoir un autre chat à fouetter,78,mais on a d'autres chats à fouetter,but right now we have bigger fish to fry,but we have other fish to fry,Good Translation,0.69604385,0.7531515,-0.057107627
avoir un autre chat à fouetter,79,tu as d'autres chats à fouetter,i think you got better things to worry about,you have other fish to fry,Good Translation,0.6302178,0.72454935,-0.09433156
avoir un autre chat à fouetter,80,ben c'est pas tout ça mais j'ai d'autres chats à fouetter à plus titoune,well i'd love to stay but i have to be somewhere,well it's not everything but I have other fish to fry see you laterTitoune,Mistranslation,0.49939045,0.7321035,-0.23271307
avoir un autre chat à fouetter,81,je le gardais en vie pour avoir des organes de rechange mais j'ai d'autres chats à fouetter je vais le tuer,i was keeping him alive in case i ever needed some spare body parts but now that the cat's out of the bag i'm gonna kill him,I kept it alive to have replacement organs but I have other fish to fry I'm going to kill it,Good Translation,0.7866339,0.77462184,0.012012064
avoir un autre chat à fouetter,82,ça ne nous a pas fait plaisir mais franchement on a d'autres chats à fouetter,we're certainly not happy about that but frankly we've got bigger fish to fry,That didn't please us but honestly we have other fish to fry.,Good Translation,0.7266375,0.7678569,-0.041219413
avoir un autre chat à fouetter,83,désolé pour votre soirée mais j'ai d'autres chats à fouetter,i'm sorry about your evening but i have other priorities,sorry for your evening but I have other fish to fry,Good Translation,0.7843902,0.801092,-0.016701818
avoir un autre chat à fouetter,84,j'ai d'autres chats à fouetter,for the moment i've got more important fish to fry,I have other fish to fry,Good Translation,0.68486375,0.74332845,-0.058464706
avoir un autre chat à fouetter,85,j'ai d'autres chats à fouetter là,there are about a million things that i have to do right now,I have other fish to fry there,Good Translation,0.61314857,0.76837945,-0.15523088
avoir un autre chat à fouetter,86,- parfois - j'ai d'autres chats à fouetter,i got other fish to fry besides him,- sometimes - I have other fish to fry,Good Translation,0.6545058,0.82665116,-0.17214537
avoir un autre chat à fouetter,87,- au cas où ça t'échapperait j'ai d'autres chats à fouetter,- okay in case you haven't noticed i have a few other problems to deal with right now,"- just in case you were unaware, I have other fish to fry",Good Translation,0.71545684,0.7594228,-0.043965936
avoir un autre chat à fouetter,88,le dr bashir a d'autres chats à fouetter,besides i think dr bashir's hands are full right now,Dr Bashir has other fish to fry,Good Translation,0.69953454,0.7360462,-0.03651166
avoir un autre chat à fouetter,89,il a d'autres chats à fouetter que vous,god's got other fish to fry besides you,He has other fish to fry than you.,Literal Translation,0.6643773,0.69976944,-0.035392165
avoir un autre chat à fouetter,90,on a d'autres chats à fouetter pour le moment,we've got bigger problems to deal with first,we have other cats to whip for the moment,Literal Translation,0.610088,0.8686537,-0.25856572
