idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
mettre son grain de sel,0,sans vouloir mettre mon grain de sel supposons que vous ayez raison et que drake soit un espion,i don't wanna get too wrapped up in your caper but let's assume that you're right and damian drake is a spy,"without wanting to put my grain of salt, let's suppose that you are right and that drake is an spy",Unnatural,0.8352492,0.89730835,-0.062059164
mettre son grain de sel,1,peut-être que tu pourrais mettre ton grain de sel,maybe you could chip in,maybe you could add your two cents,Good Translation,0.7581604,0.7701128,-0.0119524
mettre son grain de sel,2,si ton père était encore vivant et qu'il te voyait là assis à mes côtés il hésiterait pas à venir me voir pour mettre son grain de sel,if your father were alive and saw you here sitting with me let's say he'd have a word with me about this,"if your father were still alive and saw you sitting here beside me, he wouldn't hesitate to come see me to add his two cents",Good Translation,0.784835,0.8299099,-0.04507494
mettre son grain de sel,3,c'est ça mets ton grain de sel,right the oracle has spoken,that's it add your grain of salt,Good Translation,0.45326775,0.8103825,-0.35711473
mettre son grain de sel,4,elle adore mettre son grain de sel,she always likes to stick her oar in,she loves to add her two cents,Good Translation,0.7657336,0.7967829,-0.031049311
mettre son grain de sel,5,je mets mon grain de sel,i want to put my two cents in that,I put my grain of salt,Unnatural,0.5853254,0.74920535,-0.16387993
mettre son grain de sel,6,ce n'est pas bon pour lui t'essaies de mettre ton grain de sel dans les affaires de mon bureau,and also ji heon's secretary can't you just change her a man being followed around by a female secretary will cause rumors that's not good right,It's not good for him; you're trying to put your two cents in my office affairs.,Good Translation,0.54020476,0.82138306,-0.2811783
mettre son grain de sel,7,tu veux mettre ton grain de sel,don't you want to put your 2â in,you want to put your two cents,Good Translation,0.5956191,0.763452,-0.16783291
mettre son grain de sel,8,quand j'essayais de capturer cette garce elle n'arrêtait pas d'y mettre son grain de sel,i didn't know what to do because she kept interfering,"when I tried to capture that bitch, she kept trying to spoil things",Good Translation,0.6185289,0.7665169,-0.14798802
mettre son grain de sel,9,je peux mettre mon grain de sel là où je devrais pas,do you mind if i stick my two cents worth in where it don't belong,I can sprinkle my grain of salt where I shouldn't,Good Translation,0.67460966,0.88812387,-0.21351421
mettre son grain de sel,10,j'ai des problèmes avec margaret et maman met son grain de sel,i've got problems with margaret and mummy's been interfering,I have problems with Margaret and Mom adds her two cents.,Good Translation,0.8579251,0.7567189,0.10120624
mettre son grain de sel,11,après que tout le monde y mette son grain de sel,after a few people weighed in,after everyone adds their two cents,Good Translation,0.73379886,0.8058404,-0.07204151
mettre son grain de sel,12,- non je mettrai mon grain de sel,well not exactly i'll be around to heckle a bit,"- no, I'll throw in my two cents",Good Translation,0.593758,0.6228508,-0.029092789
mettre son grain de sel,13,- je peux mettre mon grain de sel,guys can i just weigh in here really quickly,- I can add my two cents,Good Translation,0.60510457,0.7577402,-0.15263563
mettre son grain de sel,14,car je savais que tu viendrais mettre ton grain de sel,i knew i didn't have to 'cause you were gonna butt in anyway,because I knew you would come and add your two cents,Good Translation,0.656738,0.77885073,-0.12211275
mettre son grain de sel,15,si tu veux mettre ton grain de sel être constructive n'hésite pas,anytime you want to chip in say something constructive do feel free,"if you want to add your grain of salt constructively, don't hesitate",Good Translation,0.7435424,0.9137075,-0.17016512
mettre son grain de sel,16,il a assez mis son grain de sel quand on écrivait le discours,we got enough input from him while we were writing the thing,He added his salt when we were writing the speech.,Good Translation,0.6821408,0.8028046,-0.12066376
mettre son grain de sel,17,j'ai pas pensé à ce que ça signifierait de me remettre avec alex et maintenant tout le monde là-bas veut mettre son grain de sel et,i guess i didn't really think about what it would mean to get back together with alex and now you know everyone in there is gonna want to put in their 2 cents and,I didn't think about what it would mean to get back with Alex and now everyone over there wants to throw in their two cents and,Good Translation,0.8903462,0.8716937,0.018652558
mettre son grain de sel,18,non pas que je veuille mettre mon grain de sel mais ce type de réseau peut mener à une mauvaise conclusion,i mean i'm not trying to horn in here um but a geographic network might also lead us to a false conclusion,not that I want to add my grain of salt but this type of network can lead to a wrong conclusion,Good Translation,0.7769404,0.9245308,-0.1475904
mettre son grain de sel,19,un vieux soldat peut-il venir mettre son grain de sel ici,can an old soldier put his two cents worth in here,can an old soldier come and add his grain of salt here,Good Translation,0.76508605,0.93228215,-0.1671961
mettre son grain de sel,20,tu as eu des ennuis avant de venir je sais que tu en as eu après aussi est-ce que j'ai mis mon grain de sel,you had a lot of problems before you came here and i know you had some problems after you got here but did i say anything to you about it,"You had troubles before coming here, I know you've also had them after. Is that when I put in my two cents?",Good Translation,0.7553766,0.7449181,0.010458469
mettre son grain de sel,21,- tu dois mettre ton grain de sel,- that's not true,you should put your grain of salt,Literal Translation,0.47120154,0.8803394,-0.40913785
mettre son grain de sel,22,et si j'y mettais mon grain de sel,what if i were to get involved,and if I threw in my two cents,Good Translation,0.7035261,0.76800287,-0.06447679
mettre son grain de sel,23,pour mettre notre grain de sel et c'est ce qu'il faut faire,we're there to shake it up and that's what we've gotta do,to add our grain of salt and that's what needs to be done,Good Translation,0.68583405,0.89933944,-0.21350539
mettre son grain de sel,24,donc tu dois venir me voir quand tu veux mettre ton grain de sel,so you need to consult with me before you do anything like this,so you should come see me when you want to add your two cents,Good Translation,0.6202302,0.7838952,-0.163665
mettre son grain de sel,25,je vais y mettre mon grain de sel à moins que tu ne t'y opposes,i'm going to make everything more organized - unless you object,I'll add my two cents to this unless you object.,Good Translation,0.68635285,0.7575333,-0.07118046
mettre son grain de sel,26,efraim tu mets ton grain de sel,efraim you want to weigh in here,efraim you add your grain of salt,Good Translation,0.67005527,0.8122259,-0.14217061
mettre son grain de sel,27,pourquoi j'ai fait ça franchement pourquoi j'ai mis mon grain de sel dans tout ça,you just don't have any friends to be with you knew what happened to me today there isn't much left you should be able to finish them by yourself,why I did that honestly why I threw my two cents into all of this,Good Translation,0.44296497,0.86163294,-0.41866797
