idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
avoir le cœur sur le main,0,woody a le cœur sur la main mais tout ce qu'il touche se transforme en merde,i mean woody's got a heart of gold but let's be honest everything he touches turns to shit,"Woody has his heart in the right place, but everything he touches turns to shit.",Good Translation,0.8789842,0.8881211,-0.009136915
avoir le cœur sur le main,1,avait le coeur sur la main,wore his heart on his sleeve,had her heart on her sleeve,Unnatural,0.8179542,0.86438185,-0.046427667
avoir le cœur sur le main,2,elle a le coeur sur la main,she's got a big heart,she has her heart on her sleeve,Good Translation,0.824152,0.9242104,-0.10005844
avoir le cœur sur le main,3,j'ai le cœur sur la main et je ne suis pas rancunier,i'm a generous and easy-going guy,I have a heart of gold and I'm not vengeful,Good Translation,0.69291544,0.8067223,-0.113806844
avoir le cœur sur le main,4,parce que l'homme qui ressemblait à une chèvre chamoisée avait le cœur sur la main,because the man with the face of a mountain goat had the heart of an abraham lincoln,because the man who resembled a roe deer had a heart of kindness,Good Translation,0.6743993,0.77974266,-0.10534334
avoir le cœur sur le main,5,il a le cœur sur la main,he's a nice fellow paul he just worries too much don't you think,he has a heart of gold,Good Translation,0.5760275,0.83246493,-0.25643742
avoir le cœur sur le main,6,et elle a le cœur sur la main,and she just gives and gives,and she has a heart of gold,Good Translation,0.731766,0.85395604,-0.12219006
avoir le cœur sur le main,7,j'ai le coeur sur la main tu vois,i wear my heart on my sleeve see,"I have my heart on my sleeve, you see",Good Translation,0.77081215,0.8353809,-0.06456876
avoir le cœur sur le main,8,mais il avait le coeur sur la main,i mean his heart was in the right place you know,but he had a heart of gold,Good Translation,0.78000593,0.8424107,-0.06240475
avoir le cœur sur le main,9,a la santé de jeremiah qui a le cœur sur la main,here's to jeremiah whose heart's in the right place,to Jeremiah who has a heart of gold,Unnatural,0.8455646,0.7853854,0.060179234
avoir le cœur sur le main,10,eh j'ai le coeur sur la main là,i've got your heart on my sleeve,oh I have my heart on my sleeve there,Good Translation,0.7925958,0.8764051,-0.083809316
avoir le cœur sur le main,11,miss rachel j'ai cru comprendre que vous êtes comme une mêre pour votre communauté et que vous avez le coeur sur la main,miss rachel i understand that you're the mother of the community always an open hand and an open heart,"Miss Rachel, I understood that you are like a mother to your community and that you have a heart of gold.",Good Translation,0.83249843,0.85197186,-0.019473433
avoir le cœur sur le main,12,sa femme a le coeur sur la main,his wife's a fine great-hearted woman,his wife has a heart of gold,Good Translation,0.7638035,0.8361811,-0.07237762
avoir le cœur sur le main,13,tu as le coeur sur la main,you wear all your feelings on your sleeve,you have your heart on your sleeve,Unnatural,0.669253,0.8618449,-0.1925919
avoir le cœur sur le main,14,ici tout le monde a le coeur sur la main,here everyone is open and generous,Here everyone has their heart on their sleeve,Good Translation,0.8117521,0.9228528,-0.11110073
avoir le cœur sur le main,15,pourquoi tu as le cœur sur la main aujourd'hui,what's with wearing your heart on your sleeve today,why you have your heart on your sleeve today,Unnatural,0.7826505,0.8881098,-0.10545933
avoir le cœur sur le main,16,c'est vrai ça ils ont le coeur sur la main,they're always ready to give,it's true they have their heart in the right place,Good Translation,0.6619457,0.8789967,-0.21705097
avoir le cœur sur le main,17,suraj prashant ils ont le coeur sur la main,suraj prashant all of them are very large-hearted,Suraj Prashant they have their hearts in the right place,Good Translation,0.75393605,0.8166567,-0.06272066
avoir le cœur sur le main,18,il a le cœur sur la main,he has a good heart,he has a heart of gold,Good Translation,0.8062906,0.83246493,-0.026174307
avoir le cœur sur le main,19,et toi tu as le cœur sur la main,and you you wear your heart on your sleeve,and you have your heart on your sleeve,Good Translation,0.8512788,0.8701444,-0.018865645
avoir le cœur sur le main,20,il fait le méchant mais il a le cœur sur la main,he is smug because he has a heart too big for his chest liar,He plays the bad guy but he has a heart of gold,Good Translation,0.7312129,0.81711483,-0.085901916
avoir le cœur sur le main,21,j'ai le cœur sur la main moi,that's because my heart's in the right place,I have my heart on my sleeve,Good Translation,0.66527784,0.8354314,-0.17015356
avoir le cœur sur le main,22,ils ont le cœur sur la main,they're real sweethearts,they have their hearts in the right place,Good Translation,0.7769696,0.8527894,-0.07581979
avoir le cœur sur le main,23,ils ont le coeur sur la main ils chantent ils font la fête,they sing drink party,they have their hearts on their sleeves they sing they celebrate,Good Translation,0.7363157,0.9203776,-0.18406188
avoir le cœur sur le main,24,je sais que j'ai le cœur sur la main et que je dois être plus comme vous,look i know i wear my heart on my sleeve and i need to be more like you,I know I have a heart on my sleeve and that I must be more like you,Good Translation,0.89514107,0.93008196,-0.0349409
avoir le cœur sur le main,25,tu as le cœur sur la main,you wear your heart on your sleeve,you have your heart on your sleeve,Unnatural,0.8019756,0.8732034,-0.07122779
avoir le cœur sur le main,26,vous avez le cœur sur la main ray,you always had the most beautiful heart ray,you have a heart of gold ray,Good Translation,0.71473956,0.8261921,-0.11145252
avoir le cœur sur le main,27,ayons le cœur sur la main et la porte grande ouverte,hearts as open as our doorway,let our hearts be open and keep the doors wide open,Good Translation,0.769752,0.8854023,-0.115650296
avoir le cœur sur le main,28,tu as le coeur sur la main léon xii,you are a kind man don leo,you have Leon XII's heart in your hand,Literal Translation,0.60674065,0.770576,-0.16383535
avoir le cœur sur le main,29,il a le cœur sur la main si tu étais,i'm not about to give you an explanation about my private life and business,he has a heart of gold if you ask me,Literal Translation,0.3198797,0.7390595,-0.4191798
avoir le cœur sur le main,30,vous savez les punjabis ont le coeur sur la main,you know we punjabis are really large-hearted,you know Punjabis have their heart on their sleeve,Good Translation,0.7952799,0.8954669,-0.100187
avoir le cœur sur le main,31,il a le coeur sur la main,he's very large hearted,he has his heart on his sleeve,Good Translation,0.7808003,0.90962183,-0.12882155
avoir le cœur sur le main,32,j'ai le cœur sur la main,i think i'm a kind man,I have my heart on my sleeve,Good Translation,0.62410855,0.8700158,-0.24590725
avoir le cœur sur le main,33,elle a le cœur sur la main,with a wide-open heart,she has a heart of gold,Good Translation,0.6934089,0.8494065,-0.15599757
avoir le cœur sur le main,34,mitsuko et joe ont le cœur sur la main,mitsuko and joe are open-handed,Mitsuko and Joe have a heart of gold.,Good Translation,0.86930835,0.8650652,0.0042431355
avoir le cœur sur le main,35,-non ma famille a le coeur sur la main,they're warm people with big hearts,-my family has their heart in the right place,Good Translation,0.6213236,0.83537334,-0.21404976
avoir le cœur sur le main,36,c'est bon tu peux avoir le coeur sur la main,it's okay you can wear your heart on your sleeve,it's good you can have your heart in your hands,Unnatural,0.79759717,0.90685153,-0.10925436
avoir le cœur sur le main,37,elle avait le cœur sur la main,she just would give from her heart,she had a heart of gold,Good Translation,0.7601236,0.83634067,-0.076217055
