idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
en avoir rien à faire,0,chéri je croyais que tu en avais rien à faire de cet arbre,honey i thought you didn't care about the tree,dear I thought you had nothing to do with this tree,Literal Translation,0.8126225,0.8901401,-0.07751763
en avoir rien à faire,1,mais je n'en ai rien à faire brde ces détails,those are careless details,but I don't care about these details,Unnatural,0.6929808,0.8521117,-0.15913087
en avoir rien à faire,2,je n'en avais rien à faire je ne l'avais même jamais rencontrée,i don't know frankly i couldn't care less i never even met the young lady,I didn't care about it I had never even met her,Good Translation,0.83241063,0.87538517,-0.04297453
en avoir rien à faire,3,j'en ai rien à faire de l'heure,oh you think i give a rat's ass about what time it is,I couldn't care less about the time.,Good Translation,0.70738614,0.7373905,-0.030004382
en avoir rien à faire,4,j'en ai rien à faire de lui,bitch i don't i don't care about him,I couldn't care less about him.,Good Translation,0.78202695,0.6498027,0.13222426
en avoir rien à faire,5,j'en ai rien à faire des outils,do i look like ace hardware,I couldn't care less about tools.,Good Translation,0.47058374,0.70423084,-0.23364711
en avoir rien à faire,6,on en a rien à faire de ce qu'elle dit,who cares what she says,We don't care about what she's saying.,Good Translation,0.7154751,0.89761466,-0.18213958
en avoir rien à faire,7,il en a rien à faire de mes rêves,he didn't care about my dreams,He couldn't care less about my dreams.,Good Translation,0.8057134,0.6167444,0.18896902
en avoir rien à faire,8,tu as presque gâché sa vie et tu n'en as rien à faire,you almost ruined her life and you don't even care,You almost ruined her life and you don't care at all.,Unnatural,0.87939537,0.8825893,-0.003193915
en avoir rien à faire,9,et j'en ai rien à faire si ton père a construit le planétarium,and i don't give a hot damn if your dad built the planetarium,and I don't care if your father built the planetarium,Good Translation,0.8716874,0.90771675,-0.03602934
en avoir rien à faire,10,on n'en a rien à faire,we've got no business with them,We don't care about it.,Good Translation,0.7209498,0.77351934,-0.05256951
en avoir rien à faire,11,et malheureusement pour toi je travaille avec le seul homme au monde qui n'en a rien à faire,and unfortunately for you i work with the one man in the world who doesn't care,and unfortunately for you I work with the only man in the world who doesn't care,Unnatural,0.89758986,0.9237785,-0.026188612
en avoir rien à faire,12,chéri j'en ai rien à faire,baby i don't care,"Dear, I don't care about it.",Good Translation,0.67535317,0.7098697,-0.034516513
en avoir rien à faire,13,tout l'argent tous les batîments toutes les inventions le monde n'en a rien à faire,all the money all the buildings all the inventions the world didn't care,all the money all the battles all the inventions the world doesn't care about any of it,Mistranslation,0.7784502,0.8073541,-0.028903902
en avoir rien à faire,14,t'en as rien à faire de moi,you do not even want to,You don't care about me.,Good Translation,0.62034404,0.78762865,-0.16728461
en avoir rien à faire,15,c'est bon elle en a rien à faire de moi,she doesn' t care about me,That's fine she doesn't care about me,Unnatural,0.84847665,0.8881682,-0.039691567
en avoir rien à faire,16,j'en ai rien a faire de vivre les deux prochaines heures,look i don't care about living through the next two hours,I don't care about living the next two hours.,Good Translation,0.8630306,0.8899542,-0.026923597
en avoir rien à faire,17,ils n'en ont rien à faire de vous,they don't give a shit about you,They don't care about you at all.,Unnatural,0.87306714,0.8093546,0.06371254
en avoir rien à faire,18,et la police n'en avait rien à faire,stolen the police couldn't have cared less,and the police didn't care about it,Good Translation,0.68422484,0.9098054,-0.22558057
en avoir rien à faire,19,si c'est ton amie elle en a rien à faire c'est pas ce genre d'amie,but mom if she's your friend won't she like you no matter how you live,If that's your friend then she doesn't care and it's not that kind of friend.,Mistranslation,0.68041277,0.8170894,-0.13667661
en avoir rien à faire,20,- les conseils j'en ai rien à faire,- it's not advice that i need,I couldn't care less about the advice.,Good Translation,0.72309893,0.6480005,0.075098455
en avoir rien à faire,21,ok j'en ai rien à faire de vos livres,okay i don't care about your books,Okay I don't care about your books.,Good Translation,0.891982,0.89275324,-0.0007712245
en avoir rien à faire,22,- vous n'en avez rien à faire,- do you even give a damn - thank you,- you don't care about it,Good Translation,0.5630282,0.82682514,-0.26379693
en avoir rien à faire,23,j'en ai rien à faire de tout ça,i don't care about any of that,I don't care about any of that stuff.,Good Translation,0.841387,0.8468585,-0.0054715276
en avoir rien à faire,24,j'en avais rien a faire que quelqu'un marche sur du verre brise,i wouldn'ta cared somebody walking over broken glass - like who gives a shit,I couldn't care less if someone walks on broken glass.,Good Translation,0.7354251,0.7964057,-0.06098056
en avoir rien à faire,25,j'en ai rien à faire de comment il s'appelle mais cet animal va entendre parler de mon avocat,i don't give a damn what his name is but that animal's going to hear from my lawyer,I don't care what his name is but this animal will hear about my lawyer.,Good Translation,0.9499409,0.933944,0.015996933
en avoir rien à faire,26,peut-être que ta mère n'en aurait rien à faire tu ne sais pas,maybe your mother wouldn't even care you don't know,maybe your mother wouldn't care about it you don't know,Partial Translation,0.8833864,0.90026253,-0.016876161
en avoir rien à faire,27,je n'en ai rien à faire quoi qu'il dise ou fasse,i don't care what he does or he says,I don't care what he says or does.,Good Translation,0.89461565,0.9070484,-0.012432754
en avoir rien à faire,28,j'en ai rien à faire,you can't harm me,I don't care about it.,Good Translation,0.5606335,0.7271868,-0.16655332
en avoir rien à faire,29,j'en ai rien à faire de ce que tu fais,i don't really give a shit what you're doing,I don't care what you're doing.,Good Translation,0.84977674,0.8635997,-0.013822973
en avoir rien à faire,30,c'était comme si tu n'en avais rien à faire,it was like you didn't even give a damn,It was as if you didn't care about it at all.,Good Translation,0.845393,0.8658283,-0.020435274
en avoir rien à faire,31,mais là j'en ai rien à faire,but right now i don't wanna talk about it,But there I don't care,Literal Translation,0.64759505,0.6884428,-0.04084778
en avoir rien à faire,32,tu n'en a rien à faire de grand-père n'est-ce pas,you don't care about granddad do you,"You don't care about it, great-grandfather, is that right?",Mistranslation,0.82793546,0.81964827,0.008287191
en avoir rien à faire,33,j'en ai rien à faire de vos prisons de vos shérifs,to hell with all you sheriffs and deputies and all who gave birth to you,I couldn't care less about your jails or your sheriffs.,Good Translation,0.5396649,0.7674804,-0.22781545
en avoir rien à faire,34,ils n'en ont rien à faire de toutes ces superproductions stéréotypées,that's why they come here they're not interested in those formulaic big movies they're not interested in them,They don't care about any of these stereotypical blockbuster movies.,Good Translation,0.6605124,0.827512,-0.16699964
en avoir rien à faire,35,- la police n'en a rien à faire,- the police don't care - no sir we do,-the police don't care about it,Good Translation,0.7907365,0.9031771,-0.112440586
en avoir rien à faire,36,ce qui veut dire qu'elle n'en a rien à faire de toi,in layman's terms she blew you off big time,That means she doesn't care about you.,Good Translation,0.5492414,0.78120947,-0.23196805
