idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
péter un câble,0,elle a pété un câble,she's kinda freakin' out,she blew a fuse,Good Translation,0.6953421,0.7406693,-0.045327187
péter un câble,1,il peut péter un câble,what about tony wham bam,he can snap a cable,Literal Translation,0.40776914,0.72607833,-0.3183092
péter un câble,2,j'ai toujours peur que tu pètes un câble et que tu le tues,i'm just scared of you going nuts and hurting uncle dee,I've always been afraid that you would trip a wire and kill yourself.,Mistranslation,0.66037726,0.832165,-0.17178774
péter un câble,3,si j'arrive à te gérer quand tu pètes un câble je devrais arriver à la gérer,if i can handle you when you flip your switch i can handle her,if I can handle you when you blow a fuse I should be able to handle her,Good Translation,0.7672926,0.73390496,0.03338766
péter un câble,4,oui il a pété un câble,it is not right it's like he just snaps,yes he blew a fuse,Good Translation,0.6276678,0.7454969,-0.117829144
péter un câble,5,je peux pas venir ma femme pète un câble,guys i can't go to vegas because my wife's freaking out,I can't come my wife is flipping out,Good Translation,0.64837444,0.75527215,-0.10689771
péter un câble,6,une fois quand andy pète un câble et fait un trou dans le mur,i'm just worried about my friend oh god of course you are,once when Andy blows a fuse and makes a hole in the wall,Good Translation,0.39436543,0.8291126,-0.43474716
péter un câble,7,m malone pète un câble s'il arrive avant vous,mr malone blows a gasket if the girls aren't in their seats by the time he gets in,Malone blows a fuse if he arrives before you.,Unnatural,0.6027211,0.7579112,-0.15519011
péter un câble,8,t'avais pété un câble,you were completely out of control,You'd blown a fuse.,Good Translation,0.65083,0.7259766,-0.075146616
péter un câble,9,des fois je pète un câble,sometimes i fly off the handle,Sometimes I lose my temper.,Good Translation,0.72872764,0.7176559,0.011071742
péter un câble,10,- elle a clairement pété un câble,she's obviously got a wire loose,- she has clearly blown a fuse,Good Translation,0.8533634,0.82052577,0.03283763
péter un câble,11,tu as pété un câble détenue,- are you out of your mind inmate - hey,You have blown a fuse on the holder.,Good Translation,0.6327358,0.6951773,-0.062441528
péter un câble,12,- ce gars pète un câble,- this guy is gonna bolt,- that guy is blowing a fuse,Good Translation,0.75621796,0.73386186,0.022356093
péter un câble,13,tous les clients m'en offrent un le soir je pète un câble,wherever i deliver mail they offer me some by evening i'm a wreck,All my customers offer me one in the evening I lose my temper,Partial Translation,0.7323576,0.7740327,-0.04167509
péter un câble,14,tu dois péter un câble de temps en temps ou tu deviens instantanément un amer vieux alcoolique anglais,you've got to go crazy once in a while or you'll just instantly become a bitter old british alcoholic man,you have to blow a fuse from time to time or you become an instantly old drunk Englishman,Good Translation,0.81948036,0.8103452,0.009135187
péter un câble,15,il y avait des femmes des hommes des enfants et j'ai pété un câble,they were all women men kids and i lost it,There were women men and children and I blew a fuse,Good Translation,0.76757324,0.79563975,-0.028066516
péter un câble,16,spider a pété un câble et lui a tiré dans les couilles,spider broke a cap off nailed him right in the nuts,The spider blew up a cable and pulled it on his balls,Literal Translation,0.7461853,0.7719331,-0.025747776
péter un câble,17,j'ai pété un câble,i'm sorry i was tripping,I blew a fuse.,Good Translation,0.6726668,0.6901937,-0.017526925
péter un câble,18,mon père a pété un câble cet aprèm,- my dad went nuts today - yeah,My dad burst a wire last evening.,Literal Translation,0.701561,0.887431,-0.18587005
péter un câble,19,-elle a pété un câble,-she farted a cable,-she broke a cable,Unnatural,0.89720905,0.9440026,-0.04679358
péter un câble,20,t'as pété un câble vieux,dude that is messed up man,You've blown a fuse.,Good Translation,0.6228825,0.67912173,-0.056239247
péter un câble,21,un peu plus il citait mon nom je pète un câble là,he stopped just short of calling me by name i'm losing it,a little more he'd mention my name I'd be freaking out there,Good Translation,0.654289,0.7564371,-0.102148116
péter un câble,22,et le type pète un câble,now the guy flips out,and the guy blows a fuse,Good Translation,0.72690487,0.67808354,0.04882133
péter un câble,23,vous avez pété un câble vulcain,are you out of your vulcan mind,You've blown a Vulcan cable.,Literal Translation,0.685202,0.8940476,-0.20884562
péter un câble,24,merde tu risques de péter un câble,shit you're stretched beyond the limit,shit you risk pulling a cable,Partial Translation,0.6396338,0.86847496,-0.22884119
péter un câble,25,alors ouais j'ai pété un câble,so yeah i snapped,So yeah I've blown a fuse.,Good Translation,0.64960384,0.71113896,-0.06153512
péter un câble,26,les gens vont péter un câble,that's when people lose their shit ok,People are going to blow a fuse.,Good Translation,0.63563156,0.7356765,-0.100044966
péter un câble,27,mais t'as pété un câble,are you out of your fucking mind,but you've got a blown fuse,Literal Translation,0.5883664,0.7033001,-0.11493373
péter un câble,28,ce type a vraiment pété un câble,this guy has really flipped,This guy is totally freaking out.,Good Translation,0.7923325,0.7312665,0.06106597
péter un câble,29,- il a pété un câble,- he's going nuts,- he blew a fuse,Good Translation,0.7435761,0.76866865,-0.025092542
péter un câble,30,anton a pété un câble hier soir il m'a attaqué,anton completely flipped out on me last night and attacked me,anton burst a cable last night he attacked me,Literal Translation,0.8212179,0.9350656,-0.11384773
péter un câble,31,si tu me parles encore de cet argent beth je jure devant dieu que je vais péter un câble,look if you ask me about that money one more time beth i swear to god it's going in the shredder,"If you keep talking about that money, I swear to God, I'll lose my temper.",Good Translation,0.785565,0.766716,0.018849015
péter un câble,32,désolé j'ai pété un câble,i'm sorry,Sorry I've blown a cable.,Literal Translation,0.7300679,0.89771706,-0.16764915
péter un câble,33,on dit quoi aux 50 millions de personnes qui péterons un câble dès que ça sera diffusé,what do you want me to say to the 50 million people who are gonna go out of their minds as soon as it airs,it's said what to the 50 million people who will cut a cable as soon as it is broadcast.,Mistranslation,0.83603275,0.8765912,-0.040558457
