idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
sur un coup de tête,0,maintenant je ne l'ai pas polie pendant ces dernières semaines pour qu'un autre homme la mette dans sa poche sur un coup de tête,now i have not beenpolishing her these last few weeks for another man to pop her in his pocket on a whim,I have not polished her for weeks now so that another man might slip it into his pocket on a whim.,Good Translation,0.90276766,0.84082144,0.061946213
sur un coup de tête,1,ça se fait pas sur un coup de tête réfléchis un peu,people don't do things like that just stop and think,"You can't just decide on something like that off the top of your head, think it through a bit.",Good Translation,0.6898378,0.83061004,-0.14077222
sur un coup de tête,2,on dirait bien que vous n'êtes pas venu ici sur un coup de tête,i see that you didn't come see us out of some passing emotion,You would almost say that you didn't come here on a whim.,Good Translation,0.711489,0.8406902,-0.12920117
sur un coup de tête,3,le mariage s'est un peu fait sur un coup de tête,the wedding was a little spur-of-the-moment,The marriage was a bit of an impulsive decision.,Good Translation,0.8658625,0.8658822,-1.9729137e-05
sur un coup de tête,4,je suis venue sur un coup de tête,it was just a spur-of-the-moment thing,I came on a whim.,Good Translation,0.6655555,0.8242616,-0.15870613
sur un coup de tête,5,c'était des triplés et sur un coup de tête on a décidé de les appeler,kyle i was having triplets and um on a whim actually we just decided to name them,they were triplets and in a moment of madness we decided to call them,Good Translation,0.7428006,0.8695522,-0.1267516
sur un coup de tête,6,un jour il va partir sur un coup de tête et se retrouver face à quelque chose d'inattendu qu'il ne peut gérer,one day he's going to go off half-cocked and run into something unexpected he can't handle,one day he will leave on a whim and find himself facing something unexpected that he can't handle.,Good Translation,0.8674352,0.9235987,-0.05616349
sur un coup de tête,7,tout allait bien et tu me largues d'un coup sur un coup de tête,everything was great and then you just dump me out of the blue,Everything was going well and you just let me go with a slap on the head,Literal Translation,0.784013,0.81850165,-0.034488678
sur un coup de tête,8,répondez-moi juste une seule question c'est tout si le docteur ne nous avait pas rendu visite s'il n'avait jamais choisi cet endroit sur un coup de tête,answer me this -- just one question that's all -- if the doctor had never visited us if he'd never chosen this place on a whim would anyone here have died,answer me just one single question that's all if the doctor hadn't come to visit us had he ever chosen this place on a whim,Good Translation,0.83831036,0.9047787,-0.06646836
sur un coup de tête,9,il aurait agi sur un coup de tête,you think he acted spontaneously,he would have acted on a whim,Good Translation,0.74772555,0.7919631,-0.044237554
sur un coup de tête,10,allons en chercher sur un coup de tête,let's go scavenging for them right now on a whim,Let's go look for it on a whim.,Partial Translation,0.7807559,0.84919983,-0.068443954
sur un coup de tête,11,ça m'a pris sur un coup de tête il y a 10 ans,it was a spur-of-the-moment thing,That just struck me on an impulse about ten years ago,Good Translation,0.5902542,0.84113264,-0.25087845
sur un coup de tête,12,on ne rompt pas sur un coup de tête c'est progressif on reconsidère sa décision sans arrêt chaque jour qui passe,you have to re-decide over and over each day,You don't break up suddenly it's gradual you reconsider your decision constantly every day that passes.,Good Translation,0.6378788,0.8161597,-0.17828095
sur un coup de tête,13,- mais enfin laure on n'annule pas un mariage au dernier moment sur un coup de tête sans raison,laure how can you be so irrational,"But finally, we don't cancel a marriage at the last minute on a whim without reason.",Unnatural,0.55773467,0.8384329,-0.28069824
sur un coup de tête,14,-comme ça sur un coup de tête,- here's a little heads up,-on a sudden impulse like that,Good Translation,0.7064648,0.83153147,-0.12506664
sur un coup de tête,15,je veux dire tu ne peux pas juste inviter ton père comme ça parce qu'il est dans le coin sur un coup de tête irréfléchi,i mean you can't just invite your dad round because he's around the corner just on a blind whim,I want to say you can't just invite your father like that because he's in the area on a thoughtless whim.,Good Translation,0.8438103,0.8981936,-0.054383278
sur un coup de tête,16,si quelqu'un disait sur un coup de tête d'aller en ville tu refuserais,if one of us suggested based on a hunch that we head toward that city you'd have no part of it,if someone said on a whim to go to town you would refuse,Good Translation,0.7120768,0.88720524,-0.17512846
sur un coup de tête,17,je le voulais hors de chez nous donc vous savez désolé pour l'enterrement illégal mais c'était sur un coup de tête,and i just wanted the dude off our property so you know sorry about the illegal burial but it was like very spur-of-the-moment,I wanted it out of here so you know I'm sorry about the illegal burial but it was a spur-of-the-moment decision.,Good Translation,0.83307475,0.82693875,0.006136
sur un coup de tête,18,sur un coup de tête j'ai vérifié les d'inscription de georgetown et je n'ai pas trouvé zach martin,on a whim i checked georgetown's enrollment records and i did not find zach martin,I did a head check of the Georgetown inscription and I didn't find Zach Martin.,Literal Translation,0.92500067,0.8595923,0.06540835
sur un coup de tête,19,euh ils se sont mariés au lycée sur un coup de tête,uhthey got married in college on a whim,Uh they got married in high school on a whim,Unnatural,0.874269,0.8896164,-0.015347362
sur un coup de tête,20,on ne tue pas les gens comme ça sur un coup de tête,you can't kill people on a whim,You don't kill people like that on a whim.,Good Translation,0.8419739,0.8644774,-0.022503495
sur un coup de tête,21,elle a décidé de t'effacer sur un coup de tête,she decided to erase you almost as a lark,She decided to erase you out of spite.,Mistranslation,0.8159689,0.8835615,-0.06759262
sur un coup de tête,22,il aurait donc quitté sa femme sur un coup de tête,really so he just up and left his wife on a whim,He would have therefore left his wife on a whim.,Good Translation,0.8640395,0.8763777,-0.012338221
sur un coup de tête,23,mais c'est un plat tu te maries sur un coup de tête,you get married on the spur of the moment,but it's a dish you get married to on a whim,Unnatural,0.77495176,0.8433874,-0.06843567
sur un coup de tête,24,ne te décide pas sur un coup de tête,also i don't want you just to make up your mind right off the top of your head,Don't make a decision on impulse.,Good Translation,0.7003915,0.84184045,-0.14144897
sur un coup de tête,25,on peut partir à rome sur un coup de tête,we can fly off to rome on a moment's notice,You can leave for Rome on a whim.,Good Translation,0.8183102,0.856475,-0.038164794
sur un coup de tête,26,j'ai agi sur un coup de tête ce que je ne devrais jamais faire,i acted on impulse which i should never do,I acted on a whim doing something I shouldn't have done.,Good Translation,0.8739925,0.7836801,0.09031242
sur un coup de tête,27,tu n'es pas du genre à partir sur un coup de tête,i mean it's not like you to do anything on the fly,you're not the type to act on a whim,Good Translation,0.7663263,0.82469237,-0.05836606
sur un coup de tête,28,je pourrais vous éjecter d'ici sur un coup de tête,i can punt you outta here on a whim,I could kick you out of here on a whim.,Good Translation,0.8389286,0.8733175,-0.0343889
sur un coup de tête,29,mariée et divorcée sur un coup de tête la presse na jamais pu lapprocher,married on impulse and divorced in a rage and always unapproachable by the press,married and divorced on a whim the press has never been able to get close to her,Good Translation,0.7644781,0.8734952,-0.10901713
sur un coup de tête,30,- j'ai fait ça sur un coup de tête,it was a spur-of-the-moment thing,I did it on impulse,Good Translation,0.7181583,0.8683775,-0.1502192
sur un coup de tête,31,mais je ne vais pas me laisser me faire blâmer d'être impulsive par une femme qui a démissionné sur un coup de tête,but i'm not gonna be blamed for being impulsive by a woman who quit her job on a whim,but I'm not going to let myself be scolded for being impulsive by a woman who resigned on the spur of the moment.,Good Translation,0.8810712,0.92495614,-0.043884933
sur un coup de tête,32,que veux-tu j'étais jeune et romantique et changer de plan sur un coup de tête avait quelque chose de séduisant,oh i don't know i was young and romantic and changing plans at the drop of a hat seemed exciting in its own way,"I was young and romantic, and changing plans on a whim was always something exciting.",Good Translation,0.79614043,0.8337605,-0.037620068
sur un coup de tête,33,- les gens qui partent sur un coup de tête ne peuvent plus revenir,anyone who dashes off like that at the drop of a hat won't be permitted to return,- people who leave on a whim can't come back,Good Translation,0.7033454,0.8976065,-0.19426107
sur un coup de tête,34,sur un coup de tête,on a whim though,"on a whim, on a lark, by chance, out of the blue, in a fit of pique",Partial Translation,0.71894693,0.6793598,0.03958714
