idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
se en mettre plein le poche,0,nous ne pouvons nous permettre d'être déroutés par un nouveau joueur de flûte dont les intérêts ne sont que de s'en mettre plein les poches,we cannot afford to be led astray by a latter-day pied piper whose interests begin and end with lining his own pockets,We cannot afford to be sidetracked by a new flute player whose interests are solely to line their own pockets.,Unnatural,0.6715821,0.8953434,-0.22376132
se en mettre plein le poche,1,je veux dire du recel d'armes c'est comme ça qu'ils s' en mettent plein les poches,yeah well i mean dealing weapons-- that's how they make the big bucks,"I mean, dealing in weapons is how they make a lot of money",Good Translation,0.70793974,0.6869897,0.02095002
se en mettre plein le poche,2,on va s'en mettre plein les poches,i think we're gonna make some real money,we're going to fill our pockets,Good Translation,0.7265252,0.8979174,-0.1713922
se en mettre plein le poche,3,n'importe quel emploi tant que ça améliore les statistiques que les chômeurs nous foutent la paix et qu'on continue à s'en mettre plein les poches,no matter what as long as the statistics look good and we can fill our pockets,any job as long as it improves the stats so that the unemployed leave us alone and we can keep filling our pockets,Good Translation,0.7659417,0.8693651,-0.10342342
se en mettre plein le poche,4,ceux qui parlent droit civique intérêt public et qui s'en mettent plein les poches,the ones that talk about civic duty and public trust and then turn around and line their own pockets,those who speak about civil rights and public interest but line their own pockets,Partial Translation,0.7602131,0.8099129,-0.049699843
se en mettre plein le poche,5,il suffit de les aider on peut s'en mettre plein les poches,if we help them they'll leave us alone to make some money,"It just takes helping them, and we can pockets full.",Unnatural,0.689551,0.9214094,-0.23185843
se en mettre plein le poche,6,les politiciens s'en mettent plein les poches,politicians are lining their own pockets,politicians line their pockets,Unnatural,0.8972975,0.9327379,-0.035440385
se en mettre plein le poche,7,tu dois savoir au contraire qu'ici on construit uniquement pour voler pour s'en mettre plein les poches,but i want you to know that here they only build to steal they just build to make money,"You should know, in fact, that here we build solely to steal and line our own pockets",Good Translation,0.84008634,0.8375857,0.0025006533
se en mettre plein le poche,8,elle s'en met plein les poches,she is cleaning up,she pockets it all,Good Translation,0.7170747,0.89178014,-0.17470545
se en mettre plein le poche,9,et ils s'aperçoivent que c'est le producteur qui s'en met plein les poches,they find out the producer's keeping all the money,and they realize that it's the producer who is lining their pockets,Good Translation,0.82074326,0.92595553,-0.10521227
se en mettre plein le poche,10,il s'en met plein les poches j'en ai côtoyé aux moeurs,i met people like him in vice,He pockets it all; I've associated with people of such morals.,Partial Translation,0.59082067,0.7050673,-0.11424661
se en mettre plein le poche,11,que pense le christ des profiteurs qui ne font rien et qui s'en mettent plein les poches,what does christ think of the easy-money boys who do none of the work and take all of the gravy,what does Christ think of those who profit without doing anything about it,Good Translation,0.7529651,0.90467185,-0.15170676
se en mettre plein le poche,12,il est mort ruiné essayant de s'en mettre plein les poches avec de l'or,he died penniless trying to line his pockets with gold,He died broke trying to get rich quick with gold.,Good Translation,0.87965345,0.85345376,0.026199698
se en mettre plein le poche,13,à caracas tous les dignitaires s'en mettent plein les poches,there isn't a government official in caracas who doesn't line his pockets,"In Caracas, all dignitaries line their pockets.",Good Translation,0.7418747,0.8990015,-0.15712678
