idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
se vendre comme un petit pain,0,ça se vend comme des petits pains sur internet,they're going crazy on the internet,It sells like hotcakes on the internet.,Good Translation,0.6784426,0.84302896,-0.16458637
se vendre comme un petit pain,1,ces brioches loyauté se vendent comme des petits pains,those sweet buns marked loyalty are selling like hot cakes,these loyalty buns sell like small breads,Partial Translation,0.73034763,0.8453012,-0.11495358
se vendre comme un petit pain,2,le livre se vend comme des petits pains,the book is selling like hotcakes,the book sells like hot bread,Unnatural,0.8360605,0.8662108,-0.030150294
se vendre comme un petit pain,3,- il se vend comme des petits pains,- it's selling like hotcakes,- it sells like hotcakes,Good Translation,0.80605966,0.825305,-0.019245327
se vendre comme un petit pain,4,ça se vendait comme des petits pains,used to sell these things like hotcakes,It was selling like hotcakes,Good Translation,0.74615186,0.8599615,-0.113809645
se vendre comme un petit pain,5,l'aventure le sexe mets ça dans ton livre il se vendra comme des petits pains,adventure sex you put that in your book it'll sell like hot cakes,the adventure the sex put that in your book it will sell like hot cakes,Partial Translation,0.8668469,0.88337374,-0.016526818
se vendre comme un petit pain,6,- et ça se vend comme des petits pains,- and it is selling like hotcakes,- and it sells like hotcakes,Good Translation,0.8214631,0.82989895,-0.008435845
se vendre comme un petit pain,7,ils se vendent comme des petits pains,our calendars are selling like hotcakes,they sell like hot cakes,Good Translation,0.66476166,0.8266391,-0.16187745
se vendre comme un petit pain,8,maintenant mes camarades ils disent qu'ils ont réussi à le faire publier secrètement au chili et il se vend comme des petits pains,now my comrades tell me they have managed to get it published secretly in chile and it's selling like hot cakes,Now my classmates say they managed to publish it secretly in Chile and it's selling like hotcakes.,Good Translation,0.8869715,0.8633287,0.023642778
se vendre comme un petit pain,9,ça doit se vendre comme des petits pains,they must be really popular,it must be selling like hotcakes,Good Translation,0.66689986,0.820802,-0.15390211
se vendre comme un petit pain,10,ça se vendra comme des petits pains,i'm trying to tell you it'll sell like hotcakes,It will sell like hotcakes,Good Translation,0.78271896,0.8379962,-0.05527723
se vendre comme un petit pain,11,ses disques vont se vendre comme des petits pains,sales of her records will go through the roof,his records will sell like hot cakes,Good Translation,0.7566207,0.8586575,-0.102036774
se vendre comme un petit pain,12,ils se vendaient comme des petits pains,every week like it was nothing,they were selling like hotcakes,Good Translation,0.5145116,0.84057236,-0.32606077
se vendre comme un petit pain,13,ca se vend comme des petits pains,i know,It sells like hotcakes,Literal Translation,0.4476754,0.7680675,-0.32039207
se vendre comme un petit pain,14,regardez mon site internet mes photos d'elle se vendent comme des petits pains,check out my web sitemy prints of her are selling like hotcakes,look at my website my photos of her sell like hotcakes,Good Translation,0.85818064,0.90445906,-0.046278417
se vendre comme un petit pain,15,ils se vendent comme des petits pains chauds,they sell like hot cakes,they sell like hot cakes,Good Translation,0.8814056,0.8814056,0.0
se vendre comme un petit pain,16,mes fringues se vendaient comme des petits pains,my clothes were flying off the rack,my clothes were selling like hotcakes,Good Translation,0.67070365,0.827597,-0.15689337
se vendre comme un petit pain,17,avec nous vos couvertures se vendront comme des petits pains,i think we can get a campaign that will sell your blankets like hotcakes,with us your covers will sell like hotcakes,Good Translation,0.71807885,0.8704909,-0.15241206
se vendre comme un petit pain,18,depuis le fiasco du plan de sauvetage hier ces kits se vendent comme des petits pains,ever since this bailout fiasco yesterday these kits are flying off the shelves,"since yesterday's rescue plan fiasco, these kits have been selling like hotcakes",Good Translation,0.81347966,0.9141489,-0.100669265
se vendre comme un petit pain,19,elles se vendent comme des petits pains,can't keep them on the shelves,they sell like hotcakes,Good Translation,0.5730916,0.82397676,-0.25088513
se vendre comme un petit pain,20,- justement il se vendra comme des petits pains,these moments are going to sell like hot cakes,- it will sell like hotcakes,Good Translation,0.67688817,0.8068248,-0.12993664
se vendre comme un petit pain,21,ces trucs se vendent comme des petits pains,this stuff sells like hotcakes,these things sell like hotcakes,Good Translation,0.7907414,0.8026789,-0.011937499
se vendre comme un petit pain,22,le lendemain le samedi leurs disques se vendaient comme des petits pains,their music would be certainly reflected the following day on the saturday in the shops with brilliant sales,the next Saturday their records were selling like hotcakes,Good Translation,0.75399154,0.87063146,-0.11663991
se vendre comme un petit pain,23,tes photographiques se vendent comme des petits pains,your photography is selling like hotcakes,your photographs sell like hotcakes,Good Translation,0.8110298,0.8145391,-0.003509283
se vendre comme un petit pain,24,le roman se vend comme des petits pains,the book is the bestseller,the novel sells like hotcakes,Good Translation,0.6491842,0.835575,-0.18639076
se vendre comme un petit pain,25,ça va se vendre comme des petits pains kdh procure 1500 emplois au pays de galles,it's gonna sell like hotcakes,It will sell like hotcakes and procures 1500 jobs in Wales,Partial Translation,0.6175153,0.73238367,-0.11486834
se vendre comme un petit pain,26,- je ne sais pas encore mais dès que j'aurai trouvé ça se vendra comme des petits pains,but once i nail itit's gonna take off like a rocket,"-I don't know yet, but as soon as I find it, it will sell like hotcakes",Good Translation,0.6091473,0.86523736,-0.25609004
se vendre comme un petit pain,27,vous savez ces photos se vendent comme des petits pains,you know these photos are always a hit,you know these photos sell like hotcakes,Good Translation,0.68218106,0.8466201,-0.16443902
se vendre comme un petit pain,28,ces merveilles se vendront comme des petits pains,these babies will fly off your shelf,these marvels will sell like hot cakes,Good Translation,0.6008035,0.7722651,-0.17146158
se vendre comme un petit pain,29,- ça se vend comme des petits pains,- it's selling like hot cakes,- it sells like hot cakes,Good Translation,0.81222403,0.82742083,-0.0151968
se vendre comme un petit pain,30,je garde les traces de ce que mes clients achètent et ceux-là se vendent comme des petits pains,i keep strict tabs on what my customers buy and those are selling like hotcakes,I keep track of what my clients buy and those sell like hotcakes.,Good Translation,0.8007268,0.84290344,-0.042176664
se vendre comme un petit pain,31,ça va se vendre comme des petits pains,it will sell like hot cakes,it will sell like hotcakes,Good Translation,0.85983425,0.8606038,-0.00076955557
se vendre comme un petit pain,32,hey martin ces lots d'adoucisseur d'eau se vendent comme des petits pains,hey martin those 12-packs of fabric softener are just flying off the shelves,"Hey Martin, these water softener packages sell like hotcakes.",Good Translation,0.6802862,0.82059646,-0.14031023
se vendre comme un petit pain,33,mes pizzas se vendent comme des petits pains ils dévorent mes pepperoni,the pizzas are selling like crazy people just love my pepperoni,my pizzas sell like hotcakes they devour my pepperoni,Good Translation,0.7816927,0.9171151,-0.13542241
se vendre comme un petit pain,34,ça se vendra comme des petits pains,it's perfect we'll sell so many books,It will sell like hot cakes,Good Translation,0.65417194,0.8291446,-0.17497265
