idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
être dans le lune,0,les missiles disparus on ne dira plus que je suis dans la lune,once you've destroyed all the nuclear missiles they'll see i'm right,les missiles disappeared we won't hear it said that I'm living in cloud nine,Mistranslation,0.53862953,0.7232486,-0.18461907
être dans le lune,1,je suis dans la lune aujourd'hui,wow i'm a space cadet today,I am on the moon today.,Literal Translation,0.7256602,0.87867093,-0.15301073
être dans le lune,2,viens t'es dans la lune,come on you're zoning,you're spacewalking,Unnatural,0.6102241,0.61809397,-0.00786984
être dans le lune,3,tu es dans la lune frank,you weren't there frank,you are in la-la-land Frank,Good Translation,0.7011095,0.76407045,-0.06296092
être dans le lune,4,tu dois vraiment être dans la lune,you just had a near-death experience,you must really be on the moon,Good Translation,0.5949913,0.9279825,-0.33299118
être dans le lune,5,tu as été dans la lune toute la matinée,you've been off in space all morning,you were on the moon all morning,Literal Translation,0.8582579,0.9300134,-0.07175553
être dans le lune,6,j'étais dans la lune désolée,yes i know i was miles away sorry,I was in the desolate moon.,Literal Translation,0.6836369,0.81274515,-0.12910825
être dans le lune,7,je vais au cinéma et je suis dans la lune,going to the movies and staring off into space,I go to the cinema and I'm in la la land,Good Translation,0.7177166,0.80642045,-0.08870387
être dans le lune,8,- stan stan t'es dans la lune hein,-you're a bit out of it huh,"- stan stan you're in the clouds, huh",Good Translation,0.55886966,0.7768877,-0.21801805
être dans le lune,9,t'es dans la lune,are you on the moon,you're spacewalkin',Good Translation,0.8100658,0.6610999,0.1489659
être dans le lune,10,je suis dans la lune,i'm moonlighting,I am in the moon,Literal Translation,0.79589367,0.9197041,-0.12381041
être dans le lune,11,pos192220pardon j'étais dans la lune,zane sorry i spaced out there,"French: pos192220pardon j'étais dans la lune
English: pardon, I was in the clouds",Good Translation,0.587047,0.83308995,-0.24604297
être dans le lune,12,il est dans la lune regarde,tony he's in a world of his own look,he is on the moon looking,Literal Translation,0.6397722,0.9030427,-0.2632705
être dans le lune,13,nous offrons le sacrifice du sang vous êtes dans la lune ou quoi,we're offering blood sacrifice what are you daydreaming for,you're out of this world or something,Good Translation,0.72727513,0.54899865,0.17827648
être dans le lune,14,mon amie megan dit que je suis dans la lune,my friend megan says i'm out to lunch,my friend Megan says that I'm in la-la land,Good Translation,0.7222055,0.7615002,-0.03929466
être dans le lune,15,je suis dans la lune là,- i'm in a really weird place right now,I am daydreaming there,Literal Translation,0.64832175,0.7026197,-0.054297924
être dans le lune,16,- je regarde pas je suis dans la lune,- l'm dreaming,"- I'm not looking, I'm in la-la land",Good Translation,0.64315945,0.741409,-0.098249555
être dans le lune,17,elle est dans la lune elle chante,daydreaming singing to herself,she is in the moon she sings,Literal Translation,0.6971977,0.95006955,-0.25287187
être dans le lune,18,désolée je suis dans la lune je suis absorbée par une certaine jalousie vous êtes ensemble tous les deux maintenant,i'm sorry i'm just distracted right now by these feelings of jealousy that you two are apparently together now,sorry I'm in la-la land I'm absorbed by a certain jealousy you're together now,Good Translation,0.7712277,0.8479157,-0.07668799
être dans le lune,19,arthur disait être dans la lune,arthur said he was over the moon,Arthur said he was in the moon,Literal Translation,0.8661225,0.8595998,0.0065226555
être dans le lune,20,il est dans la lune,- bye,he is in the moon,Literal Translation,0.47509706,0.94669205,-0.471595
être dans le lune,21,morgan pense que la caméra est dans les lunettes,morgan thinks the unsub's glass are the camera,Morgan thinks that the camera is in the glasses.,Literal Translation,0.85592484,0.85000473,0.005920112
être dans le lune,22,elle est dans la lune les ambulanciers sont là,she's over the moon,she is in the moon the ambulancers are here,Literal Translation,0.6737517,0.94841117,-0.27465945
être dans le lune,23,vous êtes dans la lune,what's the matter with you,you are in the clouds,Good Translation,0.5903698,0.75816315,-0.16779333
être dans le lune,24,j'étais dans la lune - mais je viens juste de me souvenir il y a une auberge de jeunesse pas chère près d'ici,i was a little far-off - but i just remembered that it is a cheap youth shelter nearby,I was space cadeting - but just now I remembered there's a cheap hostel nearby.,Good Translation,0.84158134,0.7965069,0.045074463
