idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
en avoir rien à cirer,0,et je n'en ai rien à cirer,and i don't give a damn,and I don't give a damn about it,Good Translation,0.7938715,0.8135711,-0.019699574
en avoir rien à cirer,1,et même si tu te fous de ma gueule en ce moment j'en ai rien à cirer,and i don't even care if you're telling me a bunch of lies,"and even though you're screwing with my head right now, I don't give a damn",Good Translation,0.68474257,0.8227752,-0.13803262
en avoir rien à cirer,2,j'en ai rien à cirer de ce que tu fais,i don't give a shit what you do,I couldn't care less about what you do,Good Translation,0.85834813,0.748385,0.10996312
en avoir rien à cirer,3,et tu sais quoi je n'en ai rien à cirer que j'aie accepté d'être son témoin,and you know what i don't give a shit that i agreed to be his best man,and you know what I don't give a damn whether I agreed to be his witness or not,Good Translation,0.7326044,0.86285454,-0.13025016
en avoir rien à cirer,4,- j'en ai rien à cirer,they can go to hell,- I couldn't care less,Good Translation,0.411394,0.6933661,-0.2819721
en avoir rien à cirer,5,le temps passé j'en ai rien à cirer,no the old days are dead,I couldn't care less about the time passed,Good Translation,0.59550315,0.7216294,-0.12612623
en avoir rien à cirer,6,honnêtement j'en ai rien à cirer,oh i couldn't give a shite man to be honest with you,"honestly, I couldn't care less",Good Translation,0.594453,0.69626325,-0.10181028
en avoir rien à cirer,7,tu vois elles en ont rien à cirer,they just don't give a damn,"you see, they couldn't care less",Good Translation,0.7329835,0.62634563,0.106637895
en avoir rien à cirer,8,-j'en ai rien à cirer,look i-i-l don't want to hear about mrs spencer morty she's an idiot,-I don't give a damn about it,Good Translation,0.56598115,0.80177426,-0.23579311
en avoir rien à cirer,9,on n'en a rien à cirer de toi,now look we don't give a rat's ass about you,We have nothing to do with you.,Partial Translation,0.7429691,0.7688529,-0.025883794
en avoir rien à cirer,10,ben heureusement que je suis taré parce que j'en ai rien à cirer,yeah well thank god i'm crazy because i don't give a shit,"Fortunately, I'm crazy because I couldn't care less.",Good Translation,0.7472506,0.69533837,0.051912248
en avoir rien à cirer,11,j'en ai rien a cirer,you mistake me for somebody who gives a shit headquarters,I couldn't care less,Good Translation,0.471819,0.6073697,-0.13555071
en avoir rien à cirer,12,j'en ai rien à cirer de la reine,frankly i don't give a shit about the queen,I couldn't care less about the queen,Good Translation,0.8558078,0.70265937,0.15314841
en avoir rien à cirer,13,j'en ai rien à cirer,i don't give a goddamn,I couldn't care less,Good Translation,0.7316463,0.65427554,0.07737076
en avoir rien à cirer,14,je l'aime mais il n'en a rien à cirer,im in love with him but he doesnt care about me damn,I love her but he couldn't care less,Good Translation,0.7447978,0.6930483,0.051749527
en avoir rien à cirer,15,ils n'en ont rien à cirer,they're not after us,They couldn't care less.,Good Translation,0.6965053,0.629265,0.0672403
en avoir rien à cirer,16,et moi je pense que j'en ai rien à cirer,i think i couldn't care less,and I think I care about none of it,Good Translation,0.65817547,0.8479479,-0.18977243
en avoir rien à cirer,17,et ils en ont rien à cirer,and they don't give a shit,and they couldn't care less,Good Translation,0.84865165,0.70401204,0.14463961
en avoir rien à cirer,18,les enflures dehors n'en ont rien à cirer de nous,them motherfuckers outside this place don't give a fuck about us,the jerks outside couldn't care less about us,Good Translation,0.7351461,0.68768966,0.047456443
en avoir rien à cirer,19,je veux que c'était un maniaque un mec qu'en avait rien à cirer de rien,of course uncle kure was a maniac someone who lives at a hundred miles an hour who doesn't give a fuck about anything,"I wanted it to be a psychopath, a guy who cared about nothing",Good Translation,0.6778777,0.8261998,-0.1483221
en avoir rien à cirer,20,j'en ai rien à cirer de ce que tu penses,i don't give a shit what you fucking think about anything,I don't give a damn about what you think,Good Translation,0.85895824,0.89502776,-0.036069512
en avoir rien à cirer,21,le temps l'espace ou le multivers on n'en a rien à cirer,we don't care about time or space or extradimensional whatevers we don't give a damn about that,"we couldn't care less about time, space, or the multiverse",Good Translation,0.73953265,0.7222198,0.017312825
en avoir rien à cirer,22,- au vu du contenu - j'en ai rien à cirer,i couldn't be less interested,- given the content - I couldn't care less,Good Translation,0.55914974,0.7188121,-0.15966237
en avoir rien à cirer,23,ils n'en ont rien à cirer,it's none of their business,They couldn't care less.,Good Translation,0.7838557,0.629265,0.15459067
en avoir rien à cirer,24,et sache que lui il n'en a rien à cirer que ce soit sur ordre des américains,and he doesn't give a rat's ass that our government did it,and know that he gives a damn neither way whether it's on orders from Americans or not,Mistranslation,0.71611047,0.9020763,-0.18596584
en avoir rien à cirer,25,- j'en ai rien à cirer - que se passe t-il,- i don't care about your mortgage,- I couldn't care less - what's going on,Good Translation,0.62726593,0.79467934,-0.16741341
en avoir rien à cirer,26,je n'en ai rien à cirer,i don't fucking care,I couldn't care less,Good Translation,0.74999964,0.6582283,0.091771364
en avoir rien à cirer,27,j'en avais rien à cirer,i couldn't give a shit,I couldn't care less,Good Translation,0.73926294,0.69113374,0.0481292
en avoir rien à cirer,28,et ils n'en ont rien à cirer de kensi,and they're not gonna give a damn about kensi,and they couldn't care less about kensi,Good Translation,0.92198133,0.79034984,0.1316315
en avoir rien à cirer,29,j'en ai rien à cirer,- i don't give a damn,I couldn't care less,Good Translation,0.75790906,0.65427554,0.10363352
en avoir rien à cirer,30,j'en ai rien à cirer de ce que pense ta mère,i really don't give a shit what your mother thinks,I couldn't care less about what your mother thinks,Good Translation,0.89831614,0.84874564,0.0495705
en avoir rien à cirer,31,j'en ai rien à cirer,right i don't give a fuck,I couldn't care less,Good Translation,0.7282193,0.65427554,0.073943734
en avoir rien à cirer,32,- absolument j'en ai rien à cirer de ta bonne note je suis pas un chien,fuck what you think of me,- absolutely I don't give a damn about your good grade I'm not a dog,Good Translation,0.5363363,0.8767159,-0.3403796
en avoir rien à cirer,33,je vous avais dit qu'elle en avait rien à cirer de moi,i told you she doesn't give two shits about me,I told you she didn't give a damn about me.,Good Translation,0.8411186,0.8557506,-0.014632046
en avoir rien à cirer,34,t'en a rien à cirer de toute façon,what do you really care,You don't give a damn in any case,Good Translation,0.5195296,0.7818973,-0.26236773
en avoir rien à cirer,35,fous-moi la paix t'en as rien à cirer de toute façon,what do you care anyway,freaking leave me alone you don't give a damn anyway,Good Translation,0.6224457,0.75889945,-0.13645375
en avoir rien à cirer,36,vous vous n'en avez rien à cirer rien à foutre ni des maisons ni des voitures,you don't care about houses or cars,you don't give a damn about houses or cars,Good Translation,0.84428114,0.8462198,-0.0019386411
en avoir rien à cirer,37,je n'en ai rien à cirer moi des lois,you think i care about what the law says,I couldn't care less about the laws myself,Good Translation,0.68483436,0.745064,-0.06022966
en avoir rien à cirer,38,les ricains ils en auront rien à cirer de notre gueule,the americans won't give a fuck,The Americans will not give a damn about our trouble,Unnatural,0.72162867,0.77355814,-0.051929474
en avoir rien à cirer,39,ils n'en ont rien à cirer de nous,they don't give a damn about us,They couldn't care less about us.,Good Translation,0.9005418,0.68366396,0.21687782
en avoir rien à cirer,40,si vous avez des réclamations eh bien c'est regrettable parce que personne ici n'en a rien à cirer et personne au monde n'en saura jamais rien,if you have any complaints well that's just too bad because nobody on the island gives a shit and nobody in the rest of the universe will ever know,"if you have complaints, well, that's regrettable because nobody here gives a damn and nobody in the world will ever know about it",Good Translation,0.7379712,0.9012286,-0.16325742
en avoir rien à cirer,41,j'en ai rien á cirer,i do not care man fuck this,I don't give a damn,Good Translation,0.60404295,0.6753696,-0.07132667
en avoir rien à cirer,42,vous en avez rien à cirer tous les deux,you two just don't give a shit,You two couldn't care less.,Good Translation,0.83056545,0.7343502,0.09621525
en avoir rien à cirer,43,j'en ai rien à cirer de jésus-christ ni de la justice ici-bas ou dans l'au-delà,frankly i don't give a rat's ass about jesus christ and i don't care about justice in this world or the next,I couldn't care less about Jesus Christ or about earthly or divine justice,Good Translation,0.84804404,0.7514986,0.09654546
en avoir rien à cirer,44,- j'en ai rien à cirer,- i've heard different,- I couldn't care less,Good Translation,0.5174032,0.6933661,-0.17596292
en avoir rien à cirer,45,on n'en aurait rien à cirer si on voyait passer leonardo dicaprio,we wouldn't give a rat's ass if leonardo decaprio came walking passed us,We wouldn't give a damn if we saw Leonardo DiCaprio.,Good Translation,0.79584503,0.79552007,0.00032496452
en avoir rien à cirer,46,et j'en ai rien à cirer après tout,and i don't even care you know what,and I don't give a damn about it after all,Good Translation,0.68985367,0.8448145,-0.15496081
en avoir rien à cirer,47,j'en ai rien à cirer d'alex ou de toi,harry i don't give a fuck about alex i don't give a fuck about you,I couldn't care less about Alex or you,Good Translation,0.78258187,0.7229287,0.059653163
en avoir rien à cirer,48,- ça j'en ai rien à cirer,i don't care what mother wants,- I couldn't care less,Good Translation,0.6528865,0.67556113,-0.02267462
en avoir rien à cirer,49,j'en ai rien à cirer,i don't give a shit,I don't give a damn,Good Translation,0.7615347,0.75341916,0.00811553
en avoir rien à cirer,50,il n'en a rien à cirer,- well he don't give a shit,He couldn't care less,Good Translation,0.7420328,0.6092007,0.13283211
en avoir rien à cirer,51,t'en as rien à cirer je sais,i know you don't care but it's like,"You couldn't care less, I know",Good Translation,0.6493404,0.67123353,-0.021893144
en avoir rien à cirer,52,quelqu'un m'a dit un jour que que le pouvoir dans une relation est entre les mains de celui qui n'en a rien à cirer,someone once told me that the power in all relationships lies with whoever cares less and he was right,someone told me once that power in a relationship lies with the one who cares not at all,Good Translation,0.79345775,0.86621594,-0.0727582
en avoir rien à cirer,53,du moment qu'on me paye le loyer j'en ai rien à cirer,what's important for me is that they pay my rent,"As long as you pay the rent, I couldn't care less.",Good Translation,0.6720232,0.7542447,-0.08222151
en avoir rien à cirer,54,j'en ai rien à cirer des locataires de louis,donna i don't give a shit about louis and his tenants,I couldn't care less about Louis's tenants,Good Translation,0.7925612,0.6960399,0.09652126
en avoir rien à cirer,55,ça vaut mieux qu'une mère qui n'en a rien à cirer,much better than having a mother who doesn't give a crap,It's better than a mother who doesn't give a damn,Good Translation,0.9004935,0.9162073,-0.01571381
