idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
battre le fer tant que il être chaud,0,si j'étais pas là - prêt pour la phase 2 - battons le fer tant qu'il est chaud,if you want to be al capone go to chicago,if I weren't here - ready for phase 2 - strike while the iron is hot,Good Translation,0.39645654,0.87536633,-0.4789098
battre le fer tant que il être chaud,1,et tu le sais il faut battre le fer tant qu'il est chaud,and you know you have to strike while the iron is hot,and you know we need to strike while the iron is hot,Good Translation,0.84679854,0.7987923,0.048006237
battre le fer tant que il être chaud,2,ils veulent le capital sur la publicité produite par le post nous devons battre le fer tant qu'il est chaud,they want to capitalize on the publicity from the post so we have to strike while the iron's hot,They want capital on the advertising produced by the post we must strike while the iron is hot,Good Translation,0.8305078,0.8812225,-0.05071467
battre le fer tant que il être chaud,3,battez le fer tant qu'il est chaud,you should strike while the iron's hot,beat the iron while it is hot,Good Translation,0.74881196,0.7938016,-0.044989645
battre le fer tant que il être chaud,4,battre le fer tant qu'il est chaud,strike while the iron's hot,beat the iron while it is hot,Good Translation,0.75203395,0.8169093,-0.064875364
battre le fer tant que il être chaud,5,battons le fer tant qu'il est chaud,we have to act quickly and seize this opportunity,"while iron is hot, let's hammer it",Good Translation,0.54411244,0.8279182,-0.28380573
battre le fer tant que il être chaud,6,il faut battre le fer tant qu'il est chaud,you gotta strike while the iron is hot,you need to strike while the iron is hot,Good Translation,0.7983012,0.80303603,-0.004734814
battre le fer tant que il être chaud,7,je bats le fer tant qu'il est chaud,you know i just figured i got to strike while the iron's hot,I strike while the iron is hot,Good Translation,0.7698811,0.83772266,-0.06784153
battre le fer tant que il être chaud,8,battre le fer tant qu'il est chaud,fire's hot,beat the iron while it is hot,Good Translation,0.66493815,0.8169093,-0.15197116
battre le fer tant que il être chaud,9,- battons le fer tant qu'il est chaud,strike while the iron is hot,"- while the iron is hot, we hammer it",Good Translation,0.76328295,0.832366,-0.069083035
battre le fer tant que il être chaud,10,donc battez le fer tant qu'il est chaud,so strike while the iron's hot,so strike while the iron is hot,Good Translation,0.78696865,0.7905246,-0.0035559535
