idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
joindre le deux bout,0,j'arrive à peine à joindre les deux bouts,okay i am barely scraping by,I barely make ends meet,Good Translation,0.74044776,0.6697032,0.070744574
joindre le deux bout,1,comment vais-je joindre les deux bouts,how how am i going to make ends meet mmkay,how am I going to make ends meet,Good Translation,0.6018908,0.6514859,-0.049595118
joindre le deux bout,2,écoute on travaille 70 heures par semaine pour joindre les deux bouts,look we work 70 hours a week just to keep pace right,We work 70 hours per week to make ends meet.,Good Translation,0.77899384,0.76564014,0.013353705
joindre le deux bout,3,- oui il faut bien joindre les deux bouts,gotta make those ends meet you know,- yes you have to connect the dots,Literal Translation,0.68558455,0.8194303,-0.13384575
joindre le deux bout,4,pour joindre les deux bouts je dois faire des courses doubles plusieurs fois par jour,to make ends meet i have to double up passengers many times a day,"to make ends meet, I have to do double grocery runs several times a day",Good Translation,0.68111336,0.74347764,-0.06236428
joindre le deux bout,5,on se débrouille pour joindre les deux bouts,so you have to do things to make ends meet,we make ends meet,Good Translation,0.64290327,0.6735711,-0.030667841
joindre le deux bout,6,nous avons fini par joindre les deux bouts sans avoir à quitter l'appartement,ultimately they were able to make ends meet without going bust on the apartment,We ended up making it work without having to leave the apartment.,Good Translation,0.7516765,0.8833052,-0.13162869
joindre le deux bout,7,j'ai dit que mon travail à la fondation me plaît mais que j'ai du mal à joindre les deux bouts,what i said was that i like it at the foundation okay but i'm having a little trouble making both ends meet,I said that my work at the foundation pleases me but I struggle to make ends meet,Good Translation,0.88014543,0.81556094,0.06458449
joindre le deux bout,8,les fêtes privées pleines d'alcool et de filles folles est un excellent moyen de joindre les deux bouts,private parties full of drunk crazy girls is a great way to make ends meet,private parties full of alcohol and crazy girls is an excellent way to make ends meet,Good Translation,0.79576254,0.82229555,-0.026533008
joindre le deux bout,9,- je ne sais pas pour joindre les deux bouts comme d'habitude,- i do not know to make ends meet as usual,I don't know how to make ends meet as usual,Good Translation,0.7627724,0.7065581,0.056214273
joindre le deux bout,10,et comment vas-tu joindre les deux bouts maintenant que tu ne soignes plus mon trou dans le bras,how are you gonna make ends meet now that you're not filling up that hole in my arm,and how do you make ends meet now that you no longer mend my hole in my arm,Good Translation,0.72585285,0.76334774,-0.037494898
joindre le deux bout,11,j'ai une filleule gloria une fille intelligente et dévouée dont la mère arrive à peine à joindre les deux bouts,i have a goddaughter gloria a smart dedicated kid whose mom is barely scraping by,"I have a goddaughter named Gloria, an intelligent and devoted girl whose mother struggles to make ends meet.",Good Translation,0.85752225,0.8324217,0.02510053
joindre le deux bout,12,on dit que vous avez du mal à joindre les deux bouts ces temps-ci,i heard you two were havin' a rough couple of months,They say you've been struggling to make ends meet lately,Good Translation,0.69971216,0.7297681,-0.03005594
joindre le deux bout,13,désolé que t'aies du mal à joindre les deux bouts,okay i'm sorry that you're having a tough time making ends meet,sorry you're struggling to make ends meet,Good Translation,0.75098443,0.7293951,0.021589339
joindre le deux bout,14,c'est pas idéal mais je peux joindre les deux bouts,it's not a career or anything but it's got me solvent,it's not ideal but I can make it work,Good Translation,0.6005997,0.78144073,-0.18084103
joindre le deux bout,15,vous arrivez à joindre les deux bouts,- listen are you making ends meet,you manage to make both ends meet,Good Translation,0.61979914,0.7601067,-0.14030755
joindre le deux bout,16,le pauvre a eu du mal à joindre les deux bouts dernièrement,poor guy's been struggling lately,the poor have been struggling to make ends meet recently,Good Translation,0.8472445,0.75035626,0.096888244
joindre le deux bout,17,j'essaie juste de joindre les deux bouts mec,hey man i'm just trying to make ends meet you know,I'm just trying to make ends meet man,Unnatural,0.73704517,0.7533899,-0.016344726
joindre le deux bout,18,c'est dur de joindre les deux bouts mais encore plus d'épargner,breakin' even's hard enough but getting ahead's impossible,it's hard to make ends meet but even harder to save,Good Translation,0.64677143,0.76941717,-0.122645736
joindre le deux bout,19,non il a du mal à joindre les deux bouts depuis la fin du service militaire,no things have been pretty tough for him ever since he got out of the service,He's having trouble making ends meet since the end of his military service.,Good Translation,0.62117386,0.7918217,-0.17064786
joindre le deux bout,20,n'ayant pas à travailler d'arrache-pied pour joindre les deux bouts elle avait du temps libre pourfaire de la photo,she wasn't having to work so hard just to make ends meet so she had some free time for her photographic endeavours,"not having to work hard to make ends meet, she had free time to do photography",Good Translation,0.85406166,0.8588631,-0.004801452
joindre le deux bout,21,j'avais déjà du mal à joindre les deux bouts,i was barely putting food on the table as it was,I already had trouble making ends meet.,Good Translation,0.64408225,0.7316011,-0.08751887
joindre le deux bout,22,il y a longtemps de cela je traversais des moments difficiles essayant de joindre les deux bouts,long ago i was going through some rough years trying to make ends meet,"Long ago, I went through tough times trying to make ends meet.",Good Translation,0.81476605,0.8216022,-0.006836176
joindre le deux bout,23,je n'étais qu'un braconnier peinant à joindre les deux bouts face aux défenseurs des animaux,once i was just a down and out poacher struggling to make ends meet in the face of a growing animal rights movement,I was just a struggling poacher trying to make ends meet against animal defenders,Good Translation,0.66705275,0.7884594,-0.121406674
joindre le deux bout,24,comme on m'a volé mon entreprise je dois joindre les deux bouts,but with my business stolen i have to make ends meet,"since my business was stolen, I have to make ends meet",Good Translation,0.7438692,0.7457022,-0.0018330216
joindre le deux bout,25,ma mère a lutté pour joindre les deux bouts quand j'étais un enfant,my mother struggled to make ends meet when i was a child,My mother struggled to make ends meet when I was a child.,Good Translation,0.78004134,0.778882,0.0011593103
joindre le deux bout,26,et comme tu vas bientôt retourner bosser la firme a décidé de t'aider à joindre les deux bouts,and the two of you agreed that since as everybody knows you're going back to work any day now the firm should help you make ends meet,"and since you're going to be returning to work soon, the company has decided to help you bridge the gap",Good Translation,0.76676667,0.85788393,-0.09111726
joindre le deux bout,27,s'ils offrent un cours pour joindre les deux bouts,if they offer a course in making ends meet,if they offer a course to make ends meet,Good Translation,0.7326679,0.7653048,-0.03263688
joindre le deux bout,28,comment il joint les deux bouts,how's he supposed to keep body and soul together doctor,how he joins the two ends,Unnatural,0.5408232,0.8065264,-0.2657032
joindre le deux bout,29,on doit aller dans nos poches pour joindre les deux bouts,we got to dig in our pockets to make ends meet,we have to dig into our pockets to make ends meet,Good Translation,0.7002479,0.7047665,-0.004518628
