idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
en avoir ras-le-bol,0,j'en ai ras-le-bol pas vous,i'm sick and tired of this,I'm sick of you.,Partial Translation,0.70635265,0.7121908,-0.0058381557
en avoir ras-le-bol,1,j'en ai ras-le-bol que tu foutes toujours le bordel et que je doive nettoyer par la suite,i am sick as hell of you constantly making a mess of this house and having to clean up after you,I am fed up with you always making a mess and having to clean it up later.,Good Translation,0.8174813,0.8528488,-0.03536755
en avoir ras-le-bol,2,vous savez pourquoi j'en ai ras-le-bol de vous bande de rats morts,i don't want to do business with you deadbeats anyway thank you,you know why I'm fed up with you bunch of dead rats,Good Translation,0.54458773,0.92157674,-0.376989
en avoir ras-le-bol,3,ça me suffit j'en ai ras-le-bol,enough i'm fed up,that's enough I'm fed up,Good Translation,0.87209487,0.8788661,-0.006771207
en avoir ras-le-bol,4,j'en ai ras-le-bol de cette famille,i want out of this family,I am fed up with this family.,Good Translation,0.835227,0.93593234,-0.100705326
en avoir ras-le-bol,5,- j'en ai ras-le-bol moi de répondre à tes questions,stop asking questions i'm sick of your questions,-I'm fed up with answering your questions.,Good Translation,0.8137319,0.90808105,-0.094349146
en avoir ras-le-bol,6,j'en ai ras-le-bol des nègres,i'm sick of niggers,I am tired of negroes,Good Translation,0.79575825,0.7948773,0.00088095665
en avoir ras-le-bol,7,mon dieu j'en ai ras-le-bol des gens qui attirent l'attention sur des trucs,my god i am so sick and tired of people raising awareness about things,my god i'm tired of people who draw attention to trivial things,Good Translation,0.7890991,0.8579922,-0.068893075
en avoir ras-le-bol,8,j'en ai ras-le-bol de cette fille,i'm sick and tired of this girl,I am fed up with this girl,Good Translation,0.9369961,0.9329916,0.0040044785
en avoir ras-le-bol,9,je continue ou vous en avez ras-le-bol de ces conneries comme moi,well should i go on or you as sick of this same old tired line of bs as i am,I keep going or you're sick of these nonsense like me,Partial Translation,0.7759468,0.86384153,-0.08789474
en avoir ras-le-bol,10,j'en ai ras-le-bol des enterrements,i'm tired of going to funerals,I am fed up with funerals.,Good Translation,0.83072305,0.84695846,-0.016235411
en avoir ras-le-bol,11,- ma femme commence à en avoir ras-le-bol,my wife is fed up with this crap,- my wife is starting to get fed up with it,Good Translation,0.86755955,0.94551975,-0.07796019
en avoir ras-le-bol,12,mme stern j'en ai ras-le-bol d'entendre dans vos cours que les hommes sont responsables des problèmes du monde,ms stern i'm sick of coming into your class three days a week and hearing my sex is responsible for all the problems in the world,"Mrs. Stern, I'm fed up with hearing in your classes that men are responsible for the world's problems.",Mistranslation,0.8345997,0.9200666,-0.08546692
en avoir ras-le-bol,13,le public américain en a ras-le-bol et il change de chaîne,the american public's tired of it and they're changing the channel,The American audience is fed up and changes the channel.,Good Translation,0.93289113,0.9046912,0.028199911
en avoir ras-le-bol,14,les gens en ont ras-le-bol des minutes de silence,people just get sick and tired of a moment's silence at a ball game,people are sick of moments of silence,Partial Translation,0.8441389,0.921543,-0.07740408
en avoir ras-le-bol,15,j'en ai ras-le-bol moi - je suggère qu'on s'en tienne là,i've had quite enough,I'm fed up with this - I suggest we leave it at that,Good Translation,0.709648,0.8340049,-0.124356866
en avoir ras-le-bol,16,elle en avait ras-le-bol de toi,she was sick of you,She was sick of you,Good Translation,0.8342157,0.8407272,-0.0065115094
en avoir ras-le-bol,17,j'en ai ras-le-bol de ce merdier,i'm sick of this fucking shit,I am fed up with this shit,Good Translation,0.7843243,0.80577815,-0.021453857
en avoir ras-le-bol,18,il fait beau il pleut j'en ai ras-le-bol de ce coin,it's sunny raining i'm sick and tired of this corner,It's nice out it's raining I'm sick of this place,Good Translation,0.841576,0.8672122,-0.025636196
en avoir ras-le-bol,19,j'en ai ras-le-bol de ces femmes qui me mentent et qui m'enculent,i'm so tired of women lying to me and fucking me over,I am fed up with these women who lie to me and fuck with me,Good Translation,0.90344846,0.91920304,-0.01575458
en avoir ras-le-bol,20,j'en ai ras-le-bol de ton fric de tes conseils et de ton soutien,i am tired of it all the money the advice the support all of it,I'm fed up with your money and your advice and your support.,Good Translation,0.8308556,0.89903796,-0.06818235
en avoir ras-le-bol,21,d'ici la fête du travail tu en auras ras-le-bol de moi,come labor day you're gonna be so sick of me,until the Labor Day you will be fed up with me,Good Translation,0.75997734,0.7832128,-0.02323544
en avoir ras-le-bol,22,- je ne suis pas stupide j'en ai ras-le-bol,- i'm not being stupid i'm being pissed off,I am not stupid; I'm fed up with this.,Good Translation,0.79260755,0.8155292,-0.022921681
en avoir ras-le-bol,23,j'en ai ras-le-bol c'est tout,- i'm fed up that's all,I'm fed up that's all,Good Translation,0.80295396,0.8173838,-0.014429867
en avoir ras-le-bol,24,j'en ai ras-le-bol que vous fassiez comme si vous n'aviez pas de famille,i'm sick and tired of you two acting as though you don't belong to a family,I'm fed up with you acting as if you have no family.,Good Translation,0.84293175,0.9197938,-0.07686204
en avoir ras-le-bol,25,- je suis furieuse et j'en ai ras-le-bol,- i'm pissed off and annoyed,I am furious and I've had enough.,Good Translation,0.8486293,0.8705394,-0.021910131
en avoir ras-le-bol,26,j'en ai ras-le-bol de tes idées,i gotta tell you i'm done with your ideas,I'm fed up with your ideas,Good Translation,0.8492145,0.91978633,-0.07057184
en avoir ras-le-bol,27,emma en a ras-le-bol,emma say that well emma's pretty frickin' tired of it,Emma is fed up.,Good Translation,0.6483849,0.6528958,-0.0045108795
en avoir ras-le-bol,28,j'en ai ras-le-bol de ces querelles,i am bored to insanity with these rows,I am fed up with these quarrels.,Good Translation,0.78332585,0.89045143,-0.10712558
en avoir ras-le-bol,29,j'en ai ras-le-bol de 1973,i'm bloody sick of 1973,I'm fed up with 1973,Good Translation,0.72530186,0.7292478,-0.0039459467
en avoir ras-le-bol,30,cette fois j'en ai ras-le-bol,lets forget all those things for just a while and just watch some new art,this time I'm fed up,Good Translation,0.5072987,0.9051291,-0.39783037
en avoir ras-le-bol,31,j'en ai ras-le-bol qu'on me demande si je vais bien,are you okay doc i'm sick and tired of people asking me if i'm okay,I am fed up with people asking if I am okay.,Good Translation,0.80626094,0.8664594,-0.060198486
