idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
blanchir de le argent,0,quelle était l'entreprise pour laquelle david clarke blanchissait de l'argent,and what was the name of the organization you believe david clarke was laundering money for,what was the company for which David Clarke laundered money,Good Translation,0.81126016,0.7450634,0.06619674
blanchir de le argent,1,vous blanchissez de l'argent pour lui,you launder money for him,you are laundering money for him,Good Translation,0.83265436,0.8399333,-0.007278919
blanchir de le argent,2,elle croit toujours que je suis dale jenkins que je blanchis de l'argent depuis miami,she thinks i'm dale jenkins a money launderer out of miami,she still thinks that I'm Dale Jenkins and that I launder money from Miami,Good Translation,0.8495146,0.8007773,0.048737288
blanchir de le argent,3,pourquoi vous ne nous avez pas dit que votre fils blanchissait de l'argent,why didn't you tell us that your son was laundering money,Why didn't you tell us that your son was laundering money?,Good Translation,0.9053693,0.8970795,0.008289754
blanchir de le argent,4,il n'y a qu'un seul moyen de blanchir de l'argent,there's only one way to launder money,There is only one way to launder money.,Good Translation,0.8125527,0.797087,0.015465677
blanchir de le argent,5,vous voulez blanchir de l'argent,you need to change money,You want to launder money,Good Translation,0.7268274,0.8025704,-0.07574302
blanchir de le argent,6,il a perdu sa licence et là il emploie son savoir à blanchir de l'argent sale,he lost his law license now he's using his skills to launder criminal cash,he lost his license and there he uses his knowledge to launder dirty money,Good Translation,0.8809707,0.93847716,-0.057506442
blanchir de le argent,7,il blanchissait de l'argent pour lui il couvrait des échanges d'argent et il a gardé les enregistrements,i mean he laundered cash for him covered money trails and he kept records,He was laundering money for him; he covered up cash transactions and has kept records.,Good Translation,0.84939086,0.83910704,0.010283828
blanchir de le argent,8,son fiancé blanchissait de l'argent,her fiance was laundering money,her fiancé was laundering money,Good Translation,0.89589596,0.9027543,-0.006858349
blanchir de le argent,9,on n'accuse pas un homme comme sir richard bowman de blanchir de l'argent,it does not want you accusing sir richard of laundering russian mafia money,We do not accuse a man like Sir Richard Bowman of whitewashing money.,Unnatural,0.7280064,0.88551116,-0.15750474
blanchir de le argent,10,je pense qu'hasty hathaway blanchissait de l'argent pour vous,i think hasty hathaway was laundering a lot of money for you,I think Hasty Hathaway was whitewashing money for you.,Unnatural,0.86919117,0.88113964,-0.011948466
blanchir de le argent,11,je ne nie pas que j'ai blanchi de l'argent,how do you explain that i'm not denying that i've laundered money,I do not deny that I have laundered money.,Good Translation,0.7722278,0.8512223,-0.07899445
blanchir de le argent,12,et pour des 'moins innocents' blanchissant de l'argent mexicain,sometimes for not-so-clean developers laundering money out of mexico,and to those whitening 'less innocent' Mexican money,Good Translation,0.66521144,0.90729874,-0.2420873
blanchir de le argent,13,j'ai découvert une couverture pour blanchir de l'argent,i found out that the acme warehouse is a front for money laundering,I discovered a money laundering cover-up.,Good Translation,0.6558438,0.82459337,-0.16874957
blanchir de le argent,14,blanchir de l'argent pour des dealers de drogue,laundering money for drug dealers,to launder money for drug dealers,Good Translation,0.8396034,0.8412828,-0.0016793609
