idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
joindre le deux bout,0,j'arrive à peine à joindre les deux bouts,okay i am barely scraping by,I'm barely managing to make ends meet.,Good Translation,0.74044776,0.70789665,0.03255111
joindre le deux bout,1,comment vais-je joindre les deux bouts,how how am i going to make ends meet mmkay,How am I going to make ends meet,Unnatural,0.6018908,0.6344475,-0.032556713
joindre le deux bout,2,écoute on travaille 70 heures par semaine pour joindre les deux bouts,look we work 70 hours a week just to keep pace right,listen we work 70 hours a week to make ends meet,Good Translation,0.77899384,0.8118718,-0.03287798
joindre le deux bout,3,- oui il faut bien joindre les deux bouts,gotta make those ends meet you know,- yes we have to make ends meet,Good Translation,0.68558455,0.6995506,-0.0139660835
joindre le deux bout,4,pour joindre les deux bouts je dois faire des courses doubles plusieurs fois par jour,to make ends meet i have to double up passengers many times a day,to make ends meet I have to go shopping twice a day several times,Partial Translation,0.68111336,0.69537795,-0.014264584
joindre le deux bout,5,on se débrouille pour joindre les deux bouts,so you have to do things to make ends meet,We manage to make ends meet.,Good Translation,0.64290327,0.70986474,-0.06696147
joindre le deux bout,6,nous avons fini par joindre les deux bouts sans avoir à quitter l'appartement,ultimately they were able to make ends meet without going bust on the apartment,We managed to scrape by without having to leave the apartment.,Good Translation,0.7516765,0.88275933,-0.13108283
joindre le deux bout,7,j'ai dit que mon travail à la fondation me plaît mais que j'ai du mal à joindre les deux bouts,what i said was that i like it at the foundation okay but i'm having a little trouble making both ends meet,I said that my work at the foundation is to my liking but I'm having trouble making ends meet.,Good Translation,0.88014543,0.85578454,0.024360895
joindre le deux bout,8,les fêtes privées pleines d'alcool et de filles folles est un excellent moyen de joindre les deux bouts,private parties full of drunk crazy girls is a great way to make ends meet,private parties full of booze and wild girls are a great way to make ends meet.,Good Translation,0.79576254,0.78953964,0.0062229037
joindre le deux bout,9,- je ne sais pas pour joindre les deux bouts comme d'habitude,- i do not know to make ends meet as usual,I don't know how to make ends meet as usual.,Good Translation,0.7627724,0.7159314,0.046840966
joindre le deux bout,10,et comment vas-tu joindre les deux bouts maintenant que tu ne soignes plus mon trou dans le bras,how are you gonna make ends meet now that you're not filling up that hole in my arm,and how will you manage now that you're no longer patching up my hole in the arm,Partial Translation,0.72585285,0.82059765,-0.0947448
joindre le deux bout,11,j'ai une filleule gloria une fille intelligente et dévouée dont la mère arrive à peine à joindre les deux bouts,i have a goddaughter gloria a smart dedicated kid whose mom is barely scraping by,I have a goddaughter named Gloria who is an intelligent and dedicated girl whose mother barely manages to make ends meet.,Good Translation,0.85752225,0.8267865,0.030735731
joindre le deux bout,12,on dit que vous avez du mal à joindre les deux bouts ces temps-ci,i heard you two were havin' a rough couple of months,It's said that you are struggling to make ends meet these days.,Good Translation,0.69971216,0.7556033,-0.055891156
joindre le deux bout,13,désolé que t'aies du mal à joindre les deux bouts,okay i'm sorry that you're having a tough time making ends meet,Sorry you're struggling to make ends meet.,Good Translation,0.75098443,0.7164595,0.034524918
joindre le deux bout,14,c'est pas idéal mais je peux joindre les deux bouts,it's not a career or anything but it's got me solvent,It's not ideal but I can make ends meet.,Good Translation,0.6005997,0.6940713,-0.09347159
joindre le deux bout,15,vous arrivez à joindre les deux bouts,- listen are you making ends meet,You're making ends meet.,Good Translation,0.61979914,0.65717137,-0.03737223
joindre le deux bout,16,le pauvre a eu du mal à joindre les deux bouts dernièrement,poor guy's been struggling lately,The poor person has had trouble making ends meet recently.,Good Translation,0.8472445,0.79000074,0.057243764
joindre le deux bout,17,j'essaie juste de joindre les deux bouts mec,hey man i'm just trying to make ends meet you know,"I'm just trying to make ends meet, man.",Good Translation,0.73704517,0.73634875,0.00069642067
joindre le deux bout,18,c'est dur de joindre les deux bouts mais encore plus d'épargner,breakin' even's hard enough but getting ahead's impossible,It's tough to make ends meet but even tougher to save money.,Good Translation,0.64677143,0.7665062,-0.119734764
joindre le deux bout,19,non il a du mal à joindre les deux bouts depuis la fin du service militaire,no things have been pretty tough for him ever since he got out of the service,"No, he has been struggling to make ends meet since the end of his military service.",Good Translation,0.62117386,0.8127965,-0.19162261
joindre le deux bout,20,n'ayant pas à travailler d'arrache-pied pour joindre les deux bouts elle avait du temps libre pourfaire de la photo,she wasn't having to work so hard just to make ends meet so she had some free time for her photographic endeavours,Having no need to work day and night in order to make ends meet she had time free to do photography.,Good Translation,0.85406166,0.83027196,0.023789704
joindre le deux bout,21,j'avais déjà du mal à joindre les deux bouts,i was barely putting food on the table as it was,I was already struggling to make ends meet.,Good Translation,0.64408225,0.71654165,-0.0724594
joindre le deux bout,22,il y a longtemps de cela je traversais des moments difficiles essayant de joindre les deux bouts,long ago i was going through some rough years trying to make ends meet,there was a long time ago when I was going through tough times trying to make ends meet.,Good Translation,0.81476605,0.8207098,-0.005943775
joindre le deux bout,23,je n'étais qu'un braconnier peinant à joindre les deux bouts face aux défenseurs des animaux,once i was just a down and out poacher struggling to make ends meet in the face of a growing animal rights movement,I was just a poacher struggling to make ends meet in front of animal defenders,Unnatural,0.66705275,0.77274907,-0.10569632
joindre le deux bout,24,comme on m'a volé mon entreprise je dois joindre les deux bouts,but with my business stolen i have to make ends meet,since they stole my business I have to make ends meet,Good Translation,0.7438692,0.74259204,0.0012771487
joindre le deux bout,25,ma mère a lutté pour joindre les deux bouts quand j'étais un enfant,my mother struggled to make ends meet when i was a child,My mother struggled to make ends meet when I was a child.,Good Translation,0.78004134,0.778882,0.0011593103
joindre le deux bout,26,et comme tu vas bientôt retourner bosser la firme a décidé de t'aider à joindre les deux bouts,and the two of you agreed that since as everybody knows you're going back to work any day now the firm should help you make ends meet,"And since you'll be going back to work soon, the firm has decided to help you make ends meet.",Good Translation,0.76676667,0.83791614,-0.07114947
joindre le deux bout,27,s'ils offrent un cours pour joindre les deux bouts,if they offer a course in making ends meet,if they offer a course to make ends meet,Good Translation,0.7326679,0.7653048,-0.03263688
joindre le deux bout,28,comment il joint les deux bouts,how's he supposed to keep body and soul together doctor,how he makes ends meet,Good Translation,0.5408232,0.6013548,-0.060531557
joindre le deux bout,29,on doit aller dans nos poches pour joindre les deux bouts,we got to dig in our pockets to make ends meet,we have to go into our pockets to make ends meet,Good Translation,0.7002479,0.7474285,-0.047180593
joindre le deux bout,30,je gagne à peine assez pour joindre les deux bouts,i make barely enough to get along,I just about scrape by to make ends meet.,Good Translation,0.84074605,0.73949814,0.10124791
joindre le deux bout,31,quand j'ai été enceinte de notre aîné il a démarré l'affaire de location agricole pour joindre les deux bouts,and when i was pregnant with our first son he started the equipment-rental business to help make ends meet,when I was pregnant with our eldest he started up the agricultural rental business to make ends meet,Good Translation,0.79668057,0.8645113,-0.06783074
joindre le deux bout,32,ce n'est pas facile de joindre les deux bouts,so now i'm delivering pizza,It's not easy making ends meet.,Good Translation,0.44491017,0.72080874,-0.27589858
joindre le deux bout,33,on avait déjà du mal à joindre les deux bouts,we were barely making ends meet as it was,we had already struggled to make ends meet,Good Translation,0.63018626,0.6989146,-0.06872833
joindre le deux bout,34,- c'est pas la question la question c'est de joindre les deux bouts,you make me sick,"- that's not the question, the question is how to make ends meet.",Partial Translation,0.4060578,0.7224709,-0.31641307
joindre le deux bout,35,- mais j'ai du joindre les deux bouts,- but i had to make ends meet,- but I had to make ends meet,Good Translation,0.72944266,0.7220398,0.0074028373
joindre le deux bout,36,julian je sais que cette question est impolie mais arrives-tu à joindre les deux bouts,julian i know it's very un-british to ask this but how do you manage,Julian I know that this question is impolite but can you make ends meet,Good Translation,0.7365521,0.6961757,0.040376425
joindre le deux bout,37,maintenant il a pris un emploi d'imam d'une petite gare pour joindre les deux bouts,now he's taken a job as the imam at a small station to make ends meet,now he has taken up a position as an imam at a small station to make ends meet,Good Translation,0.84138525,0.8368561,0.0045291185
joindre le deux bout,38,on arrive à peine à joindre les deux bouts on ne peut plus continuer comme ça,but we barely make ends meet we can't go on like this,we are barely managing to make ends meet we can no longer continue like this,Good Translation,0.74903876,0.7751329,-0.026094139
joindre le deux bout,39,je me retrouve dans une situation difficile et j'ai du mal à joindre les deux bouts,i've suddenly come into some difficult times financially,I find myself in a difficult situation and I'm struggling to make ends meet.,Good Translation,0.78026,0.8177481,-0.037488103
joindre le deux bout,40,s'efforçant de joindre les deux bouts de mener une vie normale,just trying to make ends meet lead a normal life,Struggling to make ends meet and lead a normal life,Good Translation,0.7697638,0.73807055,0.03169328
joindre le deux bout,41,avec terri on veut acheter une maison et c'est dur de joindre les deux bouts,terri and i are trying to buy a house and we're you know struggling to make ends meet and sighs,With Terry we want to buy a house and it's hard to make ends meet.,Good Translation,0.7798157,0.8032648,-0.023449123
joindre le deux bout,42,ok j'ai pris le sang mais juste parce que j'essaie de joindre les deux bouts,okay so i did take the blood but only because i'm trying to make ends meet,okay I've taken the blood but only because I'm trying to make ends meet,Good Translation,0.8155848,0.81989175,-0.004306972
joindre le deux bout,43,peut-être que c'est un homme seul qui a du mal à joindre les deux bouts et que ce serait sympa de le laisser tranquille,maybe the truth is he's just a middle-aged lonely guy struggling to get by and it sure would be nice if someone gave him a break once in a while,Maybe it's just a lonely man who is struggling to make ends meet and that would be kind of him to leave alone.,Unnatural,0.77569276,0.8175087,-0.041815937
joindre le deux bout,44,comme tout le monde on était très endettés et on avait du mal à joindre les deux bouts,like everybody else we were mortgaged to the hilt had credit card debt and were constantly struggling to make ends meet,Like everyone else we were heavily in debt and had trouble making ends meet,Good Translation,0.787794,0.8707768,-0.08298278
joindre le deux bout,45,je fais des petits boulots comme celui-là pour joindre les deux bouts,just working jobs like this one to make ends meet,I do little jobs like that to make ends meet.,Good Translation,0.72841954,0.81942594,-0.0910064
joindre le deux bout,46,pouvez-vous comprendre à quel point c'est dur pour nous de rassembler l'argent quand nous savons à quel point c'est dur pour vos familles pour juste joindre les deux bouts,can you understand how hard it was for us to collect money when we knew how difficult it was for your families to just make ends meet,Can you understand how hard it is for us to gather money when we know just how hard it is for your families just to make ends meet?,Good Translation,0.86724526,0.88784516,-0.020599902
joindre le deux bout,47,les samouraïs en bas de l'échelle n'arrivent pas à joindre les deux bouts,samurai in low positions can't make ends meet,The samurais at the bottom of the ladder can't make ends meet.,Good Translation,0.7342659,0.7950041,-0.060738206
joindre le deux bout,48,je devais travailler nuit et jour pour joindre les deux bouts,i have to work days at a glassware plant and nights at a wal-mart,I had to work day and night in order to make ends meet.,Good Translation,0.6495486,0.82066464,-0.17111605
joindre le deux bout,49,j'essaie de joindre les deux bouts,you know just trying to make ends meet,I'm trying to make ends meet.,Good Translation,0.6297771,0.7166606,-0.086883545
joindre le deux bout,50,besoin de joindre les deux bouts,to make ends meet,making ends meet,Unnatural,0.62562007,0.6176146,0.00800544
joindre le deux bout,51,- j'ai travaillé dur pour joindre les deux bouts,- i have worked hard to make ends meet,- I worked hard to make ends meet,Good Translation,0.78979325,0.79658604,-0.0067927837
joindre le deux bout,52,j'essaye simplement de joindre les deux bouts,i'm just trying to make a living,I'm just trying to make ends meet.,Good Translation,0.75706244,0.7414602,0.015602231
joindre le deux bout,53,jolene tu arrives déjà à peine à joindre les deux bouts,jolene you can hardly make ends meet as it is,Jolene you're already barely making ends meet,Unnatural,0.7220272,0.76292664,-0.040899456
joindre le deux bout,54,je ne viens pas gâcher votre temps ne gâchez pas le mien souvent les femmes cherchent des arrangements parce qu'elles ont du mal à joindre les deux bouts,a lot of times women are looking for arrangements because they're having difficulty making ends meet,I don't come to waste your time; don't waste mine. Often women look for compromises because they have a hard time making ends meet.,Good Translation,0.74966055,0.8042309,-0.054570377
joindre le deux bout,55,certains ont du mal àjoindre les deux bouts,some folks are having a hard time making ends meet,some have trouble joining the two ends,Literal Translation,0.699577,0.9408523,-0.24127531
joindre le deux bout,56,nous avons des soucis pour joindre les deux bouts,we were having trouble making ends meet,we are struggling to make ends meet,Good Translation,0.72407806,0.7171376,0.006940484
joindre le deux bout,57,tout le monde va acheter là-bas et je n'arrive plus à joindre les deux bouts,everyone is shopping there now and well i can make ends meet,Everyone is going to buy things there and I'm no longer able to make ends meet.,Good Translation,0.7309891,0.82400846,-0.093019366
joindre le deux bout,58,j'ai travaillé comme une folle jour après jour pour joindre les deux bouts,slaving day in and day out to make both ends meet,I worked like a mad person day after day to make ends meet.,Good Translation,0.68445927,0.7987502,-0.11429095
joindre le deux bout,59,j'ai su que je voulais devenir journaliste alors que j'avais 18 ans et je te le dis j'ai dû accepter des boulots minables en attendant pour joindre les deux bouts,listen i've known i wanted to be a journalist since i was 18 years old and i'll tell you i had to take a lot of crummy jobs along the way to make ends meet,"I knew I wanted to become a journalist when I was 18 and I'll tell you, I had to take up lowly jobs waiting for the two ends to meet.",Good Translation,0.8603064,0.9181757,-0.057869315
joindre le deux bout,60,ça a été un peu difficile de joindre les deux bouts,it's been a bit difficult trying to make ends meet,it has been a bit of a struggle to make ends meet,Good Translation,0.70720387,0.7134021,-0.0061982274
joindre le deux bout,61,mais seulement car j'essaie de joindre les deux bouts et ils paient très bien sur le marché noir pour ça,but only because i'm trying to make ends meet and they pay really good money on the black market for that,but only because I'm trying to make ends meet and they pay very well on the black market for that,Good Translation,0.83974624,0.84532654,-0.005580306
joindre le deux bout,62,et je suis devenu une serveuse pour joindre les deux bouts,and i became a waitress to get back on my feet,and I became a waitress to make ends meet,Good Translation,0.7648275,0.7626341,0.0021933913
joindre le deux bout,63,je me démène comme une folle pour joindre les deux bouts et maintenant il faut que je déménage,i'm working my ass off barely making ends meet and now i have to move,I'm running around like a madwoman to make ends meet and now I have to move.,Good Translation,0.795092,0.8242574,-0.029165387
joindre le deux bout,64,il essaie de joindre les deux bouts il finit au pied d'un escalier en string,just trying to make ends meet and he ends up face down in a stairwell wearing a g-string,he's trying to make ends meet he ended up at the foot of a staircase in Strasbourg,Partial Translation,0.7073648,0.7179866,-0.010621786
joindre le deux bout,65,on a du mal à joindre les deux bouts,having a hard time making ends meet,We find it difficult to make ends meet.,Unnatural,0.6488113,0.7098466,-0.061035335
joindre le deux bout,66,je n'arrive pas à joindre les deux bouts,i'm running short,I am struggling to make ends meet.,Good Translation,0.6310913,0.6428641,-0.011772811
joindre le deux bout,67,comment faites vous pour joindre les deux bouts,how the hell you guys make ends meet,How do you manage to make ends meet?,Good Translation,0.57292414,0.5519043,0.021019816
joindre le deux bout,68,pas de démesure il travaille toujours dur pour joindre les deux bouts,there's definitely no excess and he definitely still works hard in order to make ends meet,no exaggeration he still works hard to make ends meet,Good Translation,0.74800557,0.78755915,-0.039553583
joindre le deux bout,69,quels rêves on essayait juste de joindre les deux bouts,what dreams we were just busy making ends meet back then,what dreams we were just trying to scrape by,Good Translation,0.71069837,0.81858593,-0.107887566
