idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
tout cracher,0,tout craché oui,basically,dead on yes,Good Translation,0.47886425,0.5720481,-0.093183875
tout cracher,1,c'est elle tout craché,right there,she is a perfect match,Partial Translation,0.483051,0.63301575,-0.14996475
tout cracher,2,soyez diplomate du janeway tout craché,diplomacy janeway's answer to everything,be totally Janeway in terms of diplomacy,Good Translation,0.7611623,0.8092085,-0.04804623
tout cracher,3,c'est du oliver queen tout craché,hmm sounds like typical oliver queen thinking,it's a dead ringer for Oliver Queen,Good Translation,0.61938155,0.5739041,0.04547745
tout cracher,4,c'est toi tout craché tess,this is so typical tess,"it's just like you, Tess",Good Translation,0.65606487,0.65903074,-0.0029658675
tout cracher,5,- je te tue son père tout craché,that's my boy,"- you're just like his father, dead on the mark",Good Translation,0.46281236,0.652694,-0.18988162
tout cracher,6,c'est elle tout craché,oh it's just like her,she is a perfect match,Mistranslation,0.5902817,0.63301575,-0.042734027
tout cracher,7,- c'est moi tout craché,that's me all right,- that's me to a T,Good Translation,0.6268877,0.5517885,0.07509917
tout cracher,8,j'ai lu une étude sur les diplômés en droit et c'était mon profil tout craché,well i saw this graph of recent graduates from my law school and statistically i was right where it said i should be,I read a study about law graduates and it was my profile straight out of the book.,Good Translation,0.68379474,0.8296851,-0.14589036
tout cracher,9,ça c'est toi tout craché,this is typical of you,"that's just yousist output the translation, nothing else.

That's just like you.",Good Translation,0.5844728,0.4727519,0.11172089
tout cracher,10,ça c'est roy tout craché,that definitely sounds more up roy's alley,that's totally right,Literal Translation,0.54304993,0.52428496,0.018764973
tout cracher,11,- ça c'est du axler tout craché,this is who he is,- that's a perfect axler,Literal Translation,0.4608992,0.78293645,-0.32203725
tout cracher,12,cri perçant c'est june tout craché,squeals that's the perfect june,piercing cry is June straight up,Unnatural,0.68363583,0.6905079,-0.006872058
tout cracher,13,c'est victor tout craché,he looks just like victor,it's a spitting image of Victor,Good Translation,0.6521181,0.63131905,0.02079904
tout cracher,14,c'est son père tout craché,just like his father,it's a spitting image of his father,Good Translation,0.6725362,0.710812,-0.03827578
