idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
le habit ne faire pas le moine,0,l'habit ne fait pas le moine,a wolf in sheep's clothing,the habit does not make the monk,Unnatural,0.4989165,0.8707509,-0.3718344
le habit ne faire pas le moine,1,- eh oui l'habit ne fait pas le moine,yes clothes don't make the man,"- yes, the habit does not make the monk",Good Translation,0.7787178,0.87305236,-0.09433454
le habit ne faire pas le moine,2,mais l'habit ne fait pas le moine,you sound convinced you'll see,but the habit does not make the monk,Literal Translation,0.3838062,0.8742162,-0.49041
le habit ne faire pas le moine,3,l'habit ne fait pas le moine je suppose,guess you can never judge a book by its cover,the habit does not make the monk I suppose,Good Translation,0.5382658,0.88846064,-0.3501948
le habit ne faire pas le moine,4,l'habit ne fait pas le moine mais quand sera-t-il là votre chef de bureau,now he can buy his darling another necklace,the habit does not make the monk but when will your office chief be here,Partial Translation,0.4075644,0.8783877,-0.4708233
le habit ne faire pas le moine,5,l'habit ne fait pas le moine monsieur,don't judge a book by its cover sir,"the habit does not make the monk, sir",Good Translation,0.5718671,0.85109687,-0.27922976
le habit ne faire pas le moine,6,m hobbs dit que l'habit ne fait pas le moine,mr hobbs says clothes don't make the man,M. Hobbs says that the habit does not make the monk.,Literal Translation,0.8607284,0.88622,-0.025491595
le habit ne faire pas le moine,7,l'habit ne fait pas le moine pas vrai les gars,sure as shit can't tell a book by its cover huh boys,"the habit doesn't make the monk, huh guys",Good Translation,0.5857154,0.8270012,-0.2412858
le habit ne faire pas le moine,8,- l'habit ne fait pas le moine,- well you can't judge a book by its cover,the habit does not make the monk,Literal Translation,0.55535924,0.84193313,-0.2865739
le habit ne faire pas le moine,9,je sais lucy mais l'habit ne fait pas le moine,yeah i know lucy but you can't judge a book by its cover,"I know Lucy, but the habit doesn't make the monk.",Literal Translation,0.6655243,0.8319931,-0.1664688
le habit ne faire pas le moine,10,c'est l'illustration du dicton l'habit ne fait pas le moine,this is a classic example of not judging a book by its cover,"it's an illustration of the saying ""the clothes do not make the man""",Good Translation,0.59823763,0.81279194,-0.21455431
le habit ne faire pas le moine,11,tu sais l'habit ne fait pas le moine,well none of us are who we seem on paper,the habit does not make the monk,Literal Translation,0.5221618,0.79173714,-0.26957536
le habit ne faire pas le moine,12,l'habit ne fait pas le moine,not everything's as it seems,the habit does not make the monk,Unnatural,0.52067673,0.8707509,-0.35007417
le habit ne faire pas le moine,13,roberto est un expert de l'escalade qui considère que l'habit ne fait pas le moine,roberto is an expert rock climber who believes that you can't always judge a book by its cover,roberto is a climber who considers that the outfit does not make the monk,Literal Translation,0.7606188,0.8678845,-0.10726571
le habit ne faire pas le moine,14,- l'habit ne fait pas le moine,- one man's ceiling is another man's floor,the habit does not make the monk,Literal Translation,0.45872027,0.84193313,-0.38321286
le habit ne faire pas le moine,15,l'habit ne fait pas le moine regardez ça,i'm happy to meet you banemon,the habit does not make the monk look at this,Mistranslation,0.46133226,0.7701848,-0.30885255
le habit ne faire pas le moine,16,je sais on dit l'habit ne fait pas le moine,it's true men are not always what they seem,I know they say clothes don't make the man.,Good Translation,0.5703454,0.7814375,-0.21109211
le habit ne faire pas le moine,17,l'habit ne fait pas le moine dit-on mais nous jugeons souvent trop vite n'est-ce pas,you shouldn't judge a book by its cover but we still do that don't we,"the habit does not make the monk, as they say, but we often judge too quickly, is it not so",Good Translation,0.61364675,0.9035255,-0.28987873
