idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
être le dindon de le farce,0,non mais on sera les dindons de la farce,no but we're farting on our own candle,But we'll be the scapegoats for the joke instead.,Unnatural,0.5538603,0.64537084,-0.091510534
être le dindon de le farce,1,- c'est le dindon de la farce,- it's the classic barnacle,It's the fall guy or scapegoat.,Good Translation,0.58563745,0.53878886,0.046848595
être le dindon de le farce,2,tu n'as pas besoin de moi pour être le dindon de la farce,you don't need me to make a fool of you,You don't need me to be the fool of the joke,Unnatural,0.77014154,0.80309415,-0.032952607
être le dindon de le farce,3,ruben est le dindon de la farce,the joke's on ruben,Ruben is the butt of the joke.,Good Translation,0.771766,0.7151355,0.056630492
être le dindon de le farce,4,- et j'ai été le dindon de la farce,- you played me for a sap,-and I was the butt of the joke,Good Translation,0.5857285,0.7831043,-0.19737577
être le dindon de le farce,5,comment as-tu pu me laisser être le dindon de la farce comme ça,how could you have let me make a fool out of meself like that,How could you let me be the one to make a fool of myself like that?,Good Translation,0.81208915,0.79972017,0.012368977
être le dindon de le farce,6,il a été le dindon de la farce,he was a big turkey up there,he was the butt of the joke,Good Translation,0.58237946,0.72656727,-0.14418781
être le dindon de le farce,7,si tu n'étais pas blanc tu étais le dindon de la farce,the truth is if you weren't white you were the joke,"If you weren't white, you would be the butt of the joke.",Good Translation,0.7741213,0.7814587,-0.0073373914
être le dindon de le farce,8,- on est les dindons de la farce,- guess what the joke's on us,- we're the scapegoats of the joke,Good Translation,0.6636855,0.7312757,-0.06759018
être le dindon de le farce,9,et je refuse d'être le dindon de la farce,and i don't know whether i'm gonna let him get the last laugh on me or not what,and I refuse to be the butt of the joke,Good Translation,0.56121385,0.8175238,-0.25630993
être le dindon de le farce,10,vous êtes le dindon de la farce,you're the punch line,You're the butt of the joke.,Good Translation,0.6579107,0.7021016,-0.044190884
être le dindon de le farce,11,en plus j'ai voulu me payer la tête de sa femme et c'est moi qui suis le dindon de la farce,one inculcates a humorous relationship with a brother's wife i was the one who ended up being the butt of the joke right,In addition I wanted to get on her husband's good side and it was me who turned out to be the butt of the joke.,Unnatural,0.656782,0.7228966,-0.066114604
être le dindon de le farce,12,on est les dindons de la farce ou quoi,you think we are dumb as turkeys,we're the scapegoats of the joke or what,Unnatural,0.54042983,0.6996234,-0.15919358
être le dindon de le farce,13,je crois que nous sommes les dindons de la farce,i think we're being punked,I think we're the butt of the joke.,Good Translation,0.7232208,0.7618715,-0.03865069
être le dindon de le farce,14,bien sûr par moment j'étais le dindon de la farce mais rien de bien grave,yes i was the butt of the occasional practical joke but i mean ernothing sinister,Of course by moments I was the goose who got gored but nothing too serious.,Unnatural,0.73050493,0.7930453,-0.06254035
être le dindon de le farce,15,mais je t'ai épousée je suis le dindon de la farce,i know but i'm married to you so the joke's on me,but I married you and now I'm the one who looks like a fool,Good Translation,0.6958908,0.6633464,0.032544374
être le dindon de le farce,16,tu es le dindon de la farce,i'm not pregnant,You are the laughing stock of the situation.,Mistranslation,0.33578318,0.5686356,-0.2328524
être le dindon de le farce,17,c'était le dindon de la farce,he was the one deceived,It was the fool of the play or in English it means the fall guy.,Good Translation,0.5785111,0.5483695,0.030141592
être le dindon de le farce,18,ça ne me dérange pas d'être le dindon de la farce,i don't mind being the butt of your jokes,It doesn't bother me to be the monkey in the joke.,Unnatural,0.7018851,0.7278342,-0.02594912
être le dindon de le farce,19,et je suis le dindon de la farce,and i am the fool,and I'm the butt of the joke,Good Translation,0.71127987,0.71324515,-0.0019652843
être le dindon de le farce,20,j'ignore qui est le dindon de la farce mais faut arrêter ça,i still can't figure out who the poor sucker is they're making the deal with but we gotta stop it,I don't know who is behind this joke but we have to stop it.,Unnatural,0.70390064,0.770739,-0.06683838
être le dindon de le farce,21,j'ai l'impression d'être le dindon de la farce,it doesn't seem like reality to me,I have a feeling that I'm the butt of the joke.,Good Translation,0.63915515,0.7745812,-0.13542604
être le dindon de le farce,22,en définitive j'ai été le dindon de la farce,i turned out to be the prize sucker,In the end I was the turkey of the joke,Unnatural,0.6392998,0.76384705,-0.12454724
