idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
en prendre de le graine,0,tu pourrais en prendre de la graine - elle se défend,- how big a bonus are we talking here,You might be able to take some seed from it - it's fighting back.,Mistranslation,0.41623116,0.7977537,-0.38152254
en prendre de le graine,1,je veux en prendre de la graine,i want to see how good you can do your thing,I'd like to have some of the seeds.,Literal Translation,0.62724644,0.80844736,-0.18120092
en prendre de le graine,2,ce serait à lui de m'écouter pour en prendre de la graine,l i don't have all the answers but maybe he should listen to me more and learn a little,That would be his to listen to me so as to get a seed of it.,Literal Translation,0.7174155,0.8808193,-0.16340381
en prendre de le graine,3,tu aurais pu en prendre de la graine,you could have followed others' lead,You could have taken some of the seeds from it.,Literal Translation,0.6868154,0.810562,-0.12374663
en prendre de le graine,4,ton équipe pourrait en prendre de la graine,something your team could learn about,Your team could take some of it.,Unnatural,0.78191614,0.8819498,-0.10003364
en prendre de le graine,5,alors t'as vu essaie d'en prendre de la graine,now that's how you set records kid,then you saw try to take some seeds,Literal Translation,0.54230726,0.8687232,-0.32641596
en prendre de le graine,6,ma femme pourrait en prendre de la graine,my wife could learn something,My wife could take some of the seeds.,Literal Translation,0.7526208,0.82671404,-0.07409322
en prendre de le graine,7,que tout le monde en prenne de la graine,oh that others might learn,that everyone take a seed from it,Literal Translation,0.61260885,0.86990833,-0.25729948
en prendre de le graine,8,jaime pourrait peut-être en prendre de la graine,maybe jaime can pick up on it,I might be able to take some of it,Good Translation,0.8586747,0.715341,0.14333373
en prendre de le graine,9,je devrais en prendre de la graine,i should learn from you,I should take some seeds.,Literal Translation,0.68579835,0.8284389,-0.14264053
en prendre de le graine,10,vous feriez mieux d'en prendre de la graine,so instead of accusing her you might wanna ask her for some pointers,You would be better off taking some seed.,Literal Translation,0.5926225,0.79614496,-0.20352244
en prendre de le graine,11,on devrait en prendre de la graine,we should all be so wise,We should take a seed of it,Literal Translation,0.62176156,0.82036674,-0.19860518
en prendre de le graine,12,tu devrais en prendre de la graine,maybe you can learn from her mistake,You should take it with a grain of salt.,Mistranslation,0.6005769,0.71239614,-0.11181927
en prendre de le graine,13,sans te vexer tu pourrais en prendre de la graine brando,no offense but you could probably learn something from me brando,"without offending you, you might take some Brando seed",Literal Translation,0.73792434,0.8435729,-0.10564858
en prendre de le graine,14,c'est la première fois dans l'histoire qu'une entreprise publique de la taille de dow a effectué une action qui est nettement contre sa ligne de fond simplement parce que c'est la bonne chose à faire et nos actionnaires peuvent en prendre de la graine steve,this is the first time in history that a publicly-owned company of anything near the size of dow has performed an action which is significantly against its bottom line simply because it's the right thing to do,It's the first time in history that a public company of Dow's size has done something so clearly at odds with its core values simply because it is the right thing to do and our shareholders can take some pride in Steve.,Unnatural,0.8597501,0.83545107,0.024299026
en prendre de le graine,15,non je pense que je vais accepter la défaite et en prendre de la graine,no i'll just graciously accept defeat and try to grow from it,No I think I'm going to accept defeat and take a grain of it.,Unnatural,0.8387766,0.9402402,-0.101463616
en prendre de le graine,16,- oui tu devrais en prendre de la graine,- you should take a page from his book,- yes you should take a handful,Unnatural,0.67315966,0.8176947,-0.14453506
en prendre de le graine,17,je devrais en prendre de la graine,maybe i should learn to take it down a notch,I should take it to seed.,Unnatural,0.71081096,0.797737,-0.08692604
en prendre de le graine,18,beaucoup d'hommes pourraient en prendre de la graine surtout celui qui m'a épousée,believe me a lot of men could take lessons from you particularly the one i'm married to,A lot of men could take some seed especially that one who married me.,Literal Translation,0.7891395,0.872383,-0.08324349
en prendre de le graine,19,ma fille pourrait en prendre de la graine,my daughter could learn from you,My daughter might take some seed from it.,Unnatural,0.7570693,0.8857695,-0.1287002
