idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
jeter le éponge,0,on devrait jeter l'éponge quoi,i think we should give up,we should give up something,Unnatural,0.6025539,0.6513204,-0.048766494
jeter le éponge,1,- comment ça vous jetez l'éponge,- what what do you mean quitting,- how do you throw in the towel,Good Translation,0.5790257,0.7588732,-0.17984754
jeter le éponge,2,il veut jeter l'éponge,he wants to pull the plug,He wants to give up,Good Translation,0.81679344,0.8051667,0.01162672
jeter le éponge,3,je dirais même que j'ai réussi là où d'autres auraient simplement jeté l'éponge,i'd even say i've thrived where others would have just thrown in the towel,I would even say that I succeeded where others would have simply given up.,Good Translation,0.8341732,0.9146142,-0.080441
jeter le éponge,4,hier tu voulais une rupture définitive jeter l'éponge débrancher rideau,yesterday you want to call it quits throw in the towel pull the plug curtains,yesterday you wanted a definitive break throw in the towel pull the plug draw the curtain,Good Translation,0.71286476,0.7597108,-0.046846032
jeter le éponge,5,francine a jeté l'éponge,francine's thrown in the towel,Francine gave up,Good Translation,0.78256017,0.7560161,0.026544094
jeter le éponge,6,dis-le-moi sinon je jette l'éponge,you tell me 'cause if we're not i will throw in the towel,say it to me or I'll throw in the towel,Good Translation,0.6790947,0.82525265,-0.14615798
jeter le éponge,7,mais je ne vais pas jeter l'éponge,but i'm not gonna throw in the towel,but I am not giving up,Good Translation,0.8544727,0.77188355,0.08258915
jeter le éponge,8,ne jamais jeter l'éponge avant la fin du match,i said never stop fighting till the fight is done,never give up before the end of the game,Good Translation,0.675743,0.74994767,-0.07420468
jeter le éponge,9,tu voulais jeter l'éponge interrompre le match,and you was going to throw that towel in and stop the fight,you wanted to give up and stop the match,Good Translation,0.7610531,0.8476106,-0.08655751
jeter le éponge,10,il jette l'éponge dans 30 secondes,he's going to throw in the towel in 30 seconds for a buck,He throws in the towel in 30 seconds,Good Translation,0.8004426,0.8534148,-0.052972198
jeter le éponge,11,si tu ne te transformes pas je propose de jeter l'éponge,unless you wanna wolf out i suggest we throw in the towel,"if you don't transform yourself, i suggest we throw in the towel",Good Translation,0.7374947,0.8322927,-0.09479797
jeter le éponge,12,alors vous comptez toujours jeter l'éponge,so you're still just gonna throw it in huh,then are you still planning to throw in the towel,Good Translation,0.7369416,0.8166476,-0.07970601
