idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
ça marcher,0,j'envisage de changer de camp je vous tiens au courant je vous dirai si ça marche,it's a question you haven't askedmikaylaand i'm so surprised,I'm considering switching sides I'll keep you updated I'll let you know if it works,Literal Translation,0.49058437,0.8201425,-0.32955813
ça marcher,1,c'est les chiffres putain ça marche plus regarde,it's the numbers fuck it doesn't work anymore,it's the numbers fuck that doesn't work anymore check,Unnatural,0.6816391,0.6823632,-0.00072413683
ça marcher,2,je veux dire trop de travail pour que ça marche,i mean too much work to make it work,I want to say it's too much work for it to work.,Good Translation,0.95015424,0.89602035,0.054133892
ça marcher,3,après de nombreuses études on a conclu la même chose que les parents à savoir que ça marche avec un bon enseignant et que ça ne va pas quand l'enseignant est mauvais,after lots of studies we come down to just what most parents believe and that is a good teacher is what's working and a bad teacher is what's not working,"After many studies, it was concluded the same thing as parents, namely that it works with a good teacher and does not go well when the teacher is bad.",Good Translation,0.8778221,0.9511303,-0.07330817
ça marcher,4,- si tu veux que ça marche tu le devras car les gens qui nous chassent connaissent ton visage,- well if you want this to work you'll have to because the people hunting us know your face now,"- if you want it to work, you will have to because the people who are hunting us know your face",Good Translation,0.87683856,0.8908816,-0.014043033
ça marcher,5,si ça marche nous pourrions vivre assez longtemps pour que tu puisses réclamer ton dû,if this works we may actually live long enough for you to collect,"if it works, we might live long enough for you to claim your due",Good Translation,0.8237434,0.91791475,-0.094171345
ça marcher,6,- ca marchera,no,- it will work,Literal Translation,0.38393486,0.50857365,-0.124638796
ça marcher,7,le chocolat ca marche,chocolate's good,the chocolate works,Good Translation,0.63985384,0.64327973,-0.0034258962
ça marcher,8,ça marche très fort,oh we're rollin',it works very loudly,Partial Translation,0.6703393,0.769035,-0.098695695
ça marcher,9,- ça marche au-dessus,it's still on upstairs,-it works above,Literal Translation,0.7148445,0.75803983,-0.043195307
ça marcher,10,faites que ça marche,please please please,make it work,Good Translation,0.67547166,0.8697285,-0.19425684
ça marcher,11,mahmud ça marche pas,mahmud it's not working,mahmud it doesn't work,Good Translation,0.76468873,0.77858436,-0.013895631
ça marcher,12,ça marche les bougies,how's the candle game,it works the candles,Literal Translation,0.54894257,0.71089435,-0.16195178
ça marcher,13,ça marche aussi pour chasser les chats des divans,-mm-hm -like trying to get a cat off the couch,it works just as well for chasing cats off couches,Good Translation,0.67473316,0.8422271,-0.16749394
ça marcher,14,mais ça marche en tout cas,those fucking works though,but it works at least,Good Translation,0.718245,0.91863835,-0.20039332
ça marcher,15,si ça marche pas prie,and if that doesn't work pray,if it doesn't work pray,Good Translation,0.7886137,0.7929158,-0.004302144
ça marcher,16,- ça marchait,i was eating right,- it worked,Literal Translation,0.67464656,0.7503653,-0.07571876
ça marcher,17,'man ça marche à peine pour moi,ma it barely works for me,man that barely works for me,Good Translation,0.8397255,0.8058946,0.03383088
ça marcher,18,- ça marche,- deal,- it works,Good Translation,0.6588358,0.72282314,-0.063987315
ça marcher,19,pour les gars ça marche comme ça,- for guys that's their-- it's both things,for the guys it works like that,Good Translation,0.67746305,0.9348993,-0.25743622
ça marcher,20,ça marche pas,no go,it doesn't work,Good Translation,0.6812595,0.8069521,-0.1256926
ça marcher,21,- ça marche,can ya',- it works,Good Translation,0.5676749,0.72282314,-0.15514827
ça marcher,22,- ça le serait si ça marchait,- would be if it worked,- it would if it worked,Unnatural,0.8359163,0.82014346,0.01577282
ça marcher,23,quand je te vois avec myriam je me dis que ça marchera jamais entre nous,when i see you with myriam it'll never work out between the two of us,"when I see you with Myriam, I think that it will never work between us",Good Translation,0.8857157,0.8803052,0.005410552
ça marcher,24,je le remets ça marche pas,let me run it back,I put it back; it's not working.,Good Translation,0.69356525,0.72486526,-0.03130001
ça marcher,25,voyons si ça marche avant de me féliciter,quinn i'd save the compliments to see if it works,let's see if it works before congratulating me,Good Translation,0.7333288,0.9334861,-0.20015728
ça marcher,26,ça marche comment pour toi qui es un petit branleur,how's being an angsty little prick working out for you,How does it work for you being a little troublemaker?,Good Translation,0.65972555,0.6580967,0.0016288757
ça marcher,27,hey être un méchant ça marchait pas tellement pour moi,hey being a badass has not been working out so good,hey being a villain didn't really work for me,Good Translation,0.7008604,0.8492583,-0.14839792
ça marcher,28,ça marche parfois,you're a hand-holder it works sometimes,it works sometimes,Partial Translation,0.76595974,0.88587683,-0.119917095
ça marcher,29,ca marche,deal,it works,Good Translation,0.4922098,0.4109848,0.08122498
ça marcher,30,ça marche,deal,it works,Good Translation,0.60384285,0.6744976,-0.07065475
ça marcher,31,si ça marche avec kelly qui sait,if kelly gets in good with him who knows,if it works with Kelly who knows,Good Translation,0.86453325,0.8627532,0.0017800331
ça marcher,32,- la peur ça marche,- fear works,- fear works,Good Translation,0.802343,0.802343,0.0
ça marcher,33,il nous a juste dit ça marche mieux tout seul,he just taught us one works better,He just told us that it works better on its own.,Good Translation,0.8052089,0.9347147,-0.12950575
ça marcher,34,- si tu veux me faire peur ça marche,- you're doin' a good job of scaring' me,"if you want to scare me, it works",Good Translation,0.72786576,0.85808235,-0.1302166
ça marcher,35,- ca marche pas,- there's a lighter try it,- it doesn't work,Good Translation,0.5079141,0.59003913,-0.08212501
ça marcher,36,je fais l'intermédiaire ça marche très bien,you go through me to get to him the system works,I do the intermediary and it works very well,Good Translation,0.7067291,0.9213408,-0.21461171
ça marcher,37,ça marche comme ça en suède ils vont tout arranger en parlant comme si toi tu pouvais,you see that's how it works in sweden bang bom and everything will be solved through talking huh,It works like this in Sweden; they'll fix everything by talking as if you could be part of the solution.,Good Translation,0.7914038,0.8581,-0.06669623
ça marcher,38,d'habitude ça marche,there usually seems to be,usually it works,Good Translation,0.797577,0.8734671,-0.075890064
ça marcher,39,si ça marche sur les fours pourquoi pas sur moi,kapow oven cleaner if you can clean an oven you can clean me,if it works on ovens why not on me,Good Translation,0.56627727,0.82990736,-0.2636301
ça marcher,40,le brulant signifie que ca marche,the burning means it's working,the blazing means that it's working,Good Translation,0.58277863,0.5987513,-0.015972674
ça marcher,41,mais si on veut que ça marche il faut qu'on le fasse avec quelqu'un de connu que les gens aiment,but if we're going to come out swinging you know what we need to do is have a recognizable face you know somebody that people relate to,"but if we want it to work, we need to do it with someone known that people love",Good Translation,0.76019216,0.93167955,-0.17148739
ça marcher,42,273 il y a des chances que ça marche,that it has a chance of making it,There's a chance that it will work,Good Translation,0.74601555,0.7634839,-0.017468333
ça marcher,43,si ça marche avec dakota si je grandis enfin,if i work this out with dakota if i finally grow up,if it works with Dakota if I finally grow up,Good Translation,0.89799994,0.89901155,-0.00101161
ça marcher,44,comment ça ça marchera pas,what the fuck you mean it won't play,how will this not work,Good Translation,0.61947787,0.6823484,-0.0628705
ça marcher,45,mais si ça marche et que tu fais de deux jeunes de l'inde n'ayant jamais tenu une balle de baseball des joueurs de repêchage pour les ligues majeures en un an,but if it does work and you take two kids from the middle of india who've never picked up a baseball in their lives and turn them into major league prospects in one year,but if it works and you take two young Indians who have never held a baseball ball and turn them into major league scouting prospects in a year,Good Translation,0.836275,0.8792558,-0.04298079
ça marcher,46,et si ça marche pas je leur dirai que thompson et moi n'avions aucun mandat pour entrer chez toi,if that doesn't work i'll tell 'em thompson and i didn't have a warant when we entered your house,"and if it doesn't work, I'll tell them that Thompson and I had no mandate to enter your place",Good Translation,0.8648397,0.8950633,-0.030223608
ça marcher,47,vous pouvez lui dire de ma part que ça marchera,well you can tell him from me that that i go for it,you can tell him on my behalf that it will work,Good Translation,0.84824634,0.903104,-0.05485767
ça marcher,48,et ça marche,and it does,and it works,Good Translation,0.7850269,0.79009306,-0.0050661564
ça marcher,49,- je te sors ce soir ca marche,i'll take you out tonight ok,"- I'm taking you out tonight, it works.",Unnatural,0.73505104,0.72029614,0.014754891
ça marcher,50,par contre si on restait sur d'autres fréquences en passant de l'une à l'autre ça marcherait aussi,on the other hand if we stayed on the odd channels switched every time and started in the basement that'd work too,"on the other hand, if we stayed on other frequencies and switched between them, that would work as well",Good Translation,0.72084963,0.90777075,-0.18692112
ça marcher,51,pourvu que ça marche,now do it,provided that it works,Good Translation,0.66690135,0.830628,-0.16372663
ça marcher,52,il en faut davantage pour que ça marche,you need more than those uh-oh,It takes more than that for it to work.,Good Translation,0.7220315,0.8884212,-0.1663897
ça marcher,53,ça marche mon pote,you got it kemo sabe,it works man,Good Translation,0.52726483,0.65516233,-0.1278975
