idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
avoir le gueule de bois,0,tu as la gueule de bois,you're hungover,You have a hangover.,Good Translation,0.5635546,0.49827024,0.06528434
avoir le gueule de bois,1,je crois que j'ai la gueule de bois,i think i'm hung over,I think I have a hangover.,Good Translation,0.7386119,0.70592934,0.032682538
avoir le gueule de bois,2,après ça papa rentrait fatigué et disait qu'il avait la gueule de bois,he came home exhausted afterwards,After that Daddy came back tired and said he had a hangover.,Good Translation,0.7302319,0.78943986,-0.059207976
avoir le gueule de bois,3,là j'ai la gueule de bois,now i'm just hung-over,I have a hangover here.,Good Translation,0.57632196,0.6457674,-0.06944543
avoir le gueule de bois,4,j'ai la gueule de bois par ta faute,and i am hung over because of you,I have a hangover because of you.,Good Translation,0.7209478,0.686837,0.034110785
avoir le gueule de bois,5,laisse-moi tranquille j'ai la gueule de bois,oh leave me alone i have a hangover,Leave me alone I've got a hangover,Good Translation,0.68129075,0.66911167,0.012179077
avoir le gueule de bois,6,t'as la gueule de bois,you feeling the pain,You have a hangover.,Good Translation,0.5920471,0.55318475,0.038862348
avoir le gueule de bois,7,j'ai la gueule de bois et je pourrais dormir pendant une semaine mais pour la première fois de ma vie j'ai ouvert les yeux et j'étais libre,- i'm okay,"I had a hangover and I could sleep for a week but for the first time in my life, I opened my eyes and was free.",Mistranslation,0.5442511,0.84464085,-0.30038977
avoir le gueule de bois,8,il est lunatique renfermé il discute il a la gueule de bois,and the signs are there,He is eccentric introverted he discusses he has a hangover,Literal Translation,0.4903164,0.6930083,-0.20269191
avoir le gueule de bois,9,tu sais comment je suis quand j'ai la gueule de bois,you know how i am when i have a hangover,You know how I am when I have a hangover.,Good Translation,0.7471311,0.73828167,0.008849442
avoir le gueule de bois,10,soit j'ai la gueule de bois soit j'ai été heurté par un train,i either drank too much or got hit by a train,either I have a hangover or I was hit by a train,Good Translation,0.7681948,0.8050559,-0.03686112
avoir le gueule de bois,11,je cherchais un verre d'eau parce que j'ai la gueule de bois,i was looking for a glass for water 'cause i'm hung over,I was looking for a glass of water because I had a hangover.,Good Translation,0.823321,0.814734,0.008587003
avoir le gueule de bois,12,ce n'est pas parce que je suis vieux c'est parce que j'ai la gueule de bois,it's not because i'm old it's because i'm hung over,"It's not because I'm old, it's because I have a hangover.",Good Translation,0.7812222,0.75042975,0.030792475
avoir le gueule de bois,13,j'ai la gueule de bois j'ai l'impression qu'on me frappe sur la tête,i have a major hangover it feels like someone's pounding my head with a meat mallet,I have a hangover I feel like someone is hitting my head.,Good Translation,0.7228915,0.78843904,-0.065547526
avoir le gueule de bois,14,je ne jouais pas de rôle j'avais la gueule de bois c'est tout,there was no acting going on i just felt so bad,I wasn't acting I had a hangover that's it.,Good Translation,0.7209784,0.733518,-0.012539625
avoir le gueule de bois,15,- j'ai la gueule de bois,- i've got a hangover,- I have a hangover.,Good Translation,0.71990323,0.69122946,0.028673768
avoir le gueule de bois,16,si j'ai l'air d'avoir la gueule de bois c'est parce que c'est le cas,if i seem a little hung over it is because i am,If I look like I've had a hangover it's because that is the case.,Good Translation,0.7366975,0.774868,-0.038170516
avoir le gueule de bois,17,les abeilles qui ont fait ce miel devaient avoir la gueule de bois,the bee who collected this honey must have some hangover,The bees who made this honey must have had a hangover.,Good Translation,0.6764776,0.7194989,-0.04302126
avoir le gueule de bois,18,je crois que j'ai eu la gueule de bois pendant deux ans,i think i was hung over for two years,I think I had a hangover for two years.,Good Translation,0.79361236,0.77522194,0.018390417
avoir le gueule de bois,19,tu es une étudiante à nouveau - on doit faire attention à toi pas étudiante interne c'est différent tu travailles dur et t'as la gueule de bois,you're a student - we'll look after you,"You're a student again - we have to look out for you not an internal student, it's different. You work hard and you've got a hangover.",Good Translation,0.6315969,0.8372941,-0.20569718
avoir le gueule de bois,20,quelqu'un a la gueule de bois,is someone hungover,Someone has a hangover.,Good Translation,0.7031427,0.6959553,0.007187426
avoir le gueule de bois,21,- bien sûr que j'ai la gueule de bois,of course i'm hungover,Of course I have a hangover,Good Translation,0.7016038,0.7131032,-0.011499405
avoir le gueule de bois,22,oncle steven a la gueule de bois,uncle steven is still hungover,Cousin Steven has a hangover.,Good Translation,0.70229745,0.590585,0.111712456
avoir le gueule de bois,23,j'ai déjà eu la gueule de bois mais c'est pire que tout,i've had hangovers before but this is terrible,I've had a hangover before but this is worse than anything.,Good Translation,0.7392521,0.7797387,-0.040486634
avoir le gueule de bois,24,j'avais la gueule de bois tous les vendredis,i used to be so hung over on fridays during law school,I always had a hangover every Friday.,Good Translation,0.69144493,0.804072,-0.11262709
