idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
aller droit à le but,0,et maintenant une jeune femme qui va droit au but ma sœur roberta tubbs,and now a young lady who goes to third base faster than rickey henderson my sister roberta tubbs,and now a young woman who gets straight to the point my sister Roberta Tubbs,Good Translation,0.7977394,0.8728696,-0.075130224
aller droit à le but,1,rebecca je je vais aller droit au but,becca there is no easy way to say this,"Rebecca, I will get straight to the point.",Good Translation,0.59137046,0.7845253,-0.19315481
aller droit à le but,2,allons droit au but veux-tu,let's cut to the chase shall we,"let's get right to the point, do you?",Good Translation,0.6722493,0.73186266,-0.059613347
aller droit à le but,3,allons droit au but,all right so let's cut to the chase,let's get right to the point,Good Translation,0.78067726,0.8669234,-0.08624613
aller droit à le but,4,ça ne vous dérange pas si on va droit au but,you don't mind if we uh jump right in,It doesn't bother you if we get right to the point.,Good Translation,0.75141764,0.7985578,-0.04714018
aller droit à le but,5,de fait messieurs je vais aller droit au but,indeedgentlemenlet me c to the chase,"in fact, gentlemen, I will get straight to the point",Good Translation,0.70135593,0.87178737,-0.17043144
aller droit à le but,6,je vais aller droit au but,well i i'll get right on that,I will go straight to the point,Good Translation,0.7487355,0.8596637,-0.11092824
aller droit à le but,7,c'est une question qui va droit au but,straightforward question,it is a question that gets right to the point,Good Translation,0.70678705,0.9371908,-0.23040372
aller droit à le but,8,c'est pourquoi messieurs je vais aller droit au but,therefore i shall get straight to the point,"that is why, gentlemen, I will go straight to the point",Good Translation,0.80128527,0.89028364,-0.08899838
aller droit à le but,9,concentre-toi et va droit au but,focus keep it simple,focus and go straight to the point,Good Translation,0.7159596,0.8790954,-0.16313577
aller droit à le but,10,vous me connaissez alors je vais aller droit au but,now you all know me so i'll just say this as simple as i can,you know me so I will go right to the point,Good Translation,0.7031854,0.8936812,-0.19049585
aller droit à le but,11,vouiez-vous aller droit au but,should we get right to it captain,Did you want to go straight to the point?,Good Translation,0.6770793,0.7973192,-0.120239854
aller droit à le but,12,nous allons aller droit au but,we're gonna keep this simple,We will go straight to the point.,Good Translation,0.7163364,0.9064431,-0.19010669
aller droit à le but,13,est-ce qu'on peut aller droit au but,look can we just cut to the chase here,can we go straight to the point,Good Translation,0.5956384,0.81133175,-0.21569335
aller droit à le but,14,je vais aller droit au but tu es seul pour la soirée de noël non,let me cut to the chase i hear you can't get a date for the winter formal,"I will get straight to the point: you are alone for Christmas Eve, right?",Unnatural,0.6102924,0.8120134,-0.20172101
aller droit à le but,15,très bien allons droit au but,ok let's get something straight,very well let's get straight to the point,Good Translation,0.726877,0.8356504,-0.10877341
aller droit à le but,16,de cette manière ils iront droit au but en un seul coup,this way they can advance all the way home on just one move,in this way they will hit the target in one go,Good Translation,0.8226762,0.9136469,-0.090970695
aller droit à le but,17,eh bien c'est brutal mais ça va droit au but,well might be a little harsh but i think it makes a point,"well, it's brutal but it gets right to the point",Good Translation,0.693361,0.916568,-0.223207
aller droit à le but,18,bon allons droit au but alorscyrus je te présente sanders black,well let's get right to it then cyrus meet sanders black,good let's get right to it then Cyrus I present Sanders Black,Good Translation,0.8171241,0.8359086,-0.018784463
aller droit à le but,19,ne me sors pas une longue explication et va droit au but,don't make any long explanations and just get to the point,don't give me a long explanation and get to the point,Good Translation,0.8683101,0.9245535,-0.05624342
aller droit à le but,20,eh bien allons droit au but ça signifie que l'entreprise savait que l'amiante provoquait le cancer,wellif you drill it downit means the company knew asbestos was causing cancer,"well then let's get to the point, this means that the company knew asbestos caused cancer",Good Translation,0.77602714,0.8826598,-0.10663265
aller droit à le but,21,allez droit au but,get to the point mr morelli,go straight to the point,Good Translation,0.65563685,0.84687006,-0.19123322
aller droit à le but,22,alors je vais résumer ça et aller droit au but,then i'm gonna have to sort of condense this maybe make it more of a bullet-point thing,then I'll summarize that and get to the point,Good Translation,0.727845,0.8895229,-0.1616779
aller droit à le but,23,si on allait droit au but,why don 't we cut the crap and talk straight,if we went straight to the point,Good Translation,0.46425462,0.75672495,-0.29247034
aller droit à le but,24,allons droit au but agent burke,let's cut through the facade agent burke,let's get right to it agent burke,Good Translation,0.8042895,0.8783036,-0.07401407
aller droit à le but,25,tu vas droit au but papa,way to get right to the point dad quinn laughing,you go straight to the point dad,Good Translation,0.6337249,0.83999324,-0.20626831
aller droit à le but,26,je pensais juste qu'on pourrait aller droit au but,i just thought we might expedite,I just thought we could get straight to the point.,Good Translation,0.8261181,0.8735239,-0.04740578
aller droit à le but,27,je sais que vous êtes occupée aussi je vais aller droit au but,since you're busy i will just get to the point,"I know you're busy too, so I'll get straight to the point.",Good Translation,0.7817826,0.86986,-0.08807737
aller droit à le but,28,trêve de plaisanteries allons droit au but,pleasantries out of the way let's get down to the heart of the matter,let's put an end to the joking and get straight to the point,Good Translation,0.7664449,0.81031096,-0.04386604
aller droit à le but,29,tu es bien ma fille tu vas droit au but,that's my girl straight and to the point,you are indeed my daughter you get straight to the point,Good Translation,0.74700004,0.826426,-0.07942599
aller droit à le but,30,alors si t'allais droit au but,so if you went straight to the point,then if you got straight to the point,Good Translation,0.8768108,0.8520386,0.024772167
aller droit à le but,31,il y a aucune intrigue de nos jours ça va droit au but,there's no plot in these things any more just straight in there,there is no intrigue these days it goes straight to the point,Good Translation,0.74737537,0.94039524,-0.19301987
aller droit à le but,32,louise m'attend pour dîner allons droit au but,louise is holding dinner for me so let's have it,Louise is waiting for me to dinner let's get straight to the point,Partial Translation,0.84799457,0.85804033,-0.010045767
aller droit à le but,33,j'adorerais me battre avec toi mais je préfère aller droit au but,while i'd love to go on trading jabs with you spike perhaps i'll come to the point,"I would love to fight with you, but I prefer to get straight to the point.",Good Translation,0.63343114,0.88432384,-0.2508927
aller droit à le but,34,vous semblez aller droit au but,you look like a man who likes to get right to the point,you seem to be getting straight to the point,Good Translation,0.7927352,0.8625102,-0.069774985
aller droit à le but,35,votre usine est remarquable mais puis-je aller droit au but,the plant is wonderful but can we get straight to business,your factory is remarkable but may I get straight to the point,Good Translation,0.7664186,0.8428919,-0.076473296
aller droit à le but,36,bon allons droit au but,well lets get to it,good let's get straight to the point,Good Translation,0.8512298,0.8682454,-0.017015636
aller droit à le but,37,je vais aller droit au but milo,we can just get right to the point milo,"I will get straight to the point, Milo.",Good Translation,0.7982074,0.78183603,0.01637137
aller droit à le but,38,bon allons droit au but d'accord,so anyway let's get to the point of it and that right,"good let's get right to the point, shall we?",Good Translation,0.7922724,0.77946633,0.012806058
aller droit à le but,39,enfin bref allons droit au but,so anyways let's get down to the nitty-gritty,"finally, briefly, let's get to the point",Good Translation,0.78486025,0.8882275,-0.10336727
aller droit à le but,40,il va droit au but,- he gets right to the point - hi honey,he gets right to the point,Good Translation,0.7182069,0.85561895,-0.13741207
aller droit à le but,41,- on peut aller droit au but,-can we get to the point here,- we can get right to the point,Good Translation,0.70032966,0.85753417,-0.15720451
aller droit à le but,42,allons droit au but où est la drogue,let's cut to the chase where's the dope,let's get right to it where is the drug,Good Translation,0.7315457,0.8598479,-0.12830222
aller droit à le but,43,les gens commencent à s'interroger alors va droit au but d'accord,people are starting to look so let's just move it along okay,"people start to wonder so get right to the point, alright",Good Translation,0.73644316,0.8745018,-0.13805866
aller droit à le but,44,- allons droit au but,just cut to the chase,Let's get right to the point,Good Translation,0.623431,0.8316113,-0.20818025
aller droit à le but,45,maintenant allons droit au but - le tirage au sort,let's get on to the important stuff - the raffle,now let's get straight to the point - the lottery,Good Translation,0.8334039,0.87603307,-0.042629182
aller droit à le but,46,vous êtes très occupée alors allons droit au but,miss walker i know you're busy so let's-- let's get uh right to the nitty-gritty,you are very busy so let's get to the point,Good Translation,0.79355156,0.9197346,-0.12618303
aller droit à le but,47,puis-je comme on dit chez vous aller droit au but professeur,may i as you say in america cut right to the chase professor,"can I, as they say among you, go straight to the point professor",Good Translation,0.785408,0.8530697,-0.0676617
aller droit à le but,48,nous nous connaissons alors allons droit au but et dites pourquoi vous êtes ici,okay you already know me and i already know you so why don't we not play any games and you can start by telling me why you're here,"We know each other, so let's get straight to why you are here.",Good Translation,0.7031073,0.9241178,-0.2210105
aller droit à le but,49,je serai à vos côtés malgré vos insultes parce qu'un révolutionnaire va droit au but coûte que coûte,i'll be at your side despite your insults a revolutionary aims straight to the goal at all costs,I will be by your side despite your insults because a revolutionary goes straight to the goal come what may,Good Translation,0.926935,0.93033344,-0.0033984184
aller droit à le but,50,- tu vas droit au but,- straight to the point,you go straight to the point,Good Translation,0.763022,0.8521979,-0.08917588
aller droit à le but,51,chéri il vaut parfois mieux éviter d'aller droit au but,honey sometimes it's not the most perfect timing to get straight to the point,cher it sometimes pays better to avoid going straight to the point,Good Translation,0.7448169,0.84970456,-0.104887664
aller droit à le but,52,mais allons droit au but et voyons s'il n'y a pas de l'adn de connie dessus,but why don't we just cut to the chase then and see if this doesn't have connie's dna on it,but let's get to the point and see if there's any DNA of Connie in this,Good Translation,0.81655157,0.88930213,-0.07275057
aller droit à le but,53,je vais aller droit au but jack,i'm gonna get right to the point jack,"I will get right to the point, Jack.",Good Translation,0.8585591,0.7842765,0.07428259
aller droit à le but,54,- je vais aller droit au but,- hey let me cut to the chase,I will go straight to the point,Good Translation,0.70768785,0.8599334,-0.15224552
aller droit à le but,55,j'irais droit au but,makes it easy to get to the point,I will get straight to the point,Good Translation,0.6217785,0.72691,-0.10513151
aller droit à le but,56,laissez tomber les formalités allez droit au but votre idéal est peut-être ici,skip the small talk ask the questions that really matter to you and your match may be here,forget the formalities get straight to the point your ideal might be here,Good Translation,0.73721623,0.9326011,-0.19538486
aller droit à le but,57,d'accord allons droit au but,all right let's get to it when and where,agree let's get straight to the point,Good Translation,0.7564326,0.8918547,-0.13542211
aller droit à le but,58,pour aller droit au but ma soeur je veux que dieu me choisisse,all bullshit aside sister i want god to pick me,"to get right to the point, my sister wants God to choose me",Good Translation,0.813319,0.8877026,-0.07438356
aller droit à le but,59,toby allez droit au but je vous en prie,toby if you have something to say please say it,toby go straight to the point please,Good Translation,0.794504,0.9134981,-0.11899412
aller droit à le but,60,bien j'irais droit au but,well i'll get right to it,well I'll get to the point,Good Translation,0.7971012,0.7615876,0.03551358
aller droit à le but,61,e allons droit au but,e let's just cut to the chase,We will go straight to the point.,Good Translation,0.74143374,0.8369471,-0.095513344
aller droit à le but,62,allons droit au but qu'on puisse vite rentrer chez nous,let's cut to the chase so we can all get out of here and go home okay,let's get straight to the point so we can go home quickly,Good Translation,0.75522137,0.9064387,-0.15121734
aller droit à le but,63,si tu veux quelque chose va droit au but,but if you need something you should let me know,if you want something go straight to the point,Good Translation,0.6549518,0.88222146,-0.22726965
aller droit à le but,64,je devrais aller droit au but,um i guess i should just uh jump right into this,I should get straight to the point.,Good Translation,0.763978,0.83130527,-0.06732726
aller droit à le but,65,laisse-moi aller droit au but,let me get this straight,let me go straight to the point,Good Translation,0.74804497,0.8607558,-0.11271083
aller droit à le but,66,allons droit au but est-ce parce qu'elle est noire,let's cut the bullshit then is this because she's black,let's get straight to the point is it because she is black,Good Translation,0.74074847,0.8233545,-0.08260602
aller droit à le but,67,elle sait ce qu'elle veut et va droit au but,she knows what she wants and she asks for it,She knows what she wants and goes straight for it.,Good Translation,0.83056855,0.9228905,-0.09232193
aller droit à le but,68,tessa je vais aller droit au but,- tessa let me just cut to the chase,tessa i'm going to get straight to the point,Good Translation,0.7553337,0.84703034,-0.09169662
aller droit à le but,69,eh bien tu es allé droit au but avec celle-la,well you walked right into that one,well you went straight to the point with her,Good Translation,0.79598534,0.862563,-0.06657767
aller droit à le but,70,bien allons droit au but,well let's hash it out,well let's get right to the point,Good Translation,0.676324,0.84078,-0.16445601
aller droit à le but,71,si vous alliez droit au but entendu,how about we get to the point of this exercise,if you went straight to the intended point,Good Translation,0.56458086,0.7382482,-0.17366737
aller droit à le but,72,larry je vais aller droit au but,larry i want to get right to the point,"Larry, I'm going to get right to the point.",Good Translation,0.803145,0.7400147,0.06313032
aller droit à le but,73,permettez-moi d'aller droit au but,let me cut to the chase,let me get straight to the point,Good Translation,0.7414364,0.8159447,-0.07450825
aller droit à le but,74,si vous êtes au courant de tout allons droit au but,since you know everything let's get to the bottom line,"if you know anything, let's get right to it",Good Translation,0.8283958,0.8667277,-0.038331926
aller droit à le but,75,vous êtes un homme très occupé clairement alors nous allons droit au but,you're a very busy man clearly so we'll get right to the point,you are clearly a very busy man so we'll get straight to the point,Good Translation,0.94624627,0.9436491,0.0025971532
aller droit à le but,76,tu vas droit au but,you go right at a thing,you go straight to the point,Good Translation,0.8175653,0.8547336,-0.037168264
aller droit à le but,77,pour aller droit au but on s'intéresse à un de vos élèves,uh getting right to the point we have an eye on one of your students,"to get right to it, we're interested in one of your students",Good Translation,0.8555889,0.8871124,-0.031523466
aller droit à le but,78,insulte-les de hippies et va droit au but,just call someone a hippie and get to the point,insult them as hippies and get to the point,Good Translation,0.8310307,0.90055895,-0.06952822
aller droit à le but,79,et à en juger par vos regards je vais aller droit au but,and judging by your looks i'm just gonna get right to it,"and judging by your looks, I'll get right to the point",Good Translation,0.8415567,0.8640682,-0.022511482
aller droit à le but,80,je croyais qu'on irait droit au but,i thought you brought me here because we were gonna cut through the bullshit,I thought we would get straight to the point.,Good Translation,0.62955827,0.80243325,-0.17287499
aller droit à le but,81,je sais que votre temps est précieux donc je vais aller droit au but,i know your time's precious so i'll get to the point,I know your time is precious so I'll get straight to the point.,Good Translation,0.88468224,0.9053824,-0.020700157
aller droit à le but,82,je ne peux y croire vous allez droit au but n'est-ce pas,i can't believe this you go right for the jugular don't you,"I can't believe it you're getting straight to the point, aren't you",Good Translation,0.7909485,0.88485533,-0.09390682
aller droit à le but,83,vous allez droit au but,you get right to it don't you,you go straight to the point,Good Translation,0.7688006,0.88212085,-0.11332023
aller droit à le but,84,- j'aime qu'il aille droit au but,- you read a lot of his stuff,I like him getting straight to the point.,Partial Translation,0.5588738,0.8168062,-0.25793242
aller droit à le but,85,bon maman allons droit au but et essayons de sauver l'anniversaire de rebecca,all right mom let's just cut to the chase and then maybe we can salvage rebecca's birthday party please,good mom let's get to the point and try to save Rebecca's birthday,Good Translation,0.81093836,0.8808556,-0.06991726
aller droit à le but,86,amber je vais aller droit au but,amber i'm just going to go ahead and cut to chase here,"Amber, I will get right to the point.",Good Translation,0.76199806,0.83326197,-0.07126391
aller droit à le but,87,allons droit au but et passons au jardin,may i suggest that we dispense with the amenities and go directly to your patio,let's get straight to the point and go to the garden,Good Translation,0.7331474,0.9009179,-0.1677705
aller droit à le but,88,nous avons beaucoup à nous dire allons droit au but,obviously we have a lot to discuss so i think we should just jump in,"We have much to say, let's get straight to the point.",Good Translation,0.77820563,0.89953613,-0.1213305
aller droit à le but,89,allez droit au but s'il y en a un,get to the point spock if there is one,go straight to the point if there is one,Good Translation,0.76939243,0.8892348,-0.11984235
aller droit à le but,90,allons droit au but,-yeah -let's broach the elephant in the room -right,let's get right to the point,Good Translation,0.62636995,0.8669234,-0.24055344
aller droit à le but,91,c'est aller droit au but ça,i thought you were getting to the point,it's getting right to the point,Good Translation,0.61583626,0.77792734,-0.16209108
aller droit à le but,92,normal allez droit au but,norma maybe just cut to the point,normal go straight to the point,Good Translation,0.5930999,0.868896,-0.27579612
aller droit à le but,93,j'allai droit au but,i didn't wanna bullshit him,I went straight to the point,Good Translation,0.530401,0.68468434,-0.15428334
aller droit à le but,94,donc si on allait droit au but,so what say we get to it,so if we went straight to the point,Good Translation,0.6598112,0.89107627,-0.23126507
aller droit à le but,95,réunissez-les et allez droit au but,just get them together and give it to them straight,gather them and get straight to the point,Good Translation,0.82076865,0.90286076,-0.08209211
aller droit à le but,96,allons droit au but parlons argent,let that be talk about cash money,let's get straight to the point let's talk money,Good Translation,0.7670636,0.8634666,-0.096403
aller droit à le but,97,vous allez droit au but moi aussi,you jump right in don't you,you go straight to the point so do I,Partial Translation,0.7189997,0.8394961,-0.12049639
aller droit à le but,98,elle va droit au but,- all of our music is really so symbolic rather than direct to the point you know,she goes straight to the point,Good Translation,0.4192754,0.8830676,-0.4637922
aller droit à le but,99,non je veux aller droit au but et me tailler d'ici au plus vite,no i want to get right to the point and get the hell out of here,"no, I want to get straight to the point and leave as quickly as possible",Good Translation,0.78770417,0.83305776,-0.04535359
aller droit à le but,100,j'en ai marre de jouer au chat et à la souris j'ai faith pour ça allons droit au but,'cause you know i'm here to take that call,"I'm sick of playing cat and mouse, I have faith for that, let's get to the point.",Unnatural,0.5337784,0.8836979,-0.3499195
