idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
faire un tabac,0,tu feras un tabac,that's a definite,You'll be brilliant.,Good Translation,0.49153167,0.6234342,-0.13190252
faire un tabac,1,ça ferait un tabac,i'm sure it'd be really popular,That would be fantastic!,Unnatural,0.64124954,0.63013065,0.011118889
faire un tabac,2,ça ferait un tabac,people would love it,That would be a riot,Good Translation,0.64032555,0.6572479,-0.016922355
faire un tabac,3,- ce film va faire un tabac,- we've got a blockbuster,- this film is going to be a hit,Good Translation,0.6677115,0.8129549,-0.1452434
faire un tabac,4,deux de mes parfums ont fait un tabac cette année alors j'ai décidé de me faire remodeler pour la saison des amours,two of my scents became best sellers this year so i decided to do a little remodeling for the dating season,Two of my perfumes were very successful this year so I decided to get remade for the season of love.,Good Translation,0.86975265,0.8770979,-0.007345259
faire un tabac,5,il va faire un tabac,i'm telling you he's going to bowl people over,It's going to be a disaster.,Mistranslation,0.59483457,0.54134095,0.05349362
faire un tabac,6,on aurait fait un tabac avec un nom pareil,hey that would've sent albums flying out of the store,We would have made a killing with a name like that.,Good Translation,0.56186914,0.7627102,-0.20084107
faire un tabac,7,il avait fait un tabac avec von,he'd really made a big score with von,he had a big success with von,Good Translation,0.6872591,0.6812573,0.0060017705
faire un tabac,8,comme commercial if ferait un tabac,he'd be a hit as a salesman,as a salesman it would do a tobacco business,Literal Translation,0.5992806,0.7760815,-0.1768009
faire un tabac,9,ça peut faire un tabac,sounds pretty good,"It could be a disaster, It might be a bit of a mess, This could get out of hand",Mistranslation,0.54190683,0.48799878,0.05390805
faire un tabac,10,ta vidéo fait un tabac,your video got more hits than 2 girls 1 cup it's fucking viral,Your video is a hit.,Literal Translation,0.6544826,0.7558007,-0.10131812
faire un tabac,11,ça fait un tabac,that's what they call it it's a bestseller,That's a lot of money.,Mistranslation,0.5669766,0.60173035,-0.03475374
faire un tabac,12,chef johnson n'hésitez pas à regarder la télé ce soir je suis certain que cette histoire va faire un tabac,well chief johnson you might wanna tune in tonight because i assure you every network is gonna run with this story,Chef Johnson don't hesitate to watch TV tonight I am quite sure that this story will make big news.,Good Translation,0.79197574,0.8712337,-0.079257965
faire un tabac,13,c'est triste il allait faire un tabac,it's sad too 'cause i mean he was going to be huge,It's sad he was going to do well,Partial Translation,0.6898519,0.7665688,-0.0767169
faire un tabac,14,vous avez fait un tabac,you brought the house down,You've really scored a hit.,Good Translation,0.61832285,0.6304152,-0.012092352
faire un tabac,15,le nom de cette magnifique femme est connie chance et elle est là aujourd'hui pour faire un tabac dans le monde de la musique,this beautiful woman's name is connie chance and she is here today to make it big in the music business,the name of this beautiful woman is connie chance and she is here today to make a big splash in the music world,Good Translation,0.91362625,0.9079024,0.005723834
faire un tabac,16,- ca ferait un tabac ici,- that could go over big here,- That would be great here,Unnatural,0.6615861,0.691026,-0.029439867
faire un tabac,17,mon gâteau fait un tabac,my hazelnut buttercream is a hit,my cake is a hit,Good Translation,0.5574697,0.67545915,-0.11798942
faire un tabac,18,je peux faire un tabac,i can clean up,"I can make a bit of money, I suppose.",Mistranslation,0.6757662,0.6532445,0.022521734
faire un tabac,19,en 1988 j'ai passé tout l'été à préparer mon album de noël qui a fait un tabac,1998 well i spent most of the summer in the studio doing my christmas album which was huge,in 1988 I spent all summer preparing for my Christmas album which was a smash hit,Good Translation,0.7559391,0.90153253,-0.1455934
faire un tabac,20,ça va faire un tabac,customers will love it,"It's going to be a wild ride/It'll be a real show. (literally ""it will make tobacco"")",Literal Translation,0.6155609,0.6968974,-0.0813365
faire un tabac,21,- sam ferait un tabac à las vegas,with an act like that sam will be headlining in vegas,- he would kill it in Las Vegas,Good Translation,0.6666846,0.6738212,-0.0071365833
faire un tabac,22,mon site porno va faire un tabac,boy my porn site's gonna be big,my adult site is going to be a huge success,Good Translation,0.74544126,0.6579499,0.08749133
faire un tabac,23,et je fais un tabac,i'm a hit,and I'm going crazy,Literal Translation,0.6444534,0.66085345,-0.01640004
faire un tabac,24,- ça fait un tabac en europe,- they're quite big in europe,- it's a blast in Europe,Good Translation,0.7269436,0.7664501,-0.039506495
faire un tabac,25,j'en pense qu'au music-hall il ferait un tabac,i think there's nothing like vaudeville,I think he would be a smash hit at the music hall.,Good Translation,0.5257507,0.74671113,-0.22096044
faire un tabac,26,ça fait un tabac en suède,it's very big in sweden,That's a lot of fun in Sweden.,Mistranslation,0.68959415,0.68461615,0.004978001
faire un tabac,27,il a bossé un an et à son retour il a fait un tabac,he just worked his ass off for a year he come back and he hit it big,He worked for a year and when he returned he made a fortune.,Good Translation,0.7140758,0.70285237,0.011223435
faire un tabac,28,ça a fait un tabac à sundance,sundance loved it,It was quite something at Sundance.,Unnatural,0.67692435,0.5875648,0.08935952
faire un tabac,29,dès que j'entre en scène sans elle regarde je fais un tabac,the minute i come on stage without her look what happens,the moment I get on stage without her she watches I make a fool of myself,Mistranslation,0.76871014,0.751984,0.016726136
faire un tabac,30,allons faire un tabac,- okay - let's go hit it,"let's go get a coffee, let's have a cigarette",Literal Translation,0.6634335,0.8187174,-0.15528393
faire un tabac,31,ce bar fait un tabac,the club is kicking ass,This bar is doing great business.,Good Translation,0.67201406,0.78406036,-0.1120463
faire un tabac,32,ça ferait un tabac au nigeria,excellent precaution,That would be crazy in Nigeria,Mistranslation,0.39411458,0.69196475,-0.29785016
faire un tabac,33,il a fait un tabac,it was 90 percent sold out it was a big hit,He scored big time. He had a blast. It was a riot. It was huge success.,Partial Translation,0.43298665,0.5825534,-0.14956674
faire un tabac,34,avec tabatha notre campagne va faire un tabac,with a face like tabatha we've got a winning campaign,With Tabatha our campaign will be a hit,Good Translation,0.79064405,0.80281913,-0.012175083
faire un tabac,35,- ton album fait un tabac,- they're selling like crazy,- Your album is a smash hit,Good Translation,0.5738408,0.77067304,-0.19683224
faire un tabac,36,vous allez faire un tabac,they're gonna love you,You'll knock them dead.,Good Translation,0.6094587,0.5757772,0.033681512
faire un tabac,37,ça fera un tabac,i wrote it all out,It will be a sensation.,Good Translation,0.52359,0.6501934,-0.12660336
faire un tabac,38,ce soir je ferai un tabac,tonight they'll be lining up for me,I'll have a smoke tonight,Literal Translation,0.6918199,0.86624074,-0.17442083
faire un tabac,39,on dirait que herb fait un tabac,looks like herb's killing,It would seem that Herb makes a killing.,Good Translation,0.78235793,0.81533754,-0.032979608
faire un tabac,40,monsieur brousseau veut faire un tabac dans le monde de la danse,monsieur brousseau wants to make a splash in the ballet world,Mr Brousseau wants to make a killing in the world of dance.,Literal Translation,0.87334454,0.8237525,0.049592018
faire un tabac,41,ils font un tabac chez les filles,they're a big hit with the girls,They're really getting on with the girls.,Unnatural,0.6974919,0.75644493,-0.058953047
