idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
appeler un chat un chat,0,nous appellerons un chat un chat,we're going to call a spade a dirty spade,We will call a cat a cat.,Good Translation,0.6617346,0.8791625,-0.21742791
appeler un chat un chat,1,j'ai toujours appelé un chat un chat,lve always called a spade a spade,I've always called a cat a cat.,Good Translation,0.6870698,0.90522957,-0.2181598
appeler un chat un chat,2,j'appelle un chat un chat,if it walks like a duck,I call a spade a spade.,Literal Translation,0.5467322,0.66779786,-0.121065676
appeler un chat un chat,3,appelons un chat un chat,let's call a spade a spade,Let's call a spade a spade.,Good Translation,0.70507747,0.6627337,0.042343795
appeler un chat un chat,4,j'appelle un chat un chat,i just call it like i see it babe,I call a cat a cat.,Literal Translation,0.6298443,0.8134943,-0.18365002
appeler un chat un chat,5,c'est ne pas appeler un chat un chat,pc crap nothing can be called what it is,It's not to call a spade a spade.,Literal Translation,0.58105224,0.68666565,-0.10561341
appeler un chat un chat,6,- appelons un chat un chat mon pote,- let's call a spade a shovel mate,"Let's call a spade a spade, my mate (a cat is a cat).",Literal Translation,0.70633864,0.6920898,0.014248848
appeler un chat un chat,7,pourquoi ne pas appeler un chat un chat,why not call a spade a spade,Why not call a cat a cat.,Good Translation,0.6878065,0.84286284,-0.15505636
appeler un chat un chat,8,appelons un chat un chat,let's call a spade a spade,Let's call a spade a spade.,Good Translation,0.70507747,0.6627337,0.042343795
appeler un chat un chat,9,pour voir si on peut continuer sans appeler un chat un chat,see if we can keep this thing going without calling it what it really is huh,to see if we can continue without calling a spade a spade,Literal Translation,0.75136703,0.75911033,-0.007743299
appeler un chat un chat,10,- on appelle un chat un chat un chien un chien ok,let's call a spade a spade,- we call a cat a cat a dog a dog okay,Good Translation,0.59523714,0.8241069,-0.22886974
appeler un chat un chat,11,si vous voulez devenir une bonne infirmière vous devez appeler un chat un chat,a good nurse has to be straight to the point,"If you want to be a good nurse, you have to call a cat a cat.",Good Translation,0.5781807,0.84453917,-0.2663585
appeler un chat un chat,12,mais je peux encore appeler un chat un chat,but i can still call a spade a spade,but I can still call a cat a cat,Good Translation,0.7450614,0.9084028,-0.1633414
