idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
quand le poule avoir un dent,0,tu feras ça pour moi quand les poules auront des dents,the day you do this for me pigs will fly,You'll do that for me when hens have teeth.,Good Translation,0.7156267,0.7770189,-0.061392188
quand le poule avoir un dent,1,mais elle sera ravie de vous rappeler quand les poules auront des dents,but she'll be happy to return your call when hell freezes over,but she will be delighted to remind you when hens have teeth,Good Translation,0.6639588,0.8550794,-0.19112062
quand le poule avoir un dent,2,quand les poules auront des dents,it ain't over till the fat lady sings i got it in two letters,When chickens have teeth,Literal Translation,0.3957002,0.72607887,-0.33037868
quand le poule avoir un dent,3,je la connais depuis sa naissance vous y arriverez quand les poules auront des dents,i have known her since she was born i admit i am quite interested but when it comes to getting him here i would say you have no more chance than a cat in hell without claws,I've known her since she was born you'll get there when hens have teeth.,Good Translation,0.6714638,0.8536091,-0.1821453
quand le poule avoir un dent,4,la plupart sont tout à fait légaux mais de temps en temps une annonce comporte l'expression quand les poules auront des dents,most of the buying and selling on there perfectly legitimate but every once in a while there's an ad which features the phrase once in a blue moon,Most are entirely legal but occasionally an advert carries the expression when hens have teeth.,Good Translation,0.62209845,0.8262027,-0.20410424
quand le poule avoir un dent,5,comme on dit quand les poules auront des dents,well as they say hell will freeze first,When hens have teeth,Good Translation,0.5230969,0.64654505,-0.12344813
quand le poule avoir un dent,6,quand les poules auront des dents,you might as well look for hen's teeth,When hens have teeth,Good Translation,0.5222125,0.6789799,-0.15676737
quand le poule avoir un dent,7,quand les poules auront des dents,when the cows come home,when chickens have teeth,Good Translation,0.56195647,0.7479919,-0.18603545
quand le poule avoir un dent,8,je te laisserai partir aussi loin sans moi quand les poules auront des dents,it will be a cold day in hell before i let you go that far without me,I will let you go just as far without me when chickens have teeth.,Good Translation,0.69128454,0.79721874,-0.1059342
quand le poule avoir un dent,9,- quand les poules auront des dents,-when fish ride bicycles,- when hens have teeth,Good Translation,0.517416,0.7327128,-0.2152968
quand le poule avoir un dent,10,- je peux te faire visiter - quand les poules auront des dents,-l'd be glad to give you a tour sometime,- I can show you around - when chickens have teeth,Good Translation,0.6687348,0.8029908,-0.134256
quand le poule avoir un dent,11,je te lâcherai quand les poules auront des dents,i'm not putting you down until the cows come home,I will let you go when hens have teeth.,Good Translation,0.65028846,0.7533693,-0.10308081
quand le poule avoir un dent,12,- je quitterai ma ferme quand les poules auront des dents,- ain't leaving my house for nothing not in a hundred years,- I will leave my farm when the chickens have teeth.,Good Translation,0.5111198,0.8792723,-0.3681525
quand le poule avoir un dent,13,walker vous reparlera quand les poules auront des dents,but walker is never talking to you again in a billion years,The dog will talk to you again when the chickens have teeth.,Literal Translation,0.6054778,0.7367314,-0.1312536
quand le poule avoir un dent,14,elle m'a dit dis-lui quand les poules auront des dents,she said pigs would fly first,She said to tell him when chickens have teeth.,Good Translation,0.66726893,0.8376187,-0.17034978
quand le poule avoir un dent,15,dis à ce fou tu seras mon amant quand les poules auront des dents,tell that fool pigs will fly first,Tell that madman you'll be my lover when hens have teeth.,Good Translation,0.6374239,0.8032732,-0.16584933
quand le poule avoir un dent,16,ouais quand les poules auront des dents,yeah well money talks and bullshit walks you know what i mean,Yes when hens have teeth,Literal Translation,0.47361755,0.68183833,-0.20822078
quand le poule avoir un dent,17,quand les poules auront des dents,not in a month of sundays,When chickens have teeth,Good Translation,0.3725677,0.72607887,-0.35351115
quand le poule avoir un dent,18,quand les poules auront des dents ou quand un avocat de génie la foutra dehors,yeah when hell freezes over or some genius upstairs finds a way so we can legally blast her out of here,when hens have teeth or when a genius lawyer throws her out,Good Translation,0.55957854,0.7435607,-0.18398213
quand le poule avoir un dent,19,on pourra parler de normalité quand les poules auront des dents,we can talk about normality till the cows come home,You can talk about normality when hens will have teeth.,Good Translation,0.7450887,0.7972101,-0.0521214
quand le poule avoir un dent,20,ça pourrait être demain ou quand les poules auront des dents,could be tomorrow could be when pigs fly,That could be tomorrow or when hens have teeth,Good Translation,0.7513935,0.8496549,-0.098261416
quand le poule avoir un dent,21,quand les poules auront des dents le vent tournera au texas,when pigs go around with sticks in their mouths there'll be a blue norther in texas,"When chickens have teeth, the wind will turn in Texas.",Good Translation,0.6204027,0.77090675,-0.15050405
quand le poule avoir un dent,22,ouais quand les poules auront des dents,yeah about the time you get your third set of teeth,When chickens have teeth.,Good Translation,0.63526386,0.7460062,-0.11074233
quand le poule avoir un dent,23,tu conduiras encore quand les poules auront des dents,when hell freezes over you can drive again,You'll still be driving when chickens have teeth.,Good Translation,0.58342385,0.8133835,-0.22995967
quand le poule avoir un dent,24,oh quand les poules auront des dents,oh yeah that'll be the day,when hens have teeth,Good Translation,0.53464854,0.6790045,-0.14435595
quand le poule avoir un dent,25,- tu l'auras quand les poules auront des dents,- yeah you'll get it,- you'll have it when chickens will have teeth,Good Translation,0.6309029,0.86715674,-0.23625386
quand le poule avoir un dent,26,j'aurais dit quand les poules auront des dents tickets s'il vous plaît,i'd have said when hell freezes over,I would have said when chickens will have teeth please.,Good Translation,0.58880615,0.8601263,-0.27132016
