idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
en avoir ras-le-bol,0,j'en ai ras-le-bol pas vous,i'm sick and tired of this,I'm fed up with you,Good Translation,0.70635265,0.7570061,-0.050653458
en avoir ras-le-bol,1,j'en ai ras-le-bol que tu foutes toujours le bordel et que je doive nettoyer par la suite,i am sick as hell of you constantly making a mess of this house and having to clean up after you,I'm fed up that you always make a mess and I have to clean it afterwards.,Good Translation,0.8174813,0.8521348,-0.034653544
en avoir ras-le-bol,2,vous savez pourquoi j'en ai ras-le-bol de vous bande de rats morts,i don't want to do business with you deadbeats anyway thank you,You know why I'm fed up with you bunch of dead rats,Good Translation,0.54458773,0.9177154,-0.37312764
en avoir ras-le-bol,3,ça me suffit j'en ai ras-le-bol,enough i'm fed up,That's enough for me I've had it up to here,Unnatural,0.87209487,0.8098115,0.062283397
en avoir ras-le-bol,4,j'en ai ras-le-bol de cette famille,i want out of this family,I've had it up to here with this family.,Good Translation,0.835227,0.7488439,0.086383104
en avoir ras-le-bol,5,- j'en ai ras-le-bol moi de répondre à tes questions,stop asking questions i'm sick of your questions,I've had it up to here with answering your questions myself.,Literal Translation,0.8137319,0.73494565,0.078786254
en avoir ras-le-bol,6,j'en ai ras-le-bol des nègres,i'm sick of niggers,I am fed up with blacks/ I have had it up to here with blacks,Good Translation,0.79575825,0.7378953,0.057862937
en avoir ras-le-bol,7,mon dieu j'en ai ras-le-bol des gens qui attirent l'attention sur des trucs,my god i am so sick and tired of people raising awareness about things,good grief I've had it up to here with people drawing attention to themselves all the time,Good Translation,0.7890991,0.7782097,0.010889411
en avoir ras-le-bol,8,j'en ai ras-le-bol de cette fille,i'm sick and tired of this girl,I've had enough of this girl.,Good Translation,0.9369961,0.90318584,0.033810258
en avoir ras-le-bol,9,je continue ou vous en avez ras-le-bol de ces conneries comme moi,well should i go on or you as sick of this same old tired line of bs as i am,I'm fed up with this crap just like you are too,Good Translation,0.7759468,0.7846968,-0.008750021
en avoir ras-le-bol,10,j'en ai ras-le-bol des enterrements,i'm tired of going to funerals,I'm so fed up with funerals.,Good Translation,0.83072305,0.8426194,-0.011896372
en avoir ras-le-bol,11,- ma femme commence à en avoir ras-le-bol,my wife is fed up with this crap,- my wife is getting fed up with it,Unnatural,0.86755955,0.934798,-0.06723845
en avoir ras-le-bol,12,mme stern j'en ai ras-le-bol d'entendre dans vos cours que les hommes sont responsables des problèmes du monde,ms stern i'm sick of coming into your class three days a week and hearing my sex is responsible for all the problems in the world,Mrs Stern I'm fed up of hearing in your classes that men are responsible for the problems of the world.,Literal Translation,0.8345997,0.91726065,-0.08266097
en avoir ras-le-bol,13,le public américain en a ras-le-bol et il change de chaîne,the american public's tired of it and they're changing the channel,the American public is fed up with it and they switch channels.,Good Translation,0.93289113,0.90865207,0.024239063
en avoir ras-le-bol,14,les gens en ont ras-le-bol des minutes de silence,people just get sick and tired of a moment's silence at a ball game,people are fed up with the minutes of silence,Good Translation,0.8441389,0.96480095,-0.12066203
en avoir ras-le-bol,15,j'en ai ras-le-bol moi - je suggère qu'on s'en tienne là,i've had quite enough,I'm fed up myself - I suggest we leave it at that.,Good Translation,0.709648,0.8144619,-0.104813874
en avoir ras-le-bol,16,elle en avait ras-le-bol de toi,she was sick of you,She was fed up with you.,Good Translation,0.8342157,0.90147984,-0.06726414
en avoir ras-le-bol,17,j'en ai ras-le-bol de ce merdier,i'm sick of this fucking shit,I've had it up to here with this mess,Good Translation,0.7843243,0.7782316,0.0060926676
en avoir ras-le-bol,18,il fait beau il pleut j'en ai ras-le-bol de ce coin,it's sunny raining i'm sick and tired of this corner,It's beautiful out and raining I'm fed up with this area,Good Translation,0.841576,0.8852205,-0.043644547
en avoir ras-le-bol,19,j'en ai ras-le-bol de ces femmes qui me mentent et qui m'enculent,i'm so tired of women lying to me and fucking me over,I've had it up to here with these women who lie to me and who screw around on me,Unnatural,0.90344846,0.8905394,0.012909055
en avoir ras-le-bol,20,j'en ai ras-le-bol de ton fric de tes conseils et de ton soutien,i am tired of it all the money the advice the support all of it,I'm fed up with your money and your advice and support.,Good Translation,0.8308556,0.89856553,-0.06770992
en avoir ras-le-bol,21,d'ici la fête du travail tu en auras ras-le-bol de moi,come labor day you're gonna be so sick of me,You will be fed up with me by Labour Day from here.,Good Translation,0.75997734,0.8032331,-0.043255746
en avoir ras-le-bol,22,- je ne suis pas stupide j'en ai ras-le-bol,- i'm not being stupid i'm being pissed off,"- I'm not stupid, I've had enough.",Good Translation,0.79260755,0.8205333,-0.02792573
en avoir ras-le-bol,23,j'en ai ras-le-bol c'est tout,- i'm fed up that's all,I've had it up to here that's all,Unnatural,0.80295396,0.7452853,0.057668686
en avoir ras-le-bol,24,j'en ai ras-le-bol que vous fassiez comme si vous n'aviez pas de famille,i'm sick and tired of you two acting as though you don't belong to a family,I'm fed up that you're acting as if you didn't have any family.,Good Translation,0.84293175,0.91253906,-0.06960732
en avoir ras-le-bol,25,- je suis furieuse et j'en ai ras-le-bol,- i'm pissed off and annoyed,- I am furious and have had enough,Good Translation,0.8486293,0.8972128,-0.048583508
en avoir ras-le-bol,26,j'en ai ras-le-bol de tes idées,i gotta tell you i'm done with your ideas,I've had enough of your ideas.,Good Translation,0.8492145,0.8688668,-0.019652307
en avoir ras-le-bol,27,emma en a ras-le-bol,emma say that well emma's pretty frickin' tired of it,Emma's had enough of it.,Good Translation,0.6483849,0.63907045,0.009314477
en avoir ras-le-bol,28,j'en ai ras-le-bol de ces querelles,i am bored to insanity with these rows,I'm fed up with these quarrels.,Good Translation,0.78332585,0.8877003,-0.10437447
en avoir ras-le-bol,29,j'en ai ras-le-bol de 1973,i'm bloody sick of 1973,I'm fed up with 1973.,Good Translation,0.72530186,0.7263816,-0.0010797381
en avoir ras-le-bol,30,cette fois j'en ai ras-le-bol,lets forget all those things for just a while and just watch some new art,This time I've had enough.,Literal Translation,0.5072987,0.887963,-0.3806643
en avoir ras-le-bol,31,j'en ai ras-le-bol qu'on me demande si je vais bien,are you okay doc i'm sick and tired of people asking me if i'm okay,I'm fed up with people asking if I'm okay.,Good Translation,0.80626094,0.86807066,-0.06180972
en avoir ras-le-bol,32,j'en ai ras-le-bol de ces tests,i'm tired of these stupid tests,I'm fed up with these tests.,Good Translation,0.9136023,0.925701,-0.01209873
en avoir ras-le-bol,33,oh maintenant ça suffit lucien j'en ai ras-le-bolc'est compris,that's enough lucien i'm fed up do you understand,oh now that's enough Lucien I've had enough of this that's understood,Good Translation,0.8320104,0.86360407,-0.03159368
en avoir ras-le-bol,34,j'en ai ras-le-bol de cet endroit,i've had it with this place i don't belong here,I'm fed up with this place.,Good Translation,0.8290237,0.9224187,-0.093394995
en avoir ras-le-bol,35,maintenant tu vas me dire la vérité parce que je fais preuve de beaucoup plus de patience envers toi que n'importe qui d'autre mais maintenant j'en ai ras-le-bol,now you gotta tell me the truth 'cause though i probably got more patience for you than any other man in the world right now i'm running out of it,"Now you're going to tell me the truth because I've shown more patience towards you than anyone else, but now I've had enough.",Good Translation,0.84315515,0.926599,-0.08344388
en avoir ras-le-bol,36,je commence à en avoir ras-le-bol,i'm getting pretty sick and tired of it,I've had enough.,Good Translation,0.8699876,0.8407918,0.029195786
en avoir ras-le-bol,37,j'en ai ras-le-bol de toi,i've had enough of you,I've had it up to here with you.,Good Translation,0.7598578,0.64152765,0.11833012
en avoir ras-le-bol,38,j'en ai ras-le-bol de bouffer des conserves de toute façon,- i hate your nasty store-brand food,I'm fed up with eating canned food anyway.,Good Translation,0.65169144,0.8556937,-0.20400226
en avoir ras-le-bol,39,j'en ai ras-le-bol de ces étalons du porno,the truth is i am sick of these porn studs,I'm fed up with these porn standards,Good Translation,0.8703721,0.8793777,-0.009005606
en avoir ras-le-bol,40,chez moi j'en ai ras-le-bol de vos salades,i'm going home because you and your friends give me a pain in the ass,I'm sick to death of your jokes over at my place.,Partial Translation,0.64651144,0.71571714,-0.0692057
en avoir ras-le-bol,41,j'en ai ras-le-bol de lui,i'm so done with him,I've had enough of him.,Good Translation,0.7871494,0.81105953,-0.023910105
en avoir ras-le-bol,42,j'en ai ras-le-bol de vous,i'm sick of you you have no right to do this,I'm fed up with you.,Good Translation,0.72927165,0.8384428,-0.10917115
en avoir ras-le-bol,43,j'en ai ras-le-bol jake,and if you do you're dead i'm so sick of this jake,I'm fed up with Jake,Good Translation,0.58655053,0.6310986,-0.044548094
en avoir ras-le-bol,44,- j'en ai ras-le-bol que savino se mette entre mia et moi,i'm sick and tired of savino getting between me and mia,I'm fed up with Savino always getting in between me and my friends.,Partial Translation,0.8433063,0.7587071,0.0845992
en avoir ras-le-bol,45,j'en ai ras-le-bol de tout ça,i'm so sick of this,I'm fed up with all this stuff.,Good Translation,0.80539685,0.8844283,-0.07903147
en avoir ras-le-bol,46,après j'ai pris du spam jusqu'à en avoir ras-le-bol,then i had spam until it was coming out of my ears,After I had eaten so much Spam that I was fed up with it.,Good Translation,0.82016397,0.8554078,-0.03524381
en avoir ras-le-bol,47,j'en ai ras-le-bol que tu fasses le malin,i'm getting tired of all the second guessing,I'm fed up that you're being clever,Good Translation,0.60575217,0.6819853,-0.07623315
en avoir ras-le-bol,48,j'en ai ras-le-bol que tu me parles comme ça,i am so fucking sick of you talking to me like that no,I'm fed up with you talking to me like that.,Good Translation,0.8671517,0.9105191,-0.043367445
en avoir ras-le-bol,49,et j'en ai ras-le-bol de mentir,and i'm tired of lying,and I am fed up with lying,Good Translation,0.8594645,0.8455899,0.01387465
en avoir ras-le-bol,50,j'en ai ras-le-bol de toujours mettre tes besoins avant les miens,i am so sick of always putting your needs ahead of mine,I'm fed up with always putting your needs before mine.,Good Translation,0.92892826,0.94319654,-0.014268279
en avoir ras-le-bol,51,j'en ai ras-le-bol de devoir passer derrière vous,i'm tired of having to correct you guys' mistakes,I'm sick and tired of having to pass behind you,Literal Translation,0.7515104,0.9409213,-0.18941092
en avoir ras-le-bol,52,j'en ai ras-le-bol de ce scénario,i'm so sick of that tired old story,I've had it up to here with this scenario.,Good Translation,0.786222,0.78486156,0.0013604164
en avoir ras-le-bol,53,voilà des semaines que j'écoute ces discours et j'en ai ras-le-bol,for weeks i've been listening to that slop and i'm tired of it,Here I've been listening to these speeches for weeks and I'm fed up with it.,Good Translation,0.828572,0.9392336,-0.110661626
en avoir ras-le-bol,54,j'en ai ras-le-bol de tout faire ici,i'm sick of doing everything around here,I'm fed up with doing everything here.,Good Translation,0.89888656,0.91050375,-0.011617184
en avoir ras-le-bol,55,alfred en a ras-le-bol pas étonnant,alfred's sick and tired of it and no wonder,Alfred has had enough - not surprising.,Good Translation,0.72016513,0.6940694,0.026095748
en avoir ras-le-bol,56,j'en ai ras-le-bol que vous me disiez sans arrêt,i'm getting tired of you guys constantly saying,I've had it up to here with you always telling me that,Unnatural,0.8931789,0.7600192,0.1331597
en avoir ras-le-bol,57,j'en ai ras-le-bol de perdre mon temps avec ce type,matsui should we really be wasting our time on this stuff,I've had it up to here with wasting my time on this guy.,Good Translation,0.6062107,0.88451815,-0.27830744
en avoir ras-le-bol,58,j'en ai ras-le-bol de me balader ici en étant obligé de faire des ronds de jambes même à des gens que je méprise,i'm sick and tired of treating people around here with respect even though we resent them,I'm fed up with strolling around here being forced to give a nod even to people I despise.,Good Translation,0.7711123,0.82681876,-0.05570644
en avoir ras-le-bol,59,j'en ai ras-le-bol,i've had enough,I've had it up to here with something or I'm fed up with something.,Good Translation,0.65065235,0.5738208,0.07683152
en avoir ras-le-bol,60,j'en ai ras-le-bol,i'm sick of dealing with it,I've had it up to here with something.,Good Translation,0.5950283,0.6328546,-0.0378263
en avoir ras-le-bol,61,moi j'en ai ras-le-bol de ce métier,i'm sick of show business,I've had it up to here with this job.,Good Translation,0.7484102,0.759135,-0.010724783
en avoir ras-le-bol,62,j'en ai ras-le-bol de vous,that's enough i have had it with you,I've had it up to here with you.,Good Translation,0.733152,0.6669059,0.06624609
en avoir ras-le-bol,63,j'en ai ras-le-bol,i'm fed up,I'm fed up with it.,Unnatural,0.6156584,0.60150295,0.0141554475
en avoir ras-le-bol,64,j'en ai ras-le-bol de vos conneries,now i've had enough of this shit,I'm fed up with your nonsense.,Good Translation,0.68782717,0.7224276,-0.034600437
en avoir ras-le-bol,65,j'en ai ras-le-bol de stan,god i am so sick of stan,I'm fed up with Stan.,Good Translation,0.69341856,0.6725281,0.020890474
en avoir ras-le-bol,66,on en a ras-le-bol aussi alors quoi,we're pissed off too so what,We're fed up with it too so what's the point,Unnatural,0.80117774,0.83572817,-0.03455043
en avoir ras-le-bol,67,c'est devenu une mauvaise habitude et j'en ai ras-le-bol,it has become a bad habit and i am sick of it,it's become a bad habit and I'm fed up with it,Good Translation,0.92089283,0.93375075,-0.012857914
en avoir ras-le-bol,68,et quoi donc monsieur malhouin j'en ai ras-le-bol,what's that mr malhouin,and what's this Mr Malhouin I'm fed up with it,Unnatural,0.6418824,0.86637414,-0.22449172
en avoir ras-le-bol,69,j'en ai ras-le-bol,i've really had enough of this,I've had enough/I'm fed up with it.,Good Translation,0.60627735,0.60642684,-0.00014948845
en avoir ras-le-bol,70,j'en ai ras-le-bol de cette histoire,i am tired of this - i am goddamn tired of this,I'm fed up with this story.,Good Translation,0.8112237,0.93002284,-0.11879915
en avoir ras-le-bol,71,j'en ai ras-le-bol de tes phénomènes paranormaux,you and your supernatural phenomena you're driving me crazy,I've had enough of your paranormal phenomena.,Good Translation,0.7076227,0.90713096,-0.19950825
