idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
avoir un autre chat à fouetter,0,et je n'ai pas eu l'occasion de t'en parler parce qu'on avait d'autres chats à fouetter,and i didn't get a chance to tell you because we had bigger fish to fry,and I didn't have a chance to tell you about it because we had other fish to fry,Good Translation,0.766318,0.8146529,-0.048334897
avoir un autre chat à fouetter,1,pour le moment on a d'autres chats à fouetter,but right now we got bigger fish to fry,For now we have other cats to whip.,Literal Translation,0.70720613,0.8709978,-0.16379166
avoir un autre chat à fouetter,2,ils ont d'autres chats à fouetter,sounds like they have other things to worry about right now,They have other fish to fry.,Unnatural,0.69566107,0.75728065,-0.06161958
avoir un autre chat à fouetter,3,oh non j'ai d'autres chats à fouetter,- no i've got other work to do,"Oh no, I have other cats to whip.",Literal Translation,0.7516555,0.8819856,-0.13033009
avoir un autre chat à fouetter,4,j'ai d'autres chats à fouetter,he'll say don't bother me i'm too busy,I have other irons in the fire.,Unnatural,0.47841108,0.63171077,-0.15329969
avoir un autre chat à fouetter,5,elle a d'autres chats à fouetter que toi,she's got much bigger things to worry about than you,she has other cats to whip than you,Unnatural,0.75630224,0.90523916,-0.14893693
avoir un autre chat à fouetter,6,mais nabot avait d'autres chats à fouetter,but shorty had his hands full,but Naboth had other cats to whip,Literal Translation,0.5099542,0.8480898,-0.3381356
avoir un autre chat à fouetter,7,nous avons d'autres chats à fouetter,come on we have things to do,we have other cats to whip,Literal Translation,0.68157434,0.8662866,-0.18471223
avoir un autre chat à fouetter,8,honnêtement j'ai d'autres chats à fouetter,honestly i have bigger problems than this,Honestly I have other cats to whip.,Literal Translation,0.68887866,0.8935888,-0.20471013
avoir un autre chat à fouetter,9,qui pensait qu'on aurait d'autres chats à fouetter,who'd ever think that we'd have bigger fish to fry,who thought that there would be other cats to whip,Literal Translation,0.6392809,0.8374111,-0.19813019
avoir un autre chat à fouetter,10,avec dieu il a d'autres chats à fouetter,i think he's got bigger things on his plate,"With God, he has other cats to whip.",Literal Translation,0.6244257,0.86035943,-0.23593372
avoir un autre chat à fouetter,11,ne le prends pas mal mais j'ai d'autres chats à fouetter,no offence but i really don't have time for this,Don't take it badly but I have other fish to fry.,Good Translation,0.5873071,0.7524478,-0.16514069
avoir un autre chat à fouetter,12,ils avaient d'autres chats à fouetter,they've got bigger fish,They had other fish to fry.,Good Translation,0.6565664,0.754404,-0.09783763
avoir un autre chat à fouetter,13,quand l'offensive sera déclenchée on aura d'autres chats à fouetter,there'll be no time for that when the offensive begins,when the offensive is launched we'll have other fish to fry,Good Translation,0.61730784,0.7608781,-0.14357024
avoir un autre chat à fouetter,14,la marine a d'autres chats à fouetter,the navy's got other things to do,The navy has other fish to fry.,Good Translation,0.7478946,0.75814867,-0.010254085
avoir un autre chat à fouetter,15,ii va falloir trouver une solution j'ai d'autres chats à fouetter,well that's too bad you're gonna have to figure that one out because you know i got stuff going on,"I will have to find a solution, I have other irons in the fire.",Unnatural,0.6231574,0.7304087,-0.107251346
avoir un autre chat à fouetter,16,nous aurons d'autres chats à fouetter,tomorrow we have other cats to meet,We will have other fish to fry.,Good Translation,0.8172425,0.7584903,0.05875218
avoir un autre chat à fouetter,17,on a d'autres chats à fouetter chérie,we got bigger fish to fry honey,we have other cats to whip dear,Unnatural,0.6003809,0.857472,-0.2570911
avoir un autre chat à fouetter,18,elle a d'autres chats à fouetter,clemente's got bigger fish to fry,She has other cats to whip.,Literal Translation,0.59577,0.8893986,-0.29362857
avoir un autre chat à fouetter,19,arrête on a d'autres chats à fouetter,shut up focus on the job,stop we have other cats to whip,Literal Translation,0.60804623,0.86235046,-0.25430423
avoir un autre chat à fouetter,20,j'ai d'autres chats à fouetter par ici,i've a lot of irons in the fire around here,I have other irons in the fire here.,Good Translation,0.629774,0.65243495,-0.02266097
