idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
tomber dans le panneau,0,non je ne vais pas tomber dans le panneau pour ça encore,no i'm not falling for that again,no I'm not going to fall for that again,Good Translation,0.81234795,0.81884724,-0.0064992905
tomber dans le panneau,1,penses-tu vraiment que je vais tomber dans le panneau,you really think you can goad me into doing a trick like that,Do you really think I'm going to fall for that trick?,Good Translation,0.633489,0.7611799,-0.12769091
tomber dans le panneau,2,tout le monde tombe dans le panneau,it's not a very well-known feature so it fools most people,Everyone falls for it,Good Translation,0.43719375,0.68898976,-0.251796
tomber dans le panneau,3,n'importe qui serait assez stupide pour tomber dans le panneau,like anyone would be dumb enough to fall for that,Anyone would be foolish enough to fall for it,Good Translation,0.78335917,0.768022,0.015337169
tomber dans le panneau,4,je ne vais pas tomber dans le panneau des tentatives de wade pour me faire rater mon vol,earl i'm not gonna fall for wade's attempt to get me to miss my flight back home,I'm not going to fall for Wade's attempts to get me to miss my flight.,Good Translation,0.82306755,0.8899994,-0.066931844
tomber dans le panneau,5,mais si tu mets en lumière deux points opposés de leur personnalité tout le monde tombe dans le panneau,but if you point out two opposite extremes they all believe it,but if you highlight two opposing points of their personality then everyone falls for it,Good Translation,0.7847835,0.8936019,-0.10881841
tomber dans le panneau,6,comment peux-tu encore tomber dans le panneau,i can't believe you still fall for that,How can you still fall for it?,Good Translation,0.5847897,0.62186074,-0.03707105
tomber dans le panneau,7,je ne vais pas encore tomber dans le panneau,i'm not falling for this again,I'm not going to fall for that yet.,Good Translation,0.7006852,0.7305656,-0.029880404
tomber dans le panneau,8,j'arrive pas à croire que tu sois tombé dans le panneau,i can't believe that you were buying this,I don't believe you fell for that,Good Translation,0.6626712,0.6986901,-0.036018908
tomber dans le panneau,9,c'est bon elle est tombée dans le panneau,okay you guys she fell for it,It's good she fell for it.,Good Translation,0.6944761,0.7207766,-0.02630049
tomber dans le panneau,10,je n'arrive pas à croire que tu sois tombée dans le panneau,i can't believe you fell for that,I can't believe you fell for it.,Unnatural,0.73235226,0.7361815,-0.0038292408
tomber dans le panneau,11,je tomberais dans le panneau,okay,I'd fall for it,Good Translation,0.46878308,0.6754854,-0.20670229
tomber dans le panneau,12,vous espérez que je vais tomber dans le panneau,you actually expect me to fall for that trick,You hope I'll fall for it.,Unnatural,0.7556241,0.7535813,0.00204283
tomber dans le panneau,13,non je te connais depuis trop longtemps pour tomber dans le panneau,no i've known you too long for that one,"No, I've known you for too long to fall for that.",Good Translation,0.79496676,0.82363594,-0.028669178
tomber dans le panneau,14,je n'arrive pas à croire qu'ils soient tombés dans le panneau,i can't believe they fell for it,I can hardly believe they fell for it,Unnatural,0.73689085,0.75102913,-0.014138281
tomber dans le panneau,15,je ne sais pas comment j'ai pu tomber dans le panneau,i mean i just can't believe that i fell for it,I have no idea how I fell for it.,Good Translation,0.64467305,0.7323305,-0.08765745
tomber dans le panneau,16,quoi tu penses vraiment que je vais tomber dans le panneau,what do you think i'm gonna fall for that shit,what do you really think I'm going to fall for it,Good Translation,0.7028855,0.76803654,-0.065151036
tomber dans le panneau,17,ce fils de pute est tombé dans le panneau,stupid son of a bitch fell for it,This son of a gun fell for it.,Good Translation,0.69288725,0.6710611,0.021826148
tomber dans le panneau,18,je peux pas croire que tu sois tombé dans le panneau,i can't fuckin' believe you fell for that,I can hardly believe you've fallen for it.,Good Translation,0.70565116,0.74978614,-0.044134974
tomber dans le panneau,19,je suis bien tombe dans le panneau,well it certainly fooled me,"I fell for it hook, line and sinker.",Good Translation,0.5768161,0.5825832,-0.005767107
tomber dans le panneau,20,eh bien vous n'êtes pas la seule à être tombé dans le panneau,well you're not the only one who jumped on that train,Well you're not the only one to have been taken in,Good Translation,0.75734186,0.73951226,0.017829597
tomber dans le panneau,21,j'y crois pas t'es tombé dans le panneau,i can't believe you fell for it,I don't think so you've fallen for it,Good Translation,0.6610653,0.66565734,-0.004592061
tomber dans le panneau,22,tu vas pas tomber dans le panneau,come on you're not starting to buy what he's selling too,You're not going to fall for that trick are you?,Good Translation,0.52150166,0.7050063,-0.18350464
tomber dans le panneau,23,on essayait de comprendre qui pourrait tomber dans le panneau,we were trying to understand the person who would be attracted to that,We were trying to understand who could be caught in the trap.,Good Translation,0.6863976,0.7895981,-0.103200495
tomber dans le panneau,24,elle est tombée dans le panneau,she fell for it,she was taken in by it,Good Translation,0.68384886,0.65429693,0.029551923
tomber dans le panneau,25,je ne tomberai dans le panneau qu'une fois tu pensais que je me ferais encore avoir,i don't fall for the same trick twice,I won't fall for it again once you thought I'd get fooled one more time.,Unnatural,0.6462966,0.7013773,-0.055080652
tomber dans le panneau,26,j'ai failli tomber dans le panneau,oh my god i fell for it,I almost fell for it.,Good Translation,0.58803844,0.73936945,-0.15133101
tomber dans le panneau,27,tu crois que je vais tomber dans le panneau,do you actually expect me to fall for that,Do you think I'll fall for it?,Good Translation,0.71451956,0.6912981,0.023221433
tomber dans le panneau,28,je suis tombé dans le panneau,i fell for it,I fell for it.,Good Translation,0.6442516,0.64234805,0.0019035339
tomber dans le panneau,29,parce que seule une innocente jeune mariée tomberait dans le panneau,only an innocent young bride like her would fall for a dirty trick like this,because only an innocent young bride would fall for it,Partial Translation,0.75068974,0.83221775,-0.08152801
tomber dans le panneau,30,tu m'as piégé et je suis tombé dans le panneau,you tricked me and i totally fell for it,You've tricked me and I fell for it.,Good Translation,0.69308805,0.7154495,-0.022361457
tomber dans le panneau,31,je ne vais pas tomber dans le panneau,i won't fall for it,I won't fall for it.,Good Translation,0.7523299,0.7314463,0.02088356
tomber dans le panneau,32,je suis vraiment tombée dans le panneau,i mean i fell for all this,I totally fell for it,Good Translation,0.6554602,0.68406296,-0.028602779
tomber dans le panneau,33,il espère que le juge tombera dans le panneau et vous mettra en examen,a judge may buy it and bring charges against you,he hopes that the judge will take the bait and put you on trial,Good Translation,0.6481689,0.84048164,-0.19231272
tomber dans le panneau,34,j'ai ressenti la même chose que toi et c'est à ce moment-là que je suis tombée dans le panneau exactement comme toi en ce moment,i've felt the same things you're feeling and that's when i fell under her spell and now it's happening to you,I felt the same thing as you and it was at that moment that I fell for him just like you're doing right now.,Mistranslation,0.775952,0.7642851,0.011666894
tomber dans le panneau,35,non non elle est bien trop intelligente pour tomber dans le panneau,no no she's way too smart to fall for that,no no she is far too intelligent to fall for it,Good Translation,0.8406903,0.86839557,-0.027705252
tomber dans le panneau,36,et les parents tombent dans le panneau,your folks fell for it,and the parents fall for it,Good Translation,0.53737175,0.76161253,-0.22424078
tomber dans le panneau,37,je ne vais pas retomber dans le panneau,i'm not fallin' for that again,I'm not going to fall for it again.,Good Translation,0.7260662,0.772107,-0.046040833
tomber dans le panneau,38,j'arrive pas à croire qu'ils soient tombés dans le panneau,i can't believe they fell for it,I just can't believe they fell for it.,Good Translation,0.73520994,0.7239187,0.0112912655
tomber dans le panneau,39,je suis presque tombe dans le panneau,that was such an obvious trick i almost fell for it too,I almost fell for it.,Partial Translation,0.66151917,0.76865613,-0.107136965
tomber dans le panneau,40,il y a 10 ans je serais tombé dans le panneau,ten years ago i would've fallen into that trap,I would have fallen for it 10 years ago,Good Translation,0.80166113,0.7609019,0.040759206
tomber dans le panneau,41,je l'ai dit pour vous tromper et vous êtes tombé dans le panneau,i said that misleadingly and you fell for it,I said it to deceive you and you fell for it.,Good Translation,0.7777871,0.79084325,-0.013056159
tomber dans le panneau,42,s'ils tombent dans le panneau comment sortir d'ici après,what if they do fall for this stunt of yours bud what do we get out of it,If they fall for it how do we get out of here after that?,Good Translation,0.635314,0.7526731,-0.1173591
tomber dans le panneau,43,je suis tombé dans le panneau et dans ses bras,and i fell for it,I fell for his trap and got caught in his arms.,Partial Translation,0.6360098,0.760442,-0.124432206
tomber dans le panneau,44,trop futée pour tomber dans le panneau,oh you're too savvy for that one aren't you,too clever to fall for that trick,Good Translation,0.53424096,0.7061035,-0.17186254
