idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
avoir un peur bleu de,0,l'autre moitié a une peur bleue de lui,the rest scared to death of that wombat,The other half has a blue fear of him,Unnatural,0.61939806,0.93989015,-0.3204921
avoir un peur bleu de,1,tavares n'aurait pas témoigné car il avait une peur bleue de donovan,tavares wouldn't testify because he was scared stiff of donovan,Tavares wouldn't have testified because he had a blue fear of Donovan.,Unnatural,0.9182686,0.90604854,0.012220085
avoir un peur bleu de,2,il a une peur bleue de vous,he's afraid of you,He has a blue fear of you.,Unnatural,0.84803396,0.8883287,-0.040294707
avoir un peur bleu de,3,les découvertes capitales arrivent parce que quelqu'un a une peur bleue d'arrêter d'essayer,breakthroughs don't happen because of the medicine real breakthroughs happen because someone is scared to death to stop trying,Major breakthroughs arrive because someone is terrified of stopping trying.,Good Translation,0.63608706,0.77170527,-0.13561821
avoir un peur bleu de,4,je dois te dire j'avais une peur bleue de vous pendant bien des années,i have to tell you i was scared shitless of you for so many years,I must tell you I had a blue fright of you for many years.,Unnatural,0.8193486,0.9064538,-0.087105215
avoir un peur bleu de,5,c'est parce qu'elle a une peur bleue de se faire battre,that's because she's fuckin' afraid of getting beaten up,It's because she has a blue fear of getting beat up.,Good Translation,0.82494056,0.89839876,-0.073458195
avoir un peur bleu de,6,oui je croyais que j'allais épouser mon ancien copain mais il avait une peur bleue de l'engagement,yeah i thought i was gonna get married to my last boyfriend but boy did that guy have commitment issues,Yes I thought that I was going to marry my old boyfriend but he had a white-fear of commitment.,Good Translation,0.74881285,0.8035275,-0.05471462
avoir un peur bleu de,7,j'ai une peur bleue de la potence,i have a mortal fear of hanging,I have a blue fright of the gallows.,Unnatural,0.6585685,0.6948571,-0.03628862
avoir un peur bleu de,8,en fait t'as une peur bleue d'y aller tu chies dans ton froc,the truth is you're scared shitless of going to that place aren't you,In fact you're blue with fear of going there you crap in your pants,Good Translation,0.6964857,0.78901184,-0.09252614
avoir un peur bleu de,9,vous avez oublié je suis influent à klingen et que j'ai une peur bleue des pigeons,well you only left out that i'm fluent in klingon and have a bona fide fear of pigeons,you have forgotten that I'm influential in Klingen and I have a blue fear of pigeons,Literal Translation,0.7594047,0.94110113,-0.18169641
