idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
être un poule mouiller,0,je suis une poule mouillée et un lâche,you see i'm a sissy and a coward,I am a wet chicken and a coward,Good Translation,0.705799,0.82003075,-0.114231765
être un poule mouiller,1,il pense que je suis une poule mouillée depuis que je suis un professeur,he thinks i'm a sissy since i'm a teacher now,He thinks I'm a wimp since I became a professor.,Good Translation,0.80502665,0.85018545,-0.045158803
être un poule mouiller,2,c'est une poule mouillée,he's a yellow coward,it's a wet hen,Good Translation,0.57651895,0.67267215,-0.0961532
être un poule mouiller,3,- j'ai toujours été une poule mouillée,- always been a chicken man myself,- I have always been a wet chicken,Literal Translation,0.77006704,0.8776086,-0.10754156
être un poule mouiller,4,t'es une poule mouillée,chicken,you're a wet chicken,Good Translation,0.46992803,0.74453825,-0.27461022
être un poule mouiller,5,je sais que je suis une poule mouillée mais,i know i'm being a coward but,I know I'm a wet blanket but,Unnatural,0.7789986,0.8053499,-0.026351273
être un poule mouiller,6,- c'est une poule mouillée,- see her run she's a scaredy-cat,- it's a wet hen,Good Translation,0.55895257,0.7326044,-0.17365181
être un poule mouiller,7,je suis désolé je suis une poule mouillée,sorry i'm such a chicken,I am sorry I am a chickenNoArgsConstructor,Unnatural,0.7442978,0.63364923,0.11064857
être un poule mouiller,8,la dernière arrivée est une poule mouillée,the latest entrant is a rotten egg,the last addition is a wet hen,Good Translation,0.68990934,0.7460943,-0.056184947
être un poule mouiller,9,mais tu es une poule mouillée alors,but you're a pussy so,but you are a wet chicken,Good Translation,0.7756685,0.80138457,-0.025716066
être un poule mouiller,10,- tu es une poule mouillée,- you're a chicken,- you're a wet chicken,Good Translation,0.7675712,0.79240775,-0.02483654
être un poule mouiller,11,si je suis une poule mouillée qui se tient droit debout ici maître chang,if i am a chicken who's staying here safely,if I am a wet chicken standing upright here Master Chang,Good Translation,0.70682526,0.8162925,-0.10946727
être un poule mouiller,12,t'es effrayé t'es une poule mouillée,dumbass fuck,you're scared you're a wet hen,Literal Translation,0.4923914,0.67671907,-0.18432766
être un poule mouiller,13,pourquoi est-ce que je suis une poule mouillée face à lui,why is it whenever he's around i'm all wet,why am I a scaredy-cat facing him,Good Translation,0.70284414,0.7316389,-0.028794765
être un poule mouiller,14,comme je l'ai dit je suis une poule mouillée,like i said i'm a wimp,"as I said, I am a wet chicken",Good Translation,0.78715885,0.84589404,-0.05873519
être un poule mouiller,15,- c'est des poules mouillées,- those bums are all wet,- they are wet hens,Unnatural,0.7221217,0.744113,-0.021991313
être un poule mouiller,16,et vous vous êtes une poule mouillée,and you're being a chickenshit asshole,and you're a wet hen,Good Translation,0.7191615,0.75640273,-0.03724122
être un poule mouiller,17,tu étais une poule mouillée,you were a pussy before,you were a wet chicken,Good Translation,0.7658261,0.8284348,-0.06260872
être un poule mouiller,18,- rory est une poule mouillée,- so is jackson,Rory is a wet hen,Good Translation,0.4581915,0.770418,-0.31222647
être un poule mouiller,19,son père disait que c'était une poule mouillée,to think that his father called him a yellow-belly,his father said he was a wet chicken,Good Translation,0.7126552,0.8380376,-0.12538242
être un poule mouiller,20,je suis une poule mouillée,after all i'm a coward,I'm a wet hen,Good Translation,0.61073256,0.69927996,-0.08854741
être un poule mouiller,21,parce que je suis une poule mouillée,- because i'm a chicken,because I'm a wet hen,Good Translation,0.7885002,0.8057771,-0.017276883
être un poule mouiller,22,tu n'es pas mort mon gars t'es une poule mouillée,why because you say,you didn't die my guy you're a wet chicken,Literal Translation,0.43475568,0.8006565,-0.3659008
être un poule mouiller,23,ils pensent qu'on est des poules mouillées,they think we're scaredy-cats,They think we are chickenswitter.,Mistranslation,0.74128664,0.79705423,-0.055767596
être un poule mouiller,24,- t'es une poule mouillée,hawk you're a peace-loving wimp,- you're a wet chicken,Good Translation,0.5560426,0.7912011,-0.2351585
être un poule mouiller,25,c'est une poule mouillée,he's chicken shit,it's a wet hen,Good Translation,0.6057533,0.67267215,-0.06691885
être un poule mouiller,26,vous êtes des poules mouillées,god you guys are wusses,you are wet chickens,Good Translation,0.66346776,0.7971629,-0.13369513
être un poule mouiller,27,c'est des poules mouillées,them guys chicken out,it's a wet hen,Unnatural,0.5691235,0.6646956,-0.095572114
être un poule mouiller,28,-c'est idiot -rentre si t'es une poule mouillée -c'est toi qui devrait rentrer chez toi,i have a hobby now haunting people,-it's stupid -get in if you're a wet hen -you should be going home,Mistranslation,0.40326363,0.82927823,-0.4260146
