idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
se envoyer en le air,0,-on va s'envoyer en l'air,- we're gonna get laid,-we're going to have sex,Good Translation,0.7805825,0.7682977,0.012284815
se envoyer en le air,1,les gens adoreraient voir ces deux intellos s'envoyer en l'air,come on people would love to see these two nerds get freaky,people would adore seeing these two intellectuals get it on,Good Translation,0.7648343,0.79197586,-0.027141571
se envoyer en le air,2,allez lois on pourrait s'envoyer en l'air dans le jardin ici,come on lois let's get busy maybe in the garden right here,go laws we could have sex in the garden here,Good Translation,0.80949795,0.79875183,0.010746121
se envoyer en le air,3,-on a envie de s'envoyer en l'air,broad accent evening gentlemen looking for a frolic,-we feel like having sex,Literal Translation,0.56275904,0.77398074,-0.2112217
se envoyer en le air,4,on ne va pas s'envoyer en l'air dans le lit de ma femme,i'm not gonna fuck you in my wife's bed,We are not going to get carried away in my wife's bed.,Good Translation,0.80293584,0.8943916,-0.09145576
se envoyer en le air,5,s'il en a tellement envie qu'il s'envoie en l'air,look if he needs it that badly let him go and get it,if he wants it so much that he does it without thinking,Mistranslation,0.70787454,0.80489475,-0.09702021
se envoyer en le air,6,matty ne veut pas s'envoyer en l'air il veut parler,matty doesn't want to get laid he wants to talk,"Matty doesn't want to have sex, he wants to talk.",Good Translation,0.91261804,0.8520344,0.06058365
se envoyer en le air,7,ils sont peut-être dans un motel en train de s'envoyer en l'air,- could be they're in some motel room having hot makeup sex,They might be at a motel having sex.,Unnatural,0.81992537,0.87106496,-0.051139593
se envoyer en le air,8,- il a besoin de s'envoyer en l'air,- he needs to get laid,He needs to let off some steam.,Unnatural,0.8503264,0.82765377,0.022672653
se envoyer en le air,9,il aime s'envoyer en l'air,he likes to get laid,He likes to have fun or He likes to let his hair down,Partial Translation,0.79918027,0.7223449,0.076835394
se envoyer en le air,10,allez oui on s'envoie en l'air,okay yeah let's fuck,we're having sex,Good Translation,0.69272876,0.65911067,0.033618093
se envoyer en le air,11,on s'envoie en l'air après ça,i'ma go get a soda do you want to have sex somewhere after i do that,we go wild after that,Good Translation,0.6367485,0.82500565,-0.18825716
se envoyer en le air,12,- viens on s'envoie en l'air toi et moi,- lets get high together okay,- let's go have some fun you and me,Unnatural,0.7252604,0.8194434,-0.09418303
se envoyer en le air,13,on va s'envoyer en l'air sur ces plats hors de prix,on top of all this expensive food i bought,We're going to blow our money on these expensive dishes.,Good Translation,0.6503135,0.78753585,-0.13722235
