idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
faire le pont,0,j'ai dit en normandie on était en normandie puis on faisait le pont là,i said normandy not the usa,I said in Normandy we were in Normandy then we were doing the bridge there,Literal Translation,0.7247339,0.884722,-0.1599881
faire le pont,1,tu dois faire le pontage,sam i'm sorry i need you,you need to do the bridging,Literal Translation,0.5575391,0.80958664,-0.25204754
faire le pont,2,on pourrait refaire le pont du queen elizabeth 2 avec tout ce bois,you could deck the qe 2 with the wood they gave me,One could rebuild the Queen Elizabeth 2 bridge with all that wood.,Literal Translation,0.677902,0.9147942,-0.23689222
faire le pont,3,mais j'essaie de faire le pont,but i've been trying to do a backbend,but I'm trying to bridge it,Literal Translation,0.7452457,0.91367495,-0.16842926
faire le pont,4,on n'est pas obligés de faire le pontage,we don't need to do the bypass,We don't have to do the bridging.,Literal Translation,0.72369593,0.759809,-0.036113083
faire le pont,5,tout au long de ma vie et de ma carrière j'ai fait le pont entre deux mondes,throughout my life and career i have straddled two worlds,"throughout my life and career, I have bridged two worlds",Good Translation,0.872436,0.9262706,-0.053834617
faire le pont,6,tu veux faire le pont,you want to do it backwards,you want to take the day off,Good Translation,0.638856,0.6730429,-0.0341869
faire le pont,7,je fais le pont du 4 juillet je resterai 3 jours,yeah i'm taking the 4th off so i'll be there for three days,I'm taking a long weekend off on July 4th and will stay for 3 days.,Good Translation,0.79142606,0.8185277,-0.027101636
faire le pont,8,ok les chatons on y va on fait le pont de londres,okay kitties let's go,ok the kittens let's go we're doing the london bridge,Literal Translation,0.6905345,0.8738854,-0.18335092
faire le pont,9,je suis pour faire le pont réparé,i'm to get the bridge repaired,I am for fixing the bridge,Literal Translation,0.91106164,0.9030862,0.007975459
faire le pont,10,faisons le pont,set up the bridge,let's make a bridge,Unnatural,0.78407043,0.89656544,-0.112495005
faire le pont,11,il a fallu acheter un cheval et refaire le pont,i had to buy a horse and rebuild the bridge,it took buying a horse and rebuilding the bridge,Unnatural,0.9266418,0.9155707,0.011071146
faire le pont,12,dès qu'on aura fait le pontage ce sera plus facile,once we get him on bypass it'll be easier to control,as soon as we have done the bridging it will be easier,Good Translation,0.7407484,0.8776194,-0.13687098
faire le pont,13,programme l'ablation de la tumeur je ferai le pontage juste après,schedule the tumor removal i'll do the bypass right after,programme the tumor ablation I will do the bridging just after,Good Translation,0.78909796,0.8667513,-0.07765335
faire le pont,14,elle sera de niveau supérieur elle fera le pont entre la tradition ancienne et l'équipement moderne,we're taking it to the next level bridging the gap between ancient tradition and modern warfare,"it will be of a higher level, bridging ancient tradition with modern equipment",Good Translation,0.7055797,0.88625085,-0.18067116
faire le pont,15,c'était plus facile pour eux d'arranger des contacts que pour nous militaires deux ou trois d'entre eux civils respectés faisait le pont avec d'autres civils,it was easier for him to deal with other civilians than for us military officers to deal with 10 20 30 civilians,"It was easier for them to arrange contacts than for us military; two or three among them, respected civilians, bridged the gap with other civilians.",Good Translation,0.7396371,0.9221885,-0.18255144
faire le pont,16,celui-ci est à l'envers alors si vous faisiez le pont,this one is upside down so if you were doing a back bend or something,this is upside down so if you were to make the bridge,Literal Translation,0.76254874,0.8670642,-0.10451543
faire le pont,17,il veut refaire le pont tout le pont avant le début de la saison,he wants to re-bed the deck the whole deck before the start of the season,"He wants to rebuild the bridge, the whole bridge, before the start of the season.",Literal Translation,0.8388977,0.9218261,-0.08292842
faire le pont,18,je ferai faire le pont à la malade pour qu'elle reste au sec,not if the patient has a bridge in her mouth the water flows under the patient walks over and meets the pill on the other side,I will make a bridge for the sick person so she stays dry,Literal Translation,0.56239116,0.9071763,-0.34478515
