idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
pleurer comme un madeleine,0,elle a même pleuré comme une madeleine parce qu'il lui manquait ce n'est pas comme si je n'avais pas utilisé hye ri,lawyer his name was seo-dong-gun do you know him by any chance,she even cried like Madeleine because she missed it that's not like I hadn't used hye ri,Mistranslation,0.30585095,0.86684823,-0.56099725
pleurer comme un madeleine,1,je me démène pour qu'ils soient adoptés et pleure comme une madeleine quand ils partent,i work like fury to get them adopted and then cry like a fool when they go,I'm going out of my way to get them adopted and crying like a Magdalene when they leave.,Unnatural,0.84024066,0.89753616,-0.0572955
pleurer comme un madeleine,2,oui je pleurais comme une madeleine mais j'en ai fini avec les larmes,yes i used to weep salt tears about it but i've done with tears forever okay,Yes I was crying like a Magdalene but I've had enough with tears.,Good Translation,0.77253085,0.8449177,-0.07238686
pleurer comme un madeleine,3,elle pleurait comme une madeleine,but she was also more modern,She was crying like a Magdalen.,Literal Translation,0.4540654,0.86431074,-0.41024533
pleurer comme un madeleine,4,j'ai pleuré comme une madeleine,i was blubbering like a baby,I cried like a Magdalene.,Unnatural,0.71111655,0.87220854,-0.16109198
pleurer comme un madeleine,5,j'ai pas l'air d'avoir pleuré comme une madeleine,really it doesn't look like i've been bawling my eyes out,I don't look like I've cried my eyes out like a magdalen.,Literal Translation,0.7794038,0.8467747,-0.06737089
pleurer comme un madeleine,6,une année il m'a apporté une barbie et j'ai pleuré comme une madeleine,he brought me a barbie and i bailed my eyes out,a year ago he brought me a Barbie and I cried like Magdalene,Unnatural,0.7788428,0.87380314,-0.09496033
pleurer comme un madeleine,7,a mon arrivée à l'aéroport ils pleuraient comme des madeleines,they met me at the airport big reunion they cried like babies,Upon my arrival at the airport they were crying like Madeleines.,Literal Translation,0.83591443,0.91326404,-0.0773496
pleurer comme un madeleine,8,j'étais dans le train j'ai pleuré comme une madeleine,i was on the train tears streaming down my face,I was on the train I cried like a magdalene,Literal Translation,0.82486296,0.90162826,-0.0767653
pleurer comme un madeleine,9,c'était que 2 semaines mais j'ai pleuré comme une madeleine,it was only two weeks but i cried like a baby,It was only two weeks but I cried like a magdalen.,Unnatural,0.8885076,0.88807213,0.00043547153
pleurer comme un madeleine,10,- pourquoi tu pleures comme une madeleine alors,- why are you blubbering then,- why are you crying like a Madeleine anyway,Unnatural,0.66356444,0.84191096,-0.17834651
pleurer comme un madeleine,11,- elle pleurera comme une madeleine,she's just gonna blubber her head off,- she'll cry like a Magdalene.,Literal Translation,0.6099441,0.8995559,-0.28961182
pleurer comme un madeleine,12,en pleurant comme une madeleine,she came back all right crying her eyes out,Crying like a Magdalene,Literal Translation,0.57845,0.8526354,-0.27418536
pleurer comme un madeleine,13,dorothy me l'a lue et j'ai pleuré comme une madeleine,romy dorothy lead it to me and i cried like a baby,Dorothy read it to me and I cried like a Magdalene,Mistranslation,0.75256133,0.86716145,-0.11460012
pleurer comme un madeleine,14,je le regarde et mr beau-gosse ici présent pleure comme une madeleine,i look over and pretty boy here is bawling his eyes out,I look at it and Mr Beau-Geste here present cries like a Magdalene,Literal Translation,0.7265438,0.83752954,-0.110985756
pleurer comme un madeleine,15,lejour où elle est partie j'ai pleuré comme une madeleine,the day she left i cried my eyes out,the day she left I cried like a Magdalene,Unnatural,0.7942207,0.8724592,-0.07823849
pleurer comme un madeleine,16,tu pleures comme une madeleine,lito you're crying snot,You cry like a Magdalen.,Literal Translation,0.64000964,0.8192794,-0.17926973
pleurer comme un madeleine,17,il pleure comme une madeleine,because he's a waterworks,"It's raining like a Magdalen (a play on the phrase ""raining cats and dogs"")",Literal Translation,0.5395127,0.53005695,0.00945574
pleurer comme un madeleine,18,parfois je vais bien parfois je pleurerais comme une madeleine,sometimes i'm okay another times i can cry a river,Sometimes I feel fine sometimes I'd cry like a Madeleine.,Unnatural,0.7534133,0.841503,-0.088089705
pleurer comme un madeleine,19,tu crois qu'elliot est en train de pleurer comme une madeleine,do you think elliot's somewhere right now crying her eyes out,You think Elliot is crying like a madeline?,Literal Translation,0.804314,0.8598137,-0.055499673
pleurer comme un madeleine,20,la dernière fois que je vous ai vu vous étiez en train de pleurer comme une madeleine,have you come to talk about marriage,"the last time I saw you, you were crying like a Magdalene",Literal Translation,0.49942988,0.8991571,-0.39972723
