idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
jeter le argent par le fenêtre,0,faut pas jeter l'argent par les fenêtres,why sweat the small stuff,Don't throw money out of the window.,Good Translation,0.42716593,0.93697363,-0.5098077
jeter le argent par le fenêtre,1,nous jetons l'argent par les fenêtres,we're throwing all our dough in,We're throwing money out of the window.,Good Translation,0.6586458,0.94191647,-0.28327066
jeter le argent par le fenêtre,2,tu as toujours aimé jeter l'argent par les fenêtres,the policewoman was free,You've always liked to throw money out of the windows.,Mistranslation,0.40048888,0.95488936,-0.55440044
jeter le argent par le fenêtre,3,je comprends ils continuent de jeter l'argent par les fenêtres,i understand they're still scraping caviar off the walls,I understand they continue to throw money out of the windows.,Good Translation,0.7205392,0.960557,-0.24001777
jeter le argent par le fenêtre,4,ta mère jette l'argent par les fenêtres,your mother is squandering money,Your mother throws money out of the windows.,Good Translation,0.7962351,0.93226784,-0.13603276
jeter le argent par le fenêtre,5,nous sommes désolés de ne plus vouloir jeter l'argent par les fenêtres,and we are sorry that we don't feel like lighting money on fire,We are sorry that we no longer want to throw money out of the windows.,Good Translation,0.7979857,0.9498282,-0.15184253
jeter le argent par le fenêtre,6,ce serait jeter l'argent par les fenêtres,see that's just like throwing money in the trash,it would be throwing money out of the window,Good Translation,0.75659287,0.92777574,-0.17118287
jeter le argent par le fenêtre,7,ce serait comme jeter l'argent par les fenêtres,that would be like throwing money out the window,That would be like throwing money out of the window.,Good Translation,0.95152944,0.9332141,0.018315315
jeter le argent par le fenêtre,8,les gens n'y prêtent pas attention et ça revient à jeter l'argent par les fenêtres,people don't and it's like throwing money out the window,people don't pay attention to it and it's like throwing money out of the window,Good Translation,0.893018,0.917935,-0.024917006
jeter le argent par le fenêtre,9,on résout les problèmes en jetant l'argent par les fenêtres,that's the spirit solving problems by throwing money at them,We're solving problems by throwing money out of the windows.,Good Translation,0.7747922,0.897284,-0.12249178
jeter le argent par le fenêtre,10,il jette l'argent par les fenêtres,he's throwing money away in every direction,He throws money out of the window.,Good Translation,0.82472646,0.9483092,-0.12358272
jeter le argent par le fenêtre,11,- c'est jeter l'argent par les fenêtres - s'il vous plaît paddy,- yeah but it's throwing money away,"- it's like throwing money out of the window - if you please, Paddy",Good Translation,0.68171656,0.9221286,-0.24041206
jeter le argent par le fenêtre,12,vous savez la richesse jeter l'argent par les fenêtres c'était le seul moyen pour lui de se sentir puissant,opulence throwing money around was the only way that he could feel powerful,"You know how it is to throw money out of the window, it was his only way to feel powerful.",Good Translation,0.79885256,0.91366976,-0.1148172
jeter le argent par le fenêtre,13,jeter l'argent par les fenêtres,without throwing money around,throw money out of the window,Good Translation,0.6674059,0.9308953,-0.26348943
jeter le argent par le fenêtre,14,je me suis dit qu'il jetait l'argent par la fenêtre et il est parti,that was the last i saw of him,I thought to myself that he was throwing money out the window and he left,Good Translation,0.62768376,0.9362972,-0.30861342
jeter le argent par le fenêtre,15,et tu dis que je jette l'argent par les fenêtres,and you tell me i'm extravagant,And you say I'm throwing money out of the window,Good Translation,0.64992744,0.94631815,-0.2963907
jeter le argent par le fenêtre,16,tu as passé ta vie à flamber à jeter l'argent par les fenêtres,you spent your life squandering your money,You've spent your life burning money out of windows.,Unnatural,0.79987085,0.8990421,-0.09917128
jeter le argent par le fenêtre,17,chaque jour où on ne le vire pas on jette l'argent par les fenêtres,but this is a business and every day we don't fire him we're flushing money,"Every day when we don't fire him, we throw money out of the window.",Good Translation,0.7121496,0.88729036,-0.17514074
jeter le argent par le fenêtre,18,tu connais l'expression jeter l'argent par les fenêtres,are you familiar with the term throwing good money after bad,"You know the expression ""throwing money out of the window"".",Good Translation,0.6962723,0.8976335,-0.20136118
jeter le argent par le fenêtre,19,y a pas mieux que nous pour jeter l'argent par les fenêtres,we the most money-wasting motherfuckers on the face of the earth,There's no better than us at throwing money out of the window,Good Translation,0.6883565,0.9323085,-0.24395198
jeter le argent par le fenêtre,20,tu vas pas jeter l'argent par la fenêtre,don't go wasting money,You're not going to throw money out of the window.,Good Translation,0.7652664,0.9243958,-0.15912938
jeter le argent par le fenêtre,21,- tu jettes l'argent par les fenêtres,you're throwing money away,- you're throwing money out of the window,Good Translation,0.81346095,0.9421096,-0.12864864
jeter le argent par le fenêtre,22,on ne peut plus jeter l'argent par la fenêtre,we just can't be throwing money around right now,you can't throw money out of the window anymore,Good Translation,0.74675435,0.9511572,-0.20440286
