idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
faire le andouille,0,j'aimerais qu'ils arrêtent de faire les andouilles,groans i wish these kids would stop acting up,I'd like them to stop being idiots.,Good Translation,0.68062323,0.7510034,-0.07038015
faire le andouille,1,si les enfants font les andouilles on peut leur mettre une gifle,if the kid's misbehaving behind you you can reach and whack him,If the kids are naughty we can give them a slap on the face.,Good Translation,0.65352106,0.68325627,-0.029735208
faire le andouille,2,tu veux que je fasse l'andouille je la fais,you want me to play dumb i'll play dumb,Do you want me to do the andouille? I'll do it,Literal Translation,0.638311,0.8342031,-0.1958921
faire le andouille,3,jeff fait l'andouille,jeff's just being silly,Jeff is full of crap.,Mistranslation,0.75018704,0.6609517,0.089235365
faire le andouille,4,pourquoi tu te crois toujours obligé de faire l'andouille,why do you have to act like an idiot,Why do you always think you have to act like that?,Unnatural,0.6015016,0.7219995,-0.12049794
faire le andouille,5,quand on était petits on croyait que maman faisait l'andouille,remember when we were kids and we thought mom was just being silly,when we were little we believed that mom was making a sausage,Literal Translation,0.7380285,0.80959105,-0.07156253
faire le andouille,6,pac-man faisait l'andouille,pac-man caused a ruckus,Pac-Man was making an ass of himself,Good Translation,0.7569168,0.76736814,-0.010451317
faire le andouille,7,quoi qu'il fait l'andouille,although he's playing dumb,"Whatever he does, a fool",Good Translation,0.52215374,0.5636953,-0.041541576
faire le andouille,8,- avant que jesse fasse l'andouille,- before jesse does something stupid,- before Jesse makes a monkey of himself,Good Translation,0.78196913,0.72370976,0.058259368
faire le andouille,9,il a fait l'andouille et maintenant il en récolte les fruits,he acted like a jerk and now he caught it in the butt,He made a fool of himself and now he's reaping what he sowed.,Good Translation,0.5559063,0.7323075,-0.1764012
faire le andouille,10,ne commence pas à faire l'andouille,and don't you be a jerk,don't start being a fool,Good Translation,0.576448,0.66670424,-0.090256214
faire le andouille,11,- quand on fait l'andouille on finit par être mangé,when one makes the fool one always ends up being fooled,- when you make andouille sausage you end up being eaten,Literal Translation,0.57976615,0.82416695,-0.2444008
faire le andouille,12,c'était juste mickey qui faisait l'andouille,that was just mickey fooling around,It was just Mickey who was being an idiot.,Good Translation,0.80355775,0.72689474,0.07666302
faire le andouille,13,c'est moi qui devrais faire l'andouille pas toi,i should be the one goofing off not you sighing,It's me who should be doing the andouille not you.,Unnatural,0.71100974,0.88994986,-0.17894012
faire le andouille,14,j'aimerais avoir une queue j'ai toujours fait l'andouille,i've always been a goofball,I'd like to have a tail I've always been an ass,Literal Translation,0.66304016,0.76436985,-0.101329684
faire le andouille,15,je fais l'andouille,i'm just goofing,I'm making a fool of myself.,Good Translation,0.6090281,0.6087551,0.00027298927
