idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
pleuvoir un corde,0,j'en suis sûre il commence à pleuvoir des cordes jack,it's starting to rain pretty hard jack,"I'm sure it's starting to pour, Jack.",Good Translation,0.85934126,0.85068476,0.008656502
pleuvoir un corde,1,cours il pleut des cordes,run it's pouring rain,it's raining cats and dogs,Good Translation,0.71558213,0.6649249,0.050657213
pleuvoir un corde,2,il pleut des cordes et toi tu veux tirer un coup,it's raining like this and you want to fuck,it's raining cats and dogs and you want to score one,Good Translation,0.739267,0.73690057,0.0023664236
pleuvoir un corde,3,ce jour-là il pleuvait des cordes,- you ok norman - it was coming down in buckets,that day it was raining cats and dogs,Good Translation,0.61339134,0.7495954,-0.13620406
pleuvoir un corde,4,il pleuvra des cordes,raining cats and dogs,it will rain cats and dogs,Literal Translation,0.53213346,0.51708114,0.015052319
pleuvoir un corde,5,elle a fait une tentative à buckingham palace mais bien sûr il pleuvait des cordes,she tried it at buckingham palace once luckily it rained that day,She tried Buckingham Palace but of course it was pouring down rain.,Good Translation,0.83868885,0.8692312,-0.030542374
pleuvoir un corde,6,mais papa il pleut des cordes dehors,but daddyit's raining cats and dogs out there,but dad it's raining cats and dogs outside,Good Translation,0.77583134,0.78684413,-0.011012793
pleuvoir un corde,7,c'était à brighton il pleuvait des cordes,rained like a right bastard,it was in Brighton it was raining cats and dogs,Good Translation,0.6828522,0.75410545,-0.07125324
pleuvoir un corde,8,- oui il pleuvait des cordes,-yeah a lot of rain that night,- yes it was pouring rain,Good Translation,0.75299305,0.8435294,-0.090536356
pleuvoir un corde,9,- il pleut des cordes - je sais merci,- raining like hell out there,- it's raining cats and dogs - I know thanks,Good Translation,0.70646954,0.7679518,-0.06148225
pleuvoir un corde,10,même s'il pleut des cordes les gosses sortent pendant la récré,i wanna get those kids outside during recess,"Even if it's raining cats and dogs, the kids go out during recess.",Good Translation,0.71418905,0.7842195,-0.07003045
pleuvoir un corde,11,ce jour il pleuvait des cordes,it rained hard that day,that day it was raining cats and dogs,Good Translation,0.8172493,0.7489666,0.06828272
pleuvoir un corde,12,oui il pleuvait des cordes,yes it rained cats and dogs as you say,yes it was raining cats and dogs,Good Translation,0.7163718,0.7537435,-0.037371755
pleuvoir un corde,13,- il pleut des cordes dehors,it's really coming down out there,- it's raining cats and dogs outside,Literal Translation,0.68391514,0.7671349,-0.08321977
pleuvoir un corde,14,il pleut des cordes c'est pourquoi je le suggère,it's raining cats and dogs that is why i suggested it,it's raining cats and dogs which is why I suggest it,Good Translation,0.7969241,0.79124033,0.0056837797
pleuvoir un corde,15,j'ai décidé d'aller courir et j'ai atterri ici bon sang il pleut des cordes,and the roar you hear is for nathan scott stepping back on the court,I decided to go running and I ended up here damn it's raining cats and dogs,Mistranslation,0.48254701,0.7931521,-0.31060508
pleuvoir un corde,16,sacré bon dieu il pleut des cordes,boy it sure is rainin' cats and dogs,Holy cow it's raining cats and dogs,Good Translation,0.66377276,0.6816595,-0.017886758
pleuvoir un corde,17,- il pleut des cordes,- cats and dogs out there,- it's raining cats and dogs,Good Translation,0.618458,0.7458858,-0.12742782
pleuvoir un corde,18,- il pleut des cordes c'est ça,really raining huh,- it's raining cats and dogs is that right,Literal Translation,0.74929774,0.729709,0.019588709
pleuvoir un corde,19,je voulais voir ce qui se passait il pleuvait des cordes,i wanted to see what was happening,I wanted to see what was going on it was raining cats and dogs,Literal Translation,0.82849795,0.80658805,0.021909893
pleuvoir un corde,20,la dernière fois que j'ai regardé il pleuvait des cordes,oh last time i looked it was pouring rain,the last time I checked it was pouring down,Good Translation,0.8249811,0.84241366,-0.01743257
pleuvoir un corde,21,il pleut des cordes ici pas la plomberie,well it's flooding here and not the plumbing,it's raining cats and dogs here not plumbing,Good Translation,0.7751287,0.7422893,0.032839417
pleuvoir un corde,22,il va pleuvoir des cordes,it will rain cats and dogs,it will rain cats and dogs,Good Translation,0.72386324,0.72386324,0.0
pleuvoir un corde,23,putain il pleut des cordes,god it's pouring,fuck it's raining cats and dogs,Good Translation,0.70742035,0.7139172,-0.0064968467
