idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
blanchir de le argent,0,quelle était l'entreprise pour laquelle david clarke blanchissait de l'argent,and what was the name of the organization you believe david clarke was laundering money for,What was the company for which David Clarke was laundering money,Good Translation,0.81126016,0.7505695,0.06069064
blanchir de le argent,1,vous blanchissez de l'argent pour lui,you launder money for him,you launder money for him/her,Unnatural,0.83265436,0.7969158,0.035738528
blanchir de le argent,2,elle croit toujours que je suis dale jenkins que je blanchis de l'argent depuis miami,she thinks i'm dale jenkins a money launderer out of miami,she always believes that I am Dale Jenkins and that I launder money from Miami,Good Translation,0.8495146,0.80316794,0.046346664
blanchir de le argent,3,pourquoi vous ne nous avez pas dit que votre fils blanchissait de l'argent,why didn't you tell us that your son was laundering money,Why didn't you tell us your son was laundering money,Good Translation,0.9053693,0.90072876,0.0046405196
blanchir de le argent,4,il n'y a qu'un seul moyen de blanchir de l'argent,there's only one way to launder money,There is only one way to launder money,Good Translation,0.8125527,0.797693,0.014859676
blanchir de le argent,5,vous voulez blanchir de l'argent,you need to change money,you want to launder money,Good Translation,0.7268274,0.81016314,-0.08333576
blanchir de le argent,6,il a perdu sa licence et là il emploie son savoir à blanchir de l'argent sale,he lost his law license now he's using his skills to launder criminal cash,He lost his license and there he uses his knowledge to clean dirty money,Good Translation,0.8809707,0.92718136,-0.046210647
blanchir de le argent,7,il blanchissait de l'argent pour lui il couvrait des échanges d'argent et il a gardé les enregistrements,i mean he laundered cash for him covered money trails and he kept records,He was cleaning money for himself he covered up money exchanges and kept the records,Good Translation,0.84939086,0.81841105,0.030979812
blanchir de le argent,8,son fiancé blanchissait de l'argent,her fiance was laundering money,his fiancé was whitening money,Literal Translation,0.89589596,0.85913914,0.036756814
blanchir de le argent,9,on n'accuse pas un homme comme sir richard bowman de blanchir de l'argent,it does not want you accusing sir richard of laundering russian mafia money,One does not accuse a man like Sir Richard Bowman of money laundering.,Good Translation,0.7280064,0.8437042,-0.1156978
blanchir de le argent,10,je pense qu'hasty hathaway blanchissait de l'argent pour vous,i think hasty hathaway was laundering a lot of money for you,I think Hasty Hathaway was laundering money for you,Good Translation,0.86919117,0.8594289,0.009762287
blanchir de le argent,11,je ne nie pas que j'ai blanchi de l'argent,how do you explain that i'm not denying that i've laundered money,I do not deny that I whitened money,Literal Translation,0.7722278,0.90455955,-0.13233173
blanchir de le argent,12,et pour des 'moins innocents' blanchissant de l'argent mexicain,sometimes for not-so-clean developers laundering money out of mexico,and for less innocent ones whitening Mexican money,Good Translation,0.66521144,0.90013826,-0.23492682
blanchir de le argent,13,j'ai découvert une couverture pour blanchir de l'argent,i found out that the acme warehouse is a front for money laundering,I discovered a money laundering cover-up,Good Translation,0.6558438,0.8184681,-0.1626243
blanchir de le argent,14,blanchir de l'argent pour des dealers de drogue,laundering money for drug dealers,to launder money for drug dealers,Good Translation,0.8396034,0.8412828,-0.0016793609
blanchir de le argent,15,c'est juste une façade que l'avocat a financée pour blanchir de l'argent,it's a money-laundering op for the lawyer,it's just a facade that the lawyer financed to launder money,Good Translation,0.6939329,0.8691646,-0.1752317
blanchir de le argent,16,alex blanchit de l'argent,alex is laundering money,Alex whitens money,Good Translation,0.77216387,0.81424147,-0.0420776
blanchir de le argent,17,ils doivent blanchir de l'argent,they must be laundering money,They must clean money,Partial Translation,0.78544784,0.8359556,-0.050507784
blanchir de le argent,18,le capitaine cho aidait song à blanchir de l'argent,what were you doing,Captain Cho helped Song to launder money,Mistranslation,0.4854797,0.7851469,-0.29966718
blanchir de le argent,19,il m'a forcé à blanchir de l'argent ou il tuait amanda,he forced me to launder money or he would kill amanda,He forced me to launder money or he would kill Amanda.,Good Translation,0.89558756,0.85199225,0.043595314
blanchir de le argent,20,le mec pour lequel vous blanchissez de l'argent,the guy you were laundering money for,the guy for whom you're laundering money,Good Translation,0.81368244,0.84074926,-0.027066827
blanchir de le argent,21,- depuis qu'ils servent à blanchir de l'argent de l'extorsion et la prostitution,well since they're all fronts to launder money from extortion and prostitution,since they have been used to launder money from extortion and prostitution,Good Translation,0.78413516,0.8608355,-0.07670033
blanchir de le argent,22,- il pourrait blanchir de l'argent,he could be laundering money - so,- he could wash money,Good Translation,0.8082897,0.84955704,-0.041267335
blanchir de le argent,23,larry tu réalises que sans ton aide on n'aurait jamais trouvé que ces étudiants blanchissaient de l'argent,larry do you realize that without your help we would have never figured out those students were money laundering,"Larry, you realize that without your help, we would have never found out that these students were laundering money.",Good Translation,0.89595675,0.87248373,0.023473024
blanchir de le argent,24,winfield blanchie de l'argent,winfield's a money launderer,winfield laundered the money,Good Translation,0.7205626,0.71048856,0.010074019
blanchir de le argent,25,tu as blanchi de l'argent pour changmoon song n'est-ce pas,you've been laundering money for changmoon song right what are you talking about,"You whitened money for Changmoon Song, didn't you",Good Translation,0.7989842,0.9104534,-0.11146915
blanchir de le argent,26,on dirait qu'il blanchit de l'argent sam,he appears to be laundering money sam,It seems he's whitening money sam,Good Translation,0.7902218,0.8975528,-0.10733098
blanchir de le argent,27,j'ai fait en sorte de mettre en place un petit prêt professionnel pour toi pour que tu aies une façade afin de blanchir de l'argent,i've been working on setting up a small business loan for you so you can have the front to launder money through,I made sure to set up a small professional loan for you so that you have a front to launder money.,Good Translation,0.78004825,0.8666053,-0.08655703
blanchir de le argent,28,bien pratique pour blanchir de l'argent en tant que gros dealer de coke,which comes in handy to launder all the money he makes as the biggest coke dealer,very practical for laundering money as a major cocaine dealer,Good Translation,0.7749852,0.8118726,-0.036887407
blanchir de le argent,29,ou bien il blanchit de l'argent,either he's laundering or,or he is laundering money,Good Translation,0.75273937,0.83005476,-0.07731539
blanchir de le argent,30,après il a blanchi de l'argent pour des gens du milieu du hockey,then he started laundering money for underworld figures he met during his career,After he cleaned money for hockey mafia people,Good Translation,0.67653465,0.82923365,-0.152699
blanchir de le argent,31,j'ai découvert que mrfuller blanchissait de l'argent pour un client,i found out that mr fuller was laundering money for a client,I discovered that MrFuller was laundering money for a client,Good Translation,0.9112888,0.9213567,-0.01006788
blanchir de le argent,32,en cash sans que la banque ne pense qu'on blanchit de l'argent,in cash without the bank thinking we're laundering money,in cash without the bank thinking we're laundering money,Good Translation,0.88451934,0.88451934,0.0
blanchir de le argent,33,je me suis demandé si la mafia russe ne cherchait pas à blanchir de l'argent,i even wondered if the russian mafia was trying to launder some loot,I wondered if the Russian mafia was trying to launder money,Good Translation,0.8778317,0.92024493,-0.042413235
blanchir de le argent,34,on doit blanchir de l'argent pour lui,evans tells me we're gonna be washing money for him,We have to launder money for him,Good Translation,0.66331565,0.8247292,-0.16141355
blanchir de le argent,35,quand paul sugden est sorti de prison il savait faire des fausses cartes et blanchir de l'argent,- when paul sundie came out of juvie he knew how to make ids and launder money,"When Paul Sugden got out of prison, he knew how to make fake cards and launder money.",Good Translation,0.70308053,0.88847893,-0.1853984
blanchir de le argent,36,moi non plus si je blanchissais de l'argent,well neither would i if i was laundering money,me neither if I were laundering money,Good Translation,0.80146444,0.807196,-0.0057315826
blanchir de le argent,37,lui et vous blanchissiez de l'argent pour rayborn non,you and him were laundering money for rayborn right,you and him were laundering money for rayborn,Good Translation,0.76426387,0.81095076,-0.046686888
blanchir de le argent,38,conrad le mari de victoria blanchissait de l'argent de terroristes responsables du crash d'un avion,it was victoria's husband conrad who had been laundering money for the terrorists responsible for the plane crash,"Conrad, Victoria's husband, laundered money for terrorists responsible for the plane crash.",Good Translation,0.90586954,0.8292972,0.07657236
blanchir de le argent,39,si tu vas blanchir de l'argent walt au moins fais-le bien,if you're gonna launder money walt at least do it right,"if you're going to engage in money laundering, walt at least do it well",Good Translation,0.8456322,0.8412907,0.004341483
blanchir de le argent,40,donc quand on blanchit de l'argent on le lave pas vraiment,so when they launder money they don't actually wash it,"So when money is laundered, it's not really washed.",Good Translation,0.8527624,0.8492063,0.0035560727
blanchir de le argent,41,et si contero blanchissait de l'argent à travers ma société,what if contero is laundering money ugh,and if Contero is laundering money through my company,Good Translation,0.8328482,0.9095925,-0.07674432
blanchir de le argent,42,si quelqu'un voulait blanchir de l'argent il viendrait te voir,if somebody wanted to launder money so it couldn't be traced they'd come to you,if someone wanted to launder money they would come see you,Good Translation,0.7824211,0.8811308,-0.0987097
blanchir de le argent,43,faisait du porno blanchissait de l'argent,made porn washed money,made porn and laundered money,Good Translation,0.8169308,0.86686134,-0.049930573
blanchir de le argent,44,si votre ami blanchissait de l'argent pourquoi lui fallait-il un 2e boulot,i-if your friend was laundering money why would he need a second job,"if your friend was laundering money, why would he need a second job",Good Translation,0.89697045,0.8971946,-0.00022417307
blanchir de le argent,45,il aurait blanchi de l'argent grce à un projet immobilier,there's a whole money-laundering indictment here based on a real-estate development,He would have whitened money through a real estate project,Good Translation,0.69553816,0.8189785,-0.123440325
blanchir de le argent,46,je n'aurais pas de cameras de surveillance si ma banque blanchissait de l'argent,wouldn't have surveillance cameras in my bank if i were laundering money,I wouldn't have surveillance cameras if my bank were laundering money.,Good Translation,0.90408874,0.91717404,-0.013085306
blanchir de le argent,47,verdiant blanchit de l'argent pour la cabale des milliards par an,verdiant launders money for the cabal hundreds of millions of dollars a year,green bleaches for the cabal of billions per year,Literal Translation,0.8708349,0.7085719,0.16226298
blanchir de le argent,48,il a blanchi de l'argent et fait exploser le vol 197,he laundered money for a terrorist group that blew up flight 197,He laundered money and bombed flight 197,Good Translation,0.78763354,0.84378624,-0.0561527
blanchir de le argent,49,le blackmire va demander à m evans de blanchir de l'argent via votre banque,the blackmire group is asking mr evans to launder a great deal of money through your bank,Blackmire is going to ask M Evans to clean money through your bank.,Unnatural,0.86526495,0.883197,-0.017932057
blanchir de le argent,50,il paraît qu'il blanchit de l'argent ainsi,word has it on the street that he's laundering money through them,They say he whitens money that way,Good Translation,0.6713707,0.82776856,-0.15639788
blanchir de le argent,51,tu veux qu'ils me présentent à germaine qui blanchit de l'argent,yeah and you want them to introduce me to germaine their money launderer,you want them to introduce me to Germaine who cleans money,Good Translation,0.82974154,0.76316655,0.06657499
blanchir de le argent,52,et ensuite tu vas fureter dans une banque qui blanchit de l'argent,what and go snooping around some money-laundering bank,and then you will browse through a bank that washes money,Good Translation,0.7026384,0.8620376,-0.15939921
blanchir de le argent,53,selon votre source groupe clio blanchissait de l'argent pour fausto galvan - à la banque nationale rayburn,according to your source grupo clio was laundering money for fausto galvan at the rayburn national bank,"according to your source, groux clio was laundering money for fausto galvan - at the rayburn national bank",Partial Translation,0.9242768,0.8816323,0.0426445
blanchir de le argent,54,et si une banque américaine blanchissait de l'argent pour le cartel de fausto galvan,mckenzie okay what if a us bank was laundering money for fausto galvan's cartel,and if an American bank were laundering money for the Fausto Galvan cartel,Good Translation,0.8430471,0.8192398,0.023807287
blanchir de le argent,55,l'un des compte offshore était utilisé pour blanchir de l'argent de gestalten landesbank à ce compte bidon à manhatan,one of the offshore accounts was used to launder money from gestalten landesbank into this dummy account in manhattan,One of the offshore accounts was used to launder money from Gestapo Landesbank into this fake Manhattan account.,Good Translation,0.8384675,0.7638159,0.0746516
blanchir de le argent,56,il devait blanchir de l'argent pour une activité criminelle,he must've been money laundering for god-only-knows-what criminal exploits,He had to launder money for a criminal activity,Good Translation,0.73821723,0.8657147,-0.1274975
blanchir de le argent,57,il a confirmé avoir blanchi de l'argent pour les contras,he confirmed he laundered drug money for the contras,He confirmed having laundered money for the Contras,Good Translation,0.8426618,0.85821396,-0.015552163
blanchir de le argent,58,en blanchissant de l'argent pour toi dans sa campagne,by laundering money for you through her pac,by laundering money for you in his campaign,Partial Translation,0.68669635,0.79863894,-0.11194259
blanchir de le argent,59,il veut que je blanchisse de l'argent,he wants me to launder money,He wants me to launder money,Good Translation,0.8698353,0.8632009,0.006634414
